step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
39,-0.0722937,-3337.43,3.7878,-0.146174,107.566,268.513,100,-4210.09,872.66,643.789,1131.85,-6433.96,448.234,1147.61,-274.951
40,-0.0590143,-3335.69,5.5217,-0.132886,128.195,386.394,100,-4210.86,875.164,644.615,1131.23,-6434.38,447.675,1150.73,-275.568
41,-0.045731,-3333.94,7.28031,-0.119597,145.269,523.126,100,-4211.67,877.737,645.512,1130.68,-6434.9,447.039,1154.03,-276.295
42,-0.0324422,-3331.94,9.28025,-0.106309,154.043,672.782,100,-4212.38,880.442,646.466,1130.24,-6435.46,446.378,1157.52,-277.077
43,-0.0191454,-3329.89,11.3217,-0.0930201,151.057,825.332,100,-4212.89,882.995,647.373,1130.04,-6436.03,445.734,1160.86,-277.868
44,-0.00584073,-3327.98,13.2339,-0.0797315,134.415,968.068,100,-4213.17,885.183,648.148,1130.1,-6436.58,445.163,1163.79,-278.607
45,0.00747231,-3326.57,14.6447,-0.0664429,102.824,1086.69,100,-4213.16,886.59,648.707,1130.44,-6437.03,444.728,1165.81,-279.219
46,0.0207939,-3325.39,15.8219,-0.0531543,61.3955,1168.8,100,-4212.87,887.476,649.002,1131.02,-6437.37,444.474,1167.12,-279.648
47,0.0341189,-3324.9,16.3152,-0.0398657,13.1657,1206.08,100,-4212.35,887.448,648.988,1131.77,-6437.54,444.431,1167.3,-279.847
48,0.047445,-3325.06,16.1594,-0.0265772,-36.3439,1194.49,100,-4211.67,886.61,648.667,1132.61,-6437.54,444.6,1166.41,-279.797
49,0.0607671,-3325.92,15.2999,-0.0132886,-81.4324,1135.6,100,-4210.9,884.984,648.076,1133.43,-6437.37,444.965,1164.48,-279.5
50,0.074082,-3327.43,13.7874,0,-118.58,1035.6,100,-4210.12,882.695,647.281,1134.14,-6437.03,445.487,1161.68,-278.987
51,0.0873873,-3329.01,12.2067,0.0132886,-143.169,904.721,100,-4209.38,880.371,646.381,1134.68,-6436.56,446.115,1158.68,-278.308
52,0.100682,-3330.99,10.2256,0.0265772,-152.738,756.767,100,-4208.74,877.751,645.43,1135.06,-6436.02,446.787,1155.29,-277.534
53,0.113964,-3333.01,8.20382,0.0398657,-149.612,605.592,100,-4208.22,875.205,644.514,1135.26,-6435.44,447.449,1151.94,-276.731
54,0.127238,-3334.92,6.29386,0.0531543,-136.459,462.557,100,-4207.82,872.893,643.695,1135.32,-6434.88,448.051,1148.86,-275.967
55,0.140505,-3336.53,4.688,0.0664429,-116.886,335.884,100,-4207.53,871.007,642.99,1135.28,-6434.37,448.57,1146.29,-275.279
