step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
40,0.206822,-3340.79,0.426195,0.132886,23.3673,13.8908,100,-4207.21,866.418,641.387,1134.64,-6433.02,449.784,1139.94,-273.524
41,0.193543,-3340.32,0.89637,0.119597,36.5726,43.8607,100,-4207.19,866.87,641.524,1134.75,-6433.15,449.681,1140.56,-273.686
42,0.180266,-3339.73,1.4898,0.106309,53.3348,88.8144,100,-4207.19,867.467,641.729,1134.89,-6433.33,449.526,1141.39,-273.925
43,0.166993,-3338.89,2.32857,0.0930201,73.3958,152.18,100,-4207.24,868.348,642.037,1135.02,-6433.6,449.299,1142.61,-274.261
44,0.153724,-3337.77,3.45058,0.0797315,95.7103,236.733,100,-4207.33,869.568,642.449,1135.17,-6433.94,448.985,1144.28,-274.709
45,0.140457,-3336.53,4.68799,0.0664429,116.884,343.03,100,-4207.53,871.001,642.993,1135.28,-6434.37,448.57,1146.28,-275.276
46,0.127192,-3334.92,6.29387,0.0531543,136.463,469.703,100,-4207.81,872.892,643.689,1135.32,-6434.88,448.053,1148.85,-275.961
47,0.113928,-3333.01,8.20381,0.0398657,149.611,612.74,100,-4208.21,875.202,644.513,1135.26,-6435.44,447.449,1151.93,-276.728
48,0.100661,-3330.99,10.2256,0.0265772,152.738,763.914,100,-4208.74,877.752,645.422,1135.06,-6436.02,446.79,1155.28,-277.528
49,0.0873873,-3329.01,12.2067,0.0132886,143.17,911.868,100,-4209.38,880.367,646.375,1134.69,-6436.56,446.117,1158.67,-278.302
50,0.0741047,-3327.43,13.7874,0,118.58,1042.74,100,-4210.12,882.687,647.283,1134.14,-6437.03,445.489,1161.67,-278.98
51,0.0608104,-3325.92,15.2999,-0.0132886,81.4337,1142.75,100,-4210.89,884.977,648.079,1133.43,-6437.36,444.966,1164.47,-279.495
52,0.0475048,-3325.13,16.0836,-0.0265772,36.346,1201.64,100,-4211.66,886.531,648.664,1132.61,-6437.54,444.601,1166.32,-279.791
53,0.03419,-3324.9,16.3152,-0.0398657,-13.1653,1213.23,100,-4212.35,887.445,648.988,1131.78,-6437.54,444.432,1167.29,-279.842
54,0.0208678,-3325.39,15.8219,-0.0531543,-61.3932,1175.95,100,-4212.87,887.476,649.002,1131.02,-6437.37,444.476,1167.12,-279.647
55,0.00754219,-3326.57,14.6447,-0.0664429,-102.824,1093.84,100,-4213.16,886.593,648.697,1130.44,-6437.03,444.731,1165.81,-279.219
56,-0.00578263,-3327.98,13.2339,-0.0797315,-134.411,975.224,100,-4213.16,885.18,648.144,1130.1,-6436.57,445.166,1163.79,-278.607
57,-0.0191035,-3329.89,11.3217,-0.0930201,-151.05,832.494,100,-4212.88,882.987,647.364,1130.05,-6436.03,445.734,1160.86,-277.872
