step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3810,234.689,0.41774,-0.000233514,-1.91386e-005,-0.605215,-0.0536794,-0.00365063,0.4723,-0.206722,-0.470034,-2.57735,-0.0558789,0.000535147,0.0545866,0.614663,0.630236,1
3820,227.699,0.414119,-0.000258559,-7.9873e-005,-0.605542,-0.0536807,-0.00365087,0.469273,-0.195118,-0.49919,-2.63691,-0.0552883,0.000374306,0.0551766,0.614676,0.630252,1
3830,241.954,0.410533,-0.000282726,-0.000144237,-0.605876,-0.053682,-0.00365143,0.466244,-0.19237,-0.53049,-2.69982,-0.055078,1.83074e-005,0.0557297,0.614798,0.63043,1
3840,299.724,0.407038,-0.000288829,-0.000219401,-0.606223,-0.0536834,-0.00365233,0.463214,0.0986888,-0.743526,-2.98462,-0.0554245,-9.89847e-005,0.056195,0.61505,0.630824,1
3850,328.191,0.403867,-0.000282181,-0.00032377,-0.606614,-0.0536849,-0.00365368,0.460182,0.0453037,-0.887913,-3.21149,-0.0560348,0.000293372,0.0563409,0.615233,0.631109,1
3860,344.372,0.400354,-0.000274897,-0.00043904,-0.607022,-0.0536863,-0.00365559,0.457148,0.0718648,-0.952974,-3.31037,-0.0565323,0.00111765,0.0568322,0.615259,0.631135,1
3870,344.107,0.39657,-0.000263976,-0.000562466,-0.607444,-0.0536876,-0.00365809,0.454112,0.103,-1.01966,-3.42294,-0.0567142,0.00203381,0.0575942,0.615263,0.631155,1
3880,320.327,0.392448,-0.000249319,-0.000694197,-0.607878,-0.0536889,-0.00366122,0.451073,0.130082,-1.08606,-3.51152,-0.0565903,0.00274402,0.0586883,0.615306,0.631341,1
3890,277.741,0.388455,-0.000231575,-0.000834727,-0.608323,-0.0536901,-0.00366504,0.448033,0.152655,-1.15921,-3.60262,-0.0559631,0.00295794,0.0596406,0.615379,0.631615,1
3900,248.736,0.384358,-0.000211282,-0.000983769,-0.608778,-0.0536912,-0.00366959,0.44499,0.172325,-1.22037,-3.67551,-0.0550238,0.00265191,0.0606861,0.615432,0.63179,1
3910,243.594,0.380389,-0.000188008,-0.00113976,-0.609244,-0.0536922,-0.00367489,0.441945,0.200294,-1.26817,-3.76422,-0.0544978,0.00187811,0.061597,0.615458,0.631924,1
3920,234.743,0.376417,-0.000159531,-0.00130029,-0.609722,-0.0536931,-0.00368099,0.438898,0.32434,-1.30689,-3.9572,-0.0547498,0.000649688,0.0625068,0.615458,0.631924,1
3930,222.163,0.372903,-0.000117772,-0.001465,-0.610222,-0.0536938,-0.0036879,0.435848,0.33995,-1.32321,-4.03022,-0.0550213,-0.000990923,0.0629571,0.615462,0.63198,1
3940,220.003,0.369681,-7.52941e-005,-0.00163075,-0.610729,-0.0536943,-0.00369564,0.432795,0.337309,-1.32419,-4.07875,-0.054836,-0.00227766,0.0631184,0.615462,0.63198,1
3950,223.789,0.366681,-3.3317e-005,-0.00179635,-0.611244,-0.0536945,-0.00370421,0.42974,0.333095,-1.31937,-4.14963,-0.0546821,-0.00249924,0.0630623,0.615467,0.632042,1
3960,227.647,0.363383,7.8658e-006,-0.00196037,-0.611769,-0.0536946,-0.0037136,0.426683,0.324665,-1.30176,-4.25093,-0.0552678,-0.0018963,0.0633076,0.615485,0.632156,1
3970,236.044,0.359918,4.47706e-005,-0.00211447,-0.612321,-0.0536945,-0.0037238,0.423623,0.272267,-1.18596,-4.53329,-0.0562924,-0.00147234,0.0637215,0.615513,0.632264,1
3980,227.186,0.356461,8.06184e-005,-0.00225012,-0.612912,-0.0536941,-0.00373472,0.42056,0.276444,-1.05139,-4.82499,-0.0571611,-0.00156474,0.0641225,0.615529,0.632384,1
3990,234.771,0.353385,0.000113619,-0.00238011,-0.613527,-0.0536937,-0.00374629,0.417494,0.251362,-1.02695,-4.99205,-0.0575467,-0.00158018,0.0641362,0.615538,0.632489,1
4000,276.858,0.35038,0.000132772,-0.00249972,-0.614177,-0.053693,-0.0037585,0.414424,0.054338,-0.953977,-5.39124,-0.0576443,-0.000917341,0.0640783,0.615539,0.632512,1
4010,297.442,0.347086,0.000145428,-0.00261281,-0.614875,-0.0536923,-0.00377128,0.411352,0.115338,-0.893281,-5.68353,-0.0577185,0.000183947,0.0643114,0.615539,0.632512,1
