step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
960	282.466	-713.309	-480.801	-713.309	0	0	0	0	0	
970	268.367	-703.299	-482.396	-703.299	0	0	0	0	0	
980	249.728	-685.227	-479.667	-685.227	0	0	0	0	0	
990	237.444	-666.698	-471.249	-666.698	0	0	0	0	0	
1000	232.971	-652.215	-460.448	-652.215	0	0	0	0	0	
1010	214.962	-634.516	-457.572	-634.516	0	0	0	0	0	
1020	199.76	-618.191	-453.761	-618.191	0	0	0	0	0	
1030	196.646	-611.379	-449.512	-611.379	0	0	0	0	0	
1040	188.65	-600.33	-445.045	-600.33	0	0	0	0	0	
1050	190.337	-597.128	-440.455	-597.128	0	0	0	0	0	
1060	193.384	-595.211	-436.03	-595.211	0	0	0	0	0	
1070	186.924	-585.378	-431.514	-585.378	0	0	0	0	0	
1080	191.785	-584.715	-426.849	-584.715	0	0	0	0	0	
1090	198.503	-585.867	-422.472	-585.867	0	0	0	0	0	
1100	203.831	-586.383	-418.602	-586.383	0	0	0	0	0	
1110	209.057	-586.841	-414.759	-586.841	0	0	0	0	0	
1120	211.91	-585.764	-411.333	-585.764	0	0	0	0	0	
1130	204.261	-575.831	-407.697	-575.831	0	0	0	0	0	
1140	203.205	-570.973	-403.707	-570.973	0	0	0	0	0	
1150	206.146	-569.36	-399.674	-569.36	0	0	0	0	0	
1160	224.567	-581.012	-396.163	-581.012	0	0	0	0	0	
1170	255.488	-603.81	-393.509	-603.81	0	0	0	0	0	
1180	272.645	-616.61	-392.186	-616.61	0	0	0	0	0	
1190	283.233	-624.444	-391.304	-624.444	0	0	0	0	0	
1200	281.655	-622.211	-390.371	-622.211	0	0	0	0	0	
1210	287.21	-626.096	-389.682	-626.096	0	0	0	0	0	
1220	293.621	-630.809	-389.118	-630.809	0	0	0	0	0	
1230	304.174	-639.488	-389.111	-639.488	0	0	0	0	0	
1240	321.826	-654.398	-389.491	-654.398	0	0	0	0	0	
1250	337.762	-668.789	-390.765	-668.789	0	0	0	0	0	
1260	346.058	-677.187	-392.334	-677.187	0	0	0	0	0	
1270	346.911	-679.67	-394.115	-679.67	0	0	0	0	0	
1280	341.582	-677.198	-396.03	-677.198	0	0	0	0	0	
1290	331.851	-670.791	-397.632	-670.791	0	0	0	0	0	
1300	335.575	-675.239	-399.014	-675.239	0	0	0	0	0	
1310	331.989	-673.654	-400.382	-673.654	0	0	0	0	0	
1320	325.841	-669.723	-401.512	-669.723	0	0	0	0	0	
1330	314.997	-661.81	-402.525	-661.81	0	0	0	0	0	
1340	288.762	-640.37	-402.68	-640.37	0	0	0	0	0	
1350	255.29	-611.565	-401.426	-611.565	0	0	0	0	0	
1360	212.545	-573.541	-398.588	-573.541	0	0	0	0	0	
1370	176.453	-539.572	-394.327	-539.572	0	0	0	0	0	
