step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,
0,0.00289361,-8153.4,-8153.39,-1,0,-0.106673,0,
10,3.28461,-8171.46,-8164.45,-1,0,-0.106678,0.00422756,
20,5.52122,-8188.32,-8176.54,-1,0,-0.106684,0.00845511,
30,6.59108,-8206.53,-8192.48,-1,0,-0.10668,0.0126827,
40,7.55778,-8222.15,-8206.03,-1,0,-0.106666,0.0169102,
50,8.36382,-8235.44,-8217.6,-1,0,-0.106634,0.0211378,
60,8.76246,-8248.89,-8230.2,-1,0,-0.106557,0.0253653,
70,8.64948,-8261.31,-8242.86,-1,0,-0.106406,0.0295928,
80,7.65518,-8270.22,-8253.89,-1,0,-0.106208,0.0338203,
90,6.74854,-8278.39,-8263.99,-1,0,-0.106083,0.0380479,
100,6.1902,-8286.78,-8273.58,-1,0,-0.106113,0.0422754,
110,7.2757,-8294.05,-8278.53,-1,0,-0.106218,0.0465028,
120,7.64963,-8300.56,-8284.25,-1,0,-0.106228,0.0507303,
130,7.64867,-8307,-8290.69,-1,0,-0.106112,0.0549578,
140,7.71457,-8313.02,-8296.57,-1,0,-0.106015,0.0591852,
150,7.76157,-8317.94,-8301.39,-1,0,-0.105994,0.0634126,
160,7.7357,-8322.28,-8305.79,-1,0,-0.105941,0.06764,
170,7.63316,-8326.32,-8310.04,-1,0,-0.105816,0.0718674,
180,7.44424,-8331.39,-8315.51,-1,0,-0.105721,0.0760948,
190,7.16843,-8336.49,-8321.21,-1,0,-0.105693,0.0803221,
200,6.86604,-8342.32,-8327.67,-1,0,-0.105627,0.0845494,
210,8.95878,-8348.65,-8329.55,-1,0,-0.105477,0.0887767,
220,10.5375,-8354.1,-8331.63,-1,0,-0.105334,0.093004,
230,11.812,-8359.81,-8334.62,-1,0,-0.105239,0.0972312,
240,12.92,-8366.53,-8338.97,-1,0,-0.105118,0.101458,
250,14.0607,-8372.32,-8342.33,-1,0,-0.104961,0.105686,
260,15.3789,-8380.13,-8347.33,-1,0,-0.104853,0.109913,
270,16.8326,-8388.53,-8352.63,-1,0,-0.104787,0.11414,
280,18.481,-8398.12,-8358.71,-1,0,-0.104682,0.118367,
290,20.3058,-8408.67,-8365.36,-1,0,-0.104546,0.122594,
300,21.5566,-8418.66,-8372.69,-1,0,-0.104448,0.126821,
310,25.9231,-8433.74,-8378.45,-1,0,-0.104384,0.131048,
320,29.2385,-8447.99,-8385.64,-1,0,-0.104299,0.135275,
330,31.6519,-8464.24,-8396.74,-1,0,-0.104201,0.139502,
340,33.2506,-8480.29,-8409.38,-1,0,-0.104131,0.143729,
350,34.0223,-8496.07,-8423.51,-1,0,-0.1041,0.147955,
360,34.1966,-8511.33,-8438.4,-1,0,-0.104092,0.152182,
370,33.7891,-8525.11,-8453.05,-1,0,-0.104072,0.156409,
380,33.25,-8538.91,-8468,-1,0,-0.103983,0.160636,
