step,T,Epot,Efull,SolventMolsThroughZ,
6.15e-013,276.543,-10429.6,-6611.6,0,
6.2e-013,278.569,-10442.1,-6596.11,0,
6.25e-013,278.332,-10424.1,-6581.42,0,
6.3e-013,275.577,-10370.3,-6565.67,0,
6.35e-013,273.829,-10328.7,-6548.2,0,
6.4e-013,273.512,-10306.4,-6530.26,0,
6.45e-013,273.975,-10295.1,-6512.58,0,
6.5e-013,274.803,-10288.9,-6494.93,0,
6.55e-013,276.949,-10302.1,-6478.45,0,
6.6e-013,279.315,-10319.9,-6463.62,0,
6.65e-013,282.007,-10343.9,-6450.41,0,
6.7e-013,286.398,-10393.5,-6439.43,0,
6.75e-013,291.541,-10457,-6431.88,0,
6.8e-013,292.33,-10462.6,-6426.61,0,
6.85e-013,291.074,-10439.5,-6420.88,0,
6.9e-013,291.821,-10444,-6415.07,0,
6.95e-013,290.849,-10424.8,-6409.3,0,
7e-013,287.17,-10366.7,-6402,0,
7.05e-013,283.6,-10307.5,-6392.06,0,
7.1e-013,283.347,-10292.7,-6380.79,0,
7.15e-013,285.932,-10317.9,-6370.27,0,
7.2e-013,289.119,-10353.9,-6362.21,0,
7.25e-013,289.291,-10349.6,-6355.54,0,
7.3e-013,287.915,-10323.4,-6348.41,0,
7.35e-013,287.933,-10315.3,-6340.04,0,
7.4e-013,289.688,-10332,-6332.48,0,
7.45e-013,290.576,-10337.6,-6325.87,0,
7.5e-013,291.359,-10342.5,-6319.97,0,
7.55e-013,293.629,-10369,-6315.1,0,
7.6e-013,297.199,-10415.7,-6312.47,0,
7.65e-013,299.304,-10444.5,-6312.25,0,
7.7e-013,300.525,-10462.2,-6313.06,0,
7.75e-013,300.276,-10459.6,-6313.93,0,
7.8e-013,297.884,-10426.4,-6313.71,0,
7.85e-013,294.751,-10380.7,-6311.32,0,
7.9e-013,292.73,-10348.5,-6307.02,0,
7.95e-013,291.878,-10331.5,-6301.76,0,
8e-013,291.025,-10313.9,-6295.98,0,
8.05e-013,287.894,-10263.7,-6288.95,0,
8.1e-013,284.01,-10200.4,-6279.34,0,
8.15e-013,282.014,-10161.1,-6267.54,0,
8.2e-013,282.39,-10153.8,-6255.11,0,
8.25e-013,284.387,-10169.9,-6243.61,0,
8.3e-013,285.957,-10181.3,-6233.32,0,
8.35e-013,286.861,-10184.5,-6224.03,0,
8.4e-013,286.173,-10165.8,-6214.79,0,
8.45e-013,285.584,-10147.8,-6204.94,0,
8.5e-013,287.939,-10170.9,-6195.59,0,
8.55e-013,290.207,-10194.9,-6188.2,0,
8.6e-013,289.316,-10175.6,-6181.2,0,
8.65e-013,289.247,-10167.1,-6173.69,0,
8.7e-013,291.545,-10192.4,-6167.28,0,
8.75e-013,292.871,-10206.3,-6162.9,0,
8.8e-013,290.303,-10166.6,-6158.6,0,
8.85e-013,287.093,-10115.8,-6152.12,0,
8.9e-013,286.072,-10093.7,-6144.11,0,
8.95e-013,286.731,-10094.8,-6136.09,0,
9e-013,287.759,-10101.1,-6128.19,0,
9.05e-013,289.172,-10113.1,-6120.77,0,
9.1e-013,289.53,-10111.1,-6113.76,0,
9.15e-013,289.118,-10098.2,-6106.59,0,
9.2e-013,290.934,-10116.1,-6099.44,0,
9.25e-013,297.67,-10205.6,-6095.9,0,
9.3e-013,301.209,-10255.4,-6096.8,0,
9.35e-013,298.096,-10214.3,-6098.67,0,
9.4e-013,293.183,-10146.3,-6098.59,0,
9.45e-013,288.374,-10077.2,-6095.85,0,
9.5e-013,282.334,-9987.22,-6089.26,0,
9.55e-013,280.453,-9950.88,-6078.87,0,
9.6e-013,281.445,-9952.33,-6066.63,0,
9.65e-013,281.968,-9948.05,-6055.13,0,
9.7e-013,282.413,-9942.4,-6043.35,0,
9.75e-013,286.606,-9989.68,-6032.72,0,
9.8e-013,289.264,-10017.9,-6024.29,0,
9.85e-013,294.047,-10078.1,-6018.4,0,
9.9e-013,298.51,-10138.2,-6016.87,0,
9.95e-013,299.036,-10145.7,-6017.1,0,
1e-012,300.6,-10168.5,-6018.34,0,
1.005e-012,301.176,-10179,-6020.93,0,
1.01e-012,300.035,-10165.7,-6023.34,0,
1.015e-012,298.316,-10142.1,-6023.51,0,
1.02e-012,297.094,-10124,-6022.26,0,
1.025e-012,294.585,-10087,-6019.85,0,
1.03e-012,292.508,-10054.1,-6015.68,0,
1.035e-012,294.341,-10075.1,-6011.32,0,
1.04e-012,297.231,-10113,-6009.37,0,
1.045e-012,295.289,-10084.1,-6007.28,0,
1.05e-012,292.847,-10046.8,-6003.71,0,
1.055e-012,293,-10043.8,-5998.61,0,
1.06e-012,296.742,-10092.3,-5995.39,0,
1.065e-012,295.439,-10072.5,-5993.54,0,
1.07e-012,292.752,-10031.8,-5990.01,0,
1.075e-012,294.504,-10052.8,-5986.83,0,
1.08e-012,290.559,-9994.82,-5983.29,0,
1.085e-012,288.936,-9965.7,-5976.59,0,
1.09e-012,290.667,-9983.38,-5970.36,0,
1.095e-012,292.169,-9999.31,-5965.55,0,
1.1e-012,292.701,-10003,-5961.89,0,
1.105e-012,292.717,-9999.04,-5957.72,0,
1.11e-012,293.936,-10012.2,-5954.05,0,
1.115e-012,292.864,-9993.66,-5950.31,0,
1.12e-012,287.565,-9914.54,-5944.35,0,
1.125e-012,283.809,-9853.18,-5934.84,0,
1.13e-012,284.925,-9857.28,-5923.54,0,
1.135e-012,291.814,-9944.17,-5915.32,0,
1.14e-012,295.758,-9994.35,-5911.04,0,
1.145e-012,301.262,-10068.8,-5909.46,0,
1.15e-012,308.419,-10171.2,-5913.13,0,
1.155e-012,306.22,-10146.5,-5918.72,0,
1.16e-012,302.93,-10104.5,-5922.15,0,
1.165e-012,300.185,-10067.9,-5923.49,0,
1.17e-012,297.028,-10023.6,-5922.71,0,
1.175e-012,296.111,-10008.2,-5920.07,0,
1.18e-012,299.267,-10050.2,-5918.45,0,
1.185e-012,300.066,-10061.2,-5918.44,0,
1.19e-012,296.36,-10009.2,-5917.55,0,
1.195e-012,291.579,-9938.83,-5913.23,0,
1.2e-012,291.864,-9937.07,-5907.53,0,
1.205e-012,290.183,-9907.84,-5901.5,0,
1.21e-012,290.144,-9900.49,-5894.7,0,
1.215e-012,291.893,-9918.97,-5889.02,0,
1.22e-012,293.37,-9935.06,-5884.73,0,
1.225e-012,293.635,-9935.87,-5881.87,0,
1.23e-012,294.321,-9942.87,-5879.41,0,
1.235e-012,294.167,-9937.72,-5876.38,0,
1.24e-012,294.917,-9945.22,-5873.53,0,
1.245e-012,292.979,-9915.19,-5870.25,0,
1.25e-012,288.718,-9849.99,-5863.88,0,
1.255e-012,290.76,-9871.06,-5856.75,0,
1.26e-012,290.647,-9863.21,-5850.46,0,
1.265e-012,290.01,-9847.86,-5843.91,0,
1.27e-012,289.255,-9830.17,-5836.65,0,
1.275e-012,290.649,-9842.55,-5829.78,0,
1.28e-012,292.989,-9869.72,-5824.64,0,
1.285e-012,290.422,-9829.07,-5819.44,0,
1.29e-012,288.945,-9801.2,-5811.96,0,
1.295e-012,291.498,-9829.72,-5805.22,0,
1.3e-012,292.734,-9841.3,-5799.74,0,
1.305e-012,294.982,-9867.99,-5795.4,0,
1.31e-012,299.143,-9923.34,-5793.3,0,
1.315e-012,301.267,-9953.07,-5793.7,0,
1.32e-012,299.405,-9927.9,-5794.23,0,
1.325e-012,294.963,-9864.73,-5792.4,0,
1.33e-012,296.221,-9878.61,-5788.91,0,
1.335e-012,297.014,-9887.48,-5786.83,0,
1.34e-012,301.08,-9942.48,-5785.7,0,
1.345e-012,306.067,-10014.4,-5788.78,0,
1.35e-012,305.29,-10009.1,-5794.21,0,
1.355e-012,298.18,-9913.06,-5796.32,0,
1.36e-012,294.636,-9862.16,-5794.35,0,
1.365e-012,295.833,-9876.87,-5792.52,0,
1.37e-012,301.957,-9962.23,-5793.34,0,
1.375e-012,307.99,-10051.8,-5799.64,0,
1.38e-012,309.714,-10085.7,-5809.73,0,
1.385e-012,304.301,-10018.7,-5817.44,0,
1.39e-012,295.101,-9892.76,-5818.53,0,
1.395e-012,292.958,-9859.69,-5815.04,0,
1.4e-012,291.798,-9840.03,-5811.39,0,
1.405e-012,291.323,-9829.26,-5807.19,0,
1.41e-012,290.378,-9811.24,-5802.21,0,
1.415e-012,289.621,-9794.06,-5795.48,0,
1.42e-012,290.258,-9796.07,-5788.7,0,
1.425e-012,290.557,-9793.43,-5781.93,0,
1.43e-012,290.876,-9791.58,-5775.68,0,
1.435e-012,291.143,-9789.48,-5769.89,0,
1.44e-012,291.494,-9788.42,-5763.99,0,
1.445e-012,293.36,-9809.15,-5758.95,0,
1.45e-012,293.09,-9801.5,-5755.03,0,
1.455e-012,289.875,-9751.04,-5748.96,0,
1.46e-012,295.009,-9816.46,-5743.5,0,
1.465e-012,298.67,-9865.34,-5741.83,0,
1.47e-012,296.091,-9828.21,-5740.31,0,
1.475e-012,292.718,-9777.8,-5736.46,0,
1.48e-012,291.189,-9751.56,-5731.33,0,
1.485e-012,285.884,-9670.94,-5723.96,0,
1.49e-012,285.714,-9658.98,-5714.34,0,
1.495e-012,291.811,-9737.83,-5709.02,0,
1.5e-012,290.821,-9720,-5704.86,0,
1.505e-012,289.352,-9694.83,-5699.97,0,
1.51e-012,293.113,-9744.56,-5697.77,0,
1.515e-012,293.972,-9757.09,-5698.44,0,
1.52e-012,292.413,-9735.08,-5697.95,0,
1.525e-012,292.498,-9731.95,-5693.65,0,
1.53e-012,293.679,-9743.82,-5689.21,0,
1.535e-012,295.102,-9760.23,-5685.99,0,
1.54e-012,296.579,-9779.02,-5684.38,0,
1.545e-012,295.085,-9755.84,-5681.83,0,
1.55e-012,293.315,-9727.25,-5677.67,0,
1.555e-012,292.366,-9709.45,-5672.96,0,
1.56e-012,291.023,-9684.99,-5667.06,0,
1.565e-012,293.391,-9712.95,-5662.32,0,
1.57e-012,294.521,-9725.75,-5659.53,0,
1.575e-012,296.617,-9751.7,-5656.54,0,
1.58e-012,302.216,-9828.82,-5656.35,0,
1.585e-012,299.488,-9792.33,-5657.52,0,
1.59e-012,299.359,-9790.58,-5657.56,0,
1.595e-012,303.788,-9853.03,-5658.86,0,
1.6e-012,306.865,-9900.95,-5664.3,0,
1.605e-012,303.706,-9862.27,-5669.23,0,
1.61e-012,298.823,-9797.38,-5671.76,0,
1.615e-012,296.785,-9769.86,-5672.37,0,
1.62e-012,294.512,-9735.4,-5669.29,0,
1.625e-012,300.675,-9819.03,-5667.84,0,
1.63e-012,301.65,-9834.51,-5669.85,0,
1.635e-012,291.864,-9697.4,-5667.85,0,
1.64e-012,289.07,-9652.39,-5661.41,0,
1.645e-012,288.5,-9636.91,-5653.81,0,
1.65e-012,286.993,-9607.87,-5645.58,0,
1.655e-012,289.452,-9633.98,-5637.73,0,
1.66e-012,288.082,-9607.49,-5630.15,0,
1.665e-012,286.672,-9579.64,-5621.77,0,
1.67e-012,282.107,-9505.86,-5611.01,0,
1.675e-012,280.694,-9473.14,-5597.81,0,
1.68e-012,280.725,-9460.52,-5584.76,0,
1.685e-012,282.873,-9476.85,-5571.44,0,
1.69e-012,290.43,-9572.08,-5562.33,0,
1.695e-012,287.564,-9525.57,-5555.39,0,
1.7e-012,284.978,-9479.94,-5545.47,0,
1.705e-012,288.284,-9516.74,-5536.62,0,
1.71e-012,290.917,-9546.17,-5529.69,0,
1.715e-012,294.988,-9598.14,-5525.46,0,
1.72e-012,294.097,-9582.35,-5521.98,0,
1.725e-012,294.311,-9580.82,-5517.49,0,
1.73e-012,299.078,-9644.5,-5515.35,0,
1.735e-012,296.663,-9610.68,-5514.88,0,
1.74e-012,291.301,-9533.42,-5511.65,0,
1.745e-012,288.546,-9489.12,-5505.39,0,
1.75e-012,285.916,-9444.56,-5497.13,0,
1.755e-012,285.302,-9425.57,-5486.62,0,
1.76e-012,295.331,-9557.64,-5480.23,0,
1.765e-012,296.92,-9578.28,-5478.94,0,
