step,T,Epot,Efull,SolventMolsThroughZ,
6.05e-013,68.0749,-12436.1,-11496.2,0,
6.1e-013,69.362,-12436.9,-11479.3,0,
6.15e-013,70.154,-12436.3,-11467.7,0,
6.2e-013,70.6522,-12434.9,-11459.5,0,
6.25e-013,70.9025,-12432.2,-11453.3,0,
6.3e-013,70.974,-12427.8,-11447.9,0,
6.35e-013,71.0343,-12423.5,-11442.8,0,
6.4e-013,71.0425,-12418.6,-11437.8,0,
6.45e-013,71.1127,-12414.8,-11433,0,
6.5e-013,71.182,-12411.4,-11428.6,0,
6.55e-013,73.0879,-12407.2,-11398.2,0,
6.6e-013,74.3864,-12403,-11376,0,
6.65e-013,75.2366,-12398.2,-11359.5,0,
6.7e-013,75.7184,-12391.8,-11346.4,0,
6.75e-013,76.0621,-12385.6,-11335.4,0,
6.8e-013,76.2778,-12379,-11325.9,0,
6.85e-013,76.4207,-12372.5,-11317.4,0,
6.9e-013,76.5111,-12365.8,-11309.4,0,
6.95e-013,76.566,-12358.9,-11301.8,0,
7e-013,76.6409,-12352.7,-11294.6,0,
7.05e-013,78.6305,-12347.1,-11261.5,0,
7.1e-013,80.0282,-12342,-11237.1,0,
7.15e-013,81.0258,-12337.8,-11219.1,0,
7.2e-013,81.7378,-12333.9,-11205.4,0,
7.25e-013,82.2571,-12330.7,-11195,0,
7.3e-013,82.6354,-12327.8,-11186.9,0,
7.35e-013,82.8987,-12325,-11180.5,0,
7.4e-013,83.1071,-12322.7,-11175.3,0,
7.45e-013,83.2614,-12320.6,-11171,0,
7.5e-013,83.3634,-12318.3,-11167.4,0,
7.55e-013,85.3816,-12316.9,-11138.1,0,
7.6e-013,86.7625,-12315.5,-11117.6,0,
7.65e-013,87.6754,-12313.6,-11103.1,0,
7.7e-013,88.3474,-12312.5,-11092.8,0,
7.75e-013,88.7756,-12310.9,-11085.3,0,
7.8e-013,89.0314,-12308.8,-11079.6,0,
7.85e-013,89.2767,-12307.7,-11075.2,0,
7.9e-013,89.4656,-12307,-11071.8,0,
