step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
83,-0.33,565.939,-2.48307,-0.325363,11.5517,0.00463664
84,-0.34,566.058,-2.36382,-0.335272,12.1192,0.00472838
85,-0.35,566.179,-2.24243,-0.34518,12.0554,0.00482012
86,-0.36,566.298,-2.1238,-0.355088,11.6173,0.00491186
87,-0.37,566.411,-2.01074,-0.364996,10.9706,0.00500361
88,-0.38,566.549,-1.87239,-0.374905,9.97484,0.00509535
89,-0.39,566.645,-1.7765,-0.384813,9.20827,0.0051871
90,-0.4,566.78,-1.64191,-0.394721,8.09361,0.00527884
91,-0.41,566.873,-1.5484,-0.404629,7.26046,0.00537057
92,-0.42,566.958,-1.46384,-0.414538,6.48732,0.00546232
93,-0.43,567.02,-1.40206,-0.424446,5.88376,0.00555407
94,-0.44,567.123,-1.29914,-0.434354,4.96805,0.00564581
95,-0.45,567.202,-1.21975,-0.444262,4.24175,0.00573755
96,-0.46,567.242,-1.17949,-0.454171,3.82487,0.00582929
97,-0.47,567.279,-1.14318,-0.464079,3.44803,0.00592104
98,-0.48,567.311,-1.11045,-0.473987,3.10833,0.00601278
99,-0.49,567.357,-1.06489,-0.483895,2.66231,0.00610452
