frame(num),distance (nm)
291.000000,-0.598598
292.000000,-0.583849
293.000000,-0.602821
294.000000,-0.583643
295.000000,-0.602360
296.000000,-0.607045
297.000000,-0.597917
298.000000,-0.585771
299.000000,-0.601698
300.000000,-0.595318
301.000000,-0.600135
302.000000,-0.607811
303.000000,-0.618287
304.000000,-0.611216
305.000000,-0.630390
306.000000,-0.625002
307.000000,-0.612720
308.000000,-0.627360
309.000000,-0.618357
310.000000,-0.618614
311.000000,-0.630488
312.000000,-0.631596
313.000000,-0.630291
314.000000,-0.636639
315.000000,-0.642457
316.000000,-0.640582
317.000000,-0.660175
318.000000,-0.655970
319.000000,-0.654384
320.000000,-0.664986
321.000000,-0.656122
322.000000,-0.651915
323.000000,-0.671173
324.000000,-0.671094
325.000000,-0.679393
326.000000,-0.687746
327.000000,-0.688106
328.000000,-0.694910
329.000000,-0.700117
330.000000,-0.701300
331.000000,-0.705492
332.000000,-0.710381
333.000000,-0.708084
334.000000,-0.723348
335.000000,-0.722326
336.000000,-0.733011
337.000000,-0.718666
338.000000,-0.723074
339.000000,-0.732355
340.000000,-0.734587
341.000000,-0.722636
342.000000,-0.733545
343.000000,-0.734854
344.000000,-0.728082
345.000000,-0.735767
346.000000,-0.738081
347.000000,-0.748822
348.000000,-0.763121
349.000000,-0.759316
350.000000,-0.761221
351.000000,-0.754716
352.000000,-0.752103
353.000000,-0.744515
354.000000,-0.748440
355.000000,-0.748193
356.000000,-0.754844
357.000000,-0.756460
358.000000,-0.757546
359.000000,-0.756474
360.000000,-0.752006
361.000000,-0.760958
362.000000,-0.754674
363.000000,-0.755595
364.000000,-0.754072
365.000000,-0.745817
366.000000,-0.752680
367.000000,-0.761317
368.000000,-0.763941
369.000000,-0.768088
370.000000,-0.771082
371.000000,-0.781941
372.000000,-0.788080
373.000000,-0.783035
374.000000,-0.789685
375.000000,-0.793792
376.000000,-0.790529
377.000000,-0.798874
378.000000,-0.794310
379.000000,-0.791641
380.000000,-0.793640
381.000000,-0.793510
382.000000,-0.800326
383.000000,-0.807961
384.000000,-0.815432
385.000000,-0.817539
386.000000,-0.819846
387.000000,-0.820856
388.000000,-0.817589
389.000000,-0.832031
390.000000,-0.824294
391.000000,-0.829531
392.000000,-0.830991
393.000000,-0.834742
394.000000,-0.844920
395.000000,-0.834867
396.000000,-0.843846
397.000000,-0.850769
398.000000,-0.861000
399.000000,-0.858121
400.000000,-0.862019
401.000000,-0.864705
402.000000,-0.865192
403.000000,-0.847807
404.000000,-0.850586
405.000000,-0.848773
406.000000,-0.853595
407.000000,-0.865192
408.000000,-0.880182
409.000000,-0.872169
410.000000,-0.871266
411.000000,-0.882019
412.000000,-0.880562
413.000000,-0.885143
414.000000,-0.886257
415.000000,-0.879262
416.000000,-0.871811
417.000000,-0.883042
418.000000,-0.880601
419.000000,-0.885290
420.000000,-0.886728
421.000000,-0.897136
422.000000,-0.892975
423.000000,-0.898071
424.000000,-0.895417
425.000000,-0.894660
426.000000,-0.900063
427.000000,-0.893450
428.000000,-0.902746
429.000000,-0.898841
430.000000,-0.903983
431.000000,-0.900536
432.000000,-0.902906
433.000000,-0.895666
434.000000,-0.899614
435.000000,-0.903816
436.000000,-0.913297
437.000000,-0.917647
438.000000,-0.910148
439.000000,-0.908341
440.000000,-0.909072
441.000000,-0.910220
442.000000,-0.912947
443.000000,-0.905149
444.000000,-0.911823
445.000000,-0.912239
446.000000,-0.913465
447.000000,-0.919832
448.000000,-0.925777
449.000000,-0.923278
450.000000,-0.923131
451.000000,-0.918067
452.000000,-0.919104
453.000000,-0.915578
454.000000,-0.914702
455.000000,-0.904808
456.000000,-0.911581
457.000000,-0.917258
458.000000,-0.927602
459.000000,-0.924031
460.000000,-0.936911
461.000000,-0.931264
462.000000,-0.929601
463.000000,-0.930654
464.000000,-0.932919
465.000000,-0.932251
466.000000,-0.935795
467.000000,-0.932574
468.000000,-0.937175
469.000000,-0.945305
470.000000,-0.939205
471.000000,-0.945063
472.000000,-0.946966
473.000000,-0.953261
474.000000,-0.951034
475.000000,-0.953261
476.000000,-0.949564
477.000000,-0.959470
478.000000,-0.962181
479.000000,-0.954548
480.000000,-0.957345
481.000000,-0.971281
482.000000,-0.978958
483.000000,-0.978916
484.000000,-0.984494
485.000000,-0.988631
486.000000,-0.991087
487.000000,-0.996118
488.000000,-0.990732
489.000000,-0.997279
490.000000,-1.006449
491.000000,-1.001067
492.000000,-1.002639
493.000000,-1.012177
494.000000,-1.011777
495.000000,-1.013258
496.000000,-1.014795
497.000000,-1.007926
498.000000,-1.024238
499.000000,-1.016409
500.000000,-1.017085
501.000000,-1.016661
502.000000,-1.021762
503.000000,-1.016062
504.000000,-1.015519
505.000000,-1.010892
506.000000,-1.017745
507.000000,-1.024129
508.000000,-1.020351
509.000000,-1.019410
510.000000,-1.033658
511.000000,-1.022800
