"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"	Angle(1 0 2)	Angle-opt(1 0 2)	Angle(1 0 3)	Angle-opt(1 0 3)	Angle(1 0 4)	Angle-opt(1 0 4)	Angle(2 0 3)	Angle-opt(2 0 3)	Angle(2 0 4)	Angle-opt(2 0 4)	Angle(3 0 4)	Angle-opt(3 0 4)
-26.200000	53.452996	53.452996	0.000000	0.000000	53.452996	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	83.271219	-25.411369	109.471219	0.788631	120.478431	11.795843	120.478431	11.795843
-26.000000	52.694114	52.694114	0.000000	0.000000	52.694114	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	83.471219	-25.211369	109.471219	0.788631	120.414240	11.731652	120.414244	11.731656
-25.800000	51.939819	51.939819	0.000000	0.000000	51.939819	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	83.671218	-25.011370	109.471219	0.788631	120.349686	11.667098	120.349686	11.667098
-25.600000	51.190120	51.190120	0.000000	0.000000	51.190120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	83.871218	-24.811370	109.471219	0.788631	120.284762	11.602174	120.284766	11.602178
-25.400000	50.445049	50.445049	0.000000	0.000000	50.445049	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	84.071216	-24.611372	109.471219	0.788631	120.219479	11.536891	120.219477	11.536889
-25.200000	49.704598	49.704598	0.000000	0.000000	49.704598	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	84.271220	-24.411368	109.471219	0.788631	120.153827	11.471239	120.153826	11.471238
-25.000000	48.968824	48.968824	0.000000	0.000000	48.968824	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	84.471219	-24.211369	109.471219	0.788631	120.087815	11.405227	120.087816	11.405228
-24.800000	48.237737	48.237737	0.000000	0.000000	48.237737	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	84.671217	-24.011371	109.471219	0.788631	120.021444	11.338856	120.021445	11.338857
-24.600000	47.511340	47.511340	0.000000	0.000000	47.511340	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	84.871218	-23.811370	109.471219	0.788631	119.954713	11.272125	119.954714	11.272126
-24.400000	46.789670	46.789670	0.000000	0.000000	46.789670	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	85.071218	-23.611370	109.471219	0.788631	119.887624	11.205036	119.887628	11.205040
