step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
43,-0.0276753,-2240.13,1448.88,-0.0987346,35750,6,-4353.42,2113.3,720.01,944.705,-6503.64,485.501,2141.91,-28.6143
44,-0.0144825,-2893.94,795.07,-0.08557,4396.03,212,-4106.5,1212.56,803.328,1112.33,-6488.1,465.946,1262.51,-49.952
45,-0.000310091,-2541.62,1147.39,-0.0724054,13923.2,7,-4103.46,1561.84,809.263,1107.49,-6487.79,467.573,1611.95,-50.1122
46,0.0128213,-2325.65,1363.36,-0.0592408,18917.4,6,-4098.69,1773.04,815.19,1105.15,-6487.53,468.503,1823.23,-50.1916
47,0.025968,-2029.29,1659.71,-0.0460761,26218.3,6,-4089.27,2059.98,825.675,1102.39,-6487.1,469.761,2110.27,-50.2872
48,0.0391096,-1612.92,2076.09,-0.0329115,37045.5,6,-4072.39,2459.48,843.23,1099.37,-6486.41,471.422,2509.87,-50.3951
49,0.0522454,-1017.74,2671.27,-0.0197469,53018.9,6,-4044.9,3027.16,870.553,1096.38,-6485.36,473.528,3077.67,-50.5063
50,0.0653758,-160.005,3529,-0.00658231,76160.1,6,-4004.56,3844.55,909.473,1093.82,-6483.91,476.055,3895.16,-50.6093
51,0.0785021,1075.19,4764.19,0.00658231,108624,6,-3953.33,5028.51,957.922,1092.08,-6482.13,478.801,5079.2,-50.6912
52,0.0916279,2824.26,6513.27,0.0197469,151803,6,-3904.89,6729.07,1003.17,1091.3,-6480.48,481.128,6779.82,-50.7448
53,0.104761,-2878.95,810.058,0.0329115,-3005.61,403,-3929.98,1051.03,752.682,1357.87,-6497.28,456.742,1095.63,-44.6054
54,0.122819,2930.29,6619.3,0.0460761,20032.5,6,-2153.91,5084.2,2280.17,1504.38,-6425.48,487.018,5114.35,-30.1461
55,0.13901,4066.12,7755.13,0.0592408,12614.3,6,-2153.91,6220.03,2280.17,1504.38,-6425.48,487.018,6250.18,-30.1461
56,0.152174,4112.47,7801.48,0.0724054,-5846.62,6,-2153.91,6266.38,2280.17,1504.38,-6425.48,487.018,6296.53,-30.1461
57,0.165339,3910.97,7599.98,0.08557,-24263.9,6,-2013.51,5924.49,2399.89,1516.11,-6419.66,490.146,5953.9,-29.412
58,0.178624,-3393.65,295.357,0.0987346,-3800.54,311,-4174.07,780.422,662.261,1177.1,-6509.5,496.066,791.594,-11.1722
