step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,
4.4e-013,42.5434,-8343.13,-8259.3,-1,0,-0.0464834,
4.45e-013,43.2269,-8340.28,-8255.1,-1,0,-0.0451824,
4.5e-013,44.1192,-8338.84,-8251.9,-1,0,-0.0436285,
4.55e-013,47.2168,-8338.49,-8245.45,-1,0,-0.0415494,
4.6e-013,49.2879,-8337.75,-8240.62,-1,0,-0.0395709,
4.65e-013,51.2216,-8338.35,-8237.41,-1,0,-0.0380578,
4.7e-013,52.4489,-8339.45,-8236.1,-1,0,-0.0364443,
4.75e-013,53.8275,-8341.38,-8235.31,-1,0,-0.0343695,
4.8e-013,54.2906,-8342.24,-8235.26,-1,0,-0.032358,
4.85e-013,54.9117,-8344.56,-8236.36,-1,0,-0.0308365,
4.9e-013,55.183,-8346.11,-8237.37,-1,0,-0.0294348,
4.95e-013,54.8307,-8346.03,-8237.99,-1,0,-0.0277285,
5e-013,55.2328,-8347.5,-8238.66,-1,0,-0.0259394,
5.05e-013,57.0869,-8348.88,-8236.39,-1,0,-0.0244456,
5.1e-013,58.6812,-8350.98,-8235.34,-1,0,-0.0231529,
5.15e-013,59.2623,-8351.63,-8234.85,-1,0,-0.0217577,
5.2e-013,59.8066,-8353.08,-8235.23,-1,0,-0.0202722,
5.25e-013,59.5337,-8353.64,-8236.32,-1,0,-0.0189194,
5.3e-013,60.2001,-8355.66,-8237.04,-1,0,-0.0177064,
5.35e-013,60.1945,-8356.09,-8237.47,-1,0,-0.016518,
5.4e-013,61.1593,-8359,-8238.48,-1,0,-0.0154692,
5.45e-013,61.2883,-8361.24,-8240.46,-1,0,-0.0147568,
5.5e-013,62.8968,-8366.17,-8242.23,-1,0,-0.0142609,
5.55e-013,65.4956,-8370.05,-8240.99,-1,0,-0.0137341,
5.6e-013,67.132,-8373.88,-8241.59,-1,0,-0.0132558,
5.65e-013,67.8552,-8377.12,-8243.41,-1,0,-0.0130565,
5.7e-013,68.2398,-8379.56,-8245.09,0,1,-0.0130483,
5.75e-013,68.3749,-8381.9,-8247.16,0,1,-0.0129661,
5.8e-013,68.0093,-8382.84,-8248.82,0,1,-0.0127788,
5.85e-013,67.721,-8383.56,-8250.12,0,1,-0.0126215,
5.9e-013,66.0321,-8380.79,-8250.67,0,1,-0.0125613,
5.95e-013,64.9518,-8378.3,-8250.31,0,1,-0.0126241,
6e-013,63.0908,-8373.12,-8248.8,0,1,-0.0127838,
6.05e-013,64.3056,-8369.34,-8242.63,0,1,-0.0129027,
6.1e-013,64.4382,-8363.74,-8236.76,0,1,-0.0129849,
6.15e-013,65.9019,-8361.41,-8231.55,0,1,-0.0133015,
6.2e-013,67.0411,-8359.15,-8227.04,0,1,-0.0139086,
6.25e-013,68.5071,-8358.64,-8223.65,0,1,-0.01443,
6.3e-013,69.8178,-8359.11,-8221.53,0,1,-0.0147152,
6.35e-013,70.5724,-8359.22,-8220.15,0,1,-0.015148,
6.4e-013,70.9873,-8359.69,-8219.8,0,1,-0.0159166,
6.45e-013,71.3656,-8360.18,-8219.55,0,1,-0.0166724,
6.5e-013,71.7021,-8361.32,-8220.03,0,1,-0.0172421,
6.55e-013,74.2691,-8364.56,-8218.21,0,1,-0.0179058,
6.6e-013,75.7534,-8367.25,-8217.98,0,1,-0.018705,
6.65e-013,77.2903,-8369.22,-8216.92,0,1,-0.0192933,
6.7e-013,78.1948,-8371.92,-8217.84,0,1,-0.0196438,
6.75e-013,79.1227,-8376.06,-8220.15,0,1,-0.0201001,
6.8e-013,79.4676,-8378.94,-8222.34,0,1,-0.020669,
6.85e-013,80.0419,-8381.51,-8223.79,0,1,-0.0210407,
6.9e-013,80.6485,-8384.86,-8225.94,0,1,-0.0212517,
6.95e-013,80.8488,-8388.01,-8228.7,0,1,-0.0216217,
7e-013,81.2636,-8391.46,-8231.33,0,1,-0.0221516,
7.05e-013,81.7965,-8390.49,-8229.3,0,1,-0.0225883,
7.1e-013,82.03,-8389.47,-8227.83,0,1,-0.0229223,
7.15e-013,80.3523,-8384.01,-8225.68,0,1,-0.0233526,
7.2e-013,79.9215,-8380.19,-8222.7,0,1,-0.0238999,
7.25e-013,77.7892,-8372.12,-8218.83,0,1,-0.0243616,
7.3e-013,77.9437,-8368,-8214.41,0,1,-0.0246125,
7.35e-013,77.3422,-8362.26,-8209.86,0,1,-0.0247746,
7.4e-013,78.8373,-8361.08,-8205.73,0,1,-0.025045,
7.45e-013,79.2066,-8358.16,-8202.08,0,1,-0.0253738,
7.5e-013,80.7615,-8358.7,-8199.56,0,1,-0.0255266,
7.55e-013,82.5828,-8356.35,-8193.62,1,2,-0.0255176,
7.6e-013,84.2518,-8355.03,-8189.01,1,2,-0.0255979,
7.65e-013,84.642,-8352.13,-8185.34,1,2,-0.0257291,
7.7e-013,84.5221,-8347.73,-8181.18,1,2,-0.0256439,
7.75e-013,83.5313,-8342.49,-8177.88,1,2,-0.0254841,
7.8e-013,83.0499,-8336.54,-8172.89,1,2,-0.0255981,
7.85e-013,82.2062,-8329.63,-8167.64,1,2,-0.0257381,
7.9e-013,82.7159,-8325.53,-8162.54,1,2,-0.0253676,
7.95e-013,82.7889,-8320.61,-8157.47,1,2,-0.02463,
8e-013,84.5673,-8319.44,-8152.8,1,2,-0.0240107,
8.05e-013,87.3625,-8318.21,-8146.06,1,2,-0.0233574,
8.1e-013,90.8499,-8320.19,-8141.16,1,2,-0.0222892,
8.15e-013,94.1323,-8323.83,-8138.34,1,2,-0.0211004,
8.2e-013,97.3973,-8329.19,-8137.26,1,2,-0.0202123,
8.25e-013,100.52,-8337.15,-8139.07,1,2,-0.0193594,
8.3e-013,100.934,-8340.99,-8142.1,1,2,-0.0182155,
8.35e-013,101.313,-8345.24,-8145.6,1,2,-0.0170501,
8.4e-013,99.1163,-8344.43,-8149.11,1,2,-0.0161133,
