t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
1240.000000,298.000000,299.232173,-27.414866,101.393644,-10.493877,-827.917793,-425.975572,411.996528,743.781860,-183.429942,1142.294924
1240.500000,298.000000,298.794757,-26.305600,88.995093,3.549814,-911.616197,-506.320472,373.259646,771.857450,-79.309128,1188.953596
1241.000000,298.000000,298.498206,-21.627846,73.890403,13.928150,-1003.429961,-598.301650,329.382997,801.988766,30.289291,1234.762416
1241.500000,298.000000,298.423137,-13.428371,56.564441,20.207002,-1106.140304,-701.314323,279.871432,831.366852,142.157032,1279.142193
1242.000000,298.000000,298.508943,-2.056863,37.728839,22.366535,-1216.707132,-814.276830,224.389337,859.690030,252.939389,1321.465280
1242.500000,298.000000,298.593801,11.866352,18.266921,20.791188,-1333.399874,-935.613313,162.777631,884.806638,359.225635,1361.040466
1243.000000,298.000000,298.496868,27.504014,-0.824869,16.227300,-1456.441664,-1063.269929,95.058555,907.505829,457.657751,1397.109845
1243.500000,298.000000,298.107236,43.882215,-18.518855,9.678725,-1583.115647,-1194.759503,21.438629,926.460434,545.030542,1428.860617
1244.000000,298.000000,297.439550,59.964049,-33.842000,2.318084,-1714.000869,-1327.243597,-57.685065,939.790141,618.382190,1455.451172
1244.500000,298.000000,296.631768,74.745165,-45.958358,-4.641447,-1846.127439,-1457.638849,-141.716458,947.861829,675.072749,1476.053956
1245.000000,298.000000,295.888904,87.340902,-54.243162,-10.080259,-1976.028443,-1582.746339,-229.856805,950.663287,712.845905,1489.905804
1245.500000,298.000000,295.397742,97.057627,-58.340689,-13.080041,-2104.824630,-1699.365808,-321.107171,947.602262,729.884357,1496.358272
1246.000000,298.000000,295.250131,103.430972,-58.198890,-13.030958,-2228.246992,-1804.413784,-414.299402,935.422761,724.853572,1494.918650
1246.500000,298.000000,295.407200,106.239953,-54.069838,-9.696586,-2345.039714,-1895.024965,-508.154385,917.515566,696.942338,1485.275437
1247.000000,298.000000,295.721783,105.533354,-46.475538,-3.265374,-2452.114070,-1968.633626,-601.367908,894.540357,645.890887,1467.311145
1247.500000,298.000000,296.007414,101.587268,-36.143026,5.664653,-2546.879027,-2023.037308,-692.712205,864.606665,571.995791,1441.101888
1248.000000,298.000000,296.122004,94.891624,-23.916054,16.155461,-2627.864700,-2056.445610,-781.134739,823.369937,476.090292,1406.911739
1248.500000,298.000000,296.030377,86.091931,-10.656993,27.002903,-2690.967409,-2067.509814,-865.831164,771.905251,359.487849,1365.178558
1249.000000,298.000000,295.816550,75.913624,2.844608,36.863395,-2734.992231,-2055.339414,-946.283567,710.685869,223.897330,1316.491430
1249.500000,298.000000,295.641292,65.111483,15.944082,44.413761,-2757.805785,-2019.501801,-1022.258480,637.787971,71.319200,1261.562718
1250.000000,298.000000,295.665275,54.391177,28.184555,48.504063,-2760.829454,-1960.007843,-1093.775475,553.037008,-96.062119,1201.197903
1250.500000,298.000000,295.972728,44.349390,39.308286,48.299852,-2741.092776,-1877.284351,-1161.056746,457.249077,-275.975906,1136.266514
1251.000000,298.000000,296.530430,35.424172,49.239676,43.388723,-2697.918067,-1772.145911,-1224.470561,347.364628,-466.139964,1067.683860
1251.500000,298.000000,297.201532,27.873638,58.048136,33.865333,-2632.785809,-1645.765308,-1284.472000,229.769280,-664.311620,996.399887
1252.000000,298.000000,297.809790,21.768818,65.899577,20.320609,-2547.078839,-1499.650912,-1341.543350,99.755230,-868.334701,923.392116
1252.500000,298.000000,298.224452,17.014043,73.005300,3.810195,-2442.828769,-1335.635432,-1396.141606,-38.062626,-1076.160267,849.661617
1253.000000,298.000000,298.425779,13.386366,79.575910,-14.238515,-2323.228516,-1155.873891,-1448.650064,-182.199681,-1285.874101,776.226382
1253.500000,298.000000,298.519502,10.583832,85.786543,-32.173224,-2189.774332,-962.838981,-1499.338491,-332.714320,-1495.734531,704.111100
1254.000000,298.000000,298.690583,8.268720,91.756158,-48.288457,-2046.858206,-759.295153,-1548.332275,-487.844631,-1704.207707,634.338668
1254.500000,298.000000,299.114857,6.131667,97.541587,-61.011396,-1897.284967,-548.268303,-1595.595051,-648.445681,-1910.013592,567.915583
1255.000000,298.000000,299.867157,3.932907,103.143538,-69.073914,-1743.095808,-332.992086,-1640.927354,-810.340844,-2112.164206,505.820569
1255.500000,298.000000,300.868654,1.552736,108.519402,-71.669792,-1588.357338,-116.832974,-1683.985908,-972.749549,-2309.994674,448.986295
1256.000000,298.000000,301.899073,-1.005859,113.598238,-68.551007,-1434.725922,96.817383,-1724.327837,-1136.023809,-2503.166065,398.276811
1256.500000,298.000000,302.671973,-3.599467,118.292309,-60.078712,-1284.605596,304.641613,-1761.479343,-1299.013859,-2691.656592,354.462458
1257.000000,298.000000,302.944251,-5.974900,122.501302,-47.199776,-1139.589086,503.508062,-1795.015048,-1460.248375,-2875.738289,318.197179
1257.500000,298.000000,302.614912,-7.805627,126.107602,-31.349215,-998.083117,690.564207,-1824.631513,-1620.703430,-3055.942966,290.001872
1258.000000,298.000000,301.771854,-8.734948,128.964458,-14.298794,-866.513721,863.322527,-1850.188382,-1779.751330,-3233.020687,270.252754
1258.500000,298.000000,300.664395,-8.432186,130.882711,2.047669,-742.120165,1019.726680,-1871.704784,-1937.228124,-3407.894243,259.174707
1259.000000,298.000000,299.611664,-6.631129,131.622357,15.865665,-624.143484,1158.193537,-1889.309745,-2095.238599,-3581.600756,256.835598
1259.500000,298.000000,298.884189,-3.167674,130.899866,25.645797,-513.431671,1277.658006,-1903.160406,-2249.945943,-3755.234444,263.139423
1260.000000,298.000000,298.605782,1.997997,128.411428,30.353246,-410.300127,1377.590585,-1913.355814,-2405.691799,-3929.874605,277.817417
1260.500000,298.000000,298.715453,8.773458,123.872251,29.543543,-310.266456,1458.005249,-1919.865197,-2558.613990,-4106.509462,300.418775
1261.000000,298.000000,299.004883,16.959048,117.066640,23.410317,-215.235171,1519.448355,-1922.484208,-2707.930249,-4285.943817,330.302061
1261.500000,298.000000,299.213377,26.259479,107.899597,12.779340,-125.404840,1562.952393,-1920.826030,-2855.486234,-4468.717679,366.631880
1262.000000,298.000000,299.138809,36.314945,96.442957,-0.992947,-35.992240,1589.969806,-1914.341059,-2998.663582,-4655.025403,408.381637
1262.500000,298.000000,298.716915,46.736987,82.961744,-16.174756,50.670977,1602.289305,-1902.357864,-3137.654883,-4844.650717,454.351041
1263.000000,298.000000,298.035250,57.119239,67.917645,-30.864334,136.455926,1601.912763,-1884.143870,-3269.281003,-5036.918564,503.194028
1263.500000,298.000000,297.277607,67.065255,51.946979,-43.200164,220.797278,1590.942573,-1858.964215,-3392.736206,-5230.671800,553.470898
1264.000000,298.000000,296.627044,76.190295,35.816610,-51.586196,306.000433,1571.458422,-1826.141228,-3506.199359,-5424.277641,603.711956
1264.500000,298.000000,296.172623,84.125107,20.363447,-54.870647,391.321901,1545.423287,-1785.098963,-3608.477897,-5615.670102,652.491227
1265.000000,298.000000,295.862733,90.523919,6.425783,-52.474517,479.910886,1514.615473,-1735.401927,-3698.775948,-5802.397964,698.499970
1265.500000,298.000000,295.528422,95.061850,-5.225451,-44.477916,570.437945,1480.583390,-1676.798618,-3776.759728,-5981.697943,740.613650
1266.000000,298.000000,294.967793,97.440496,-13.949383,-31.606486,665.557809,1444.622514,-1609.285837,-3838.388292,-6150.567953,777.933809
1266.500000,298.000000,294.053010,97.424065,-19.282798,-15.172101,764.522818,1407.768060,-1533.193112,-3884.204622,-6305.849586,809.815201
1267.000000,298.000000,292.809835,94.858920,-20.970576,3.067657,868.028604,1370.794285,-1449.274445,-3913.151315,-6444.305321,835.877358
1267.500000,298.000000,291.431515,89.703893,-18.979256,21.076578,974.533062,1334.226586,-1358.770913,-3926.515593,-6562.719185,855.994586
1268.000000,298.000000,290.217556,82.060590,-13.491059,36.777602,1084.192825,1298.357093,-1263.416463,-3918.121282,-6657.994535,870.279121
1268.500000,298.000000,289.461563,72.200150,-4.881570,48.262266,1197.323810,1263.268848,-1165.366515,-3895.031813,-6727.258080,879.050333
1269.000000,298.000000,289.335694,60.564858,6.315152,53.998768,1312.680902,1228.870428,-1067.063102,-3851.447165,-6767.968650,882.791459
1269.500000,298.000000,289.822203,47.768415,19.450023,53.013047,1428.795681,1194.937450,-971.068492,-3791.973270,-6778.016395,882.096058
1270.000000,298.000000,290.723800,34.540114,33.806895,44.998849,1544.064210,1161.147856,-879.902654,-3714.840942,-6755.810470,877.607862
