step,T,Epot,Efull,SolventMolsThroughZ,
5.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.65e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.7e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.75e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.85e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.9e-013,1.#QNAN,1.#QNAN,1.#QNAN,
5.95e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.05e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.1e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.15e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.2e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.25e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.3e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.35e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.4e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.45e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.5e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.55e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.65e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.7e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.75e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.85e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.9e-013,1.#QNAN,1.#QNAN,1.#QNAN,
6.95e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.05e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.1e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.15e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.2e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.25e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.3e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.35e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.4e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.45e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.5e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.55e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.65e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.7e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.75e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.85e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.9e-013,1.#QNAN,1.#QNAN,1.#QNAN,
7.95e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.05e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.1e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.15e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.2e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.25e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.3e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.35e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.4e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.45e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.5e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.55e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.65e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.7e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.75e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.85e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.9e-013,1.#QNAN,1.#QNAN,1.#QNAN,
8.95e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.05e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.1e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.15e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.2e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.25e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.3e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.35e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.4e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.45e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.5e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.55e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.6e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.65e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.7e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.75e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.8e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.85e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.9e-013,1.#QNAN,1.#QNAN,1.#QNAN,
9.95e-013,1.#QNAN,1.#QNAN,1.#QNAN,
