t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
20.000000,298.000000,217.252355,36.761222,68.438192,110.848364,1270.689762,2488.924393,-1062.069775,-1700.551854,171.784908,-1297.641173
20.500000,298.000000,205.243107,23.502346,51.800084,125.829199,1473.657112,2724.435219,-1072.567421,-1877.199174,-24.346208,-1367.345823
21.000000,298.000000,197.700283,8.441319,33.889433,143.057219,1673.887671,2959.363468,-1080.797242,-2051.528680,-220.718877,-1442.222839
21.500000,298.000000,198.398974,-7.069626,16.054632,160.755954,1870.868030,3190.166951,-1087.015576,-2221.342304,-412.778708,-1520.945634
22.000000,298.000000,207.711363,-21.588960,-0.322476,176.985750,2065.309689,3413.186829,-1090.914794,-2382.424032,-596.375305,-1601.963529
22.500000,298.000000,222.503696,-33.742292,-13.983025,190.187458,2255.030072,3624.853362,-1093.660735,-2530.963144,-767.919808,-1683.726969
23.000000,298.000000,237.496919,-42.379758,-23.928909,198.997066,2438.747007,3821.913779,-1096.175987,-2662.898454,-924.489245,-1764.949237
23.500000,298.000000,247.484339,-46.671013,-29.518748,202.660851,2615.046339,4001.601884,-1099.468825,-2777.588290,-1063.871994,-1844.262653
24.000000,298.000000,249.460801,-46.192671,-30.526488,201.140481,2781.745740,4161.730599,-1105.228016,-2870.463980,-1184.565573,-1920.421994
24.500000,298.000000,243.772173,-40.945146,-27.152809,194.895717,2937.400515,4300.712579,-1113.516955,-2942.999796,-1285.744869,-1991.877324
25.000000,298.000000,233.828329,-31.323090,-19.987066,185.175534,3078.594404,4417.499694,-1125.521324,-2993.499894,-1367.224087,-2057.640839
25.500000,298.000000,224.576580,-18.067798,-9.924920,173.515525,3203.929806,4511.507566,-1140.868314,-3022.597563,-1429.412352,-2116.430499
26.000000,298.000000,220.417597,-2.191828,1.946717,161.750888,3311.827746,4582.554173,-1159.363703,-3027.635936,-1473.269291,-2166.997872
26.500000,298.000000,223.434786,15.128704,14.469299,151.978820,3397.275516,4630.812950,-1179.708732,-3011.665015,-1500.250254,-2208.174802
27.000000,298.000000,232.667257,32.665555,26.528415,146.149299,3464.906406,4656.774706,-1199.457188,-2977.095896,-1512.238542,-2239.578595
27.500000,298.000000,244.687732,49.244356,37.168345,146.180902,3511.053076,4661.195771,-1217.803675,-2927.756350,-1511.456298,-2260.068043
28.000000,298.000000,255.192855,63.873420,45.693234,153.202238,3536.100269,4645.022812,-1230.977202,-2859.576619,-1500.365123,-2269.679001
28.500000,298.000000,260.890359,75.823793,51.735168,167.834259,3535.867061,4609.312321,-1239.548674,-2781.637172,-1481.550166,-2268.524435
29.000000,298.000000,260.839384,84.675153,55.276007,189.964316,3517.623930,4555.150146,-1241.006003,-2695.105345,-1457.607979,-2255.986227
29.500000,298.000000,256.732671,90.331025,56.624595,218.673038,3480.716336,4483.617497,-1233.143275,-2603.192768,-1431.045278,-2234.296479
30.000000,298.000000,252.019200,93.006533,56.355226,252.423916,3423.644831,4395.790892,-1216.497360,-2510.925421,-1404.193188,-2203.672080
