t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
0.000000,298.000000,0.000000,77.266944,155.509515,-38.460043,-1623.510340,-314.149180,-974.811564,-699.983399,-2815.985590,-1502.975665
0.500000,298.000000,293.233194,68.779647,140.267752,-26.242019,-1738.969388,-195.774123,-1055.565112,-856.924078,-3032.070694,-1517.125167
1.000000,298.000000,278.805266,52.907171,121.796579,-8.788161,-1826.036890,-68.155766,-1169.088646,-1026.108292,-3253.589733,-1508.393950
1.500000,298.000000,261.725851,30.502070,101.138117,11.945409,-1889.168897,64.884649,-1262.933479,-1208.799752,-3477.086757,-1515.385522
2.000000,298.000000,246.688127,3.068061,79.538028,33.681799,-1928.382413,199.287413,-1312.663070,-1400.903177,-3699.225464,-1521.403978
2.500000,298.000000,237.199688,-27.356681,58.353040,53.838397,-1943.309411,330.993529,-1366.572290,-1601.439873,-3916.959289,-1531.706209
3.000000,298.000000,234.374910,-58.382454,38.940500,69.901745,-1944.262487,456.113223,-1390.152959,-1805.808986,-4127.555233,-1548.350132
3.500000,298.000000,236.757454,-87.473948,22.532796,79.783949,-1929.972289,571.117719,-1402.629738,-2011.599845,-4328.663984,-1558.060462
4.000000,298.000000,241.203313,-112.225258,10.113794,82.058676,-1903.785716,672.945467,-1390.169522,-2214.824914,-4518.167784,-1574.205761
4.500000,298.000000,244.398862,-130.583014,2.323977,76.012999,-1867.226770,759.212023,-1367.418579,-2411.353210,-4693.974852,-1594.698535
5.000000,298.000000,244.383302,-141.043410,-0.596250,61.722117,-1822.589904,826.555915,-1343.691140,-2597.388654,-4853.918497,-1614.014801
5.500000,298.000000,241.405116,-142.807183,1.187742,40.203261,-1775.906842,877.671921,-1283.776016,-2773.104748,-4995.745292,-1644.468527
6.000000,298.000000,237.744817,-135.822445,7.125338,13.331628,-1723.953543,910.947474,-1213.583330,-2936.030702,-5117.186054,-1680.001371
6.500000,298.000000,236.599872,-120.796920,16.364092,-16.593846,-1670.260966,927.403038,-1136.538720,-3084.199929,-5216.135009,-1726.834053
7.000000,298.000000,240.531624,-99.113272,27.852104,-46.824353,-1617.807986,928.873024,-1046.373857,-3214.838397,-5290.789937,-1771.954210
7.500000,298.000000,250.165811,-72.685249,40.459744,-74.341149,-1567.810990,917.921791,-988.315781,-3325.651762,-5339.780784,-1815.210085
8.000000,298.000000,263.698772,-43.769735,53.100945,-96.268938,-1518.723580,897.705972,-876.340899,-3414.113831,-5362.215589,-1846.937847
8.500000,298.000000,277.461410,-14.737523,64.852554,-110.366692,-1473.258142,871.790474,-769.333472,-3478.313632,-5357.613635,-1910.734708
9.000000,298.000000,287.327588,12.185831,75.049854,-115.011878,-1431.454632,843.946383,-684.465560,-3517.157125,-5325.839437,-1945.136471
9.500000,298.000000,290.357139,35.146014,83.338134,-109.459112,-1391.263685,817.905005,-573.730538,-3530.899444,-5266.992805,-1991.242285
10.000000,298.000000,285.996507,52.834405,89.674007,-93.900616,-1353.891557,797.852894,-489.288322,-3521.935647,-5181.499866,-2010.548712
10.500000,298.000000,276.338561,64.606640,94.293034,-69.574498,-1316.123885,785.359979,-463.780250,-3486.787856,-5070.143293,-2018.428619
11.000000,298.000000,265.312009,70.509607,97.645000,-38.405657,-1278.017022,783.776620,-349.595177,-3429.680191,-4934.185435,-2015.817838
11.500000,298.000000,257.145608,71.246085,100.297675,-2.957212,-1232.804445,795.021529,-220.150659,-3352.964810,-4775.515389,-1996.710611
12.000000,298.000000,254.736717,68.079628,102.834206,33.797681,-1184.890802,820.319973,-116.271929,-3258.534451,-4596.741330,-1965.381453
12.500000,298.000000,258.586681,62.638916,105.754609,68.662160,-1131.065314,860.160798,-5.296794,-3148.842778,-4401.141410,-1925.682963
