step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,
0,0.00313161,-8153.4,-8153.39,-1,0,-0.106673,0,
10,2.41696,-8168.85,-8164.09,-1,0,-0.106678,0.00422756,
20,9.52007,-8207.48,-8188.72,-1,0,-0.106684,0.00845511,
30,6.16817,-8222.96,-8210.81,-1,0,-0.106681,0.0126827,
40,10.3575,-8242.2,-8221.79,-1,0,-0.106674,0.0169102,
50,11.0367,-8257.63,-8235.89,-1,0,-0.106678,0.0211378,
60,12.9211,-8271.36,-8245.89,-1,0,-0.106718,0.0253653,
70,13.2258,-8282.02,-8255.96,-1,0,-0.106839,0.0295928,
80,12.5336,-8291.14,-8266.45,-1,0,-0.107095,0.0338203,
90,12.962,-8304.37,-8278.83,-1,0,-0.107479,0.0380479,
100,11.1453,-8309.78,-8287.81,-1,0,-0.107821,0.0422754,
110,12.6245,-8316.36,-8291.48,-1,0,-0.107886,0.0465028,
120,12.0166,-8320.23,-8296.56,-1,0,-0.107657,0.0507303,
130,13.3524,-8329.73,-8303.42,-1,0,-0.107477,0.0549578,
140,13.196,-8335.53,-8309.53,-1,0,-0.107644,0.0591852,
150,13.7611,-8343.99,-8316.88,-1,0,-0.107943,0.0634126,
160,13.5669,-8350.31,-8323.58,-1,0,-0.107969,0.06764,
170,13.0393,-8356.04,-8330.35,-1,0,-0.107773,0.0718674,
180,12.7368,-8361.91,-8336.81,-1,0,-0.107698,0.0760948,
190,12.5193,-8367.55,-8342.88,-1,0,-0.107726,0.0803221,
200,11.8516,-8371.97,-8348.62,-1,0,-0.107594,0.0845494,
210,13.1925,-8376.25,-8350.25,-1,0,-0.107433,0.0887767,
220,14.6587,-8381.95,-8353.06,-1,0,-0.107646,0.093004,
230,15.2856,-8386.95,-8356.83,-1,0,-0.108166,0.0972312,
240,15.7404,-8391.46,-8360.45,-1,0,-0.108524,0.101458,
250,15.8763,-8395.72,-8364.43,-1,0,-0.108662,0.105686,
260,16.1667,-8400.6,-8368.74,-1,0,-0.108913,0.109913,
270,15.4439,-8402.91,-8372.48,-1,0,-0.109265,0.11414,
280,15.3144,-8406.2,-8376.02,-1,0,-0.109445,0.118367,
290,14.478,-8407.53,-8379,-1,0,-0.109567,0.122594,
300,14.18,-8409.5,-8381.56,-1,0,-0.10993,0.126821,
310,15.0036,-8409.74,-8380.18,-1,0,-0.110374,0.131048,
320,15.9005,-8410.72,-8379.39,-1,0,-0.110507,0.135275,
330,15.8805,-8410.16,-8378.87,-1,0,-0.110394,0.139502,
340,16.2756,-8410.55,-8378.48,-1,0,-0.110371,0.143729,
350,15.7715,-8408.84,-8377.76,-1,0,-0.110387,0.147955,
360,15.7085,-8407.97,-8377.01,-1,0,-0.110218,0.152182,
370,15.3853,-8406.28,-8375.96,-1,0,-0.110021,0.156409,
380,15.2208,-8405.05,-8375.06,-1,0,-0.110025,0.160636,
390,14.8363,-8403.36,-8374.12,-1,0,-0.110017,0.164862,
400,15.1899,-8403.22,-8373.29,-1,0,-0.109679,0.169089,
410,16.9474,-8401.18,-8367.78,-1,0,-0.109113,0.173315,
420,18.0559,-8398.51,-8362.93,-1,0,-0.108624,0.177542,
430,18.5099,-8395.66,-8359.18,-1,0,-0.108219,0.181768,
440,19.1849,-8393.18,-8355.37,-1,0,-0.107682,0.185994,
450,19.026,-8389.81,-8352.31,-1,0,-0.106984,0.190221,
460,19.2759,-8386.94,-8348.96,-1,0,-0.106271,0.194447,
470,19.2815,-8383.3,-8345.31,-1,0,-0.105549,0.198673,
480,19.4963,-8380.48,-8342.07,-1,0,-0.104638,0.202899,
490,19.6433,-8377.48,-8338.77,-1,0,-0.103475,0.207125,
500,19.8395,-8375.16,-8336.07,-1,0,-0.102294,0.211351,
510,22.1361,-8372.72,-8329.1,-1,0,-0.101312,0.215577,
520,23.7945,-8370.71,-8323.82,-1,0,-0.100375,0.219803,
530,25.2903,-8369.32,-8319.48,-1,0,-0.0991964,0.224029,
540,25.8804,-8367.55,-8316.55,-1,0,-0.0978488,0.228255,
550,26.7823,-8365.98,-8313.2,-1,0,-0.0966088,0.23248,
560,26.854,-8363.67,-8310.75,-1,0,-0.0953904,0.236706,
570,27.1715,-8361.71,-8308.16,-1,0,-0.0939324,0.240932,
580,26.9379,-8359.15,-8306.07,-1,0,-0.0923897,0.245157,
590,27.6181,-8358.43,-8304.01,-1,0,-0.091078,0.249382,
600,27.6751,-8357.07,-8302.54,-1,0,-0.0898489,0.253608,
610,30.4419,-8357.49,-8297.51,-1,0,-0.0883359,0.257833,
620,32.1372,-8357.23,-8293.91,-1,0,-0.0865751,0.262058,
630,34.0525,-8359.01,-8291.91,-1,0,-0.0848043,0.266283,
640,34.9641,-8359.39,-8290.49,-1,0,-0.083012,0.270508,
650,36.1286,-8360.94,-8289.74,-1,0,-0.0811743,0.274733,
660,36.9812,-8363.51,-8290.63,-1,0,-0.0794162,0.278958,
670,37.7418,-8365.85,-8291.48,-1,0,-0.077712,0.283183,
680,37.7297,-8367.06,-8292.72,-1,0,-0.0759242,0.287407,
690,38.0254,-8369.36,-8294.43,-1,0,-0.0741135,0.291632,
700,37.9824,-8370.6,-8295.76,-1,0,-0.0723532,0.295856,
710,40.1229,-8372.63,-8293.57,-1,0,-0.0705275,0.300081,
720,41.1963,-8373.54,-8292.36,-1,0,-0.0687246,0.304305,
730,42.2249,-8375.18,-8291.98,-1,0,-0.0672359,0.308529,
740,42.611,-8376.16,-8292.2,-1,0,-0.0658883,0.312753,
750,43.0199,-8377.27,-8292.5,-1,0,-0.06423,0.316977,
760,42.8515,-8377.47,-8293.03,-1,0,-0.0624341,0.321201,
770,42.9878,-8377.93,-8293.23,-1,0,-0.0610291,0.325425,
780,42.7761,-8377.99,-8293.7,-1,0,-0.0598502,0.329649,
790,42.4504,-8377.68,-8294.03,-1,0,-0.0583821,0.333873,
800,41.9051,-8376.12,-8293.55,-1,0,-0.056848,0.338096,
810,43.0602,-8373.6,-8288.75,-1,0,-0.0557496,0.34232,
820,43.3754,-8370.35,-8284.87,-1,0,-0.0548045,0.346543,
830,43.214,-8366.43,-8281.27,-1,0,-0.0534924,0.350766,
840,42.6928,-8361.3,-8277.17,-1,0,-0.0520636,0.354989,
850,42.4024,-8356.97,-8273.42,-1,0,-0.0509147,0.359212,
860,41.9482,-8352,-8269.34,-1,0,-0.049696,0.363435,
870,42.2774,-8347.11,-8263.8,-1,0,-0.0480746,0.367658,
880,42.5434,-8343.14,-8259.3,-1,0,-0.0464831,0.371881,
890,43.2265,-8340.28,-8255.1,-1,0,-0.0451822,0.376103,
900,44.1185,-8338.84,-8251.9,-1,0,-0.0436281,0.380326,
910,47.2159,-8338.49,-8245.45,-1,0,-0.041549,0.384548,
920,49.2868,-8337.75,-8240.63,-1,0,-0.0395705,0.38877,
930,51.2202,-8338.35,-8237.42,-1,0,-0.0380573,0.392992,
940,52.4482,-8339.45,-8236.1,-1,0,-0.0364438,0.397214,
950,53.8267,-8341.38,-8235.31,-1,0,-0.034369,0.401436,
960,54.2903,-8342.24,-8235.26,-1,0,-0.0323574,0.405658,
970,54.9115,-8344.56,-8236.36,-1,0,-0.0308357,0.40988,
980,55.1833,-8346.17,-8237.43,-1,0,-0.0294338,0.414101,
990,54.8317,-8346.03,-8237.99,-1,0,-0.0277272,0.418323,
1000,55.2497,-8347.55,-8238.68,-1,0,-0.0259382,0.422544,
1010,57.0969,-8348.89,-8236.38,-1,0,-0.0244446,0.426765,
1020,58.6886,-8351.01,-8235.36,-1,0,-0.023152,0.430986,
1030,59.2696,-8351.66,-8234.87,-1,0,-0.0217568,0.435207,
1040,59.7984,-8353.07,-8235.23,-1,0,-0.0202712,0.439428,
1050,59.5277,-8353.67,-8236.37,-1,0,-0.0189182,0.443648,
1060,60.2848,-8355.9,-8237.11,-1,0,-0.0177042,0.447869,
1070,60.2727,-8356.25,-8237.48,-1,0,-0.0165137,0.452089,
1080,61.1783,-8359.29,-8238.74,-1,0,-0.015462,0.456309,
1090,61.3374,-8361.57,-8240.7,-1,0,-0.014748,0.460529,
1100,62.862,-8366.4,-8242.53,-1,0,-0.0142533,0.464749,
1110,65.1485,-8369.44,-8241.06,-1,0,-0.0137282,0.468969,
1120,66.9319,-8373.31,-8241.42,-1,0,-0.0132437,0.473189,
1130,67.8247,-8376.95,-8243.3,-1,0,-0.0130225,0.477408,
1140,68.3017,-8379.36,-8244.77,0,1,-0.0129794,0.481628,
1150,68.3423,-8381.74,-8247.07,0,1,-0.012868,0.485847,
1160,67.9506,-8382.49,-8248.59,0,1,-0.012681,0.490066,
1170,67.672,-8383.11,-8249.76,0,1,-0.0125603,0.494285,
1180,66.0077,-8380.47,-8250.4,0,1,-0.0125623,0.498504,
1190,64.9714,-8378.16,-8250.14,0,1,-0.012699,0.502722,
1200,63,-8372.62,-8248.48,0,1,-0.0129224,0.506941,
1210,64.2514,-8368.74,-8242.13,0,1,-0.0130536,0.511159,
1220,64.3935,-8363.21,-8236.32,0,1,-0.0130754,0.515377,
1230,65.8702,-8360.87,-8231.07,0,1,-0.0133127,0.519595,
1240,67.0959,-8359.06,-8226.85,0,1,-0.0139053,0.523813,
1250,68.4424,-8360.22,-8225.35,0,1,-0.0144793,0.528031,
1260,69.9077,-8362.7,-8224.95,0,1,-0.0148071,0.532249,
1270,70.7265,-8362.86,-8223.49,0,1,-0.0152321,0.536466,
1280,71.1623,-8363.5,-8223.28,0,1,-0.0159724,0.540683,
1290,71.6596,-8364.14,-8222.93,0,1,-0.0166949,0.5449,
1300,71.9263,-8364.91,-8223.18,0,1,-0.0171968,0.549117,
1310,74.3898,-8366.03,-8219.44,0,1,-0.0177526,0.553334,
1320,75.902,-8366.91,-8217.34,0,1,-0.0184508,0.55755,
