step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
0	6.0725e-005	-833.435	-833.435	-833.435	0	0	0	1	1	
10	0.0109061	-833.445	-833.436	-833.445	0	0	0	0	0	
20	0.0154314	-833.453	-833.44	-833.453	0	0	0	0	0	
30	0.0172397	-833.46	-833.446	-833.46	0	0	0	0	0	
40	0.021955	-833.47	-833.452	-833.47	0	0	0	0	0	
50	0.0244936	-833.479	-833.459	-833.479	0	0	0	0	0	
60	0.0248678	-833.487	-833.467	-833.487	0	0	0	0	0	
70	0.0246492	-833.447	-833.427	-833.447	0	0	0	0	0	
80	0.0244307	-833.455	-833.434	-833.455	0	0	0	0	0	
90	0.02345	-833.461	-833.442	-833.461	0	0	0	0	0	
100	0.0222112	-833.467	-833.449	-833.467	0	0	0	0	0	
110	7.41097	-833.453	-827.353	-833.453	0	0	0	0	0	
120	14.0942	-833.178	-821.577	-833.178	0	0	0	0	0	
130	18.5515	-832.668	-817.398	-832.668	0	0	0	0	0	
140	21.2152	-831.764	-814.301	-831.764	0	0	0	0	0	
150	22.6837	-830.455	-811.783	-830.455	0	0	0	0	0	
160	23.4643	-829.016	-809.702	-829.016	0	0	0	0	0	
170	23.7643	-827.307	-807.746	-827.307	0	0	0	0	0	
180	23.8059	-825.435	-805.84	-825.435	0	0	0	0	0	
190	23.8145	-823.445	-803.843	-823.445	0	0	0	0	0	
200	23.6548	-821.396	-801.925	-821.396	0	0	0	0	0	
210	32.8726	-819.333	-792.274	-819.333	0	0	0	0	0	
220	39.0868	-817.101	-784.927	-817.101	0	0	0	0	0	
230	42.9752	-814.483	-779.108	-814.483	0	0	0	0	0	
240	45.3642	-811.588	-774.247	-811.588	0	0	0	0	0	
250	46.741	-808.488	-770.013	-808.488	0	0	0	0	0	
260	47.2799	-804.893	-765.975	-804.893	0	0	0	0	0	
270	47.7109	-801.454	-762.182	-801.454	0	0	0	0	0	
280	47.9048	-797.864	-758.432	-797.864	0	0	0	0	0	
290	47.7489	-794.012	-754.708	-794.012	0	0	0	0	0	
300	47.6514	-790.148	-750.924	-790.148	0	0	0	0	0	
310	56.4638	-785.78	-739.303	-785.78	0	0	0	0	0	
320	61.513	-780.496	-729.863	-780.496	0	0	0	0	0	
330	64.0748	-774.289	-721.547	-774.289	0	0	0	0	0	
340	64.854	-767.061	-713.677	-767.061	0	0	0	0	0	
350	63.8329	-758.313	-705.77	-758.313	0	0	0	0	0	
360	61.9455	-748.477	-697.487	-748.477	0	0	0	0	0	
370	59.172	-737.228	-688.521	-737.228	0	0	0	0	0	
380	56.1238	-724.891	-678.693	-724.891	0	0	0	0	0	
390	53.6417	-712.155	-668	-712.155	0	0	0	0	0	
400	51.5947	-699.117	-656.647	-699.117	0	0	0	0	0	
410	58.6838	-685.309	-637.004	-685.309	0	0	0	0	0	
420	64.6807	-672.506	-619.265	-672.506	0	0	0	0	0	
430	70.1223	-660.904	-603.183	-660.904	0	0	0	0	0	
440	74.6395	-650.01	-588.571	-650.01	0	0	0	0	0	
450	82.3134	-643.543	-575.788	-643.543	0	0	0	0	0	
460	88.9158	-638.45	-565.261	-638.45	0	0	0	0	0	
470	94.8771	-634.559	-556.462	-634.559	0	0	0	0	0	
480	102.481	-634.076	-549.72	-634.076	0	0	0	0	0	
490	107.589	-633.52	-544.96	-633.52	0	0	0	0	0	
500	111.241	-633.083	-541.516	-633.083	0	0	0	0	0	
510	125.455	-635.056	-531.79	-635.056	0	0	0	0	0	
520	134.074	-635.944	-525.582	-635.944	0	0	0	0	0	
530	137.871	-634.603	-521.116	-634.603	0	0	0	0	0	
