step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.00171963,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000426531,0.055372,-0.045261,0.637036,0.49987,1
10,0.25172,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000425307,0.0553651,-0.0452475,0.637068,0.499882,1
20,0.444547,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000407462,0.0553424,-0.0452046,0.637108,0.49989,1
30,0.632123,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000385125,0.0553215,-0.0451742,0.637137,0.499892,1
40,0.785764,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000378593,0.0552976,-0.0451721,0.637178,0.49989,1
50,0.882458,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000381382,0.0552814,-0.0451923,0.63722,0.499884,1
60,0.967076,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000373142,0.0552767,-0.045198,0.637262,0.499875,1
70,1.03497,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000362404,0.0552894,-0.0451978,0.637311,0.499861,1
80,1.04084,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000356753,0.0552984,-0.045198,0.637358,0.499842,1
90,1.03996,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.0003559,0.0552986,-0.0452015,0.6374,0.499822,1
100,1.02177,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000356708,0.0552946,-0.045193,0.637441,0.499799,1
110,9.97222,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000368971,0.0552927,-0.0451501,0.637533,0.499744,1
120,16.8399,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000398074,0.0552882,-0.045068,0.637654,0.49967,1
130,21.1975,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000432335,0.0552941,-0.0449727,0.637784,0.49959,1
140,23.7367,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000456964,0.0553094,-0.0448739,0.63792,0.499506,1
150,25.0397,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000496614,0.0553136,-0.0447921,0.63806,0.499418,1
160,25.4512,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000566921,0.0552895,-0.0447177,0.638201,0.499329,1
170,25.2031,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000624905,0.0552622,-0.0446096,0.638323,0.499249,1
180,24.6766,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000631039,0.0552542,-0.04443,0.638428,0.499178,1
190,23.838,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000608615,0.0552571,-0.0442017,0.638526,0.499109,1
200,23.0034,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000583674,0.0552473,-0.0439489,0.638613,0.499045,1
210,31.1377,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000566329,0.0552256,-0.0436228,0.63869,0.498985,1
220,36.0174,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000589458,0.0552177,-0.0431952,0.638768,0.498922,1
230,38.961,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000658601,0.0552163,-0.0426799,0.638854,0.498849,1
240,40.6945,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000724849,0.0552092,-0.0420803,0.638942,0.498772,1
250,41.7046,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000781495,0.0552167,-0.0413893,0.639016,0.498705,1
260,42.408,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.000880047,0.0552605,-0.0406429,0.639077,0.498649,1
270,42.9741,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.00102071,0.0552939,-0.0398261,0.639144,0.498591,1
280,43.517,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.00112648,0.0553243,-0.0388964,0.639207,0.498539,1
290,44.2685,0,0,0,-4.74128e-008,8.12791e-009,0.981818,0,0,0,0.0011483,0.0553702,-0.0378074,0.639244,0.49851,1
