step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v_theor,v_pract
3.1e-013,34.3862,-8478.85,-8412.8,0,0,-0.192218,129.828,-0.621065,0.0202628
3.15e-013,35.3166,-8480.88,-8413.05,0,0,-0.192027,131.876,-0.620411,0.0209176
3.2e-013,35.6998,-8482.34,-8413.78,0,0,-0.191752,133.922,-0.619746,0.0215826
3.25e-013,36.0057,-8484.42,-8415.27,0,0,-0.191448,135.967,-0.619072,0.0222578
3.3e-013,36.1186,-8485.9,-8416.53,0,0,-0.191181,138.008,-0.618387,0.0229433
3.35e-013,36.1206,-8487.26,-8417.88,0,0,-0.19091,140.048,-0.617692,0.0236389
3.4e-013,36.0413,-8488.54,-8419.31,0,0,-0.190577,142.085,-0.616986,0.0243448
3.45e-013,36.0154,-8489.75,-8420.58,0,0,-0.190235,144.12,-0.616271,0.0250608
3.5e-013,36.1069,-8491.41,-8422.06,0,0,-0.189954,146.153,-0.615545,0.025787
3.55e-013,38.1321,-8492.98,-8419.75,0,0,-0.189698,148.183,-0.614809,0.0265233
3.6e-013,39.5711,-8494.31,-8418.3,0,0,-0.189405,150.21,-0.614063,0.0272698
3.65e-013,40.5777,-8495.72,-8417.78,0,0,-0.189108,152.236,-0.613307,0.0280264
3.7e-013,41.2854,-8497.7,-8418.41,0,0,-0.188847,154.258,-0.612541,0.0287932
3.75e-013,41.7857,-8499.39,-8419.13,0,0,-0.18859,156.278,-0.611764,0.02957
3.8e-013,42.1257,-8501.31,-8420.4,0,0,-0.188302,158.296,-0.610978,0.030357
3.85e-013,42.4033,-8503,-8421.56,0,0,-0.187999,160.311,-0.610182,0.031154
3.9e-013,42.5823,-8504.27,-8422.49,0,0,-0.18768,162.323,-0.609375,0.0319611
3.95e-013,42.6863,-8505.8,-8423.82,0,0,-0.187323,164.333,-0.608558,0.0327782
4e-013,42.7278,-8507.4,-8425.33,0,0,-0.186935,166.34,-0.607732,0.0336054
4.05e-013,44.7716,-8509.02,-8423.03,0,0,-0.186529,168.344,-0.606895,0.0344426
4.1e-013,46.1848,-8510.81,-8422.11,0,0,-0.186077,170.345,-0.606048,0.0352898
4.15e-013,47.2158,-8512.88,-8422.19,0,0,-0.185558,172.344,-0.605191,0.0361471
4.2e-013,47.9408,-8514.11,-8422.03,0,0,-0.185002,174.339,-0.604325,0.0370143
4.25e-013,48.5168,-8516.03,-8422.85,0,0,-0.184421,176.332,-0.603448,0.0378914
4.3e-013,48.9273,-8517.51,-8423.54,0,0,-0.183777,178.322,-0.602561,0.0387786
4.35e-013,49.2127,-8519.13,-8424.61,0,0,-0.183061,180.309,-0.601665,0.0396757
4.4e-013,49.4364,-8520.84,-8425.89,0,0,-0.182337,182.293,-0.600758,0.0405827
4.45e-013,49.6028,-8523.02,-8427.75,0,0,-0.181661,184.274,-0.599842,0.0414996
4.5e-013,49.774,-8525.1,-8429.5,0,0,-0.181005,186.252,-0.598916,0.0424264
4.55e-013,51.2013,-8525.63,-8427.29,0,0,-0.180307,188.227,-0.597979,0.0433631
4.6e-013,52.9129,-8529.78,-8428.15,0,0,-0.179554,190.199,-0.597033,0.0443096
4.65e-013,54.1429,-8532.14,-8428.15,0,0,-0.178794,192.168,-0.596077,0.045266
4.7e-013,54.8876,-8534.32,-8428.9,0,0,-0.178052,194.133,-0.595112,0.0462323
4.75e-013,55.5467,-8537.22,-8430.53,0,0,-0.177304,196.095,-0.594136,0.0472084
4.8e-013,55.8822,-8539.37,-8432.04,0,0,-0.176528,198.054,-0.593151,0.0481942
4.85e-013,56.1103,-8541.69,-8433.92,0,0,-0.175738,200.01,-0.592156,0.0491899
4.9e-013,56.1683,-8543.67,-8435.79,0,0,-0.174939,201.963,-0.591151,0.0501953
4.95e-013,56.1539,-8545.76,-8437.91,0,0,-0.1741,203.912,-0.590136,0.0512105
5e-013,56.1252,-8547.67,-8439.88,0,0,-0.173231,205.858,-0.589112,0.0522354
5.05e-013,62.0512,-8585.1,-8465.92,0,0,-0.172397,207.8,-0.588077,0.05327
5.1e-013,67.1519,-8603.82,-8474.84,0,0,-0.171609,209.739,-0.587034,0.0543143
5.15e-013,70.2633,-8628.66,-8493.7,0,0,-0.170772,211.674,-0.58598,0.0553684
5.2e-013,73.078,-8655.1,-8514.74,0,0,-0.169835,213.606,-0.584917,0.056432
5.25e-013,74.8945,-8677.51,-8533.67,0,0,-0.168889,215.535,-0.583844,0.0575054
5.3e-013,76.5903,-8701.71,-8554.61,0,0,-0.167967,217.46,-0.582761,0.0585884
5.35e-013,78.4763,-8728.52,-8577.79,0,0,-0.166904,219.381,-0.581669,0.0596809
5.4e-013,80.427,-8755.48,-8601.01,0,0,-0.165482,221.299,-0.580568,0.0607831
5.45e-013,82.5648,-8783.34,-8624.76,0,0,-0.163653,223.213,-0.579456,0.0618949
5.5e-013,83.2014,-8809.63,-8649.83,0,0,-0.161595,225.123,-0.578336,0.0630162
5.55e-013,85.4218,-8835.53,-8671.47,0,0,-0.159604,227.03,-0.577205,0.0641471
5.6e-013,85.3502,-8857.75,-8693.82,0,0,-0.157875,228.933,-0.576065,0.0652874
5.65e-013,82.4208,-8874.57,-8716.26,0,0,-0.156293,230.832,-0.574916,0.0664373
5.7e-013,77.8908,-8885.82,-8736.22,0,0,-0.154581,232.727,-0.573757,0.0675967
5.75e-013,73.2989,-8892.64,-8751.86,0,0,-0.152721,234.619,-0.572589,0.0687655
5.8e-013,71.473,-8903.09,-8765.81,0,0,-0.150966,236.506,-0.571411,0.0699438
5.85e-013,69.9636,-8914.91,-8780.54,0,0,-0.14941,238.39,-0.570223,0.0711315
5.9e-013,66.9246,-8923.22,-8794.68,0,0,-0.147876,240.27,-0.569027,0.0723287
5.95e-013,65.1297,-8931.11,-8806.02,0,0,-0.146309,242.146,-0.567821,0.0735352
6e-013,62.9902,-8935.8,-8814.82,0,0,-0.144898,244.018,-0.566605,0.0747511
6.05e-013,61.8541,-8936.53,-8817.73,0,0,-0.143685,245.885,-0.565381,0.0759763
6.1e-013,61.0367,-8938.34,-8821.11,0,0,-0.142428,247.749,-0.564147,0.0772108
6.15e-013,59.3753,-8938.45,-8824.41,0,0,-0.14093,249.609,-0.562903,0.0784547
6.2e-013,58.4347,-8937.81,-8825.58,0,0,-0.139164,251.464,-0.56165,0.0797078
6.25e-013,58.316,-8935.73,-8823.72,0,0,-0.137101,253.316,-0.560388,0.0809703
6.3e-013,58.953,-8932.96,-8819.73,0,0,-0.134776,255.163,-0.559117,0.0822419
6.35e-013,60.8203,-8931.72,-8814.91,0,0,-0.132435,257.006,-0.557837,0.0835228
6.4e-013,63.2001,-8930.51,-8809.13,0,0,-0.130238,258.845,-0.556547,0.0848129
