step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
3.55e-013,22.4615,-8245.31,-8202.17,0,0,-0.187757,81.0358,-0.509165
3.6e-013,24.3209,-8245.18,-8198.47,0,0,-0.187278,82.1555,-0.508757
3.65e-013,26.1278,-8247.18,-8196.99,0,0,-0.18684,83.2743,-0.508343
3.7e-013,27.9449,-8248.84,-8195.16,0,0,-0.186507,84.3922,-0.507924
3.75e-013,29.2506,-8251.56,-8195.38,0,0,-0.186151,85.5092,-0.507499
3.8e-013,30.3662,-8254.46,-8196.14,0,0,-0.185738,86.6252,-0.507069
3.85e-013,31.5217,-8258.97,-8198.43,0,0,-0.185368,87.7403,-0.506633
3.9e-013,31.7842,-8262.01,-8200.96,0,0,-0.184998,88.8544,-0.506192
3.95e-013,32.2279,-8265.81,-8203.91,0,0,-0.184518,89.9676,-0.505745
4e-013,31.9598,-8267.98,-8206.59,0,0,-0.184017,91.0797,-0.505292
4.05e-013,33.5286,-8271.14,-8206.74,0,0,-0.183613,92.1909,-0.504834
4.1e-013,33.9244,-8272.77,-8207.61,0,0,-0.18322,93.301,-0.50437
4.15e-013,34.2974,-8275.05,-8209.18,0,0,-0.182761,94.4101,-0.503901
4.2e-013,34.404,-8276.63,-8210.56,0,0,-0.182337,95.5182,-0.503426
4.25e-013,34.461,-8277.84,-8211.65,0,0,-0.181975,96.6252,-0.502946
4.3e-013,34.5849,-8279.8,-8213.38,0,0,-0.181539,97.7312,-0.50246
4.35e-013,34.864,-8281.81,-8214.85,0,0,-0.181024,98.8361,-0.501968
4.4e-013,35.0909,-8283.83,-8216.43,0,0,-0.180601,99.9399,-0.501471
4.45e-013,35.1035,-8285.3,-8217.88,0,0,-0.180292,101.043,-0.500969
4.5e-013,35.142,-8286.86,-8219.36,0,0,-0.179937,102.144,-0.500461
4.55e-013,35.8635,-8287.98,-8219.09,0,0,-0.179483,103.245,-0.499947
4.6e-013,36.2282,-8289.13,-8219.55,0,0,-0.179046,104.344,-0.499428
4.65e-013,36.2396,-8288.64,-8219.04,0,0,-0.17867,105.442,-0.498904
4.7e-013,36.4326,-8288.12,-8218.14,0,0,-0.178264,106.539,-0.498374
4.75e-013,36.0489,-8287.1,-8217.86,0,0,-0.177778,107.635,-0.497839
4.8e-013,35.5464,-8285.2,-8216.93,0,0,-0.177296,108.73,-0.497298
4.85e-013,35.1817,-8282.78,-8215.21,0,0,-0.17692,109.823,-0.496751
4.9e-013,34.41,-8280.25,-8214.17,0,0,-0.176602,110.915,-0.496199
4.95e-013,33.6456,-8277.62,-8213,0,0,-0.176176,112.006,-0.495642
5e-013,32.9945,-8274.76,-8211.39,0,0,-0.175605,113.096,-0.495079
5.05e-013,33.3251,-8271.85,-8207.84,0,0,-0.175067,114.185,-0.494511
5.1e-013,33.7157,-8268.87,-8204.11,0,0,-0.174683,115.272,-0.493938
5.15e-013,33.7253,-8265.14,-8200.37,0,0,-0.174333,116.358,-0.493358
5.2e-013,33.9921,-8262.48,-8197.19,0,0,-0.173922,117.443,-0.492774
5.25e-013,34.0795,-8259.53,-8194.08,0,0,-0.173575,118.526,-0.492184
5.3e-013,34.764,-8257.23,-8190.46,0,0,-0.173364,119.609,-0.491589
5.35e-013,35.3301,-8255.21,-8187.35,0,0,-0.173171,120.689,-0.490988
5.4e-013,36.0261,-8254.25,-8185.06,0,0,-0.172961,121.769,-0.490382
