step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
3.55e-013,9.96502,-8281.06,-8261.92,0,0,-0.18982,28.7835,-0.365131
3.6e-013,10.6205,-8279.69,-8259.29,0,0,-0.189535,29.1851,-0.364986
3.65e-013,11.1529,-8278.21,-8256.79,0,0,-0.189265,29.5865,-0.364839
3.7e-013,11.9432,-8278.06,-8255.12,0,0,-0.189072,29.9878,-0.36469
3.75e-013,12.6239,-8277.91,-8253.67,0,0,-0.18885,30.3888,-0.364539
3.8e-013,13.3335,-8278.39,-8252.78,0,0,-0.188562,30.7898,-0.364386
3.85e-013,14.1459,-8279.57,-8252.4,0,0,-0.188328,31.1905,-0.364232
3.9e-013,14.5287,-8280.7,-8252.79,0,0,-0.18814,31.5911,-0.364075
3.95e-013,15.2262,-8282.56,-8253.31,0,0,-0.187828,31.9915,-0.363916
4e-013,15.3788,-8283.44,-8253.9,0,0,-0.187388,32.3917,-0.363755
4.05e-013,16.5165,-8285.06,-8253.34,0,0,-0.186977,32.7917,-0.363592
4.1e-013,17.0045,-8286.32,-8253.66,0,0,-0.186637,33.1916,-0.363427
4.15e-013,17.5406,-8288.27,-8254.59,0,0,-0.186295,33.5913,-0.36326
4.2e-013,17.7242,-8289.3,-8255.26,0,0,-0.185958,33.9908,-0.363091
4.25e-013,18.0903,-8291.15,-8256.41,0,0,-0.185655,34.3901,-0.36292
4.3e-013,18.2402,-8292.66,-8257.63,0,0,-0.185317,34.7892,-0.362747
4.35e-013,18.6164,-8294.72,-8258.96,0,0,-0.18492,35.1881,-0.362572
4.4e-013,18.9318,-8296.63,-8260.27,0,0,-0.184576,35.5869,-0.362395
4.45e-013,19.1817,-8299.03,-8262.19,0,0,-0.184343,35.9854,-0.362216
4.5e-013,19.3374,-8300.74,-8263.6,0,0,-0.184115,36.3838,-0.362035
4.55e-013,19.8547,-8302.43,-8264.3,0,0,-0.1838,36.7819,-0.361852
4.6e-013,20.2104,-8304.14,-8265.32,0,0,-0.183453,37.1798,-0.361667
4.65e-013,20.2484,-8305.2,-8266.31,0,0,-0.183155,37.5776,-0.36148
4.7e-013,20.2711,-8306.09,-8267.16,0,0,-0.182865,37.9751,-0.361292
4.75e-013,19.9769,-8306.73,-8268.37,0,0,-0.182505,38.3724,-0.361101
4.8e-013,19.4429,-8306.96,-8269.61,0,0,-0.182116,38.7695,-0.360908
4.85e-013,18.9145,-8306.94,-8270.62,0,0,-0.18182,39.1664,-0.360713
4.9e-013,18.1925,-8305.84,-8270.9,0,0,-0.181638,39.5631,-0.360516
4.95e-013,18.1347,-8305.49,-8270.66,0,0,-0.181436,39.9596,-0.360317
