step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
3.55e-013,269.258,-8230.46,-7713.31,0,0,-0.169966,0.416404,0,0,0
3.6e-013,272.429,-8233.78,-7710.54,0,0,-0.168928,0.414924,0,0,0
3.65e-013,275.021,-8235.68,-7707.46,0,0,-0.167904,0.413443,0,0,0
3.7e-013,279.554,-8241.22,-7704.3,0,0,-0.166934,0.411961,0,0,0
3.75e-013,284.562,-8248.43,-7701.88,0,0,-0.165854,0.410478,0,0,0
3.8e-013,290.41,-8257.66,-7699.88,0,0,-0.16463,0.408995,0,0,0
3.85e-013,297.296,-8269.7,-7698.7,0,0,-0.163279,0.407512,0,0,0
3.9e-013,302.898,-8279.19,-7697.43,0,0,-0.161561,0.406029,0,0,0
3.95e-013,307.314,-8287.13,-7696.89,0,0,-0.15933,0.404546,0,0,0
4e-013,308.123,-8289.96,-7698.16,0,0,-0.156914,0.403064,0,0,0
4.05e-013,309.009,-8293.28,-7699.78,0,0,-0.154597,0.401583,0,0,0
4.1e-013,305.972,-8288.38,-7700.71,0,0,-0.152164,0.400103,0,0,0
4.15e-013,304.657,-8287.05,-7701.91,0,0,-0.149465,0.398622,0,0,0
4.2e-013,302.207,-8282.45,-7702.01,0,0,-0.146824,0.39714,0,0,0
4.25e-013,301.939,-8281.86,-7701.94,0,0,-0.144456,0.395655,0,0,0
4.3e-013,303.495,-8284.9,-7701.99,0,0,-0.142104,0.394167,0,0,0
4.35e-013,305.131,-8287.27,-7701.22,0,0,-0.139639,0.392674,0,0,0
4.4e-013,306.668,-8290.75,-7701.74,0,0,-0.137419,0.391178,0,0,0
4.45e-013,306.044,-8290.48,-7702.68,0,0,-0.135684,0.389678,0,0,0
4.5e-013,303.752,-8287.15,-7703.75,0,0,-0.13415,0.388172,0,0,0
4.55e-013,296.754,-8273.8,-7703.84,0,0,-0.132491,0.38666,0,0,0
4.6e-013,287.635,-8255.57,-7703.13,0,0,-0.130749,0.385139,0,0,0
4.65e-013,277.552,-8234.39,-7701.31,0,0,-0.129046,0.383608,0,0,0
4.7e-013,265.854,-8208.8,-7698.19,0,0,-0.127279,0.382064,0,0,0
4.75e-013,254.253,-8182.85,-7694.52,0,0,-0.125367,0.380505,0,0,0
4.8e-013,243.379,-8157.27,-7689.83,0,0,-0.123527,0.378932,0,0,0
4.85e-013,234.158,-8132.45,-7682.71,0,0,-0.122008,0.377348,0,0,0
4.9e-013,226.431,-8109.9,-7675.01,0,0,-0.12067,0.375768,0,0,0
4.95e-013,218.82,-8087.68,-7667.4,0,0,-0.119141,0.374225,0,0,0
5e-013,210.531,-8063.41,-7659.05,0,0,-0.117383,0.372794,0,0,0
5.05e-013,203.673,-8053.1,-7661.92,0,0,-0.115757,0.371586,-5,0,-1.375e-005
5.1e-013,198.644,-8035.89,-7654.37,0,0,-0.114427,0.370702,-10,0,-5.25e-005
5.15e-013,190.736,-8010.41,-7644.08,0,0,-0.113149,0.370148,-15,0,-0.00011625
5.2e-013,187.615,-8006.17,-7645.83,0,0,-0.111803,0.369825,-20,0,-0.000205
5.25e-013,182.327,-7987.74,-7637.56,0,0,-0.110678,0.369616,-25,0,-0.00031875
5.3e-013,178.662,-7975.96,-7632.81,0,0,-0.109981,0.369443,-30,0,-0.0004575
5.35e-013,173.901,-7961.71,-7627.71,0,0,-0.109503,0.369272,-35,0,-0.00062125
5.4e-013,168.881,-7945.11,-7620.75,0,0,-0.108991,0.369089,-40,0,-0.00081
5.45e-013,161.248,-7924.83,-7615.13,0,0,-0.108437,0.368891,-45,0,-0.00102375
5.5e-013,152.643,-7901.14,-7607.96,0,0,-0.107931,0.368687,-50,0,-0.0012625
5.55e-013,146.526,-7879.35,-7597.92,0,0,-0.107537,0.368513,-55,0,-0.00152625
5.6e-013,137.628,-7851.65,-7587.31,0,0,-0.107254,0.368494,-60,0,-0.001815
5.65e-013,131.033,-7829.25,-7577.59,0,0,-0.106828,0.368979,-65,0,-0.00212875
5.7e-013,126.921,-7812.33,-7568.56,0,0,-0.105946,0.370666,-70,0,-0.0024675
5.75e-013,133.108,-7814.24,-7558.58,0,0,-0.104803,0.374058,-75,0,-0.00283125
5.8e-013,138.457,-7816.14,-7550.21,0,0,-0.103945,0.378704,-80,0,-0.00322
5.85e-013,139.913,-7811.83,-7543.11,0,0,-0.103403,0.383903,-85,0,-0.00363375
5.9e-013,137.854,-7801.14,-7536.37,0,0,-0.102766,0.38934,-90,0,-0.0040725
5.95e-013,136.319,-7789.56,-7527.73,0,0,-0.102132,0.394944,-95,0,-0.00453625
6e-013,137.62,-7782.64,-7518.32,0,0,-0.102012,0.400705,-100,0,-0.005025
6.05e-013,142.352,-7781.22,-7507.81,0,0,-0.102327,0.406622,-105,0,-0.00553875
6.1e-013,153.95,-7794.5,-7498.82,0,0,-0.102603,0.412673,-110,0,-0.0060775
