step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
3e-013,17.831,-8491.05,-8456.8,0,0,-0.192398,0.452545,2.12549,0,0.00063871
3.05e-013,18.8653,-8494.02,-8457.79,0,0,-0.192435,0.452386,2.12549,0,0.000649337
3.1e-013,19.628,-8497.15,-8459.45,0,0,-0.192453,0.452218,2.12549,0,0.000659965
3.15e-013,19.7239,-8499.51,-8461.63,0,0,-0.192442,0.452042,2.12549,0,0.000670592
3.2e-013,20.2909,-8503.66,-8464.68,0,0,-0.192388,0.45186,2.12549,0,0.00068122
3.25e-013,20.6038,-8506.53,-8466.96,0,0,-0.192316,0.451671,2.12549,0,0.000691847
3.3e-013,20.8133,-8509.66,-8469.69,0,0,-0.192257,0.451475,2.12549,0,0.000702475
3.35e-013,20.9769,-8512.96,-8472.67,0,0,-0.192196,0.451274,2.12549,0,0.000713102
3.4e-013,21.0828,-8516.26,-8475.76,0,0,-0.192104,0.451067,2.12549,0,0.000723729
3.45e-013,21.1587,-8519.35,-8478.71,0,0,-0.191994,0.450855,2.12549,0,0.000734357
3.5e-013,21.2546,-8522.67,-8481.85,0,0,-0.191888,0.450638,2.12549,0,0.000744984
3.55e-013,22.2883,-8525.52,-8482.71,0,0,-0.191775,0.450413,2.12549,0,0.000755612
3.6e-013,22.903,-8528.6,-8484.61,0,0,-0.191661,0.450178,2.12549,0,0.000766239
3.65e-013,23.3911,-8532.18,-8487.25,0,0,-0.191579,0.449936,2.12549,0,0.000776867
3.7e-013,23.8855,-8535.02,-8489.14,0,0,-0.191524,0.449685,2.12549,0,0.000787494
3.75e-013,24.219,-8538.92,-8492.4,0,0,-0.19144,0.449428,2.12549,0,0.000798122
3.8e-013,24.4584,-8542.29,-8495.32,0,0,-0.191305,0.449164,2.12549,0,0.000808749
3.85e-013,24.7081,-8545.59,-8498.13,0,0,-0.191168,0.448894,2.12549,0,0.000819376
3.9e-013,24.8877,-8549.25,-8501.45,0,0,-0.191049,0.448618,2.12549,0,0.000830004
3.95e-013,24.9992,-8552.8,-8504.79,0,0,-0.190913,0.448337,2.12549,0,0.000840631
4e-013,25.0785,-8556.77,-8508.61,0,0,-0.19074,0.448051,2.12549,0,0.000851259
4.05e-013,26.1394,-8560.59,-8510.39,0,0,-0.190565,0.447757,2.12549,0,0.000861886
4.1e-013,26.8922,-8564.29,-8512.64,0,0,-0.190405,0.447454,2.12549,0,0.000872514
4.15e-013,27.475,-8567.93,-8515.16,0,0,-0.190236,0.447142,2.12549,0,0.000883141
4.2e-013,27.8596,-8571.75,-8518.24,0,0,-0.190032,0.446825,2.12549,0,0.000893769
4.25e-013,28.1859,-8575.5,-8521.36,0,0,-0.189794,0.446502,2.12549,0,0.000904396
4.3e-013,28.4146,-8579.21,-8524.64,0,0,-0.189528,0.446174,2.12549,0,0.000915024
4.35e-013,28.5826,-8582.69,-8527.79,0,0,-0.189244,0.445842,2.12549,0,0.000925651
4.4e-013,28.7353,-8586.81,-8531.62,0,0,-0.188975,0.445507,2.12549,0,0.000936278
4.45e-013,28.8293,-8590.66,-8535.29,0,0,-0.188739,0.445168,2.12549,0,0.000946906
4.5e-013,28.9211,-8594.44,-8538.89,0,0,-0.188499,0.444826,2.12549,0,0.000957533
4.55e-013,29.9623,-8598.51,-8540.96,0,0,-0.18821,0.44448,2.12549,0,0.000968161
4.6e-013,30.7217,-8602.47,-8543.46,0,0,-0.18788,0.444127,2.12549,0,0.000978788
4.65e-013,31.3457,-8606.67,-8546.46,0,0,-0.187557,0.44377,2.12549,0,0.000989416
4.7e-013,31.7823,-8610.87,-8549.83,0,0,-0.187256,0.44341,2.12549,0,0.00100004
4.75e-013,32.0711,-8614.62,-8553.02,0,0,-0.186941,0.443047,2.12549,0,0.00101067
4.8e-013,32.264,-8618.96,-8556.99,0,0,-0.186592,0.442684,2.12549,0,0.0010213
4.85e-013,32.3858,-8623.22,-8561.02,0,0,-0.186237,0.442319,2.12549,0,0.00103193
4.9e-013,32.4721,-8626.84,-8564.48,0,0,-0.185903,0.441954,2.12549,0,0.00104255
4.95e-013,32.5458,-8630.92,-8568.42,0,0,-0.185572,0.44159,2.12549,0,0.00105318
5e-013,32.6007,-8634.75,-8572.13,0,0,-0.185219,0.441226,2.12549,0,0.00106381
5.05e-013,36.3233,-8663.26,-8593.5,0,0,-0.184857,0.440861,2.12549,0,0.00107444
5.1e-013,38.554,-8675.29,-8601.24,0,0,-0.184518,0.440495,2.12549,0,0.00108506
5.15e-013,40.1346,-8693.42,-8616.33,0,0,-0.184192,0.440135,2.12549,0,0.00109569
5.2e-013,41.5351,-8711.53,-8631.76,0,0,-0.183842,0.439781,2.12549,0,0.00110632
5.25e-013,42.6865,-8728.15,-8646.17,0,0,-0.183461,0.439436,2.12549,0,0.00111695
5.3e-013,43.5318,-8745.29,-8661.68,0,0,-0.183047,0.439099,2.12549,0,0.00112757
5.35e-013,44.753,-8764.42,-8678.47,0,0,-0.182535,0.438773,2.12549,0,0.0011382
5.4e-013,45.9094,-8783.5,-8695.32,0,0,-0.181806,0.438457,2.12549,0,0.00114883
5.45e-013,46.9759,-8803.21,-8712.98,0,0,-0.1808,0.438153,2.12549,0,0.00115945
5.5e-013,47.2896,-8821.81,-8730.98,0,0,-0.179626,0.43786,2.12549,0,0.00117008
5.55e-013,48.4513,-8840.04,-8746.98,0,0,-0.178503,0.437578,2.12549,0,0.00118071
5.6e-013,48.516,-8856.7,-8763.51,0,0,-0.177548,0.437305,2.12549,0,0.00119134
5.65e-013,47.1427,-8870.04,-8779.49,0,0,-0.176655,0.437041,2.12549,0,0.00120196
5.7e-013,44.7889,-8880.23,-8794.21,0,0,-0.175658,0.436785,2.12549,0,0.00121259
5.75e-013,42.4815,-8888.84,-8807.25,0,0,-0.174578,0.436535,2.12549,0,0.00122322
5.8e-013,41.053,-8897.93,-8819.09,0,0,-0.173572,0.436289,2.12549,0,0.00123385
5.85e-013,39.7155,-8906.98,-8830.7,0,0,-0.172675,0.436047,2.12549,0,0.00124447
5.9e-013,38.0687,-8914.88,-8841.76,0,0,-0.171801,0.435808,2.12549,0,0.0012551
5.95e-013,36.9195,-8922.77,-8851.86,0,0,-0.170946,0.435571,2.12549,0,0.00126573
6e-013,35.7845,-8928.89,-8860.17,0,0,-0.170197,0.435336,2.12549,0,0.00127636
6.05e-013,35.3315,-8933.12,-8865.26,0,0,-0.169535,0.4351,2.12549,0,0.00128698
6.1e-013,34.9402,-8937.72,-8870.61,0,0,-0.168827,0.43486,2.12549,0,0.00129761
6.15e-013,34.2839,-8941.29,-8875.44,0,0,-0.168,0.434618,2.12549,0,0.00130824
6.2e-013,33.9603,-8944.85,-8879.63,0,0,-0.167052,0.434372,2.12549,0,0.00131887
6.25e-013,33.8509,-8948.04,-8883.02,0,0,-0.165953,0.434122,2.12549,0,0.00132949
6.3e-013,34.1042,-8950.32,-8884.82,0,0,-0.164722,0.433869,2.12549,0,0.00134012
6.35e-013,34.6433,-8951.97,-8885.44,0,0,-0.163502,0.433612,2.12549,0,0.00135075
6.4e-013,35.3905,-8953.71,-8885.74,0,0,-0.162371,0.433352,2.12549,0,0.00136138
6.45e-013,35.5924,-8954.53,-8886.17,0,0,-0.161185,0.433091,2.12549,0,0.001372
6.5e-013,36.0009,-8955.28,-8886.13,0,0,-0.159796,0.432829,2.12549,0,0.00138263
6.55e-013,37.2065,-8955.8,-8884.34,0,0,-0.158308,0.432565,2.12549,0,0.00139326
6.6e-013,37.9134,-8956.56,-8883.75,0,0,-0.156925,0.4323,2.12549,0,0.00140389
6.65e-013,38.4528,-8957.94,-8884.08,0,0,-0.155677,0.432033,2.12549,0,0.00141451
6.7e-013,39.2618,-8960.36,-8884.95,0,0,-0.154446,0.431766,2.12549,0,0.00142514
6.75e-013,39.9707,-8961.98,-8885.21,0,0,-0.153208,0.4315,2.12549,0,0.00143577
6.8e-013,40.4713,-8963.77,-8886.04,0,0,-0.152028,0.431236,2.12549,0,0.0014464
6.85e-013,40.7843,-8965.47,-8887.14,0,0,-0.150904,0.430976,2.12549,0,0.00145702
6.9e-013,40.8783,-8967,-8888.49,0,0,-0.149752,0.430719,2.12549,0,0.00146765
6.95e-013,40.6815,-8968.21,-8890.07,0,0,-0.148543,0.430467,2.12549,0,0.00147828
7e-013,40.447,-8968.82,-8891.13,0,0,-0.147337,0.430218,2.12549,0,0.00148891
7.05e-013,41.1305,-8969.48,-8890.49,0,0,-0.146172,0.429972,2.12549,0,0.00149953
7.1e-013,41.5905,-8970.21,-8890.33,0,0,-0.144997,0.429727,2.12549,0,0.00151016
7.15e-013,41.723,-8970.22,-8890.08,0,0,-0.143758,0.429484,2.12549,0,0.00152079
7.2e-013,41.5719,-8969.72,-8889.87,0,0,-0.14246,0.429241,2.12549,0,0.00153142
7.25e-013,41.5402,-8969.29,-8889.5,0,0,-0.141113,0.429,2.12549,0,0.00154204
7.3e-013,41.3452,-8968.66,-8889.25,0,0,-0.139674,0.428759,2.12549,0,0.00155267
7.35e-013,41.4457,-8969.12,-8889.51,0,0,-0.138147,0.428519,2.12549,0,0.0015633
7.4e-013,41.4692,-8968.7,-8889.05,0,0,-0.13664,0.428279,2.12549,0,0.00157393
7.45e-013,41.663,-8969.04,-8889.02,0,0,-0.135206,0.42804,2.12549,0,0.00158455
7.5e-013,41.7103,-8969.19,-8889.08,0,0,-0.133729,0.427802,2.12549,0,0.00159518
7.55e-013,42.9585,-8969.57,-8887.06,0,0,-0.132102,0.427563,2.12549,0,0.00160581
7.6e-013,43.6147,-8969.71,-8885.94,0,0,-0.13042,0.427323,2.12549,0,0.00161644
7.65e-013,43.9887,-8969.72,-8885.23,0,0,-0.128817,0.427082,2.12549,0,0.00162706
7.7e-013,43.9487,-8969.03,-8884.62,0,0,-0.12724,0.426841,2.12549,0,0.00163769
7.75e-013,44.0178,-8968.2,-8883.66,0,0,-0.125589,0.426601,2.12549,0,0.00164832
7.8e-013,43.8856,-8967.29,-8883,0,0,-0.123917,0.42636,2.12549,0,0.00165895
7.85e-013,43.9012,-8966.42,-8882.1,0,0,-0.122312,0.42612,2.12549,0,0.00166957
7.9e-013,43.7716,-8965.3,-8881.23,0,0,-0.12073,0.425879,2.12549,0,0.0016802
7.95e-013,43.4196,-8963.42,-8880.03,0,0,-0.119076,0.425638,2.12549,0,0.00169083
8e-013,43.0856,-8960.98,-8878.22,0,0,-0.117353,0.425396,2.12549,0,0.00170145
8.05e-013,43.5091,-8958.71,-8875.15,0,0,-0.115619,0.425152,2.12549,0,0.00171208
8.1e-013,43.793,-8954.22,-8870.11,0,0,-0.113905,0.424904,2.12549,0,0.00172271
8.15e-013,43.8105,-8951.43,-8867.28,0,0,-0.112213,0.424653,2.12549,0,0.00173334
8.2e-013,43.847,-8948.42,-8864.21,0,0,-0.11049,0.424399,2.12549,0,0.00174396
8.25e-013,43.8357,-8945.43,-8861.24,0,0,-0.108663,0.424143,2.12549,0,0.00175459
8.3e-013,44.0115,-8942.92,-8858.39,0,0,-0.106753,0.423883,2.12549,0,0.00176522
8.35e-013,43.9581,-8940.04,-8855.61,0,0,-0.104884,0.423621,2.12549,0,0.00177585
8.4e-013,43.987,-8936.76,-8852.27,0,0,-0.103115,0.423356,2.12549,0,0.00178647
8.45e-013,43.9129,-8933.68,-8849.34,0,0,-0.101378,0.423088,2.12549,0,0.0017971
8.5e-013,43.595,-8929.94,-8846.2,0,0,-0.0996078,0.422818,2.12549,0,0.00180773
8.55e-013,44.148,-8926.22,-8841.43,0,0,-0.0977703,0.422543,2.12549,0,0.00181836
8.6e-013,44.8796,-8923.22,-8837.02,0,0,-0.0958158,0.422262,2.12549,0,0.00182898
8.65e-013,45.3131,-8920,-8832.97,0,0,-0.0937583,0.421975,2.12549,0,0.00183961
8.7e-013,45.669,-8917.39,-8829.68,0,0,-0.0917258,0.421683,2.12549,0,0.00185024
8.75e-013,45.545,-8913.8,-8826.32,0,0,-0.089791,0.421384,2.12549,0,0.00186087
8.8e-013,45.4768,-8911,-8823.65,0,0,-0.0878409,0.421079,2.12549,0,0.00187149
8.85e-013,45.2279,-8907.52,-8820.66,0,0,-0.0857877,0.420766,2.12549,0,0.00188212
8.9e-013,45.099,-8904.57,-8817.95,0,0,-0.0837171,0.420445,2.12549,0,0.00189275
8.95e-013,45.1332,-8902.09,-8815.41,0,0,-0.0816531,0.420114,2.12549,0,0.00190338
9e-013,45.1243,-8898.9,-8812.23,0,0,-0.0794198,0.419771,2.12549,0,0.001914
9.05e-013,46.1658,-8896.08,-8807.41,0,0,-0.0769239,0.419414,2.12549,0,0.00192463
9.1e-013,46.5843,-8892.14,-8802.67,0,0,-0.0743389,0.419038,2.12549,0,0.00193526
9.15e-013,47.2919,-8889.58,-8798.74,0,0,-0.0717903,0.418643,2.12549,0,0.00194589
9.2e-013,47.8347,-8886.97,-8795.1,0,0,-0.0691387,0.41823,2.12549,0,0.00195651
9.25e-013,48.2996,-8884.94,-8792.17,0,0,-0.0662859,0.417798,2.12549,0,0.00196714
9.3e-013,48.7305,-8882.85,-8789.26,0,0,-0.0633735,0.417347,2.12549,0,0.00197777
9.35e-013,49.6559,-8881.8,-8786.42,0,0,-0.0604912,0.416876,2.12549,0,0.0019884
9.4e-013,50.6574,-8881.07,-8783.78,0,0,-0.0575005,0.416387,2.12549,0,0.00199902
9.45e-013,51.8572,-8881.51,-8781.91,0,0,-0.0543154,0.415879,2.12549,0,0.00200965
9.5e-013,52.7123,-8882.21,-8780.97,0,0,-0.0510784,0.415355,2.12549,0,0.00202028
9.55e-013,54.5971,-8883.2,-8778.33,0,0,-0.0478857,0.414812,2.12549,0,0.00203091
9.6e-013,55.9333,-8884.44,-8777.01,0,0,-0.044647,0.41425,2.12549,0,0.00204153
9.65e-013,57.2891,-8886.83,-8776.79,0,0,-0.0413295,0.41367,2.12549,0,0.00205216
9.7e-013,58.2199,-8888.91,-8777.09,0,0,-0.0380825,0.413075,2.12549,0,0.00206279
9.75e-013,59.1354,-8892.32,-8778.74,0,0,-0.0350022,0.412464,2.12549,0,0.00207342
9.8e-013,59.4447,-8894.69,-8780.52,0,0,-0.0319707,0.411839,2.12549,0,0.00208404
9.85e-013,59.5135,-8896.4,-8782.1,0,0,-0.0288779,0.4112,2.12549,0,0.00209467
9.9e-013,59.3474,-8897.8,-8783.81,0,0,-0.0258339,0.410547,2.12549,0,0.0021053
9.95e-013,59.1568,-8898.87,-8785.25,0,0,-0.022994,0.409881,2.12549,0,0.00211593
1e-012,58.8387,-8899.66,-8786.65,0,0,-0.0202963,0.409202,2.12549,0,0.00212655
1.005e-012,60.276,-8902.55,-8786.78,0,0,-0.0175533,0.408508,2.12549,0,0.00213718
1.01e-012,61.0294,-8905.05,-8787.83,0,0,-0.0147655,0.407803,2.12549,0,0.00214781
1.015e-012,61.6668,-8908.72,-8790.28,0,0,-0.0121232,0.407091,2.12549,0,0.00215844
1.02e-012,62.222,-8912.25,-8792.74,0,0,-0.00970043,0.406378,2.12549,0,0.00216906
1.025e-012,62.5915,-8915.05,-8794.84,0,0,-0.00737056,0.405674,2.12549,0,0.00217969
1.03e-012,63.0992,-8918.68,-8797.49,0,0,-0.00504101,0.404989,2.12549,0,0.00219032
1.035e-012,63.454,-8922.05,-8800.18,0,0,-0.00278292,0.404332,2.12549,0,0.00220095
1.04e-012,64.2309,-8926.51,-8803.15,0,0,-0.000651403,0.403719,2.12549,0,0.00221157
1.045e-012,64.6619,-8930.03,-8805.84,0,0,0.00143797,0.403165,2.12549,0,0.0022222
1.05e-012,65.3305,-8934.84,-8809.36,0,0,0.00354527,0.402686,2.12549,0,0.00223283
1.055e-012,66.6386,-8939.61,-8811.62,0,0,0.00556541,0.402299,2.12549,0,0.00224345
1.06e-012,67.7446,-8944.85,-8814.74,0,0,0.00737614,0.402021,2.12549,0,0.00225408
1.065e-012,68.1448,-8949.22,-8818.34,0,0,0.00902987,0.401866,2.12549,0,0.00226471
1.07e-012,68.0512,-8953.07,-8822.37,0,0,0.0106666,0.401847,2.12549,0,0.00227534
1.075e-012,67.9336,-8956.09,-8825.61,0,0,0.0122921,0.401968,2.12549,0,0.00228596
1.08e-012,67.8831,-8959.5,-8829.12,0,0,0.0138087,0.402229,2.12549,0,0.00229659
1.085e-012,67.5603,-8961.97,-8832.21,0,0,0.0152146,0.402624,2.12549,0,0.00230722
1.09e-012,67.1021,-8963.82,-8834.94,0,0,0.0165954,0.403142,2.12549,0,0.00231785
1.095e-012,66.2371,-8964.88,-8837.66,0,0,0.0179238,0.403768,2.12549,0,0.00232847
1.1e-012,65.2603,-8964.85,-8839.51,0,0,0.0190499,0.404484,2.12549,0,0.0023391
1.105e-012,65.1484,-8963.71,-8838.58,0,0,0.0199328,0.405276,2.12549,0,0.00234973
1.11e-012,64.8747,-8962.42,-8837.82,0,0,0.0207185,0.406131,2.12549,0,0.00236036
