step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
89,0.39,-2095.69,-1.09204,0.383792,8.52717,-0.00620789
90,0.4,-2095.59,-0.99455,0.39367,7.66326,-0.00632984
91,0.41,-2095.49,-0.890047,0.403548,6.72783,-0.00645179
92,0.42,-2095.31,-0.717812,0.413426,5.26738,-0.00657374
93,0.43,-2095.23,-0.637242,0.423304,4.51313,-0.0066957
94,0.44,-2095.19,-0.594426,0.433182,4.05874,-0.00681765
95,0.45,-2095.15,-0.555939,0.44306,3.64681,-0.00693959
96,0.46,-2095.12,-0.521368,0.452938,3.27519,-0.00706155
97,0.47,-2095.09,-0.490321,0.462816,2.94113,-0.0071835
98,0.48,-2095.06,-0.46244,0.472695,2.64158,-0.00730545
99,0.49,-2095.03,-0.437394,0.482573,2.37341,-0.0074274
