step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
0,0.00313161,-8153.4,-8153.39,-1,0,-0.106673,0,-0.0737471
5e-015,2.41696,-8168.85,-8164.09,-1,0,-0.106678,0.0160951,-0.073747
1e-014,9.52007,-8207.48,-8188.72,-1,0,-0.106684,0.0321901,-0.0737469
1.5e-014,6.16817,-8222.96,-8210.81,-1,0,-0.106681,0.0482851,-0.0737467
2e-014,10.3575,-8242.2,-8221.79,-1,0,-0.106674,0.06438,-0.0737464
2.5e-014,11.0367,-8257.63,-8235.89,-1,0,-0.106678,0.0804749,-0.0737461
3e-014,12.9211,-8271.36,-8245.89,-1,0,-0.106718,0.0965697,-0.0737456
3.5e-014,13.2258,-8282.02,-8255.96,-1,0,-0.106839,0.112664,-0.0737451
4e-014,12.5336,-8291.14,-8266.45,-1,0,-0.107095,0.128759,-0.0737445
4.5e-014,12.962,-8304.37,-8278.83,-1,0,-0.107479,0.144853,-0.0737438
5e-014,11.1453,-8309.78,-8287.81,-1,0,-0.107821,0.160948,-0.073743
5.5e-014,11.311,-8316.32,-8294.03,-1,0,-0.107883,0.177042,-0.0737422
6e-014,10.4946,-8319.55,-8298.87,-1,0,-0.107659,0.193136,-0.0737413
6.5e-014,10.7778,-8325.57,-8304.34,-1,0,-0.107485,0.209229,-0.0737403
7e-014,10.5365,-8331.67,-8310.9,-1,0,-0.107628,0.225323,-0.0737392
7.5e-014,10.6089,-8339.17,-8318.27,-1,0,-0.107885,0.241416,-0.073738
8e-014,10.2375,-8345.47,-8325.3,-1,0,-0.107903,0.257509,-0.0737368
8.5e-014,9.63295,-8350.89,-8331.91,-1,0,-0.107734,0.273602,-0.0737354
9e-014,9.22238,-8356.41,-8338.24,-1,0,-0.107667,0.289694,-0.073734
9.5e-014,8.88593,-8361.67,-8344.16,-1,0,-0.107682,0.305786,-0.0737325
1e-013,8.27723,-8366.29,-8349.98,-1,0,-0.107561,0.321878,-0.073731
1.05e-013,8.36537,-8370.57,-8354.09,-1,0,-0.107411,0.337969,-0.0737293
1.1e-013,8.67785,-8375.52,-8358.42,-1,0,-0.107537,0.35406,-0.0737276
1.15e-013,8.69616,-8380.1,-8362.96,-1,0,-0.107891,0.370151,-0.0737258
1.2e-013,8.69458,-8384.55,-8367.42,-1,0,-0.108148,0.386241,-0.0737239
1.25e-013,8.57903,-8388.29,-8371.39,-1,0,-0.108257,0.402331,-0.0737219
1.3e-013,8.60432,-8392.73,-8375.78,-1,0,-0.108427,0.41842,-0.0737199
1.35e-013,8.22484,-8395.98,-8379.77,-1,0,-0.108658,0.434509,-0.0737177
