step	rz	Epot	Epot00	prob_atom_crd[2]	prob_atom_f[2]	target_crd[2]		step	rz	Epot	Epot00	prob_atom_crd[2]	prob_atom_f[2]	target_crd[2]
83	0,33	573,66	-5,71743	0,374725	10,6489	0,0447251		83	-0,33	570,641	-0,461985	-0,268724	-22,5432	0,061276
84	0,34	573,763	-5,61482	0,384633	9,87281	0,0446334		84	-0,34	570,528	-0,574567	-0,278632	-7,7113	0,0613677
85	0,35	573,895	-5,48296	0,394542	8,88572	0,0445417		85	-0,35	570,517	-0,58556	-0,288541	1,35025	0,0614595
86	0,36	573,98	-5,3978	0,40445	8,15409	0,0444499		86	-0,36	570,576	-0,52643	-0,298449	6,64053	0,0615512
87	0,37	574,058	-5,31977	0,414358	7,4623	0,0443582		87	-0,37	570,659	-0,443503	-0,308357	9,60272	0,0616429
88	0,38	574,129	-5,24843	0,424266	6,81652	0,0442664		88	-0,38	570,764	-0,339251	-0,318265	11,0326	0,0617347
89	0,39	574,195	-5,1833	0,434175	6,21897	0,0441747		89	-0,39	570,877	-0,225904	-0,328174	11,5051	0,0618264
90	0,4	574,254	-5,12391	0,444083	5,66943	0,0440829		90	-0,4	570,992	-0,111024	-0,338082	11,3935	0,0619182
91	0,41	574,308	-5,06978	0,453991	5,16625	0,0439912		91	-0,41	571,104	0,000849125	-0,34799	10,9388	0,0620099
92	0,42	574,357	-5,02046	0,463899	4,70692	0,0438995		92	-0,42	571,21	0,107125	-0,357898	10,296	0,0621017
93	0,43	574,402	-4,97552	0,473808	4,28851	0,0438077		93	-0,43	571,309	0,206456	-0,367807	9,56371	0,0621934
94	0,44	574,443	-4,93458	0,483716	3,90795	0,043716		94	-0,44	571,417	0,314368	-0,377715	8,67897	0,0622851
95	0,45	574,497	-4,88115	0,493624	3,4234	0,0436242		95	-0,45	571,547	0,444228	-0,387623	7,58408	0,0623769
96	0,46	574,664	-4,71393	0,503532	2,05436	0,0435325		96	-0,46	571,635	0,532471	-0,397531	6,78271	0,0624686
97	0,47	574,768	-4,60953	0,513441	1,2053	0,0434407		97	-0,47	571,716	0,613094	-0,40744	6,03088	0,0625604
98	0,48	574,806	-4,57238	0,523349	0,874572	0,043349		98	-0,48	571,805	0,70178	-0,417348	5,21645	0,0626521
99	0,49	574,846	-4,53207	0,533257	0,542392	0,0432573		99	-0,49	571,901	0,798435	-0,427256	4,3475	0,0627439
