"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"
-52.200000	-1414.433083	-2044.922635	630.489552	45.922830	747.073350	-3026.727897	188.809081	259.457550	371.032003	0.000000	0.000000
-52.000000	-1415.963129	-2046.465498	630.502369	45.922830	745.516219	-3026.713628	188.809081	259.456872	371.045497	0.000000	0.000000
-51.800000	-1417.488286	-2048.003605	630.515318	45.922830	743.963553	-3026.699070	188.809081	259.456216	371.059102	0.000000	0.000000
-51.600000	-1419.008452	-2049.536851	630.528400	45.922830	742.415461	-3026.684223	188.809081	259.455583	371.072817	0.000000	0.000000
-51.400000	-1420.523737	-2051.065349	630.541612	45.922830	740.871831	-3026.669091	188.809081	259.454972	371.086640	0.000000	0.000000
-51.200000	-1422.034091	-2052.589045	630.554954	45.922830	739.332719	-3026.653676	188.809081	259.454382	371.100572	0.000000	0.000000
-51.000000	-1423.539540	-2054.107964	630.568424	45.922830	737.798105	-3026.637980	188.809081	259.453813	371.114611	0.000000	0.000000
-50.800000	-1425.040135	-2055.622155	630.582020	45.922830	736.267938	-3026.622005	188.809081	259.453265	371.128756	0.000000	0.000000
-50.600000	-1426.535889	-2057.131632	630.595743	45.922830	734.742209	-3026.605753	188.809081	259.452736	371.143007	0.000000	0.000000
-50.400000	-1428.026763	-2058.636353	630.609590	45.922830	733.220963	-3026.589227	188.809081	259.452228	371.157362	0.000000	0.000000
-50.200000	-1429.512826	-2060.136386	630.623560	45.922830	731.704132	-3026.572430	188.809081	259.451739	371.171821	0.000000	0.000000
-50.000000	-1430.994008	-2061.631661	630.637652	45.922830	730.191793	-3026.555364	188.809081	259.451269	371.186383	0.000000	0.000000
-49.800000	-1432.470462	-2063.122328	630.651866	45.922830	728.683793	-3026.538032	188.809081	259.450818	371.201047	0.000000	0.000000
-49.600000	-1433.942125	-2064.608323	630.666199	45.922830	727.180201	-3026.520436	188.809081	259.450386	371.215813	0.000000	0.000000
-49.400000	-1435.408975	-2066.089626	630.680650	45.922830	725.681042	-3026.502580	188.809081	259.449972	371.230678	0.000000	0.000000
-49.200000	-1436.871009	-2067.566227	630.695218	45.922830	724.186327	-3026.484466	188.809081	259.449576	371.245643	0.000000	0.000000
-49.000000	-1438.328362	-2069.038265	630.709903	45.922830	722.695920	-3026.466096	188.809081	259.449197	371.260706	0.000000	0.000000
-48.800000	-1439.780995	-2070.505698	630.724703	45.922830	721.209865	-3026.447474	188.809081	259.448835	371.275868	0.000000	0.000000
-48.600000	-1441.228883	-2071.968499	630.739617	45.922830	719.728193	-3026.428604	188.809081	259.448491	371.291126	0.000000	0.000000
-48.400000	-1442.672054	-2073.426697	630.754643	45.922830	718.250879	-3026.409487	188.809081	259.448163	371.306479	0.000000	0.000000
-48.200000	-1444.110434	-2074.880213	630.769779	45.922830	716.778004	-3026.390129	188.809081	259.447852	371.321927	0.000000	0.000000
-48.000000	-1445.544235	-2076.329262	630.785027	45.922830	715.309355	-3026.370529	188.809081	259.447557	371.337470	0.000000	0.000000
-47.800000	-1446.973285	-2077.773668	630.800384	45.922830	713.845115	-3026.350694	188.809081	259.447278	371.353105	0.000000	0.000000
-47.600000	-1448.397713	-2079.213561	630.815848	45.922830	712.385153	-3026.330625	188.809081	259.447015	371.368833	0.000000	0.000000
-47.400000	-1449.817465	-2080.648884	630.831419	45.922830	710.929532	-3026.310327	188.809081	259.446767	371.384652	0.000000	0.000000
-47.200000	-1451.232571	-2082.079666	630.847095	45.922830	709.478225	-3026.289802	188.809081	259.446535	371.400560	0.000000	0.000000
-47.000000	-1452.642995	-2083.505871	630.862876	45.922830	708.031273	-3026.269055	188.809081	259.446318	371.416558	0.000000	0.000000
-46.800000	-1454.048827	-2084.927587	630.878760	45.922830	706.588590	-3026.248088	188.809081	259.446115	371.432644	0.000000	0.000000
-46.600000	-1455.450013	-2086.344758	630.894745	45.922830	705.150236	-3026.226906	188.809081	259.445927	371.448818	0.000000	0.000000
-46.400000	-1456.846560	-2087.757391	630.910831	45.922830	703.716210	-3026.205512	188.809081	259.445754	371.465078	0.000000	0.000000
-46.200000	-1458.238533	-2089.165550	630.927017	45.922830	702.286447	-3026.183909	188.809081	259.445594	371.481423	0.000000	0.000000
-46.000000	-1459.625958	-2090.569260	630.943302	45.922830	700.860929	-3026.162101	188.809081	259.445449	371.497853	0.000000	0.000000
-45.800000	-1461.008762	-2091.968445	630.959684	45.922830	699.439735	-3026.140092	188.809081	259.445318	371.514366	0.000000	0.000000
-45.600000	-1462.386969	-2093.363130	630.976162	45.922830	698.022844	-3026.117886	188.809081	259.445200	371.530962	0.000000	0.000000
-45.400000	-1463.760606	-2094.753340	630.992734	45.922830	696.610235	-3026.095487	188.809081	259.445096	371.547638	0.000000	0.000000
-45.200000	-1465.129676	-2096.139077	631.009400	45.922830	695.201910	-3026.072898	188.809081	259.445005	371.564396	0.000000	0.000000
-45.000000	-1466.494223	-2097.520383	631.026160	45.922830	693.797829	-3026.050124	188.809081	259.444927	371.581233	0.000000	0.000000
-44.800000	-1467.854193	-2098.897203	631.043010	45.922830	692.398053	-3026.027168	188.809081	259.444862	371.598148	0.000000	0.000000
-44.600000	-1469.209611	-2100.269561	631.059950	45.922830	691.002563	-3026.004035	188.809081	259.444810	371.615141	0.000000	0.000000
-44.400000	-1470.560516	-2101.637496	631.076980	45.922830	689.611321	-3025.980728	188.809081	259.444770	371.632210	0.000000	0.000000
-44.200000	-1471.906837	-2103.000935	631.094097	45.922830	688.224407	-3025.957253	188.809081	259.444743	371.649354	0.000000	0.000000
-44.000000	-1473.248710	-2104.360012	631.111302	45.922830	686.841689	-3025.933612	188.809081	259.444729	371.666573	0.000000	0.000000
-43.800000	-1474.586005	-2105.714596	631.128591	45.922830	685.463303	-3025.909810	188.809081	259.444726	371.683865	0.000000	0.000000
-43.600000	-1475.918762	-2107.064727	631.145965	45.922830	684.089214	-3025.885853	188.809081	259.444736	371.701229	0.000000	0.000000
-43.400000	-1477.247059	-2108.410482	631.163423	45.922830	682.719349	-3025.861742	188.809081	259.444757	371.718665	0.000000	0.000000
-43.200000	-1478.570806	-2109.751767	631.180962	45.922830	681.353805	-3025.837483	188.809081	259.444791	371.736171	0.000000	0.000000
-43.000000	-1479.890093	-2111.088675	631.198582	45.922830	679.992494	-3025.813080	188.809081	259.444836	371.753746	0.000000	0.000000
-42.800000	-1481.204811	-2112.421097	631.216286	45.922830	678.635531	-3025.788539	188.809081	259.444892	371.771394	0.000000	0.000000
-42.600000	-1482.515061	-2113.749143	631.234081	45.922830	677.282808	-3025.763862	188.809081	259.444960	371.789121	0.000000	0.000000
-42.400000	-1483.820825	-2115.072791	631.251966	45.922830	675.934351	-3025.739054	188.809081	259.445039	371.806927	0.000000	0.000000
-42.200000	-1485.122052	-2116.391990	631.269938	45.922830	674.590219	-3025.714120	188.809081	259.445130	371.824809	0.000000	0.000000
-42.000000	-1486.418775	-2117.706772	631.287997	45.922830	673.250381	-3025.689065	188.809081	259.445231	371.842766	0.000000	0.000000
-41.800000	-1487.711051	-2119.017192	631.306142	45.922830	671.914787	-3025.663891	188.809081	259.445344	371.860798	0.000000	0.000000
-41.600000	-1488.998787	-2120.323157	631.324370	45.922830	670.583538	-3025.638606	188.809081	259.445467	371.878903	0.000000	0.000000
-41.400000	-1490.282024	-2121.624704	631.342681	45.922830	669.256597	-3025.613212	188.809081	259.445601	371.897080	0.000000	0.000000
-41.200000	-1491.560823	-2122.921896	631.361073	45.922830	667.933907	-3025.587714	188.809081	259.445746	371.915327	0.000000	0.000000
-41.000000	-1492.835048	-2124.214592	631.379544	45.922830	666.615615	-3025.562118	188.809081	259.445901	371.933644	0.000000	0.000000
-40.800000	-1494.104838	-2125.502933	631.398095	45.922830	665.301583	-3025.536427	188.809081	259.446066	371.952029	0.000000	0.000000
-40.600000	-1495.370134	-2126.786857	631.416723	45.922830	663.991878	-3025.510646	188.809081	259.446242	371.970481	0.000000	0.000000
-40.400000	-1496.630923	-2128.066350	631.435427	45.922830	662.686519	-3025.484780	188.809081	259.446428	371.988999	0.000000	0.000000
-40.200000	-1497.887248	-2129.341454	631.454206	45.922830	661.385468	-3025.458833	188.809081	259.446624	372.007581	0.000000	0.000000
-40.000000	-1499.139027	-2130.612084	631.473057	45.922830	660.088817	-3025.432812	188.809081	259.446831	372.026226	0.000000	0.000000
-39.800000	-1500.386351	-2131.878332	631.491981	45.922830	658.796475	-3025.406718	188.809081	259.447047	372.044934	0.000000	0.000000
-39.600000	-1501.629159	-2133.140133	631.510975	45.922830	657.508513	-3025.380558	188.809081	259.447273	372.063702	0.000000	0.000000
