step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
420,115.28,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000153485,0.0550261,-0.0509426,0.638941,0.5026,1
430,121.298,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-4.89708e-005,0.0552048,-0.0512009,0.638941,0.5026,1
440,124.005,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,3.7938e-005,0.0553001,-0.0510595,0.638971,0.502575,1
450,127.599,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-4.41014e-006,0.0553889,-0.0508109,0.639183,0.502395,1
460,129.262,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-6.96288e-005,0.0555628,-0.0507739,0.639303,0.502289,1
470,129.723,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-9.64374e-005,0.0556575,-0.050504,0.639315,0.502278,1
480,131.428,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000275314,0.0556135,-0.0498534,0.639334,0.50226,1
490,130.601,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000524368,0.0554422,-0.0492005,0.639346,0.502248,1
500,132.687,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000531426,0.0553332,-0.0487173,0.639346,0.502248,1
510,141.132,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000228769,0.0552175,-0.0480013,0.639392,0.502193,1
520,146.937,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,1.39329e-005,0.0550346,-0.0470698,0.639485,0.502072,1
530,147.607,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000126821,0.0548403,-0.0463758,0.639583,0.501932,1
540,146.915,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000296563,0.0547512,-0.0459663,0.639721,0.501722,1
550,144.851,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000432059,0.0545629,-0.0453687,0.639844,0.501527,1
560,142.582,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000339798,0.0543168,-0.0445935,0.639897,0.501446,1
570,141.506,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000278382,0.0543097,-0.0441544,0.639933,0.50138,1
580,139.14,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000399004,0.0545958,-0.0441011,0.640008,0.501234,1
590,136.639,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000397366,0.0548146,-0.0438723,0.640083,0.501084,1
600,133.9,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000221174,0.0549106,-0.0433784,0.640143,0.500976,1
610,139.209,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000216004,0.0549829,-0.0431672,0.640208,0.500866,1
620,144.131,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000413426,0.0549941,-0.0433984,0.640288,0.500731,1
630,145.862,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000547981,0.0549756,-0.0434974,0.640428,0.500488,1
640,149.087,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000674898,0.0552227,-0.0432794,0.640631,0.500141,1
650,153.682,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.00084825,0.0556583,-0.0431824,0.640786,0.499885,1
660,158.996,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000866452,0.0558546,-0.0433177,0.640823,0.499831,1
670,165.985,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000637909,0.0557167,-0.0431942,0.640836,0.499809,1
680,170.523,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000467818,0.0556412,-0.0428732,0.640916,0.499671,1
690,173.887,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,0.000363406,0.0557772,-0.0427817,0.640975,0.499565,1
700,178.548,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,2.77832e-005,0.0558525,-0.0428906,0.640975,0.499565,1
710,189.347,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000639543,0.0556804,-0.0426533,0.640975,0.499565,1
720,199.154,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00112277,0.0553783,-0.0422465,0.640975,0.499565,1
730,203.979,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00123183,0.054908,-0.042129,0.640975,0.499565,1
740,208.73,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00120697,0.0542948,-0.0423544,0.640975,0.499565,1
750,214.611,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00126177,0.0540102,-0.0423632,0.640975,0.499565,1
760,219.731,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00122365,0.0542581,-0.0422669,0.640975,0.499565,1
770,225.474,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00132634,0.0543914,-0.0423542,0.640975,0.499565,1
780,227.312,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00158637,0.0541191,-0.0426514,0.640975,0.499565,1
790,224.301,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00169983,0.0540428,-0.0426416,0.640975,0.499565,1
800,216.845,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00143612,0.0543107,-0.0424964,0.640975,0.499565,1
810,218.36,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00125784,0.0543227,-0.0424478,0.64108,0.499208,1
820,214.972,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00121573,0.0540536,-0.0423943,0.641184,0.498854,1
