tor1(deg),E(kJ/mol)
-0.492457,0.116905
-0.489374,0.117257
-0.485987,0.117610
-0.484379,0.114368
-0.482504,0.115409
-0.480851,0.117063
-0.480447,0.119348
-0.478847,0.120666
-0.476037,0.122769
-0.474568,0.125310
-0.473472,0.129518
-0.471055,0.129366
-0.467400,0.128775
-0.463160,0.128751
-0.459199,0.124007
-0.459771,0.122630
-0.461361,0.121776
-0.464588,0.123622
-0.468079,0.125802
-0.471305,0.129754
-0.472006,0.132372
-0.471548,0.136493
-0.468506,0.137671
-0.462249,0.136514
-0.457339,0.136026
-0.453063,0.134685
-0.447942,0.133359
-0.445416,0.132271
-0.441759,0.132711
-0.438779,0.129658
-0.434515,0.126536
-0.431983,0.125586
-0.429701,0.126479
-0.427215,0.123832
-0.424214,0.122091
-0.420352,0.119127
-0.417812,0.113809
-0.416216,0.107182
-0.416067,0.103055
-0.415474,0.103347
-0.415003,0.101054
-0.415553,0.097213
-0.417668,0.094114
-0.419707,0.091325
-0.422198,0.089695
-0.424718,0.088099
-0.428336,0.089125
-0.432569,0.090506
-0.435800,0.094583
-0.438660,0.098760
-0.440024,0.102056
-0.438849,0.103739
-0.438464,0.106558
-0.439245,0.110438
-0.439368,0.112127
-0.441736,0.115806
-0.444205,0.120323
-0.445669,0.121088
-0.448392,0.122971
-0.450304,0.125905
-0.450548,0.128863
-0.448097,0.132041
-0.443929,0.132777
-0.440389,0.131473
-0.440069,0.131922
-0.441792,0.135608
-0.440821,0.136538
-0.437845,0.133352
-0.438659,0.132123
-0.440178,0.133164
-0.440991,0.133082
-0.442340,0.135213
-0.442313,0.137847
-0.441376,0.140452
-0.441037,0.141728
-0.440025,0.144384
-0.439343,0.150561
-0.439804,0.156839
-0.441645,0.161575
-0.441642,0.164708
-0.437680,0.168686
-0.435894,0.175509
-0.435590,0.180233
-0.434306,0.180944
-0.431663,0.177819
-0.431216,0.176443
-0.433095,0.174197
-0.432134,0.171106
-0.431272,0.166536
-0.429249,0.158048
-0.428381,0.150564
-0.427358,0.141704
-0.427114,0.134902
-0.426826,0.128728
-0.425927,0.124563
-0.422115,0.117249
-0.418581,0.110243
-0.411812,0.107447
-0.407017,0.103267
-0.404116,0.100626
-0.403209,0.102978
-0.404518,0.109364
-0.405126,0.116306
-0.405087,0.120531
-0.405762,0.124571
-0.404816,0.128352
-0.402828,0.131525
-0.402592,0.135328
-0.403616,0.138531
-0.404161,0.141604
-0.404647,0.142573
-0.402966,0.143767
-0.404664,0.145807
-0.406656,0.147311
-0.407113,0.149272
-0.407037,0.151456
-0.409590,0.154245
-0.412825,0.154585
-0.413529,0.152942
-0.413227,0.152206
-0.411954,0.151601
-0.411636,0.153107
-0.410237,0.153036
-0.408304,0.151041
-0.406481,0.148120
-0.404157,0.145784
-0.399581,0.143972
-0.395878,0.139851
-0.393706,0.134902
-0.390717,0.128093
-0.387623,0.118417
-0.383623,0.108125
-0.383014,0.101110
-0.382133,0.096034
-0.380650,0.092474
-0.381425,0.087974
-0.381904,0.082941
-0.383468,0.079409
-0.387289,0.079303
-0.390412,0.075660
-0.392038,0.069608
-0.393746,0.068054
-0.395755,0.065666
-0.397647,0.063715
-0.398551,0.062161
-0.404334,0.065435
-0.408753,0.069122
-0.412502,0.073479
-0.413776,0.077308
-0.415738,0.083438
-0.417957,0.088654
-0.420842,0.094489
-0.426222,0.103153
-0.431410,0.109345
-0.435138,0.115468
-0.440221,0.121047
-0.447456,0.126592
-0.453916,0.126596
-0.457177,0.124721
-0.460791,0.123651
-0.465400,0.122322
-0.468470,0.119475
-0.473240,0.116306
-0.479439,0.114433
-0.482884,0.112521
-0.485734,0.109063
-0.486978,0.106088
-0.490427,0.101678
-0.490627,0.095013
-0.491421,0.086258
-0.490078,0.077542
-0.487159,0.066352
-0.483748,0.058491
-0.481018,0.052412
-0.475830,0.047527
-0.470811,0.044197
-0.463980,0.040242
-0.459645,0.040594
-0.456633,0.041600
-0.448202,0.041603
-0.438965,0.040010
-0.433594,0.041883
-0.429573,0.042186
-0.424339,0.042251
-0.421403,0.046903
-0.416310,0.051655
-0.413780,0.056263
-0.409561,0.061469
-0.406641,0.066710
-0.403241,0.073283
-0.399754,0.081169
-0.397287,0.088840
-0.397622,0.098341
-0.397209,0.105940
-0.397111,0.113591
-0.397450,0.120720
-0.397788,0.129328
-0.399647,0.138109
-0.403408,0.144731
-0.408380,0.150513
-0.412577,0.153666
-0.421160,0.154123
-0.429064,0.155392
-0.437554,0.154057
-0.445730,0.151673
-0.449400,0.147608
-0.450933,0.144093
-0.452261,0.143152
-0.451018,0.138088
-0.451103,0.133723
-0.448676,0.131324
-0.445233,0.129784
-0.440588,0.129149
-0.435766,0.126875
-0.429613,0.124873
-0.425648,0.125634
-0.419305,0.126886
-0.412419,0.129105
-0.407676,0.132655
-0.399734,0.131761
-0.393241,0.128092
-0.389549,0.124165
-0.385175,0.120975
-0.378239,0.113881
-0.374177,0.108470
-0.371091,0.105439
-0.373301,0.102239
-0.375095,0.095486
-0.374255,0.087934
-0.372098,0.081537
-0.373272,0.074379
-0.373902,0.066435
-0.375388,0.059437
-0.375632,0.053475
-0.375821,0.050785
-0.377097,0.049057
-0.377265,0.048077
-0.373714,0.047436
-0.373217,0.048756
-0.371543,0.049413
-0.369656,0.049632
-0.367418,0.049581
-0.367319,0.049694
-0.369205,0.050739
-0.370540,0.051028
-0.368456,0.051848
-0.366991,0.053980
-0.367301,0.060318
-0.370770,0.065283
-0.373720,0.070852
-0.378017,0.075073
-0.379964,0.077338
-0.380416,0.078943
-0.381091,0.081004
-0.382533,0.083056
-0.384545,0.083963
-0.388399,0.085152
-0.395558,0.083228
-0.403161,0.080872
-0.412058,0.079829
-0.422163,0.079048
-0.434858,0.080560
-0.446364,0.082350
-0.457179,0.082946
-0.467936,0.082238
-0.478857,0.083295
-0.486964,0.083355
-0.496792,0.083407
-0.504908,0.085223
-0.511250,0.086574
-0.516665,0.086620
-0.520658,0.086679
-0.523367,0.089666
-0.524678,0.091505
-0.526200,0.094841
-0.524738,0.099089
-0.525045,0.103528
-0.524068,0.107011
-0.524086,0.114918
-0.522446,0.117912
-0.518904,0.116583
-0.518370,0.120346
-0.516327,0.119775
-0.513418,0.116535
-0.510547,0.113184
-0.508920,0.108070
-0.506253,0.103788
-0.501188,0.099958
-0.497889,0.095294
-0.495190,0.091271
-0.493854,0.087055
-0.492653,0.083343
-0.488858,0.078917
-0.484114,0.074191
-0.481371,0.072577
-0.480739,0.072661
-0.475973,0.069095
-0.470513,0.064663
-0.466136,0.059751
-0.460128,0.055616
-0.457421,0.055821
-0.453621,0.057721
-0.447164,0.055737
-0.442217,0.053268
-0.439767,0.052408
-0.439734,0.052820
-0.437842,0.050269
-0.437856,0.046884
-0.435633,0.045401
-0.437624,0.045019
-0.439804,0.044934
-0.443591,0.045846
-0.450316,0.052516
-0.454342,0.056952
-0.456779,0.060013
-0.459367,0.067056
-0.465193,0.074605
-0.470583,0.082241
-0.473967,0.085037
-0.479566,0.086480
-0.488071,0.089131
-0.501008,0.092309
-0.508131,0.095617
-0.512805,0.096049
-0.517225,0.097892
-0.522374,0.099859
-0.528148,0.098390
-0.532987,0.096604
-0.537454,0.096113
-0.540268,0.094510
-0.541456,0.091502
-0.538831,0.088265
-0.534954,0.082997
-0.532108,0.075166
-0.530700,0.067864
-0.526389,0.061348
-0.522632,0.057271
-0.520984,0.054050
-0.515402,0.048838
-0.508965,0.044521
-0.503753,0.038992
-0.496673,0.036506
-0.489953,0.035198
-0.483544,0.034508
-0.476793,0.035387
-0.466837,0.036307
-0.457057,0.037920
-0.449422,0.038953
-0.442239,0.040407
-0.436288,0.043446
-0.433668,0.046736
-0.432220,0.051666
-0.427170,0.056854
-0.421482,0.063279
-0.415913,0.067613
-0.410956,0.072966
-0.409377,0.079003
-0.406120,0.084594
-0.406366,0.093635
-0.407026,0.101656
-0.404941,0.107180
-0.404100,0.113610
-0.404023,0.119145
-0.404426,0.122060
-0.405016,0.124666
-0.406228,0.123737
-0.406718,0.124175
-0.409167,0.122676
-0.412127,0.120177
-0.414707,0.117298
-0.416971,0.114476
-0.418658,0.112335
-0.418165,0.109795
-0.418816,0.105254
-0.420598,0.101942
-0.424089,0.095112
-0.427150,0.086243
-0.428745,0.076837
-0.430156,0.068152
-0.434518,0.061138
-0.435576,0.051847
-0.435951,0.044715
-0.437049,0.039196
-0.438740,0.033526
-0.440840,0.033519
-0.442480,0.037424
-0.442154,0.039681
-0.441484,0.043655
-0.441630,0.048288
-0.443309,0.052947
-0.443801,0.055700
-0.445619,0.061422
-0.450193,0.068279
-0.454233,0.075916
-0.457036,0.083618
-0.460155,0.090577
-0.464464,0.096897
-0.467892,0.102637
-0.472485,0.109695
-0.477915,0.119091
-0.482252,0.127383
-0.485649,0.132192
-0.489149,0.138715
-0.491361,0.144730
-0.495485,0.149485
-0.497699,0.150896
-0.496928,0.148910
-0.497698,0.149768
-0.496439,0.147789
-0.496333,0.145768
-0.495610,0.141736
-0.493012,0.137012
-0.492555,0.130755
-0.492407,0.123433
-0.494205,0.115517
-0.497460,0.106707
-0.499080,0.098215
-0.498697,0.088805
-0.496362,0.081426
-0.496240,0.076464
-0.496145,0.070037
-0.495968,0.065188
-0.494290,0.057810
-0.490413,0.052987
-0.486439,0.048225
-0.483686,0.043015
-0.482087,0.042218
-0.478577,0.041000
-0.477027,0.038242
-0.475657,0.039667
-0.475066,0.038928
-0.476344,0.037078
-0.479179,0.038118
-0.481273,0.041648
-0.483587,0.043113
-0.486892,0.044706
-0.490524,0.047583
-0.492604,0.048472
-0.495737,0.054288
-0.495799,0.058301
-0.498224,0.063088
-0.497628,0.064559
-0.497578,0.068526
-0.498303,0.070107
-0.499704,0.071143
-0.500224,0.071722
-0.499056,0.069445
-0.499390,0.069917
-0.496025,0.066241
-0.489896,0.060811
-0.484420,0.058876
-0.478325,0.055125
-0.471549,0.052048
-0.469405,0.049547
-0.467513,0.048024
-0.466279,0.044325
-0.467606,0.042539
-0.466937,0.039804
-0.464438,0.035958
-0.463923,0.032806
-0.463295,0.026859
-0.460954,0.018328
-0.461794,0.011273
-0.465677,0.008147
-0.468605,0.004020
-0.472661,0.000603
-0.478308,-0.002917
-0.482051,-0.005555
-0.485240,-0.005826
-0.487990,-0.006442
-0.490387,-0.007525
-0.495898,-0.009779
-0.501929,-0.012629
-0.506725,-0.013294
-0.513415,-0.012494
-0.520327,-0.009435
-0.525799,-0.006299
-0.531730,-0.001236
-0.536577,0.003365
-0.543602,0.009910
-0.552439,0.013726
-0.556468,0.013127
-0.561103,0.010914
-0.565772,0.009691
-0.570447,0.010381
-0.572980,0.012357
-0.575298,0.014027
-0.574011,0.015683
-0.575433,0.018167
-0.575757,0.020374
-0.575603,0.023999
-0.570109,0.025107
-0.566082,0.028003
-0.561757,0.033466
-0.556229,0.038292
-0.549936,0.041614
-0.545435,0.046497
-0.539045,0.050731
-0.532735,0.056101
-0.522540,0.059101
-0.512674,0.062879
-0.503493,0.065622
-0.494940,0.064019
-0.490858,0.063517
-0.486681,0.063747
-0.482979,0.062509
-0.479707,0.060406
-0.477602,0.054955
-0.475230,0.048945
-0.474414,0.044169
-0.474991,0.038685
-0.475666,0.033457
-0.477511,0.027920
-0.478483,0.024924
-0.479993,0.022180
-0.483082,0.019510
-0.485236,0.017670
-0.486364,0.017717
-0.487159,0.020340
-0.486786,0.026540
-0.484542,0.030680
-0.482804,0.037084
-0.484381,0.042074
-0.481344,0.045044
-0.480835,0.047998
-0.482063,0.046706
-0.482701,0.045171
-0.483582,0.043648
-0.482684,0.040047
-0.482786,0.036608
-0.484499,0.036761
-0.485325,0.035406
-0.485497,0.033387
-0.485398,0.029530
-0.485637,0.022271
-0.486292,0.015380
-0.486050,0.005894
-0.487125,-0.002607
-0.489241,-0.007353
-0.489605,-0.009785
-0.490126,-0.011330
-0.490525,-0.011825
-0.490594,-0.013242
-0.491221,-0.012725
-0.490153,-0.015989
-0.485918,-0.018183
-0.483339,-0.017950
-0.479269,-0.014627
-0.475383,-0.011315
-0.473903,-0.004600
-0.472683,0.002541
-0.470903,0.013262
-0.466735,0.019439
-0.462037,0.024935
-0.455589,0.030083
-0.448484,0.035259
-0.446274,0.043036
-0.441844,0.046179
-0.435957,0.046818
-0.431630,0.050513
-0.429231,0.052957
-0.425119,0.052513
-0.423786,0.050609
-0.420940,0.046379
-0.420243,0.042001
-0.420069,0.035586
-0.419352,0.029381
-0.417438,0.022665
-0.419126,0.020372
-0.423321,0.020292
-0.427917,0.020276
-0.431172,0.017302
-0.433353,0.012991
-0.434113,0.008116
-0.433100,0.000475
-0.434148,-0.006488
-0.436928,-0.010817
-0.439698,-0.015481
-0.440604,-0.018740
-0.442387,-0.020545
-0.442385,-0.021574
-0.442639,-0.023952
-0.444146,-0.025261
-0.447340,-0.022518
-0.446935,-0.019502
-0.445163,-0.014351
-0.441405,-0.011996
-0.435280,-0.008081
-0.429988,-0.003282
-0.424679,0.001337
-0.422912,0.008436
-0.420749,0.017616
-0.422165,0.030278
-0.423570,0.042577
-0.425210,0.053428
-0.426118,0.062757
-0.427448,0.070643
-0.427465,0.078870
-0.428911,0.086539
-0.431921,0.092995
-0.437574,0.097857
-0.442748,0.103372
-0.448375,0.106980
-0.455201,0.112637
-0.459059,0.114658
-0.463636,0.112091
-0.469466,0.108966
-0.474600,0.103163
-0.478914,0.094962
-0.482736,0.089019
-0.487779,0.085595
-0.492644,0.083108
-0.497435,0.076677
-0.501794,0.069821
-0.505467,0.065618
-0.509144,0.062057
-0.509819,0.054464
-0.510426,0.048045
-0.510167,0.044076
-0.510734,0.038879
-0.510202,0.030659
-0.511951,0.023613
-0.513558,0.018871
-0.515827,0.013476
-0.516340,0.008989
-0.517514,0.004889
-0.520324,0.001958
-0.520705,-0.003130
-0.521689,-0.003641
-0.521853,-0.005027
-0.522122,-0.005346
-0.522363,-0.003850
-0.522999,-0.003711
-0.522969,-0.002152
-0.523007,0.002286
-0.525266,0.006333
-0.527915,0.008716
-0.529607,0.013752
-0.532508,0.018136
-0.531692,0.020549
-0.529771,0.025037
-0.527435,0.027506
-0.525554,0.032212
-0.522117,0.034065
-0.519738,0.036791
-0.519130,0.040259
-0.517694,0.044099
-0.515399,0.046245
-0.513540,0.049418
-0.511815,0.053418
-0.510392,0.053949
-0.504936,0.053145
-0.499581,0.053425
-0.494172,0.053763
-0.488696,0.053080
-0.480260,0.052194
-0.471877,0.050819
-0.464979,0.050819
-0.455788,0.052292
-0.449839,0.056067
-0.445738,0.061785
-0.441305,0.066725
-0.437280,0.070474
-0.432130,0.071847
-0.432876,0.076587
-0.434573,0.080448
-0.437123,0.084519
-0.440202,0.088465
-0.442113,0.093076
-0.441051,0.096355
-0.436890,0.092323
-0.434279,0.091788
-0.434696,0.093056
-0.437992,0.095985
-0.439202,0.098716
-0.440645,0.101683
-0.442066,0.101958
-0.445810,0.101819
-0.448533,0.100741
-0.453094,0.102202
-0.457840,0.103164
-0.464377,0.100876
-0.471597,0.097859
-0.478203,0.093209
-0.486811,0.086783
-0.497585,0.080140
-0.508374,0.074923
-0.520767,0.069370
-0.529699,0.063621
-0.539492,0.060092
-0.546800,0.058635
-0.554420,0.058695
-0.561260,0.060895
-0.565782,0.062794
-0.569606,0.063979
-0.570572,0.065869
-0.572542,0.068620
-0.571905,0.066978
-0.567217,0.066870
-0.559389,0.067221
-0.551862,0.069008
-0.543770,0.071420
-0.534672,0.075994
-0.525927,0.081783
-0.518353,0.087883
-0.509115,0.093885
-0.498084,0.099533
-0.485246,0.103742
-0.472375,0.110019
-0.460483,0.115689
-0.447331,0.118954
-0.436042,0.123190
-0.424836,0.123036
-0.412169,0.120969
-0.401586,0.116418
-0.393875,0.114202
-0.384617,0.108945
-0.375206,0.102868
-0.368248,0.094573
-0.362319,0.085509
-0.358866,0.078912
-0.352910,0.070903
-0.350235,0.066631
-0.345455,0.059385
-0.345680,0.056220
-0.345157,0.051373
-0.345875,0.047169
-0.345901,0.043409
-0.347269,0.039142
-0.347794,0.039153
-0.349036,0.040242
-0.352903,0.041515
-0.357532,0.043646
-0.361221,0.044588
-0.364908,0.046981
-0.369949,0.050934
-0.374836,0.053429
-0.380279,0.058078
-0.386735,0.062729
-0.393965,0.068400
-0.401514,0.072881
-0.407354,0.079243
-0.412544,0.083544
-0.416154,0.084366
-0.419453,0.087238
-0.425262,0.092186
-0.427816,0.095805
-0.427095,0.096905
-0.426732,0.099039
-0.430763,0.106558
-0.429708,0.112102
-0.429246,0.118929
-0.428548,0.126011
-0.429489,0.134613
-0.428715,0.142142
-0.430134,0.146327
-0.432477,0.148030
-0.433472,0.150702
-0.430253,0.150819
-0.428399,0.150227
-0.427593,0.147614
-0.429193,0.144926
-0.432024,0.142519
-0.433077,0.138083
-0.437500,0.133886
-0.437531,0.128565
-0.437652,0.124641
-0.436276,0.118669
-0.432635,0.112545
-0.430746,0.111377
-0.430592,0.111102
-0.431033,0.110105
-0.435037,0.107473
-0.440464,0.103009
-0.446381,0.095350
-0.450675,0.085972
-0.459079,0.079656
-0.464705,0.071545
-0.474241,0.069643
-0.482333,0.067092
-0.487794,0.063534
-0.495562,0.059510
-0.501550,0.055065
-0.509028,0.053185
-0.514915,0.051866
-0.516777,0.053903
-0.517386,0.053160
-0.519706,0.052636
-0.519442,0.052764
-0.519774,0.054147
-0.518377,0.054363
-0.517959,0.055213
-0.519290,0.055105
-0.520033,0.056210
-0.517662,0.057493
-0.513512,0.057922
-0.509946,0.060730
-0.508399,0.064089
-0.504237,0.066078
-0.498497,0.066875
-0.491820,0.068099
-0.488190,0.072414
-0.484490,0.079954
-0.479458,0.084317
-0.469135,0.088336
-0.459753,0.092930
-0.451654,0.096355
-0.441202,0.098335
-0.430001,0.099857
-0.425345,0.106616
-0.418935,0.108100
-0.414342,0.105174
-0.413503,0.102700
-0.412325,0.097181
-0.413470,0.092647
-0.415689,0.087217
-0.416560,0.080196
-0.416792,0.072819
-0.416915,0.062454
-0.417494,0.053854
-0.417831,0.046930
-0.418798,0.038768
-0.419482,0.034793
-0.420909,0.036725
-0.422226,0.039566
-0.417954,0.039422
-0.411576,0.041960
-0.402914,0.045971
-0.396941,0.052161
-0.390814,0.058400
-0.385333,0.063757
-0.382473,0.073192
-0.381445,0.082756
-0.380833,0.092150
-0.380425,0.102074
-0.380815,0.108884
-0.382928,0.113045
-0.383640,0.113387
-0.385780,0.116311
-0.388114,0.119115
-0.389440,0.122224
-0.393309,0.124170
-0.399866,0.128664
-0.405776,0.133530
-0.413587,0.137343
-0.422674,0.138285
-0.432575,0.136012
-0.439367,0.132531
-0.446516,0.131308
-0.453074,0.130180
-0.459461,0.129017
-0.459963,0.125488
-0.459792,0.123125
-0.462732,0.125325
-0.466620,0.128932
-0.467537,0.131114
-0.468217,0.131890
-0.470179,0.130927
-0.469855,0.126992
-0.466943,0.119637
-0.463915,0.115826
-0.462181,0.114234
-0.457182,0.109749
-0.453925,0.110170
-0.449005,0.108528
-0.443213,0.104714
-0.436139,0.099091
-0.431005,0.097069
-0.428232,0.096828
-0.420905,0.095076
-0.413023,0.094795
-0.404874,0.094680
-0.396706,0.095511
-0.390332,0.095732
-0.384291,0.095466
-0.377717,0.094845
-0.371861,0.094296
-0.369485,0.093239
-0.369211,0.092110
-0.369061,0.085842
-0.371921,0.080876
-0.372849,0.075142
-0.371889,0.069054
-0.370806,0.062816
-0.370881,0.059485
-0.371683,0.060583
-0.371668,0.060470
-0.374550,0.061786
-0.374670,0.060611
-0.377055,0.058814
-0.382113,0.056873
-0.386799,0.057111
-0.391276,0.058128
-0.393164,0.064683
-0.394371,0.073031
-0.393133,0.078214
-0.392891,0.083506
-0.393098,0.088262
-0.394225,0.094135
-0.394958,0.098303
-0.395723,0.098147
-0.396180,0.097729
-0.397703,0.095027
-0.401580,0.089433
-0.408712,0.082787
-0.415570,0.076341
-0.423504,0.072917
-0.431498,0.068800
-0.437820,0.064023
-0.442031,0.059302
-0.444974,0.056574
-0.449731,0.055873
-0.456523,0.055724
-0.465760,0.055661
-0.472302,0.055262
-0.479704,0.055374
-0.487070,0.053692
-0.492333,0.053029
-0.498941,0.054257
-0.504318,0.053072
-0.510744,0.052371
-0.516357,0.054567
-0.520212,0.056477
-0.522688,0.059593
-0.523832,0.064529
-0.522184,0.067201
-0.518581,0.072845
-0.513445,0.080905
-0.507154,0.086077
-0.502580,0.093089
-0.496585,0.100890
-0.490536,0.107059
-0.486348,0.114453
-0.480389,0.122461
-0.473024,0.130619
-0.464491,0.137203
-0.456730,0.145098
-0.450493,0.153962
-0.442963,0.158183
-0.439719,0.162568
-0.437027,0.163803
-0.438007,0.163709
-0.437007,0.158573
-0.436387,0.149746
-0.435777,0.146068
-0.432802,0.142252
-0.428598,0.138447
-0.424793,0.134783
-0.422181,0.132677
-0.419940,0.129718
-0.418101,0.126697
-0.419109,0.126603
-0.417935,0.123679
-0.419277,0.120939
-0.421472,0.119791
-0.424947,0.122477
-0.429360,0.126567
-0.431095,0.127474
-0.436929,0.128969
-0.443458,0.131797
-0.449767,0.135631
-0.455499,0.138050
-0.463279,0.141981
-0.470906,0.146401
-0.478171,0.148658
-0.482210,0.148951
-0.489151,0.150916
-0.495139,0.152243
-0.498712,0.151545
-0.500746,0.152511
-0.502615,0.154655
-0.499644,0.153967
-0.495068,0.152441
-0.491632,0.151099
-0.491537,0.152480
-0.490148,0.151171
-0.483895,0.147790
-0.479056,0.145904
-0.475216,0.147872
-0.470134,0.147379
-0.466230,0.146911
-0.462927,0.144958
-0.457261,0.140613
-0.449878,0.134080
-0.444193,0.130197
-0.439684,0.129244
-0.436499,0.125785
-0.434420,0.123277
-0.433258,0.121062
-0.432029,0.119151
-0.432500,0.119641
-0.432265,0.119153
-0.430787,0.119991
-0.432568,0.124086
-0.431432,0.128434
-0.430599,0.133584
-0.427560,0.139685
-0.424399,0.145982
-0.421465,0.150170
-0.417409,0.151809
-0.414631,0.151596
-0.412529,0.152198
-0.412391,0.155248
-0.413716,0.158084
-0.415145,0.157308
-0.414181,0.154328
-0.411912,0.151009
-0.408438,0.146951
-0.406075,0.140982
-0.402449,0.134519
-0.398003,0.126392
-0.394518,0.116990
-0.394479,0.107161
-0.395687,0.097533
-0.394854,0.085453
-0.394090,0.075339
-0.394558,0.067451
-0.393831,0.059738
-0.392924,0.052594
-0.394547,0.049797
-0.392946,0.042949
-0.390673,0.036874
-0.390607,0.032264
-0.389972,0.030221
-0.388293,0.031748
-0.388077,0.035425
-0.390665,0.040636
-0.392988,0.046058
-0.393592,0.052239
-0.394221,0.056321
-0.394982,0.061631
-0.399707,0.067971
-0.402369,0.074418
-0.403927,0.080310
-0.406122,0.086398
-0.407459,0.094894
-0.410744,0.102889
-0.413264,0.107656
-0.416601,0.109963
-0.421069,0.111021
-0.427599,0.110429
-0.435817,0.108540
-0.444401,0.104854
-0.451575,0.102553
-0.457749,0.100236
-0.463237,0.099797
-0.467926,0.100294
-0.472198,0.100329
-0.473252,0.098581
-0.476175,0.098747
-0.479178,0.098768
-0.480434,0.101337
-0.482235,0.099752
-0.487215,0.099313
-0.490976,0.096269
-0.493831,0.096150
-0.497785,0.095207
-0.501123,0.091716
-0.503836,0.090089
-0.508087,0.090306
-0.512426,0.091116
-0.516827,0.092677
-0.519497,0.091955
-0.521903,0.095958
-0.523691,0.099520
-0.521908,0.099016
-0.519611,0.096798
-0.520230,0.095192
-0.519868,0.093427
-0.518147,0.093689
-0.517125,0.091700
-0.516676,0.093402
-0.516018,0.094448
-0.512535,0.095983
-0.509569,0.095577
-0.509252,0.096371
-0.508193,0.096792
-0.509851,0.097094
-0.509283,0.096816
-0.508573,0.095085
-0.507253,0.091791
-0.503648,0.086759
-0.501639,0.084253
-0.506123,0.083157
-0.509412,0.082331
-0.511384,0.079657
-0.513349,0.077099
-0.514756,0.078747
-0.516423,0.078078
-0.515442,0.077825
-0.512426,0.079555
-0.510926,0.084092
-0.508569,0.088539
-0.506629,0.088964
-0.507007,0.090055
-0.506155,0.092989
-0.505355,0.095538
-0.507490,0.093442
-0.509438,0.089723
-0.510351,0.087223
-0.514799,0.085150
-0.516271,0.080585
-0.520468,0.080174
-0.523746,0.076991
-0.528944,0.071845
-0.532070,0.067452
-0.534193,0.062358
-0.532996,0.056009
-0.531269,0.047867
-0.531410,0.042643
-0.528510,0.039972
-0.527123,0.041079
-0.524711,0.044536
-0.519125,0.046374
-0.515330,0.048637
-0.513767,0.051341
-0.511168,0.053602
-0.509160,0.054545
-0.507652,0.054782
-0.506385,0.053569
-0.506054,0.053536
-0.504996,0.051210
-0.499565,0.050342
-0.497804,0.051808
-0.494944,0.055239
-0.491206,0.055074
-0.491289,0.055943
-0.491391,0.058892
-0.492837,0.061500
-0.493516,0.059881
-0.494936,0.056674
-0.495778,0.052440
-0.497071,0.047223
-0.502120,0.042991
-0.506511,0.038057
-0.510529,0.035424
-0.517258,0.032587
-0.519282,0.034244
-0.521049,0.036975
-0.523387,0.039038
-0.526420,0.042958
-0.531076,0.050075
-0.531635,0.053978
-0.532686,0.058386
-0.535728,0.060646
-0.537450,0.060954
-0.539678,0.059950
-0.544241,0.059012
-0.546568,0.055839
-0.547063,0.051011
-0.544682,0.045653
-0.541604,0.039382
-0.540479,0.033320
-0.540508,0.031904
-0.539424,0.028535
-0.535420,0.025097
-0.532054,0.022329
-0.526314,0.017488
-0.520277,0.009690
-0.514839,0.007591
-0.510161,0.006695
-0.504413,0.007357
-0.499272,0.010293
-0.492293,0.014048
-0.486035,0.017007
-0.476913,0.020918
-0.467667,0.026053
-0.459790,0.030715
-0.452517,0.036819
-0.443277,0.042004
-0.435911,0.046754
-0.428899,0.048417
-0.423766,0.050087
-0.417986,0.053554
-0.413015,0.058137
-0.405958,0.062199
-0.402900,0.067316
-0.401712,0.071882
-0.399994,0.077295
-0.395052,0.079969
-0.391922,0.079990
-0.390820,0.081984
-0.389365,0.082574
-0.389442,0.083890
-0.389535,0.084671
-0.390159,0.082236
-0.391678,0.075913
-0.394541,0.069217
-0.398931,0.062750
-0.404373,0.056349
-0.408421,0.049313
-0.416366,0.046543
-0.423538,0.046939
-0.425684,0.046041
-0.429038,0.047574
-0.435013,0.052050
-0.442180,0.052740
-0.448481,0.054404
-0.457250,0.056216
-0.464907,0.056809
-0.468171,0.054262
-0.466209,0.051915
-0.467800,0.052712
-0.469042,0.055475
-0.469635,0.054711
-0.471034,0.055727
-0.474438,0.052794
-0.476609,0.050312
-0.478372,0.048381
-0.480186,0.044769
-0.478418,0.041607
-0.477077,0.037424
-0.474732,0.032421
-0.473891,0.032441
-0.471088,0.033839
-0.467426,0.033754
-0.464193,0.033893
-0.462778,0.035061
-0.462224,0.034708
-0.463730,0.032350
-0.465870,0.030053
-0.467526,0.024879
-0.469113,0.021863
-0.470661,0.019045
-0.471751,0.016731
-0.475343,0.012358
-0.478937,0.007603
-0.479156,0.004572
-0.478893,0.002998
-0.480259,0.005510
-0.479997,0.007503
-0.479874,0.008318
-0.480615,0.012991
-0.480881,0.019171
-0.479142,0.026083
-0.475291,0.032941
-0.474682,0.040234
-0.476665,0.045089
-0.477966,0.048901
-0.477369,0.054518
-0.476529,0.059950
-0.472270,0.062883
-0.469442,0.067535
-0.467044,0.070432
-0.459625,0.068057
-0.454159,0.065250
-0.452336,0.060438
-0.450203,0.056416
-0.445202,0.051119
-0.442710,0.044649
-0.441282,0.039217
-0.440581,0.032672
-0.439551,0.026543
-0.439463,0.016512
-0.439927,0.008288
-0.438604,0.000488
-0.437674,-0.006453
-0.437585,-0.012396
-0.442585,-0.017213
-0.446453,-0.019945
-0.447096,-0.023712
-0.449030,-0.025005
-0.454760,-0.022020
-0.457623,-0.022651
-0.459277,-0.023491
-0.463119,-0.022639
