tor1(deg),E(kJ/mol)
-0.286915,0.113311
-0.284683,0.115896
-0.280319,0.115415
-0.276975,0.113471
-0.272793,0.114036
-0.266619,0.113580
-0.262345,0.113487
-0.260989,0.110203
-0.259329,0.107503
-0.258405,0.104983
-0.260097,0.105208
-0.264380,0.104666
-0.267179,0.103131
-0.269706,0.102200
-0.274761,0.102326
-0.281756,0.098775
-0.290053,0.093723
-0.295105,0.086895
-0.305079,0.082216
-0.312291,0.080855
-0.319524,0.079868
-0.323359,0.079249
-0.326241,0.079324
-0.327288,0.081556
-0.328179,0.084100
-0.328711,0.087216
-0.328595,0.088525
-0.327540,0.091802
-0.329705,0.092207
-0.327824,0.090482
-0.326132,0.089354
-0.327337,0.087637
-0.327090,0.087264
-0.325121,0.086241
-0.324178,0.088169
-0.323351,0.087475
-0.320469,0.090047
-0.315300,0.092555
-0.311680,0.096568
-0.308472,0.099212
-0.305471,0.102264
-0.305075,0.103729
-0.298740,0.101672
-0.290436,0.097370
-0.283902,0.094169
-0.280932,0.091463
-0.275336,0.088745
-0.269277,0.086213
-0.265377,0.083088
-0.263132,0.079725
-0.261772,0.076368
-0.262264,0.072940
-0.262683,0.068564
-0.263283,0.065949
-0.267478,0.061378
-0.268820,0.057894
-0.271216,0.054782
-0.275827,0.053678
-0.281136,0.048800
-0.286281,0.044585
-0.293432,0.044085
-0.303150,0.047039
-0.311710,0.047857
-0.317909,0.046292
-0.324388,0.045684
-0.327654,0.044879
-0.330325,0.040863
-0.334137,0.039518
-0.338176,0.039955
-0.339684,0.041750
-0.337058,0.043051
-0.335698,0.042253
-0.336279,0.041392
-0.337463,0.039894
-0.339464,0.036150
-0.337963,0.033963
-0.332220,0.034706
-0.326004,0.037610
-0.316040,0.040074
-0.309461,0.043907
-0.302376,0.046045
-0.296995,0.046756
-0.289368,0.044478
-0.282097,0.043140
-0.276595,0.044493
-0.272839,0.042804
-0.271557,0.040254
-0.270177,0.038980
-0.269705,0.037705
-0.269305,0.036560
-0.268744,0.037261
-0.266622,0.037146
-0.263785,0.038171
-0.259795,0.039701
-0.257414,0.041632
-0.253385,0.043752
-0.248648,0.046075
-0.246869,0.048645
-0.242935,0.053000
-0.242145,0.056786
-0.241378,0.060146
-0.240884,0.065181
-0.241036,0.069200
-0.241618,0.073971
-0.241276,0.077941
-0.239941,0.080496
-0.240674,0.083614
-0.242926,0.086637
-0.244534,0.088435
-0.247952,0.089784
-0.253049,0.089580
-0.255874,0.091113
-0.262512,0.095870
-0.269505,0.101052
-0.274873,0.104886
-0.278670,0.106582
-0.279075,0.107809
-0.280716,0.110823
-0.283099,0.111492
-0.283191,0.111567
-0.283894,0.111538
-0.281197,0.111176
-0.276675,0.110057
-0.270138,0.108962
-0.266169,0.108813
-0.260404,0.107051
-0.255261,0.102946
-0.251661,0.100777
-0.248359,0.095543
-0.242910,0.092385
-0.241222,0.089817
-0.240574,0.086077
-0.243099,0.084586
-0.244763,0.082949
-0.247763,0.078515
-0.250317,0.077983
-0.253913,0.076124
-0.254425,0.074870
-0.253555,0.071476
-0.253933,0.070039
-0.255111,0.070851
-0.253472,0.071231
-0.253441,0.073957
-0.255456,0.079367
-0.256018,0.086678
-0.255145,0.093544
-0.251419,0.098362
-0.246474,0.106924
-0.241851,0.115701
-0.236569,0.120816
-0.231506,0.124074
-0.227285,0.129300
-0.224280,0.130758
-0.224821,0.131887
-0.224865,0.133814
-0.224963,0.133266
-0.225953,0.129378
-0.228480,0.124959
-0.231031,0.118737
-0.235975,0.113279
-0.238903,0.107040
-0.242583,0.099378
-0.247961,0.092192
-0.252201,0.088755
-0.257334,0.086905
-0.260783,0.085278
-0.265923,0.082741
-0.271909,0.081914
-0.275859,0.084792
-0.281747,0.087330
-0.287303,0.089752
-0.291776,0.094689
-0.294352,0.100220
-0.296379,0.102788
-0.299125,0.104864
-0.303349,0.106594
-0.307361,0.107825
-0.306757,0.108227
-0.306900,0.106539
-0.304502,0.103132
-0.301150,0.101008
-0.301311,0.101945
-0.297870,0.102648
-0.292827,0.102583
-0.289717,0.104072
-0.284894,0.104769
-0.281762,0.107911
-0.279657,0.107949
-0.276961,0.104619
-0.273933,0.104231
-0.271804,0.102620
-0.267746,0.101437
-0.265131,0.099825
-0.264693,0.102310
-0.266824,0.105380
-0.268092,0.110777
-0.265786,0.114511
-0.264711,0.117609
-0.265889,0.123423
-0.267511,0.129152
-0.266449,0.133766
-0.265523,0.138359
-0.265134,0.143165
-0.265030,0.150815
-0.268219,0.156100
-0.271998,0.162011
-0.273300,0.161500
-0.272882,0.160460
-0.274544,0.161223
-0.272595,0.160163
-0.273507,0.158800
-0.270695,0.156186
-0.267001,0.155822
-0.264432,0.151982
-0.260122,0.147283
-0.257420,0.145976
-0.254415,0.143862
-0.254862,0.146544
-0.253446,0.144599
-0.254394,0.139997
-0.255953,0.137624
-0.249666,0.131524
-0.248850,0.126448
-0.248328,0.121168
-0.249679,0.117936
-0.253260,0.113501
-0.256956,0.110125
-0.260176,0.105949
-0.264388,0.100162
-0.265805,0.097025
-0.267608,0.095891
-0.272298,0.097783
-0.278508,0.101276
-0.282723,0.104194
-0.286793,0.107173
-0.289736,0.108463
-0.292905,0.110161
-0.294036,0.112803
-0.294904,0.113788
-0.293213,0.113522
-0.289773,0.112235
-0.288831,0.111385
-0.285436,0.109073
-0.280867,0.108068
-0.274952,0.107739
-0.267661,0.109749
-0.261056,0.109212
-0.255148,0.109367
-0.248386,0.108570
-0.240952,0.109700
-0.233812,0.109692
-0.226683,0.109329
-0.217937,0.104950
-0.209195,0.103456
-0.199635,0.102573
-0.192379,0.100231
-0.188534,0.095966
-0.184717,0.095459
-0.181320,0.095302
-0.171929,0.092403
-0.162462,0.091705
-0.154919,0.093994
-0.151511,0.098585
