step,T,rz,Epot,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[0],prob_atom_f[1],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
390,0.00395274,0.11,-1651.72,0.0444634,-7.71856e-007,0.102689,0.0570573,-0.0451182,23.7234,0.0444634,-7.71856e-007,-0.00731117
400,0.0045012,0.1,-1651.43,0.0444641,-6.94965e-007,0.0926928,0.0641268,-0.0603759,34.4355,0.0444641,-6.94965e-007,-0.00730718
410,0.00526545,0.09,-1651.04,0.0444644,-5.05743e-007,0.0826927,0.0738439,-0.0765898,45.2484,0.0444644,-5.05743e-007,-0.00730733
420,0.00635689,0.08,-1650.53,0.0444639,-3.67228e-007,0.0726893,0.0625987,-0.0920466,55.1698,0.0444639,-3.67228e-007,-0.00731074
430,0.00775885,0.07,-1649.94,0.0444628,-3.18905e-007,0.0626827,0.0576814,-0.103353,62.9557,0.0444628,-3.18905e-007,-0.00731731
440,0.00928787,0.06,-1649.29,0.0444625,-2.44933e-007,0.0526723,0.0257969,-0.107822,67.2906,0.0444625,-2.44933e-007,-0.00732768
450,0.0106567,0.05,-1648.62,0.0444631,-1.37793e-007,0.0426587,0.00432278,-0.0983819,66.9539,0.0444631,-1.37793e-007,-0.00734135
460,0.0116166,0.04,-1647.98,0.044464,-5.80923e-008,0.0326442,-0.0461807,-0.0686206,61.1501,0.044464,-5.80923e-008,-0.00735583
470,0.0119461,0.03,-1647.42,0.0444643,7.03877e-009,0.0226321,-0.0804233,-0.0161683,49.7139,0.0444643,7.03877e-009,-0.00736791
480,0.0118202,0.02,-1647,0.044464,1.15129e-007,0.0126251,-0.143733,0.0525875,33.2998,0.044464,1.15129e-007,-0.00737495
490,0.0118173,0.01,-1646.76,0.044463,2.02513e-007,0.00262523,-0.184954,0.132835,13.394,0.044463,2.02513e-007,-0.00737477
500,0.0130426,1.04083e-017,-1646.73,0.0444624,2.12191e-007,-0.00736525,-0.227334,0.217367,-7.92161,0.0444624,2.12191e-007,-0.00736525
510,0.0166915,-0.01,-1646.92,0.0444629,1.84839e-007,-0.0173445,-0.236055,0.294378,-28.2745,0.0444629,1.84839e-007,-0.00734455
520,0.0236981,-0.02,-1647.3,0.044464,1.67392e-007,-0.0273115,-0.239162,0.352594,-45.4947,0.044464,1.67392e-007,-0.00731148
530,0.0339047,-0.03,-1647.83,0.0444643,1.25218e-007,-0.0372653,-0.224826,0.389407,-57.949,0.0444643,1.25218e-007,-0.00726528
540,0.0457865,-0.04,-1648.46,0.0444636,9.60816e-008,-0.0472062,-0.209155,0.402185,-64.8213,0.0444636,9.60816e-008,-0.0072062
550,0.0565042,-0.05,-1649.13,0.0444632,1.70074e-007,-0.0571366,-0.188226,0.38777,-66.1549,0.0444632,1.70074e-007,-0.00713661
560,0.0630108,-0.06,-1649.78,0.0444634,2.96071e-007,-0.0670606,-0.160297,0.351053,-62.6708,0.0444634,2.96071e-007,-0.00706057
570,0.0637358,-0.07,-1650.36,0.0444637,2.90491e-007,-0.0769818,-0.126559,0.303512,-55.5569,0.0444637,2.90491e-007,-0.00698185
580,0.0594508,-0.08,-1650.87,0.0444641,1.21938e-007,-0.0869037,-0.0919444,0.252544,-46.1291,0.0444641,1.21938e-007,-0.00690366
590,0.0530071,-0.09,-1651.28,0.0444648,-5.85372e-008,-0.0968303,-0.0663075,0.201532,-35.6899,0.0444648,-5.85372e-008,-0.00683028
600,0.0480198,-0.1,-1651.58,0.0444656,-1.61077e-007,-0.106767,-0.0472405,0.15421,-25.2529,0.0444656,-1.61077e-007,-0.00676707
610,0.0475754,-0.11,-1651.78,0.0444657,-2.31771e-007,-0.116718,-0.0331483,0.114002,-15.5353,0.0444657,-2.31771e-007,-0.00671807
620,0.0525078,-0.12,-1651.9,0.0444653,-3.18821e-007,-0.126685,-0.0207737,0.0817509,-6.95544,0.0444653,-3.18821e-007,-0.00668461
630,0.0610631,-0.13,-1651.93,0.0444651,-4.5002e-007,-0.136667,-0.0124794,0.0568468,0.301816,0.0444651,-4.5002e-007,-0.00666655
640,0.0699827,-0.14,-1651.9,0.044465,-6.73005e-007,-0.146664,-0.00698917,0.0383554,6.22953,0.044465,-6.73005e-007,-0.00666355
650,0.0761734,-0.15,-1651.82,0.0444653,-9.36941e-007,-0.156674,-0.00351811,0.0250071,10.9167,0.0444653,-9.36941e-007,-0.00667422
660,0.0781156,-0.16,-1651.63,0.0444659,-1.08916e-006,-0.166695,-0.00123704,0.0154296,14.2138,0.0444659,-1.08916e-006,-0.00669525
670,0.0764132,-0.17,-1651.47,0.0444667,-1.08511e-006,-0.176723,-0.000122085,0.00857913,16.8768,0.0444667,-1.08511e-006,-0.00672301
680,0.0728891,-0.18,-1651.29,0.0444665,-1.08256e-006,-0.186755,0.000144297,0.0039062,18.7652,0.0444665,-1.08256e-006,-0.00675522
