step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
3.45e-013,25.5077,-8388.77,-8338.51,-1,0,-0.0809132,3.1357,-0.103753
3.5e-013,25.5652,-8389.89,-8339.51,-1,0,-0.0794075,3.18098,-0.103737
3.55e-013,26.9508,-8390.9,-8337.8,-1,0,-0.0778339,3.22626,-0.103721
3.6e-013,27.7282,-8391.98,-8337.34,-1,0,-0.0762276,3.27153,-0.103705
3.65e-013,28.3373,-8393.09,-8337.25,-1,0,-0.0748101,3.31679,-0.103688
3.7e-013,28.6698,-8393.87,-8337.38,-1,0,-0.0734965,3.36205,-0.103671
3.75e-013,28.9661,-8395.13,-8338.06,-1,0,-0.0719939,3.40729,-0.103655
3.8e-013,28.9311,-8395.3,-8338.29,-1,0,-0.0704199,3.45254,-0.103637
3.85e-013,29.0317,-8395.71,-8338.51,-1,0,-0.0691261,3.49777,-0.10362
3.9e-013,28.9296,-8396.49,-8339.48,-1,0,-0.0679893,3.54299,-0.103602
3.95e-013,28.7917,-8396.34,-8339.6,-1,0,-0.0666639,3.58821,-0.103585
4e-013,28.4645,-8395.84,-8339.75,-1,0,-0.0653203,3.63342,-0.103567
4.05e-013,29.4735,-8395.5,-8337.42,-1,0,-0.0643015,3.67862,-0.103548
4.1e-013,29.8598,-8393.57,-8334.73,-1,0,-0.0634044,3.72382,-0.10353
4.15e-013,29.9565,-8391.82,-8332.79,-1,0,-0.0622813,3.769,-0.103511
4.2e-013,29.6348,-8389.65,-8331.25,-1,0,-0.0611196,3.81418,-0.103492
4.25e-013,29.3364,-8386.97,-8329.16,-1,0,-0.0601861,3.85935,-0.103473
4.3e-013,28.6874,-8383.49,-8326.96,-1,0,-0.0592257,3.90451,-0.103453
4.35e-013,28.4301,-8379.17,-8323.15,-1,0,-0.0579992,3.94967,-0.103434
4.4e-013,28.0953,-8375.72,-8320.36,-1,0,-0.0567896,3.99481,-0.103414
4.45e-013,28.0548,-8371.71,-8316.43,-1,0,-0.0557678,4.03994,-0.103394
4.5e-013,28.1323,-8368.85,-8313.41,-1,0,-0.054568,4.08507,-0.103374
4.55e-013,29.8004,-8366.37,-8307.65,-1,0,-0.052981,4.13019,-0.103353
4.6e-013,30.9836,-8364.35,-8303.3,-1,0,-0.0513739,4.1753,-0.103332
4.65e-013,32.0606,-8363.43,-8300.25,-1,0,-0.0499698,4.2204,-0.103311
4.7e-013,33.259,-8363.24,-8297.7,-1,0,-0.0484321,4.26549,-0.10329
4.75e-013,34.1593,-8363.04,-8295.73,-1,0,-0.0465682,4.31057,-0.103269
4.8e-013,34.9644,-8363.45,-8294.55,-1,0,-0.0447037,4.35564,-0.103247
4.85e-013,35.6329,-8364.43,-8294.22,-1,0,-0.0430733,4.4007,-0.103225
4.9e-013,36.2016,-8365.82,-8294.48,-1,0,-0.0414609,4.44575,-0.103203
4.95e-013,36.4094,-8366.87,-8295.13,-1,0,-0.0396708,4.49079,-0.103181
5e-013,36.6208,-8367.47,-8295.31,-1,0,-0.0378696,4.53583,-0.103158
5.05e-013,37.9986,-8369.27,-8294.4,-1,0,-0.0362481,4.58085,-0.103135
5.1e-013,38.9742,-8370.51,-8293.71,-1,0,-0.0347205,4.62586,-0.103112
5.15e-013,39.596,-8371.24,-8293.22,-1,0,-0.0331288,4.67087,-0.103089
5.2e-013,40.247,-8372.4,-8293.09,-1,0,-0.031522,4.71586,-0.103066
5.25e-013,40.4808,-8373.67,-8293.9,-1,0,-0.0300586,4.76084,-0.103042
5.3e-013,41.1808,-8376.18,-8295.03,-1,0,-0.0287136,4.80581,-0.103018
5.35e-013,41.6053,-8377.99,-8296.01,-1,0,-0.027338,4.85077,-0.102994
5.4e-013,42.4503,-8381.8,-8298.15,-1,0,-0.0259622,4.89573,-0.102969
5.45e-013,42.4892,-8384.06,-8300.33,-1,0,-0.0247631,4.94067,-0.102945
5.5e-013,42.904,-8387.63,-8303.09,-1,0,-0.0237128,4.98559,-0.10292
5.55e-013,43.9001,-8389.41,-8302.91,-1,0,-0.0226007,5.03051,-0.102895
5.6e-013,44.4931,-8390.82,-8303.15,-1,0,-0.0214206,5.07542,-0.10287
5.65e-013,44.6135,-8391.93,-8304.02,-1,0,-0.0203866,5.12032,-0.102844
5.7e-013,44.699,-8392.16,-8304.08,-1,0,-0.0195467,5.1652,-0.102819
5.75e-013,44.5966,-8392.3,-8304.42,-1,0,-0.018751,5.21008,-0.102793
5.8e-013,44.5443,-8393.11,-8305.33,-1,0,-0.0179571,5.25494,-0.102766
5.85e-013,44.8375,-8393.7,-8305.35,-1,0,-0.0172724,5.29979,-0.10274
5.9e-013,44.6974,-8393.13,-8305.05,-1,0,-0.0167807,5.34463,-0.102713
5.95e-013,45.0299,-8394.33,-8305.6,-1,0,-0.0165097,5.38946,-0.102687
6e-013,44.7255,-8394.54,-8306.41,-1,0,-0.0164163,5.43427,-0.10266
6.05e-013,46.0439,-8395.55,-8304.82,-1,0,-0.0163363,5.47908,-0.102632
6.1e-013,46.369,-8394.7,-8303.33,-1,0,-0.0161884,5.52387,-0.102605
6.15e-013,46.7887,-8394.32,-8302.12,0,1,-0.0161454,5.56865,-0.102577
6.2e-013,46.7542,-8393.38,-8301.25,0,1,-0.0163149,5.61342,-0.102549
6.25e-013,46.4292,-8391.1,-8299.61,0,1,-0.0164727,5.65817,-0.102521
6.3e-013,46.0903,-8389.28,-8298.46,0,1,-0.0164663,5.70292,-0.102492
