step,T,r,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
0,0.00192319,1.0323,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000463565,0.0551814,-0.0490027,0.636837,0.498558,1
10,0.27202,1.03229,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000452261,0.0551816,-0.0489962,0.636898,0.498606,1
20,0.380777,1.03227,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000417513,0.0551898,-0.0489801,0.636935,0.498647,1
30,0.54141,1.03225,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000389838,0.0551965,-0.0489506,0.636944,0.498663,1
40,0.705182,1.03222,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000388946,0.0552196,-0.0489238,0.636959,0.498701,1
50,0.820357,1.03218,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000402229,0.0552268,-0.0488869,0.636964,0.498731,1
60,0.88008,1.03213,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000392788,0.0552064,-0.0488344,0.636963,0.498756,1
70,0.950227,1.03207,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000376182,0.0551717,-0.0487724,0.636958,0.498797,1
80,0.953406,1.03201,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000375657,0.0551629,-0.0487176,0.636951,0.498826,1
90,0.962329,1.03195,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000384254,0.0551732,-0.0486593,0.636951,0.49884,1
100,0.962244,1.03189,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.00038292,0.055187,-0.0485914,0.636948,0.498865,1
110,9.95674,1.03171,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.00038391,0.055201,-0.0484188,0.636943,0.498904,1
120,17.1142,1.03146,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000395364,0.0552085,-0.0481662,0.63694,0.498936,1
130,21.9714,1.03116,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000364698,0.0551813,-0.0478643,0.636938,0.498986,1
140,25.0627,1.03081,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.0002781,0.0551334,-0.0475129,0.636936,0.499026,1
150,26.921,1.03043,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000241696,0.0550994,-0.0471407,0.636937,0.499045,1
160,27.9225,1.03006,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000288366,0.0550948,-0.046767,0.636937,0.499053,1
170,28.3386,1.02965,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000319813,0.0550854,-0.0463566,0.636939,0.499069,1
180,28.5374,1.02919,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000283269,0.0550586,-0.0459001,0.636945,0.499101,1
190,28.5242,1.02873,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000224381,0.0550317,-0.0454412,0.636952,0.499134,1
200,28.4323,1.02828,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000161827,0.0550152,-0.0449865,0.636958,0.499159,1
210,37.6519,1.02773,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,9.58132e-005,0.055003,-0.0444363,0.636958,0.499159,1
220,43.7969,1.02704,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,8.3794e-005,0.0549899,-0.0437482,0.636968,0.499197,1
230,47.7599,1.02629,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,0.000114317,0.0549764,-0.0429944,0.636968,0.499197,1
240,50.2319,1.02549,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,7.17441e-005,0.0549508,-0.0422017,0.636974,0.499214,1
250,51.5151,1.02462,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-5.69401e-005,0.0549389,-0.041332,0.636975,0.499219,1
260,52.199,1.02368,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000117839,0.054954,-0.040382,0.636986,0.499249,1
270,52.247,1.02271,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-7.91433e-005,0.0549742,-0.0394149,0.636999,0.499287,1
280,51.9581,1.02172,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-7.84539e-005,0.0549518,-0.0384232,0.637019,0.49934,1
290,51.4042,1.02066,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000182377,0.054935,-0.0373643,0.637048,0.499414,1
300,50.7184,1.01955,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000262615,0.0549488,-0.0362507,0.637089,0.499518,1
310,59.0102,1.0184,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000265697,0.0549706,-0.0350942,0.637134,0.499628,1
320,64.2944,1.01715,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000240402,0.0549517,-0.033849,0.637188,0.499755,1
330,67.3241,1.0158,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.00020664,0.0549372,-0.0324977,0.637263,0.499928,1
340,69.106,1.01438,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000128578,0.0548918,-0.0310797,0.637352,0.50013,1
350,70.3284,1.013,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000123817,0.0547934,-0.0296948,0.637457,0.500364,1
360,70.8464,1.01162,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000231843,0.0546846,-0.0283214,0.637584,0.500642,1
370,71.3231,1.01022,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000309745,0.0546738,-0.0269228,0.637719,0.500932,1
380,71.7009,1.00882,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000251126,0.0546874,-0.0255197,0.63786,0.501234,1
390,71.8619,1.00749,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000214064,0.0546834,-0.024182,0.638014,0.501558,1
400,71.9988,1.00615,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000267385,0.054682,-0.0228426,0.638162,0.501866,1
410,81.09,1.00472,0,0,0,-3.27826e-008,1.51721e-008,0.981818,0,0,0,-0.000343083,0.054724,-0.0214126,0.638318,0.502188,1
