step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
44,0.155092,-3864.92,327.107,0.0797776,7161.2,6,-4701.4,836.481,581.797,817.279,-6600.37,499.893,850.774,-14.2931
45,0.141796,-3757.72,434.311,0.0664813,8987.55,6,-4701.4,943.685,581.797,817.279,-6600.37,499.893,957.978,-14.2931
46,0.1285,-3625.65,566.375,0.053185,10871.2,6,-4701.4,1075.75,581.797,817.279,-6600.37,499.893,1090.04,-14.2931
47,0.115203,-3469.33,722.699,0.0398888,12593.1,6,-4701.4,1232.07,581.797,817.279,-6600.37,499.893,1246.37,-14.2931
48,0.101907,-3292.8,899.233,0.0265925,13856.8,6,-4701.4,1408.61,581.797,817.279,-6600.37,499.893,1422.9,-14.2931
49,0.0886108,-3708.98,483.045,0.0132963,3024.51,84,-4480.37,771.386,630.589,1024.09,-6593.95,458.895,833.314,-61.9277
50,0.0766168,-3670.18,521.85,0,2962.85,6,-4480.37,810.19,630.589,1024.09,-6593.95,458.895,872.118,-61.9277
51,0.0633206,-3632.36,559.671,-0.0132963,2687.87,6,-4480.37,848.012,630.589,1024.09,-6593.95,458.895,909.939,-61.9277
52,0.0500243,-3615.12,576.909,-0.0265925,1398.77,48,-4460.65,845.528,647.833,1031.61,-6590.22,450.125,914.882,-69.3543
53,0.0357931,-3599.56,592.467,-0.0398888,837.147,6,-4460.76,861.194,647.859,1031.35,-6590.1,450.125,930.527,-69.3326
54,0.0224963,-3592.73,599.299,-0.053185,185.864,6,-4460.95,868.216,647.927,1030.87,-6589.87,450.127,937.51,-69.2942
55,0.00919884,-3594.78,597.248,-0.0664813,-484.117,6,-4461.13,866.349,648.015,1030.38,-6589.66,450.129,935.606,-69.2577
56,-0.00409866,-3605.47,586.555,-0.0797776,-1103.98,6,-4461.3,855.821,648.098,1029.95,-6589.47,450.131,925.048,-69.2268
57,-0.0173961,-3621.11,570.916,-0.0930738,-1632.93,6,-4461.44,840.323,648.161,1029.61,-6589.34,450.132,909.525,-69.2026
58,-0.0306934,-3645.42,546.607,-0.10637,-1993.5,6,-4461.54,816.119,648.198,1029.37,-6589.24,450.133,885.305,-69.1855
59,-0.0439904,-3673.43,518.599,-0.119666,-2190,6,-4461.62,788.184,648.217,1029.22,-6589.19,450.134,857.358,-69.1744
60,-0.0572871,-3791.56,400.468,-0.132963,-4127.92,53,-4692.35,900.786,643.544,784.939,-6594.43,473.596,946.337,-45.552
61,-0.0747717,-3842.45,349.577,-0.146259,-3564.72,6,-4693.06,850.603,643.145,784.697,-6594.49,473.59,896.102,-45.4994
62,-0.0880832,-3885.89,306.144,-0.159555,-2964.58,6,-4693.95,808.066,642.608,784.416,-6594.56,473.587,853.477,-45.4104
63,-0.101402,-3955.84,236.187,-0.172851,-3803.89,79,-4755.45,799.611,610.053,745.344,-6597.02,486.167,827.959,-28.3479
64,-0.114793,-4000.2,191.828,-0.186148,-2910.34,6,-4755.45,755.252,610.053,745.345,-6597.02,486.167,783.6,-28.3479
65,-0.12809,-4036.65,155.375,-0.199444,-2188.09,6,-4755.5,718.85,609.758,745.554,-6597,486.181,747.185,-28.335
66,-0.141388,-4060.03,132.004,-0.21274,-1608.9,6,-4755.55,695.525,609.382,745.834,-6596.97,486.199,723.841,-28.3158
67,-0.154687,-4077.22,114.809,-0.226036,-1158.17,6,-4755.58,678.359,608.984,746.146,-6596.93,486.219,706.652,-28.2926
68,-0.167986,-4088.89,103.142,-0.239333,-819.804,6,-4755.59,666.7,608.595,746.466,-6596.89,486.24,694.968,-28.2671
69,-0.181285,-4097.99,94.0413,-0.252629,-562.399,6,-4755.58,657.588,608.229,746.782,-6596.85,486.262,685.829,-28.2406
70,-0.194584,-4104.15,87.8779,-0.265925,-374.845,6,-4755.55,651.396,607.882,747.094,-6596.81,486.283,679.609,-28.2132
71,-0.207883,-4108.19,83.8383,-0.279221,-240.378,6,-4755.5,647.312,607.554,747.403,-6596.76,486.304,675.497,-28.1851
72,-0.221182,-4183.29,8.73664,-0.292518,-397.718,46,-4759.69,576.401,569.033,762.815,-6597.67,506.127,578.743,-2.34243
73,-0.232482,-4187.73,4.30084,-0.305814,-253.628,122,-4757.88,570.148,568.502,764.594,-6597.62,506.648,571.8,-1.65185
74,-0.245687,-4188.42,3.61016,-0.31911,-160.889,23,-4755.86,567.445,569.08,765.689,-6597.5,506.867,568.833,-1.38745
75,-0.258961,-4190.31,1.7228,-0.332406,-89.845,20,-4755.45,565.144,568.109,766.722,-6597.51,507.228,566.082,-0.937478
76,-0.272177,-4194.16,-2.13094,-0.345703,-60.1732,21,-4754.67,560.504,568.412,767.18,-6597.62,507.368,561.218,-0.713941
77,-0.285427,-4194.73,-2.69609,-0.358999,-27.076,9,-4754.68,559.954,567.521,768.002,-6597.59,507.383,560.62,-0.665961
78,-0.298704,-4194.93,-2.89636,-0.372295,-4.43797,6,-4754.34,559.41,567.589,768.122,-6597.52,507.472,559.991,-0.580642
79,-0.311983,-4194.87,-2.84247,-0.385592,11.7138,6,-4754.02,559.151,567.504,768.434,-6597.47,507.505,559.683,-0.53217
80,-0.325276,-4194.63,-2.6019,-0.398888,23.995,6,-4753.87,559.241,567.67,768.42,-6597.53,507.561,559.764,-0.522293
81,-0.338573,-4197.07,-5.03899,-0.412184,14.466,6,-4753.88,556.815,567.758,768.409,-6597.65,507.604,557.348,-0.533581
82,-0.351873,-4196.83,-4.79757,-0.42548,21.6515,6,-4753.87,557.045,567.851,768.433,-6597.66,507.506,557.56,-0.514836
83,-0.365171,-4196.5,-4.46648,-0.438777,27.9906,6,-4753.89,557.39,567.894,768.418,-6597.59,507.394,557.886,-0.496111
84,-0.378458,-4196.09,-4.05605,-0.452073,33.5881,6,-4753.93,557.843,567.786,768.338,-6597.47,507.415,558.353,-0.509237
85,-0.391745,-4194.23,-2.20385,-0.465369,29.513,13,-4753.99,559.753,567.916,768.168,-6597.45,507.376,560.335,-0.582169
86,-0.405069,-4193.81,-1.78099,-0.478665,33.878,6,-4754.01,560.201,568.005,768.102,-6597.46,507.338,560.831,-0.630055
87,-0.418375,-4193.34,-1.30818,-0.491962,36.9902,6,-4753.92,560.578,568.086,768.114,-6597.43,507.317,561.214,-0.635621
88,-0.431681,-4192.83,-0.802493,-0.505258,38.8343,6,-4753.96,561.13,568.063,768.078,-6597.44,507.333,561.776,-0.646447
89,-0.444983,-4190.96,1.06915,-0.518554,30.0745,6,-4754.01,563.053,568.233,767.82,-6597.38,507.315,563.704,-0.651232
90,-0.458276,-4190.56,1.47446,-0.53185,30.7634,6,-4754.04,563.482,568.291,767.706,-6597.36,507.321,564.15,-0.668152
91,-0.471564,-4189.77,2.26311,-0.545147,27.5421,6,-4754,564.231,568.32,767.708,-6597.35,507.328,564.913,-0.68203
92,-0.484859,-4189.09,2.93861,-0.558443,-14.4661,6,-4753.96,564.865,568.281,767.721,-6597.31,507.353,565.55,-0.684947
93,-0.498157,-4189.13,2.89743,-0.571739,-12.9094,6,-4753.89,564.758,568.289,767.678,-6597.26,507.403,565.438,-0.680555
94,-0.511454,-4189.29,2.74092,-0.585035,-10.4636,6,-4753.82,564.534,568.392,767.6,-6597.24,507.428,565.212,-0.677664
95,-0.524753,-4189.4,2.62498,-0.598332,-6.76538,6,-4753.74,564.335,568.584,767.454,-6597.24,507.458,565.017,-0.681955
96,-0.538051,-4189.39,2.63853,-0.611628,-1.61321,6,-4753.66,564.268,568.736,767.311,-6597.21,507.504,564.966,-0.698196
97,-0.551351,-4189.16,2.8718,-0.624924,4.97982,6,-4753.59,564.437,568.733,767.294,-6597.17,507.547,565.163,-0.726202
98,-0.564653,-4192.04,-0.00637489,-0.63822,-7.70274,6,-4753.54,561.506,568.607,767.4,-6597.11,507.561,562.259,-0.753462
99,-0.577959,-4192.1,-0.0669932,-0.651517,-0.630564,8,-4753.98,561.88,568.141,767.56,-6597.24,507.559,562.603,-0.723067
