step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,G,
10450,282.278,-8416.94,-7814.93,-1,0,4.18002,
10460,272.572,-8394.25,-7812.95,-1,0,4.18357,
10470,271.964,-8389.23,-7809.22,-1,0,4.18712,
10480,290.881,-8428.35,-7807.99,-1,0,4.19067,
10490,292.591,-8431.12,-7807.12,-1,0,4.19422,
10500,299.338,-8445.57,-7807.18,-1,0,4.19777,
10510,303.979,-8455.19,-7806.9,-1,0,4.20131,
10520,304.268,-8456.37,-7807.46,-1,0,4.20486,
10530,305.6,-8459.06,-7807.31,-1,0,4.2084,
10540,315.119,-8480.45,-7808.41,-1,0,4.21194,
10550,307.333,-8465.61,-7810.17,-1,0,4.21548,
10560,300.009,-8450.32,-7810.5,-1,0,4.21902,
10570,305.503,-8462.33,-7810.79,-1,0,4.22256,
10580,296.773,-8445.73,-7812.81,-1,0,4.2261,
10590,283.362,-8418.08,-7813.76,-1,0,4.22963,
10600,278.138,-8406.01,-7812.83,-1,0,4.23317,
10610,278.39,-8405.74,-7812.03,-1,0,4.2367,
10620,285.29,-8418.76,-7810.33,-1,0,4.24023,
10630,304.131,-8458.36,-7809.75,-1,0,4.24376,
10640,325.052,-8503.86,-7810.63,-1,0,4.24729,
10650,327.342,-8510.86,-7812.75,-2,-1,4.25082,
10660,311.422,-8479.57,-7815.41,-2,-1,4.25434,
10670,295.396,-8445.59,-7815.61,-2,-1,4.25787,
10680,289.996,-8433.37,-7814.9,-2,-1,4.26139,
10690,288.188,-8427.95,-7813.34,-2,-1,4.26492,
10700,292.431,-8435.32,-7811.66,-2,-1,4.26844,
10710,293.223,-8437.4,-7812.05,-2,-1,4.27196,
10720,288.872,-8426.85,-7810.78,-2,-1,4.27548,
10730,317.847,-8488.93,-7811.06,-2,-1,4.27899,
10740,336.639,-8533.27,-7815.33,-2,-1,4.28251,
10750,304.983,-8467.71,-7817.28,-2,-1,4.28602,
10760,276.027,-8404.2,-7815.53,-2,-1,4.28954,
10770,269.243,-8386.88,-7812.67,-2,-1,4.29305,
10780,275.448,-8396.33,-7808.89,-2,-1,4.29656,
10790,290.42,-8426.94,-7807.57,-2,-1,4.30007,
10800,296.056,-8437.54,-7806.15,-1,0,4.30358,
10810,297.877,-8440.89,-7805.61,-1,0,4.30709,
10820,313.363,-8474.7,-7806.39,-1,0,4.31059,
10830,325.036,-8502.24,-7809.04,-1,0,4.3141,
10840,321.134,-8496.01,-7811.14,-1,0,4.3176,
10850,313.896,-8482.67,-7813.23,-1,0,4.3211,
10860,313.625,-8484.6,-7815.75,-1,0,4.3246,
10870,309.853,-8478.63,-7817.82,-1,0,4.3281,
10880,301.87,-8462.54,-7818.75,-1,0,4.3316,
10890,297.77,-8453.6,-7818.55,-1,0,4.3351,
10900,298.838,-8455.71,-7818.39,-1,0,4.33859,
10910,299.532,-8457.52,-7818.71,-1,0,4.34209,
10920,294.512,-8447.95,-7819.85,-1,0,4.34558,
10930,284.603,-8426.1,-7819.14,-1,0,4.34907,
10940,285.073,-8424.87,-7816.9,-1,0,4.35256,
10950,294.591,-8444.58,-7816.31,-1,0,4.35605,
10960,304.435,-8465.29,-7816.03,-1,0,4.35954,
10970,294.456,-8444.04,-7816.06,-1,0,4.36302,
10980,300.104,-8455.62,-7815.6,-1,0,4.36651,
10990,318.492,-8495.95,-7816.71,-1,0,4.36999,
11000,332.45,-8528.33,-7819.32,-1,0,4.37347,
11010,324.208,-8513.09,-7821.66,-1,0,4.37696,
11020,322.763,-8513.17,-7824.83,-1,0,4.38044,
11030,309.662,-8491.66,-7831.26,-1,0,4.38391,
11040,301.72,-8475.2,-7831.73,-1,0,4.38739,
11050,312.625,-8498.99,-7832.27,-1,0,4.39087,
11060,306.498,-8487.7,-7834.04,-1,0,4.39434,
11070,301.993,-8479.19,-7835.14,-1,0,4.39781,
11080,305.762,-8486.77,-7834.68,-1,0,4.40129,
11090,309.898,-8497.56,-7836.65,-1,0,4.40476,
11100,310.906,-8501.11,-7838.05,-1,0,4.40823,
11110,299.883,-8477.94,-7838.39,-1,0,4.41169,
11120,285.067,-8445.81,-7837.86,-1,0,4.41516,
11130,264.26,-8398.45,-7834.87,-1,0,4.41863,
11140,250.032,-8364.15,-7830.91,-1,0,4.42209,
11150,244.924,-8348.12,-7825.78,-1,0,4.42555,
11160,261.875,-8379.68,-7821.19,-1,0,4.42901,
11170,269.097,-8392.32,-7818.42,-1,0,4.43247,
11180,260.174,-8370.44,-7815.57,-1,0,4.43593,
11190,253.611,-8352.6,-7811.73,-1,0,4.43939,
11200,266.283,-8375.45,-7807.55,-1,0,4.44284,
11210,271.973,-8385.12,-7805.09,-1,0,4.4463,
11220,280.402,-8400.64,-7802.63,-1,0,4.44975,
11230,288.364,-8416.17,-7801.18,-1,0,4.4532,
11240,299.331,-8439.63,-7801.26,-1,0,4.45665,
11250,296.523,-8433.12,-7800.73,-1,0,4.4601,
11260,302.138,-8446.92,-7802.56,-1,0,4.46355,
11270,302.018,-8446.82,-7802.71,-1,0,4.467,
11280,298.021,-8439.43,-7803.85,-1,0,4.47044,
11290,286.499,-8415.37,-7804.36,-1,0,4.47389,
11300,298.353,-8441.35,-7805.07,-1,0,4.47733,
11310,289.727,-8422.72,-7804.82,-1,0,4.48077,
11320,279.935,-8400.43,-7803.42,-1,0,4.48421,
11330,281.087,-8400.83,-7801.36,-1,0,4.48765,
11340,293.937,-8427.01,-7800.14,-1,0,4.49109,
11350,296.702,-8432.91,-7800.14,-1,0,4.49452,
11360,300.21,-8440.12,-7799.87,-1,0,4.49796,
11370,303.878,-8447.38,-7799.31,-1,0,4.50139,
11380,308.123,-8458,-7800.88,-1,0,4.50482,
11390,292.593,-8425.28,-7801.27,-1,0,4.50825,
11400,284.474,-8406.88,-7800.19,-1,0,4.51168,
11410,288.73,-8414.95,-7799.18,-1,0,4.51511,
11420,295.94,-8429.32,-7798.18,-1,0,4.51853,
11430,292.569,-8421.9,-7797.94,-1,0,4.52196,
11440,287.098,-8408.56,-7796.27,-1,0,4.52538,
11450,295.003,-8424.66,-7795.52,-1,0,4.5288,
11460,311.061,-8458.51,-7795.12,-1,0,4.53223,
11470,301.196,-8437.84,-7795.49,-1,0,4.53564,
11480,288.922,-8411.51,-7795.33,-1,0,4.53906,
11490,279.643,-8390.4,-7794.02,-1,0,4.54248,
11500,286.183,-8403.7,-7793.37,-1,0,4.5459,
11510,288.184,-8406.95,-7792.35,-1,0,4.54931,
11520,277.694,-8382.2,-7789.97,-1,0,4.55272,
11530,254.148,-8328.45,-7786.43,-1,0,4.55613,
11540,246.329,-8306.13,-7780.79,-1,0,4.55954,
11550,273.101,-8359.09,-7776.65,-1,0,4.56295,
11560,296.766,-8407.69,-7774.78,-1,0,4.56636,
11570,292.942,-8399.9,-7775.15,-1,0,4.56976,
11580,306.954,-8429.62,-7774.99,-1,0,4.57317,
11590,331.097,-8483.58,-7777.46,-1,0,4.57657,
11600,324.438,-8472.92,-7781,-1,0,4.57997,
11610,309.361,-8443.17,-7783.4,-1,0,4.58337,
11620,313.491,-8453.5,-7784.93,-1,0,4.58677,
11630,309.443,-8446.59,-7786.65,-1,0,4.59017,
11640,297.31,-8421.46,-7787.39,-1,0,4.59357,
11650,297.232,-8421.36,-7787.46,-1,0,4.59696,
11660,309.49,-8447.6,-7787.56,-1,0,4.60035,
11670,311.962,-8455.26,-7789.94,-1,0,4.60375,
11680,296.994,-8423.84,-7790.45,-1,0,4.60714,
11690,292.102,-8412.91,-7789.95,-1,0,4.61053,
11700,302.98,-8435.11,-7788.96,-1,0,4.61391,
11710,322.907,-8479.16,-7790.51,-1,0,4.6173,
11720,328.676,-8493.7,-7792.74,-1,0,4.62069,
11730,325.408,-8489.66,-7795.67,-1,0,4.62407,
11740,310.623,-8460.8,-7798.35,-1,0,4.62745,
11750,292.439,-8423.75,-7800.08,-1,0,4.63083,
11760,289.386,-8416.08,-7798.91,-1,0,4.63421,
11770,268.142,-8368.36,-7796.5,-1,0,4.63759,
11780,272.794,-8375.05,-7793.27,-1,0,4.64097,
11790,297.053,-8425.31,-7791.79,-1,0,4.64434,
11800,309.759,-8452.54,-7791.93,-1,0,4.64772,
11810,316.891,-8469.39,-7793.56,-1,0,4.65109,
11820,304.697,-8444.58,-7794.76,-1,0,4.65446,
11830,298.35,-8432.42,-7796.14,-1,0,4.65783,
11840,302.347,-8441.21,-7796.41,-1,0,4.6612,
11850,287.645,-8410,-7796.54,-1,0,4.66456,
11860,273.26,-8376.7,-7793.93,-1,0,4.66793,
11870,282.184,-8392.78,-7790.97,-1,0,4.67129,
11880,298.77,-8427.57,-7790.39,-1,0,4.67466,
11890,321.097,-8476.35,-7791.56,-1,0,4.67802,
11900,324.176,-8485.47,-7794.11,-1,0,4.68138,
11910,328.823,-8498.7,-7797.43,-1,0,4.68474,
11920,314.043,-8470.1,-7800.35,-1,0,4.68809,
11930,303.604,-8449.57,-7802.08,-1,0,4.69145,
11940,301.555,-8445.1,-7801.98,-1,0,4.6948,
11950,295.351,-8431.79,-7801.9,-1,0,4.69816,
11960,289.386,-8417.87,-7800.71,-1,0,4.70151,
11970,296.565,-8433.2,-7800.72,-1,0,4.70486,
11980,306.379,-8454.13,-7800.73,-1,0,4.70821,
11990,298.029,-8436.15,-7800.55,-1,0,4.71155,
12000,299.266,-8439.39,-7801.15,-1,0,4.7149,
12010,309.486,-8461.64,-7801.6,-1,0,4.71824,
12020,312.361,-8469.21,-7803.05,-1,0,4.72159,
12030,290.004,-8423.27,-7804.78,-1,0,4.72493,
12040,293.225,-8428.85,-7803.5,-1,0,4.72827,
12050,314.823,-8476.58,-7805.17,-1,0,4.73161,
12060,315.295,-8479.14,-7806.72,-1,0,4.73494,
12070,308.121,-8465.67,-7808.55,-1,0,4.73828,
12080,305.807,-8462.23,-7810.04,-1,0,4.74161,
12090,291.376,-8434.05,-7812.64,-1,0,4.74495,
12100,286.362,-8421.87,-7811.15,-1,0,4.74828,
12110,286.522,-8420.18,-7809.12,-1,0,4.75161,
12120,282.843,-8411.22,-7808.01,-1,0,4.75494,
12130,279.004,-8401.14,-7806.12,-1,0,4.75826,
12140,279.072,-8399.68,-7804.51,-1,0,4.76159,
12150,263.186,-8362.56,-7801.27,-1,0,4.76492,
12160,269.22,-8372.02,-7797.86,-1,0,4.76824,
12170,301.786,-8439.88,-7796.27,-1,0,4.77156,
12180,313.679,-8467.44,-7798.47,-1,0,4.77488,
12190,304.61,-8450.34,-7800.71,-1,0,4.7782,
12200,305.096,-8451.7,-7801.04,-1,0,4.78152,
12210,289.143,-8417.37,-7800.73,-1,0,4.78483,
12220,282.428,-8402.7,-7800.37,-1,0,4.78815,
12230,298.161,-8435,-7799.12,-1,0,4.79146,
12240,308.382,-8457.59,-7799.92,-1,0,4.79477,
12250,302.546,-8445.65,-7800.42,-1,0,4.79808,
12260,297.285,-8433.31,-7799.3,-1,0,4.80139,
12270,299.449,-8438.6,-7799.97,-1,0,4.8047,
12280,285.876,-8410.75,-7801.07,-1,0,4.808,
12290,272.514,-8380.13,-7798.95,-1,0,4.81131,
12300,291.032,-8417.48,-7796.8,-1,0,4.81461,
12310,295.402,-8426.6,-7796.61,-1,0,4.81791,
12320,297.89,-8430.44,-7795.14,-1,0,4.82121,
12330,287.66,-8408.48,-7795,-1,0,4.82451,
12340,281.251,-8392.89,-7793.07,-1,0,4.82781,
12350,263.535,-8352.49,-7790.46,-1,0,4.8311,
12360,251.529,-8322.65,-7786.22,-1,0,4.8344,
12370,243.08,-8299.45,-7781.04,-1,0,4.83769,
12380,240.195,-8287.38,-7775.13,-1,0,4.84098,
12390,261.171,-8326.46,-7769.47,-1,0,4.84427,
12400,300.866,-8408.83,-7767.19,-1,0,4.84756,
12410,311.399,-8432,-7767.88,-1,0,4.85084,
12420,298.96,-8407.27,-7769.69,-1,0,4.85413,
12430,287.155,-8382.02,-7769.61,-1,0,4.85741,
12440,268.156,-8339.77,-7767.88,-1,0,4.8607,
12450,258.666,-8315.37,-7763.72,-1,0,4.86398,
12460,265.087,-8325.09,-7759.74,-1,0,4.86726,
12470,273.016,-8339.33,-7757.07,-1,0,4.87053,
12480,281.097,-8353.3,-7753.82,-1,0,4.87381,
12490,299.532,-8391.63,-7752.83,-1,0,4.87709,
12500,316.765,-8432.16,-7756.6,-1,0,4.88036,
12510,320.766,-8445.03,-7760.94,-1,0,4.88363,
12520,314.104,-8433.01,-7763.13,-1,0,4.8869,
12530,312.953,-8431.15,-7763.72,-1,0,4.89017,
12540,293.987,-8391.15,-7764.17,-1,0,4.89344,
12550,282.489,-8365.1,-7762.65,-1,0,4.89671,
12560,265.949,-8327.47,-7760.28,-1,0,4.89997,
12570,269.245,-8330.45,-7756.24,-1,0,4.90323,
12580,282.946,-8357.15,-7753.71,-1,0,4.9065,
12590,291.304,-8373.57,-7752.31,-1,0,4.90976,
12600,304.179,-8401.66,-7752.94,0,1,4.91302,
12610,334.628,-8469.07,-7755.42,0,1,4.91627,
12620,357.416,-8522.62,-7760.37,0,1,4.91953,
12630,354.746,-8523.09,-7766.53,0,1,4.92278,
12640,339.412,-8496.74,-7772.89,0,1,4.92604,
12650,311.032,-8439.77,-7776.44,0,1,4.92929,
12660,294.907,-8407.02,-7778.08,0,1,4.93254,
12670,280.597,-8376.15,-7777.73,0,1,4.93579,
12680,278.785,-8369.81,-7775.26,0,1,4.93903,
12690,298.017,-8409.64,-7774.06,0,1,4.94228,
12700,301.916,-8418.65,-7774.76,0,1,4.94552,
12710,292.331,-8397.43,-7773.98,0,1,4.94877,
12720,291.998,-8395.36,-7772.62,0,1,4.95201,
12730,313.099,-8440.93,-7773.2,0,1,4.95525,
12740,318.428,-8454,-7774.9,0,1,4.95849,
12750,312.357,-8442.39,-7776.24,0,1,4.96172,
12760,306.505,-8431.54,-7777.87,0,1,4.96496,
12770,286.756,-8389.18,-7777.62,0,1,4.96819,
12780,289.784,-8394.85,-7776.84,0,1,4.97142,
12790,303.175,-8423.04,-7776.47,0,1,4.97465,
12800,298.325,-8412.52,-7776.29,0,1,4.97788,
12810,282.612,-8377.79,-7775.07,0,1,4.98111,
12820,296.96,-8407.69,-7774.37,0,1,4.98434,
12830,330.938,-8481.54,-7775.76,0,1,4.98756,
12840,323.621,-8469.84,-7779.66,0,1,4.99079,
12850,302.683,-8426.22,-7780.69,0,1,4.99401,
12860,327.636,-8481.09,-7782.35,0,1,4.99723,
12870,349.724,-8531.7,-7785.85,0,1,5.00045,
12880,342.56,-8521.48,-7790.91,0,1,5.00366,
12890,329.865,-8497.82,-7794.33,0,1,5.00688,
12900,321.427,-8482.96,-7797.47,0,1,5.01009,
12910,310.996,-8462.2,-7798.95,0,1,5.01331,
12920,297.753,-8434.87,-7799.87,0,1,5.01652,
12930,285.502,-8407.6,-7798.72,0,1,5.01973,
12940,289.443,-8415.38,-7798.1,0,1,5.02294,
12950,303.701,-8446,-7798.3,0,1,5.02614,
12960,296.968,-8431.72,-7798.38,0,1,5.02935,
12970,287.002,-8409.51,-7797.43,0,1,5.03255,
12980,299.023,-8434.59,-7796.87,0,1,5.03575,
12990,304.604,-8447.36,-7797.74,0,1,5.03895,
13000,291.528,-8418.95,-7797.22,0,1,5.04215,
13010,287.52,-8409.35,-7796.16,0,1,5.04535,
13020,277.696,-8386.93,-7794.7,0,1,5.04855,
13030,274.785,-8377.67,-7791.64,0,1,5.05174,
13040,292.342,-8414.54,-7791.07,0,1,5.05493,
13050,298.95,-8430.26,-7792.69,0,1,5.05813,
13060,279.177,-8387.11,-7791.72,0,1,5.06132,
13070,285.58,-8399.11,-7790.06,0,1,5.0645,
13080,300.778,-8430.36,-7788.9,0,1,5.06769,
13090,312.453,-8456.12,-7789.76,0,1,5.07088,
13100,301.223,-8433.02,-7790.61,0,1,5.07406,
13110,314.657,-8463.83,-7792.77,0,1,5.07724,
13120,302.497,-8441.17,-7796.04,0,1,5.08042,
13130,300.689,-8440.4,-7799.13,0,1,5.0836,
13140,307.534,-8457.26,-7801.39,0,1,5.08678,
13150,319.632,-8484.8,-7803.13,0,1,5.08996,
13160,301.117,-8446.09,-7803.91,0,1,5.09313,
13170,264.394,-8365.74,-7801.87,0,1,5.09631,
13180,251.719,-8333.35,-7796.52,0,1,5.09948,
13190,278.979,-8387.52,-7792.55,0,1,5.10265,
13200,288.216,-8405.75,-7791.08,0,1,5.10582,
13210,292.436,-8413.4,-7789.73,0,1,5.10898,
13220,302.764,-8435.56,-7789.87,0,1,5.11215,
13230,308.444,-8449.1,-7791.29,0,1,5.11531,
13240,314.141,-8463.12,-7793.16,0,1,5.11848,
13250,308.812,-8454.02,-7795.43,0,1,5.12164,
13260,296.864,-8428.73,-7795.61,0,1,5.1248,
13270,278.309,-8387.95,-7794.4,0,1,5.12795,
13280,258.404,-8342.87,-7791.78,0,1,5.13111,
13290,258.755,-8338.43,-7786.59,0,1,5.13426,
13300,299.765,-8423.08,-7783.78,0,1,5.13742,
13310,304.237,-8432.67,-7783.84,0,1,5.14057,
13320,294.294,-8411.62,-7783.98,0,1,5.14372,
13330,284.66,-8390.08,-7782.99,0,1,5.14687,
13340,296.158,-8413.54,-7781.94,0,1,5.15002,
13350,301.651,-8425.18,-7781.86,0,1,5.15316,
13360,312.855,-8449.82,-7782.6,0,1,5.15631,
13370,309.663,-8444.62,-7784.21,0,1,5.15945,
13380,297.142,-8419.15,-7785.44,0,1,5.16259,
13390,282.519,-8387.89,-7785.37,0,1,5.16573,
13400,277.335,-8374.57,-7783.11,0,1,5.16887,
13410,271.835,-8360.99,-7781.25,0,1,5.172,
13420,280.125,-8375.94,-7778.53,0,1,5.17514,
13430,292.197,-8400.92,-7777.76,0,1,5.17827,
13440,297.889,-8413.57,-7778.27,0,1,5.1814,
13450,295.09,-8408.4,-7779.07,0,1,5.18453,
13460,292.829,-8402.79,-7778.28,0,1,5.18766,
13470,305.148,-8428.24,-7777.46,0,1,5.19079,
13480,324.501,-8471.62,-7779.56,0,1,5.19391,
13490,318.6,-8462.09,-7782.62,0,1,5.19704,
13500,321.415,-8469.55,-7784.08,0,1,5.20016,
13510,305.563,-8438.2,-7786.53,0,1,5.20328,
13520,285.026,-8393.61,-7785.74,0,1,5.2064,
13530,289.879,-8402.57,-7784.35,0,1,5.20951,
13540,291.873,-8406.29,-7783.83,0,1,5.21263,
13550,311.183,-8448.29,-7784.64,0,1,5.21574,
13560,316.708,-8461.98,-7786.54,0,1,5.21886,
13570,301.202,-8431.44,-7789.08,0,1,5.22197,
13580,295.689,-8420.07,-7789.47,0,1,5.22508,
13590,304.16,-8437.93,-7789.26,0,1,5.22819,
13600,293.929,-8416.04,-7789.18,0,1,5.23129,
13610,289.907,-8407.07,-7788.8,0,1,5.2344,
13620,270.746,-8363.91,-7786.5,0,1,5.2375,
13630,274.862,-8369.43,-7783.24,0,1,5.2406,
13640,290.308,-8400.06,-7780.92,0,1,5.2437,
13650,303.979,-8429.49,-7781.2,0,1,5.2468,
13660,292.323,-8404.86,-7781.43,0,1,5.2499,
13670,308.337,-8438.73,-7781.15,0,1,5.25299,
13680,304.766,-8432.68,-7782.72,0,1,5.25609,
13690,291.106,-8403.38,-7782.54,0,1,5.25918,
13700,295.108,-8410.33,-7780.96,0,1,5.26227,
13710,322.744,-8470.66,-7782.35,0,1,5.26536,
13720,322.797,-8473.34,-7784.92,0,1,5.26845,
13730,325.178,-8481.77,-7788.27,0,1,5.27153,
13740,301.032,-8432.04,-7790.03,0,1,5.27462,
13750,284.39,-8396.22,-7789.71,0,1,5.2777,
13760,289.086,-8405.38,-7788.85,0,1,5.28078,
13770,306.487,-8442.38,-7788.74,0,1,5.28386,
13780,305.999,-8443.83,-7791.24,0,1,5.28694,
13790,288.359,-8405.7,-7790.73,0,1,5.29002,
13800,279.978,-8386.11,-7789.01,0,1,5.29309,
13810,294.392,-8416.4,-7788.56,0,1,5.29616,
13820,295.132,-8417.56,-7788.14,0,1,5.29924,
13830,298.838,-8424.74,-7787.41,0,1,5.30231,
13840,298.284,-8422.92,-7786.78,0,1,5.30538,
13850,298.026,-8422.81,-7787.22,0,1,5.30844,
13860,317.401,-8465.19,-7788.27,0,1,5.31151,
13870,310.196,-8451.76,-7790.22,0,1,5.31457,
13880,296.066,-8421.85,-7790.44,0,1,5.31763,
13890,304.472,-8439.75,-7790.41,0,1,5.32069,
13900,301.895,-8434.92,-7791.08,0,1,5.32375,
13910,292.108,-8413.66,-7790.69,0,1,5.32681,
13920,299.036,-8427.89,-7790.15,0,1,5.32987,
13930,297.988,-8425.37,-7789.86,0,1,5.33292,
13940,291.946,-8412.01,-7789.38,0,1,5.33597,
13950,291.707,-8410.9,-7788.79,-1,0,5.33902,
13960,300.293,-8428.51,-7788.08,-1,0,5.34207,
13970,297.054,-8421.1,-7787.58,-1,0,5.34512,
13980,298.304,-8423.83,-7787.64,-1,0,5.34817,
13990,306.472,-8442.67,-7789.07,-1,0,5.35121,
14000,323.68,-8481.53,-7791.23,-1,0,5.35425,
14010,316.373,-8468.75,-7794.04,-1,0,5.35729,
14020,300.716,-8436.92,-7795.59,-1,0,5.36033,
14030,277.087,-8385.88,-7794.95,-1,0,5.36337,
14040,269.791,-8367.66,-7792.28,-1,0,5.36641,
14050,283.055,-8393.08,-7789.42,-1,0,5.36944,
14060,307.949,-8445.31,-7788.56,-1,0,5.37248,
14070,302.693,-8435.02,-7789.48,-1,0,5.37551,
14080,291.669,-8411.1,-7789.07,-1,0,5.37854,
14090,296.798,-8421.15,-7788.18,-1,0,5.38157,
14100,301.738,-8432.17,-7788.66,-1,0,5.38459,
14110,310.694,-8451.97,-7789.36,-1,0,5.38762,
14120,308.975,-8449.93,-7790.99,-1,0,5.39064,
14130,304.422,-8441.02,-7791.79,-1,0,5.39366,
14140,317.293,-8469.82,-7793.14,-1,0,5.39668,
14150,305.749,-8447.58,-7795.52,-1,0,5.3997,
14160,282.569,-8397.26,-7794.63,-1,0,5.40272,
14170,280.469,-8390.4,-7792.25,-1,0,5.40574,
14180,279.669,-8386.99,-7790.54,-1,0,5.40875,
14190,278.704,-8382.39,-7788.01,-1,0,5.41176,
14200,293.536,-8412.55,-7786.54,-1,0,5.41477,
14210,298.538,-8423.03,-7786.35,-1,0,5.41778,
14220,288.581,-8400.45,-7785,-1,0,5.42079,
14230,286.562,-8395.13,-7783.99,-1,0,5.42379,
14240,285.996,-8392.42,-7782.48,-1,0,5.4268,
14250,302.28,-8425.78,-7781.12,-1,0,5.4298,
14260,306.543,-8435.56,-7781.8,-1,0,5.4328,
14270,305.722,-8437.45,-7785.44,-1,0,5.4358,
14280,311.191,-8450.03,-7786.37,-1,0,5.4388,
14290,298.498,-8423.97,-7787.37,-1,0,5.44179,
14300,288.448,-8401.15,-7785.99,-1,0,5.44479,
14310,295.615,-8415.77,-7785.33,-1,0,5.44778,
14320,277.837,-8376.92,-7784.39,-1,0,5.45077,
14330,271.127,-8358.65,-7780.43,-1,0,5.45376,
14340,285.889,-8387.44,-7777.73,-1,0,5.45675,
14350,305.627,-8429.57,-7777.76,-1,0,5.45973,
14360,316.645,-8454.88,-7779.58,-1,0,5.46272,
14370,306.21,-8433.62,-7780.57,-1,0,5.4657,
14380,286.534,-8391.52,-7780.44,-1,0,5.46868,
14390,284.394,-8386.26,-7779.74,-1,0,5.47166,
14400,293.272,-8404.48,-7779.03,-1,0,5.47464,
14410,296.91,-8411.35,-7778.13,-1,0,5.47762,
14420,290.985,-8399.08,-7778.5,-1,0,5.48059,
14430,295.177,-8407.63,-7778.12,-1,0,5.48356,
14440,305.918,-8431.21,-7778.79,-1,0,5.48653,
14450,299.744,-8419.3,-7780.04,-1,0,5.4895,
14460,272.683,-8359.78,-7778.23,-1,0,5.49247,
14470,279.669,-8371.84,-7775.4,-1,0,5.49544,
14480,275.075,-8360.08,-7773.43,-1,0,5.4984,
14490,283.408,-8375.73,-7771.32,-1,0,5.50136,
14500,300.838,-8411.94,-7770.35,-1,0,5.50433,
14510,293.477,-8395.69,-7769.8,-1,0,5.50729,
14520,277.63,-8360.38,-7768.28,-1,0,5.51024,
14530,282.407,-8368.67,-7766.38,-1,0,5.5132,
14540,299.255,-8404.12,-7765.91,-1,0,5.51615,
14550,311.853,-8430.61,-7765.53,-1,0,5.51911,
14560,332.012,-8475.74,-7767.67,-1,0,5.52206,
14570,321.407,-8456.46,-7771,-2,-1,5.52501,
14580,317.712,-8450.25,-7772.67,-2,-1,5.52796,
14590,322.041,-8461.65,-7774.84,-2,-1,5.5309,
14600,313.922,-8446.11,-7776.62,-2,-1,5.53385,
14610,297.188,-8411.85,-7778.04,-2,-1,5.53679,
14620,292.49,-8400.68,-7776.9,-2,-1,5.53973,
14630,302.235,-8421.25,-7776.68,-2,-1,5.54267,
14640,309.886,-8438.88,-7778,-2,-1,5.54561,
14650,306.119,-8432.16,-7779.31,-2,-1,5.54855,
14660,284.304,-8385.19,-7778.86,-1,0,5.55148,
14670,284.188,-8382.95,-7776.86,-1,0,5.55441,
14680,288.736,-8392.14,-7776.36,-1,0,5.55735,
14690,289.449,-8392.46,-7775.17,-1,0,5.56028,
14700,304.41,-8424.75,-7775.55,-1,0,5.5632,
14710,297.129,-8409.63,-7775.96,-1,0,5.56613,
14720,289.522,-8393.82,-7776.36,-1,0,5.56905,
14730,300,-8415.86,-7776.06,-1,0,5.57198,
14740,302.682,-8422.01,-7776.49,-1,0,5.5749,
14750,301.473,-8419.95,-7777.01,-1,0,5.57782,
14760,315.417,-8450.27,-7777.59,-1,0,5.58074,
14770,322.145,-8465.99,-7778.96,-1,0,5.58365,
14780,320.762,-8465.67,-7781.59,0,1,5.58657,
14790,302.608,-8428.7,-7783.34,0,1,5.58948,
14800,284.802,-8390.07,-7782.68,0,1,5.59239,
14810,285.402,-8388.76,-7780.1,0,1,5.5953,
14820,295.95,-8410.58,-7779.41,0,1,5.59821,
14830,275.121,-8364.48,-7777.74,0,1,5.60112,
14840,290.118,-8394.63,-7775.91,0,1,5.60402,
14850,288.28,-8390.12,-7775.31,0,1,5.60692,
14860,306.541,-8428.68,-7774.93,0,1,5.60982,
14870,302.845,-8421.47,-7775.6,0,1,5.61272,
14880,305.629,-8428.16,-7776.36,0,1,5.61562,
14890,293.632,-8404.94,-7778.72,0,1,5.61852,
14900,295.88,-8411.57,-7780.55,0,1,5.62141,
14910,305.169,-8434.09,-7783.26,0,1,5.6243,
14920,299.664,-8423.13,-7784.05,0,1,5.6272,
14930,300.613,-8425.42,-7784.31,0,1,5.63008,
14940,303.422,-8431.36,-7784.26,0,1,5.63297,
14950,324.187,-8477.56,-7786.18,0,1,5.63586,
14960,326.962,-8486.15,-7788.84,0,1,5.63874,
14970,313.84,-8460.83,-7791.51,0,1,5.64162,
14980,305.453,-8443.59,-7792.16,0,1,5.64451,
14990,311.784,-8458.23,-7793.3,0,1,5.64738,
15000,305.164,-8444.99,-7794.18,0,1,5.65026,
15010,288.195,-8409.23,-7794.61,0,1,5.65314,
15020,287.242,-8407.09,-7794.5,0,1,5.65601,
15030,278.854,-8387.89,-7793.19,0,1,5.65888,
15040,266.61,-8359.23,-7790.64,0,1,5.66176,
15050,257.195,-8334.95,-7786.44,-1,0,5.66462,
15060,280.514,-8382.5,-7784.25,-1,0,5.66749,
15070,281.778,-8383.28,-7782.34,-1,0,5.67036,
15080,290.616,-8400.41,-7780.62,-1,0,5.67322,
15090,307.92,-8438.01,-7781.31,-1,0,5.67608,
15100,320.161,-8465.03,-7782.23,-1,0,5.67894,
15110,300.55,-8424.73,-7783.75,-1,0,5.6818,
15120,291.833,-8406.29,-7783.9,-1,0,5.68466,
15130,294.936,-8412.95,-7783.95,-1,0,5.68751,
15140,292.932,-8408.04,-7783.31,-1,0,5.69037,
