step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,G,
1050,60.0974,-8991.35,-8863.18,-1,0,0.443648,
1060,60.064,-8992.09,-8864,-1,0,0.447869,
1070,60.0302,-8993.01,-8864.99,-1,0,0.452089,
1080,59.7016,-8993.3,-8865.97,-1,0,0.456309,
1090,59.301,-8992.85,-8866.38,-1,0,0.460529,
1100,59.2006,-8992.8,-8866.54,-1,0,0.464749,
1110,60.8205,-8992.33,-8862.62,-1,0,0.468969,
1120,61.9275,-8991.35,-8859.28,-1,0,0.473189,
1130,62.4997,-8990.3,-8857.01,-1,0,0.477408,
1140,62.8507,-8988.97,-8854.93,-1,0,0.481628,
1150,62.986,-8987.11,-8852.78,-1,0,0.485847,
1160,63.0577,-8985.05,-8850.57,-1,0,0.490066,
1170,62.9141,-8982.26,-8848.09,-1,0,0.494285,
1180,62.8347,-8980.06,-8846.06,-1,0,0.498504,
1190,62.4863,-8976.47,-8843.2,-1,0,0.502722,
1200,62.235,-8973,-8840.27,-1,0,0.506941,
1210,63.7759,-8969.25,-8833.24,-1,0,0.511159,
1220,64.6563,-8964.5,-8826.61,-1,0,0.515377,
1230,65.1276,-8959.61,-8820.71,-1,0,0.519595,
1240,65.2286,-8954.85,-8815.74,-1,0,0.523813,
1250,65.0714,-8949.31,-8810.53,-1,0,0.528031,
1260,64.8076,-8943.47,-8805.26,-1,0,0.532249,
1270,64.5557,-8936.62,-8798.95,-1,0,0.536466,
1280,64.3666,-8930.89,-8793.61,-1,0,0.540683,
1290,64.2826,-8925.18,-8788.09,-1,0,0.5449,
1300,64.1943,-8918.47,-8781.57,-1,0,0.549117,
1310,66.2675,-8913.05,-8771.73,-1,0,0.553334,
1320,67.6545,-8907.46,-8763.18,-1,0,0.55755,
1330,68.7801,-8902.42,-8755.73,-1,0,0.561767,
1340,69.4873,-8896.98,-8748.79,-1,0,0.565983,
1350,70.0532,-8892.07,-8742.67,-1,0,0.570199,
1360,70.3812,-8886.49,-8736.39,-1,0,0.574415,
1370,70.6477,-8881.24,-8730.57,-1,0,0.578631,
1380,70.7911,-8875.92,-8724.94,-1,0,0.582846,
1390,70.956,-8871.19,-8719.86,-1,0,0.587062,
1400,71.1068,-8865.84,-8714.19,-1,0,0.591277,
1410,73.1016,-8860.64,-8704.74,-1,0,0.595492,
1420,74.5046,-8855.24,-8696.35,-1,0,0.599707,
1430,75.4195,-8850.22,-8689.38,-1,0,0.603921,
1440,76.0058,-8844.9,-8682.81,-1,0,0.608136,
1450,76.4756,-8840.35,-8677.25,-1,0,0.61235,
1460,76.7911,-8835.34,-8671.57,-1,0,0.616564,
1470,77.0413,-8830.88,-8666.57,-1,0,0.620778,
1480,77.0184,-8826.99,-8662.73,-1,0,0.624992,
1490,77.0495,-8821.97,-8657.65,-1,0,0.629206,
1500,76.8106,-8815.79,-8651.98,-1,0,0.633419,
1510,78.673,-8810.71,-8642.93,-1,0,0.637632,
1520,79.7743,-8804.68,-8634.55,-1,0,0.641845,
1530,80.8403,-8799.54,-8627.13,-1,0,0.646058,
1540,81.622,-8794.27,-8620.2,-1,0,0.65027,
1550,82.6675,-8790.23,-8613.93,-1,0,0.654483,
1560,83.5488,-8787.3,-8609.12,-1,0,0.658695,
1570,84.7272,-8785.79,-8605.09,-1,0,0.662907,
1580,85.7372,-8784.34,-8601.49,-1,0,0.667119,
1590,86.7225,-8783.85,-8598.9,-1,0,0.67133,
1600,87.556,-8783.87,-8597.14,-1,0,0.675542,
1610,90.1753,-8783.64,-8591.33,-1,0,0.679753,
1620,92.1259,-8784.01,-8587.53,-1,0,0.683964,
1630,93.4767,-8784.91,-8585.55,-1,0,0.688175,
1640,94.6121,-8785.81,-8584.04,-1,0,0.692385,
1650,95.4064,-8786.94,-8583.47,-1,0,0.696596,
1660,96.1095,-8788.32,-8583.35,-1,0,0.700806,
1670,96.6047,-8790.3,-8584.28,-1,0,0.705016,
1680,97.202,-8792.41,-8585.11,-1,0,0.709226,
1690,97.5319,-8794.22,-8586.22,-1,0,0.713435,
1700,97.7876,-8795.95,-8587.4,-1,0,0.717645,
1710,99.7203,-8797.98,-8585.31,0,1,0.721854,
1720,100.721,-8798.79,-8583.99,0,1,0.726062,
1730,101.226,-8798.65,-8582.77,0,1,0.730271,
1740,101.361,-8798.52,-8582.35,0,1,0.73448,
1750,101.747,-8799.39,-8582.39,0,1,0.738688,
1760,102.459,-8801.3,-8582.79,0,1,0.742896,
1770,103.596,-8804.49,-8583.55,0,1,0.747104,
1780,105.005,-8809.6,-8585.66,0,1,0.751311,
1790,106.362,-8815.92,-8589.09,0,1,0.755518,
1800,107.597,-8822.86,-8593.39,0,1,0.759726,
1810,110.494,-8830.06,-8594.41,1,2,0.763932,
1820,112.49,-8837.13,-8597.22,1,2,0.768139,
1830,113.59,-8844.11,-8601.86,1,2,0.772345,
1840,114.115,-8850.27,-8606.9,1,2,0.776552,
1850,114.114,-8855.55,-8612.19,1,2,0.780758,
1860,113.842,-8859.71,-8616.93,1,2,0.784963,
1870,113.316,-8863.46,-8621.8,1,2,0.789169,
1880,112.635,-8866.29,-8626.08,1,2,0.793374,
1890,112.135,-8868.88,-8629.73,1,2,0.797579,
1900,111.911,-8871.68,-8633.01,1,2,0.801784,
1910,114.099,-8875.59,-8632.26,1,2,0.805988,
1920,115.768,-8879.78,-8632.89,1,2,0.810193,
1930,116.872,-8883.84,-8634.59,1,2,0.814397,
1940,117.276,-8887,-8636.89,1,2,0.8186,
1950,117.444,-8890.05,-8639.58,1,2,0.822804,
1960,117.456,-8893.14,-8642.65,1,2,0.827007,
1970,117.754,-8896.61,-8645.48,1,2,0.83121,
1980,118.153,-8900.88,-8648.9,1,2,0.835413,
1990,118.711,-8906.04,-8652.87,1,2,0.839616,
2000,119.099,-8910.88,-8656.88,1,2,0.843818,
2010,122.551,-8928.62,-8667.26,1,2,0.84802,
2020,123.924,-8934.23,-8669.94,1,2,0.852222,
2030,125.16,-8940.53,-8673.61,1,2,0.856423,
2040,125.686,-8945.4,-8677.36,1,2,0.860625,
2050,125.333,-8949.13,-8681.84,1,2,0.864826,
2060,125.159,-8952.89,-8685.97,1,2,0.869026,
2070,124.268,-8954.7,-8689.68,1,2,0.873227,
2080,123.396,-8955.96,-8692.8,1,2,0.877427,
2090,122.545,-8956.48,-8695.14,1,2,0.881627,
2100,121.518,-8956.18,-8697.02,1,2,0.885827,
2110,123.116,-8956.77,-8694.21,1,2,0.890026,
2120,123.654,-8956.17,-8692.46,1,2,0.894225,
2130,124.079,-8955.86,-8691.24,1,2,0.898424,
2140,123.334,-8953.42,-8690.39,1,2,0.902623,
2150,122.026,-8949.16,-8688.92,1,2,0.906821,
2160,119.322,-8939.97,-8685.49,1,2,0.911019,
2170,115.975,-8926.49,-8679.15,1,2,0.915217,
2180,113.777,-8913.21,-8670.56,1,2,0.919415,
2190,114.36,-8905.17,-8661.27,1,2,0.923612,
2200,116.391,-8900.75,-8652.52,1,2,0.927809,
2210,119.426,-8896.21,-8641.52,1,2,0.932005,
2220,120.742,-8889.55,-8632.05,1,2,0.936202,
2230,121.896,-8883.49,-8623.52,1,2,0.940398,
2240,123.579,-8879.68,-8616.13,2,3,0.944594,
2250,125.867,-8878.41,-8609.98,2,3,0.948789,
2260,127.642,-8878.22,-8606,1,2,0.952985,
2270,128.371,-8876.6,-8602.83,1,2,0.95718,
2280,127.408,-8871.09,-8599.37,1,2,0.961374,
2290,125.454,-8862.99,-8595.44,1,2,0.965569,
2300,122.853,-8851.41,-8589.4,1,2,0.969763,
2310,122.944,-8839.4,-8577.2,1,2,0.973957,
2320,123.426,-8828.89,-8565.67,1,2,0.97815,
2330,124.822,-8821.19,-8554.98,1,2,0.982344,
2340,127.082,-8816.79,-8545.76,1,2,0.986537,
2350,129.784,-8815.19,-8538.4,1,2,0.990729,
2360,132.747,-8815.94,-8532.83,1,2,0.994922,
2370,134.559,-8816.71,-8529.74,1,2,0.999114,
2380,135.838,-8817.63,-8527.93,1,2,1.00331,
2390,135.263,-8815.45,-8526.98,1,2,1.0075,
2400,133.489,-8809.75,-8525.06,1,2,1.01169,
2410,132.713,-8800.97,-8517.94,1,2,1.01588,
2420,131.596,-8789.74,-8509.09,1,2,1.02007,
2430,131.412,-8779.63,-8499.37,1,2,1.02426,
2440,131.714,-8771.11,-8490.21,1,2,1.02845,
2450,132.85,-8764.06,-8480.73,1,2,1.03264,
2460,133.396,-8756.53,-8472.04,1,2,1.03683,
2470,133.469,-8747.99,-8463.34,1,2,1.04102,
2480,132.727,-8738.02,-8454.95,1,2,1.04521,
2490,132.674,-8729.81,-8446.86,1,2,1.04939,
2500,133.206,-8721.68,-8437.59,1,2,1.05358,
2510,136.318,-8715.8,-8425.08,1,2,1.05777,
2520,138.91,-8711.32,-8415.07,1,2,1.06196,
2530,140.946,-8706.95,-8406.36,1,2,1.06615,
2540,142.19,-8702.99,-8399.74,1,2,1.07033,
2550,141.889,-8696.1,-8393.5,1,2,1.07452,
2560,140.058,-8684.66,-8385.96,1,2,1.0787,
2570,135.721,-8665.72,-8376.27,1,2,1.08289,
2580,131.185,-8642.63,-8362.85,1,2,1.08708,
2590,129.526,-8623.43,-8347.19,1,2,1.09126,
2600,132.523,-8614.43,-8331.8,1,2,1.09545,
2610,140.202,-8614.22,-8315.22,1,2,1.09963,
2620,147.869,-8620.81,-8305.45,1,2,1.10381,
2630,155.854,-8633.68,-8301.29,1,2,1.108,
2640,162.982,-8651.03,-8303.45,1,2,1.11218,
2650,168.471,-8670.47,-8311.17,1,2,1.11637,
2660,170.732,-8686.7,-8322.59,1,2,1.12055,
2670,169.474,-8695.25,-8333.81,1,2,1.12473,
2680,165.178,-8696.11,-8343.84,1,2,1.12891,
2690,159.429,-8690.05,-8350.04,1,2,1.13309,
2700,153.648,-8678.75,-8351.07,1,2,1.13728,
2710,150.08,-8662.73,-8342.66,1,2,1.14146,
2720,147.324,-8645.9,-8331.71,1,2,1.14564,
2730,145.807,-8630.57,-8319.62,1,2,1.14982,
2740,147.469,-8621.93,-8307.43,1,2,1.154,
2750,151.503,-8620.06,-8296.95,1,2,1.15818,
2760,158.222,-8629.05,-8291.61,1,2,1.16236,
2770,166.352,-8646.86,-8292.08,1,2,1.16654,
2780,173.904,-8668.88,-8298,1,2,1.17072,
2790,178.757,-8691.26,-8310.02,1,2,1.17489,
2800,178.384,-8704.82,-8324.38,1,2,1.17907,
2810,172.751,-8699.91,-8331.49,1,2,1.18325,
2820,158.928,-8669.7,-8330.76,1,2,1.18743,
2830,151.484,-8642.93,-8319.87,1,2,1.1916,
2840,164.107,-8660.44,-8310.45,1,2,1.19578,
2850,176.294,-8688.35,-8312.37,1,2,1.19996,
2860,179.308,-8702.95,-8320.54,1,2,1.20413,
2870,177.831,-8708.38,-8329.12,1,2,1.20831,
2880,174.745,-8708.4,-8335.73,1,2,1.21248,
2890,171.772,-8706.08,-8339.75,1,2,1.21666,
2900,170.432,-8705.32,-8341.85,1,2,1.22083,
2910,173.414,-8710.01,-8340.17,1,2,1.22501,
2920,178.507,-8721.31,-8340.62,1,2,1.22918,
2930,183.388,-8736.55,-8345.44,1,2,1.23335,
2940,186.117,-8751.26,-8354.33,1,2,1.23753,
2950,186.797,-8762.57,-8364.2,1,2,1.2417,
2960,186.82,-8773.03,-8374.6,1,2,1.24587,
2970,186.922,-8783.68,-8385.04,1,2,1.25004,
2980,186.309,-8793.21,-8395.87,1,2,1.25421,
2990,185.242,-8801.28,-8406.22,1,2,1.25839,
3000,183.736,-8806.47,-8414.62,1,2,1.26256,
3010,184.148,-8811.22,-8418.49,1,2,1.26673,
3020,182.347,-8830.98,-8442.1,1,2,1.2709,
3030,177.706,-8821.63,-8442.64,1,2,1.27507,
3040,173.232,-8808.83,-8439.38,1,2,1.27923,
3050,171.731,-8800.07,-8433.82,1,2,1.2834,
3060,176.526,-8805.57,-8429.1,1,2,1.28757,
3070,185.17,-8824.35,-8429.44,1,2,1.29174,
3080,190.776,-8843.05,-8436.19,1,2,1.29591,
3090,193.316,-8858.45,-8446.17,1,2,1.30007,
3100,192.387,-8866.68,-8456.38,1,2,1.30424,
3110,191.974,-8870.72,-8461.3,1,2,1.30841,
3120,190.735,-8872.84,-8466.07,1,2,1.31257,
3130,189.434,-8873.43,-8469.43,1,2,1.31674,
3140,188.676,-8874.2,-8471.81,1,2,1.32091,
3150,187.972,-8874.53,-8473.64,1,2,1.32507,
3160,188.152,-8876.64,-8475.37,1,2,1.32923,
3170,187.578,-8876.74,-8476.7,1,2,1.3334,
3180,185.509,-8872.32,-8476.69,1,2,1.33756,
3190,181.551,-8862.3,-8475.11,1,2,1.34173,
3200,178.503,-8851.61,-8470.92,1,2,1.34589,
3210,178.964,-8842.32,-8460.65,1,2,1.35005,
3220,180.685,-8836.34,-8451,1,2,1.35421,
3230,182.222,-8831.84,-8443.22,1,2,1.35837,
3240,184.425,-8829.18,-8435.86,1,2,1.36254,
3250,187.179,-8829.97,-8430.78,1,2,1.3667,
3260,190.32,-8833.77,-8427.88,1,2,1.37086,
3270,191.703,-8835.96,-8427.12,1,2,1.37502,
3280,190.766,-8832.99,-8426.15,1,2,1.37918,
3290,187.416,-8823.92,-8424.22,1,2,1.38334,
3300,183.301,-8810.21,-8419.29,1,2,1.38749,
3310,181.983,-8795.67,-8407.56,1,2,1.39165,
3320,182.676,-8784.67,-8395.08,1,2,1.39581,
3330,184.262,-8776.46,-8383.49,1,2,1.39997,
3340,185.347,-8767.9,-8372.61,1,2,1.40413,
3350,184.926,-8757.05,-8362.66,1,2,1.40828,
3360,184.94,-8746,-8351.58,1,2,1.41244,
3370,185.988,-8737.88,-8341.23,1,2,1.41659,
3380,186.398,-8729.19,-8331.67,1,2,1.42075,
3390,184.453,-8715.59,-8322.21,1,2,1.4249,
3400,182.745,-8700.45,-8310.71,1,2,1.42906,
3410,183.829,-8686.52,-8294.48,1,2,1.43321,
3420,184.032,-8670.42,-8277.94,1,2,1.43737,
3430,186.66,-8660.18,-8262.09,1,2,1.44152,
3440,195.583,-8668.99,-8251.87,0,1,1.44567,
3450,201.232,-8677.54,-8248.37,0,1,1.44982,
3460,201.1,-8675.06,-8246.18,0,1,1.45398,
3470,200.675,-8671.87,-8243.9,0,1,1.45813,
3480,201.586,-8671.55,-8241.64,0,1,1.46228,
3490,203.229,-8674.28,-8240.86,0,1,1.46643,
3500,203.976,-8674.93,-8239.91,0,1,1.47058,
3510,206.093,-8675.84,-8236.31,0,1,1.47473,
3520,207.723,-8676.26,-8233.25,0,1,1.47888,
3530,207.98,-8675.22,-8231.67,0,1,1.48303,
3540,205.896,-8668.76,-8229.65,0,1,1.48718,
3550,202.082,-8656.27,-8225.29,0,1,1.49132,
3560,200.28,-8644.8,-8217.67,0,1,1.49547,
3570,199.412,-8634.7,-8209.42,0,1,1.49962,
3580,197.644,-8622.74,-8201.23,0,1,1.50377,
3590,193.671,-8602.59,-8189.55,0,1,1.50791,
3600,187.633,-8576.53,-8176.37,0,1,1.51206,
3610,185.528,-8549.29,-8153.62,0,1,1.5162,
3620,187.977,-8531.04,-8130.15,0,1,1.52035,
3630,195.416,-8526.34,-8109.58,0,1,1.52449,
3640,203.551,-8531,-8096.89,0,1,1.52864,
3650,209.735,-8537.14,-8089.85,0,1,1.53278,
3660,211.998,-8537.98,-8085.86,0,1,1.53692,
3670,213.215,-8537.43,-8082.72,0,1,1.54106,
3680,216.204,-8542.32,-8081.22,0,1,1.54521,
3690,219.185,-8549.63,-8082.18,0,1,1.54935,
3700,222.343,-8559.75,-8085.56,0,1,1.55349,
3710,225.919,-8569.45,-8087.64,0,1,1.55763,
3720,226.047,-8573.42,-8091.34,0,1,1.56177,
3730,224.791,-8573.65,-8094.24,0,1,1.56591,
3740,222.492,-8570.52,-8096.01,0,1,1.57005,
3750,219.835,-8564.95,-8096.12,0,1,1.57419,
3760,217.068,-8556.15,-8093.21,0,1,1.57833,
3770,217.116,-8552.57,-8089.53,0,1,1.58246,
3780,221.829,-8561.25,-8088.17,0,1,1.5866,
3790,229.933,-8581.87,-8091.5,0,1,1.59074,
3800,236.618,-8605.19,-8100.56,0,1,1.59487,
3810,244.318,-8631.46,-8110.41,0,1,1.59901,
3820,249.565,-8657.47,-8125.23,0,1,1.60315,
3830,250.433,-8677.36,-8143.27,0,1,1.60728,
3840,249.409,-8692.04,-8160.13,0,1,1.61142,
3850,248.825,-8707.95,-8177.29,0,1,1.61555,
3860,248.573,-8724.75,-8194.63,0,1,1.61968,
3870,245.953,-8734.37,-8209.83,0,1,1.62382,
3880,237.668,-8729.02,-8222.15,0,1,1.62795,
3890,225.244,-8706.09,-8225.71,0,1,1.63208,
3900,214.895,-8677.68,-8219.38,0,1,1.63621,
3910,210.606,-8652.02,-8202.87,-1,0,1.64034,
3920,211.239,-8635.04,-8184.54,-1,0,1.64447,
3930,216.086,-8628.77,-8167.92,-1,0,1.6486,
3940,224.214,-8634.78,-8156.6,-1,0,1.65273,
3950,235.281,-8654.36,-8152.58,-1,0,1.65686,
3960,246.146,-8683,-8158.05,-1,0,1.66099,
3970,253.835,-8712.23,-8170.88,-1,0,1.66512,
3980,254.758,-8730.73,-8187.41,-1,0,1.66925,
3990,247.648,-8730.6,-8202.45,-1,0,1.67337,
4000,235.771,-8712.01,-8209.18,-1,0,1.6775,
4010,225.733,-8683.16,-8201.74,-1,0,1.68163,
4020,224.347,-8668.42,-8189.96,-1,0,1.68575,
4030,227.227,-8663.76,-8179.16,-1,0,1.68988,
4040,228.174,-8656.79,-8170.17,-1,0,1.694,
4050,227.199,-8644.63,-8160.09,-1,0,1.69812,
4060,226.236,-8632.65,-8150.16,-1,0,1.70225,
4070,224.12,-8616.84,-8138.86,-1,0,1.70637,
4080,222.425,-8599.89,-8125.53,-1,0,1.71049,
4090,222.943,-8587.13,-8111.66,-1,0,1.71462,
4100,225.711,-8579.94,-8098.57,-1,0,1.71874,
4110,231.24,-8577.55,-8084.39,-1,0,1.72286,
4120,235.875,-8577.51,-8074.47,-1,0,1.72698,
4130,239.386,-8578,-8067.47,-1,0,1.7311,
4140,246.167,-8590.18,-8065.19,-1,0,1.73522,
4150,257.949,-8622.61,-8072.49,-1,0,1.73934,
4160,269.561,-8666.42,-8091.53,-1,0,1.74345,
4170,274.998,-8701.22,-8114.74,-1,0,1.74757,
4180,274.491,-8723.46,-8138.06,-1,0,1.75169,
4190,270.17,-8736.36,-8160.17,-1,0,1.75581,
4200,262.754,-8737.24,-8176.87,-1,0,1.75992,
4210,257.533,-8733.21,-8183.98,-1,0,1.76404,
4220,249.75,-8719.32,-8186.68,-1,0,1.76815,
4230,239.019,-8690.69,-8180.94,-1,0,1.77227,
4240,231.158,-8659.98,-8167,-1,0,1.77638,
4250,228.74,-8637.07,-8149.25,-1,0,1.7805,
4260,228.697,-8618.26,-8130.52,-1,0,1.78461,
4270,230.807,-8603.82,-8111.58,-1,0,1.78872,
4280,234.922,-8597.19,-8096.18,-1,0,1.79283,
4290,242.443,-8601.93,-8084.88,-1,0,1.79694,
4300,248.767,-8610.67,-8080.13,-1,0,1.80106,
4310,252.934,-8613.59,-8074.17,-1,0,1.80517,
4320,256.154,-8616.68,-8070.39,-1,0,1.80928,
4330,258.163,-8620.5,-8069.92,-1,0,1.81339,
4340,258.149,-8619.85,-8069.3,-1,0,1.81749,
4350,259.319,-8623.07,-8070.03,-1,0,1.8216,
4360,258.761,-8623.35,-8071.5,-1,0,1.82571,
4370,252.343,-8608.51,-8070.34,-1,0,1.82982,
4380,246.067,-8587.7,-8062.92,-1,0,1.83392,
4390,249.823,-8586.66,-8053.87,-1,0,1.83803,
4400,259.856,-8605.57,-8051.38,-1,0,1.84213,
4410,269.061,-8626.13,-8052.31,-1,0,1.84624,
4420,267.333,-8626.66,-8056.53,-1,0,1.85034,
4430,258.087,-8607.5,-8057.09,-1,0,1.85445,
4440,244.671,-8569.38,-8047.57,-1,0,1.85855,
4450,235.24,-8530.12,-8028.43,-1,0,1.86265,
4460,235.552,-8507.46,-8005.1,-1,0,1.86676,
4470,245.706,-8509.42,-7985.41,-1,0,1.87086,
4480,257.56,-8524.5,-7975.21,-1,0,1.87496,
4490,267.602,-8544.34,-7973.63,-1,0,1.87906,
4500,275.409,-8566.69,-7979.34,-1,0,1.88316,
4510,282.381,-8588.36,-7986.14,-1,0,1.88726,
4520,281.494,-8596.63,-7996.3,-1,0,1.89136,
4530,273.376,-8586.47,-8003.45,-1,0,1.89545,
4540,262.342,-8561.46,-8001.97,-1,0,1.89955,
4550,254.459,-8535.7,-7993.02,-1,0,1.90365,
4560,251.571,-8515.35,-7978.84,-1,0,1.90774,
4570,251.778,-8500.69,-7963.73,-1,0,1.91184,
4580,250.703,-8483.78,-7949.11,-1,0,1.91594,
4590,246.196,-8456.65,-7931.6,-1,0,1.92003,
