step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
880	220.489	-2470.1	-2321.61	-2469.93	0	0	0	0	0	
890	227.019	-2470.23	-2317.34	-2470.05	0	0	0	0	0	
900	234.265	-2472.9	-2315.12	-2472.7	0	0	0	0	0	
910	249.062	-2476.18	-2308.44	-2476	0	0	0	0	0	
920	257.068	-2477.41	-2304.29	-2477.26	0	0	0	0	0	
930	256.77	-2473.95	-2301.02	-2473.78	0	0	0	0	0	
940	253.378	-2468.13	-2297.49	-2467.96	0	0	0	0	0	
950	246.033	-2458.42	-2292.73	-2458.28	0	0	0	0	0	
960	240.486	-2447.69	-2285.73	-2447.56	0	0	0	0	0	
970	237.962	-2438.29	-2278.03	-2438.16	0	0	0	0	0	
980	239.178	-2431.79	-2270.71	-2431.68	0	0	0	0	0	
990	249.581	-2432.29	-2264.2	-2432.2	0	0	0	0	0	
1000	265.335	-2439.73	-2261.03	-2440.93	0	0	0	0	0	
1010	288.943	-2456.19	-2261.59	-2456.78	0	0	0	0	0	
1020	316.353	-2475.75	-2262.69	-2477.06	0	0	0	0	0	
1030	342.243	-2495.67	-2265.18	-2496.14	0	0	0	0	0	
1040	362.81	-2511.88	-2267.54	-2512.67	0	0	0	0	0	
1050	376.791	-2524.25	-2270.49	-2524.86	0	0	0	0	0	
1060	385.14	-2533.23	-2273.85	-2533.52	0	0	0	0	0	
1070	389.595	-2539.29	-2276.91	-2540.04	0	0	0	0	0	
1080	387.253	-2541.61	-2280.81	-2542.92	0	0	0	0	0	
1090	381.158	-2542.16	-2285.46	-2544.19	0	0	0	0	0	
1100	369.424	-2539.4	-2290.6	-2542.63	0	0	0	0	0	
1110	351.951	-2533.44	-2296.41	-2536.49	0	0	0	0	0	
1120	330.008	-2523.39	-2301.14	-2525.7	0	0	0	0	0	
1130	306.458	-2510.6	-2304.21	-2513.09	0	0	0	0	0	
1140	283.184	-2497.81	-2307.1	-2500.13	0	0	0	0	0	
1150	262.939	-2486.14	-2309.05	-2487.44	0	0	0	0	0	
1160	247.156	-2475.24	-2308.79	-2475.89	0	0	0	0	0	
1170	232.055	-2463.68	-2307.39	-2463.93	0	0	0	0	0	
1180	219.57	-2453.38	-2305.5	-2453.45	0	0	0	0	0	
1190	213.367	-2446.66	-2302.97	-2446.7	0	0	0	0	0	
1200	208.79	-2440.39	-2299.78	-2440.4	0	0	0	0	0	
1210	204.509	-2434.02	-2296.29	-2434	0	0	0	0	0	
1220	198.233	-2426.25	-2292.75	-2426.2	0	0	0	0	0	
1230	190.948	-2418.3	-2289.7	-2418.26	0	0	0	0	0	
1240	182.882	-2409.46	-2286.3	-2409.43	0	0	0	0	0	
1250	177.071	-2401.36	-2282.1	-2401.32	0	0	0	0	0	
1260	175.387	-2396.31	-2278.2	-2396.27	0	0	0	0	0	
1270	183.168	-2397.64	-2274.28	-2397.58	0	0	0	0	0	
1280	194.21	-2401.52	-2270.72	-2401.44	0	0	0	0	0	
1290	202.385	-2404.01	-2267.71	-2403.97	0	0	0	0	0	
1300	205.703	-2402.88	-2264.35	-2402.88	0	0	0	0	0	
1310	205.653	-2399.62	-2261.12	-2399.61	0	0	0	0	0	
1320	210.145	-2399.76	-2258.24	-2399.76	0	0	0	0	0	
1330	221.188	-2404.38	-2255.41	-2404.38	0	0	0	0	0	
1340	236.886	-2412.78	-2253.24	-2412.76	0	0	0	0	0	
1350	253.56	-2422.42	-2251.66	-2422.38	0	0	0	0	0	
1360	270.079	-2432.32	-2250.43	-2432.26	0	0	0	0	0	
1370	283.937	-2440.57	-2249.35	-2440.49	0	0	0	0	0	
1380	294.87	-2447.33	-2248.75	-2447.24	0	0	0	0	0	
1390	300.398	-2451.02	-2248.71	-2450.95	0	0	0	0	0	
1400	301.148	-2451.56	-2248.74	-2451.49	0	0	0	0	0	
1410	298.563	-2449.79	-2248.71	-2449.69	0	0	0	0	0	
1420	289.736	-2444.07	-2248.94	-2443.99	0	0	0	0	0	
1430	280.172	-2437.11	-2248.42	-2437.06	0	0	0	0	0	
1440	271.758	-2430.72	-2247.7	-2430.71	0	0	0	0	0	
1450	267.286	-2426.43	-2246.42	-2426.42	0	0	0	0	0	
1460	273.712	-2429.85	-2245.51	-2429.84	0	0	0	0	0	
1470	285.115	-2436.69	-2244.67	-2436.71	0	0	0	0	0	
1480	301.615	-2447.92	-2244.79	-2448.05	0	0	0	0	0	
1490	317.983	-2459.36	-2245.21	-2459.49	0	0	0	0	0	
1500	324.764	-2464.56	-2245.84	-2464.61	0	0	0	0	0	
1510	320.415	-2462.46	-2246.67	-2462.45	0	0	0	0	0	
1520	305.697	-2452.53	-2246.65	-2452.55	0	0	0	0	0	
1530	280.124	-2435.49	-2246.84	-2435.54	0	0	0	0	0	
1540	250.36	-2414.45	-2245.84	-2415	0	0	0	0	0	
1550	224.792	-2396.35	-2244.96	-2397.49	0	0	0	0	0	
1560	202.336	-2379.02	-2242.75	-2379.57	0	0	0	0	0	
1570	191.868	-2369.41	-2240.2	-2369.71	0	0	0	0	0	
1580	195.167	-2368.13	-2236.69	-2368.41	0	0	0	0	0	
