step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
420,100.628,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.00101237,0.0541491,-0.0329543,0.640021,0.499028,1
430,106.154,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000836527,0.0542324,-0.0320952,0.640062,0.499016,1
440,108.165,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000664939,0.0544354,-0.0311919,0.64023,0.498967,1
450,108.863,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.00056241,0.0545815,-0.0302783,0.640372,0.498928,1
460,108.87,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.00039585,0.0546893,-0.0294379,0.640466,0.498898,1
470,107.126,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.00019684,0.0548636,-0.0285012,0.6406,0.498851,1
480,106.027,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-0.000127436,0.0550587,-0.0274841,0.640768,0.498792,1
490,104.812,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,-6.84715e-005,0.0550671,-0.026461,0.640873,0.498756,1
500,103.447,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.000145839,0.0550024,-0.025508,0.64105,0.498697,1
510,111.906,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.000386977,0.0550265,-0.0244358,0.641275,0.498625,1
520,118.04,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.000547903,0.0550562,-0.0232898,0.641446,0.498574,1
530,121.213,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.000779209,0.0549567,-0.0221674,0.641687,0.498505,1
540,124.266,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00113143,0.0548471,-0.0211236,0.641992,0.49842,1
550,126.79,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00141545,0.0548389,-0.0200757,0.642181,0.498371,1
560,127.158,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00158788,0.0547562,-0.0191065,0.642349,0.498329,1
570,127.982,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.0018296,0.0545872,-0.0182899,0.642601,0.49827,1
580,128.612,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00216139,0.0545202,-0.0176775,0.642839,0.498216,1
590,127.71,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00233772,0.0546416,-0.0172151,0.643076,0.498165,1
600,129.765,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00233357,0.054676,-0.016907,0.643294,0.49812,1
610,141.544,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00238014,0.0546259,-0.0167819,0.643363,0.498107,1
620,150.578,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00252029,0.0546442,-0.0168664,0.643416,0.498097,1
630,160.167,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00259415,0.0548619,-0.0171567,0.643586,0.498067,1
640,168.358,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00270061,0.055082,-0.0176759,0.643751,0.498039,1
650,174.578,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00291548,0.055245,-0.0185015,0.643919,0.498012,1
660,180.141,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00305969,0.0552357,-0.0195782,0.644133,0.49798,1
670,183.46,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00301604,0.0551231,-0.0207556,0.644262,0.497961,1
680,184.414,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00297849,0.0549563,-0.0219174,0.644298,0.497956,1
690,187.139,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00289269,0.0549068,-0.0232108,0.644368,0.497948,1
700,189.259,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.0025241,0.0548321,-0.0246827,0.644368,0.497948,1
710,200.163,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00193334,0.054574,-0.0262888,0.644368,0.497948,1
720,207.615,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00151817,0.0540029,-0.027896,0.644368,0.497948,1
730,210.964,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00131134,0.0533834,-0.0295962,0.644368,0.497948,1
740,210.677,0,0,0,-2.54674e-008,1.21919e-008,0.981818,0,0,0,0.00111575,0.0528753,-0.0314073,0.644368,0.497948,1
