step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
42,-0.0381111,-3322.35,24.9821,-0.111674,390.918,100,-4226.41,904.053,643.114,1121.48,-6433.73,442.73,1187.11,-283.06
43,-0.024957,-3317.31,30.0224,-0.0985356,383.063,100,-4226.92,909.611,645.102,1121.47,-6434.87,441.377,1194.3,-284.69
44,-0.0117834,-3312.54,34.7928,-0.0853975,345.794,100,-4226.86,914.313,646.774,1122.12,-6435.94,440.19,1200.5,-286.19
45,0.00140784,-3308.89,38.4438,-0.0722594,276.883,100,-4226.23,917.337,647.96,1123.42,-6436.86,439.254,1204.8,-287.465
46,0.0146162,-3305.82,41.5132,-0.0591214,186.97,100,-4225.1,919.277,648.631,1125.19,-6437.57,438.648,1207.7,-288.419
47,0.0278339,-3303.9,43.4354,-0.0459833,80.9472,100,-4223.65,919.752,648.698,1127.26,-6438.02,438.41,1208.75,-289
48,0.0410558,-3303.57,43.762,-0.0328452,-31.4429,100,-4222.09,918.515,648.189,1129.35,-6438.19,438.561,1207.66,-289.147
49,0.0542745,-3304.71,42.6255,-0.0197071,-140.107,100,-4220.58,915.874,647.143,1131.26,-6438.07,439.084,1204.74,-288.868
50,0.0674818,-3307.2,40.1383,-0.00656904,-235.598,100,-4219.23,912.03,645.688,1132.79,-6437.65,439.944,1200.19,-288.164
51,0.0806725,-3311.2,36.1366,0.00656904,-314.976,100,-4218.11,906.909,643.903,1133.88,-6436.97,441.073,1193.99,-287.08
52,0.0938448,-3315.43,31.9073,0.0197071,-365.085,100,-4217.2,901.771,641.963,1134.5,-6436.06,442.393,1187.47,-285.695
53,0.106994,-3320.39,26.9455,0.0328452,-385.553,100,-4216.51,896.121,639.969,1134.71,-6434.99,443.804,1180.23,-284.112
54,0.120119,-3325.39,21.9445,0.0459833,-379.194,100,-4216.01,890.615,638.023,1134.58,-6433.83,445.216,1173.04,-282.427
55,0.133225,-3330.15,17.1813,0.0591214,-350.324,100,-4215.64,885.483,636.263,1134.22,-6432.65,446.534,1166.26,-280.773
56,0.146316,-3334.4,12.9345,0.0722594,-305.554,100,-4215.38,880.983,634.731,1133.73,-6431.54,447.697,1160.23,-279.246
57,0.159398,-3337.63,9.70916,0.0853975,-255.118,100,-4215.2,877.57,633.481,1133.21,-6430.55,448.669,1155.49,-277.919
58,0.17248,-3340.61,6.7252,0.0985356,-200.428,100,-4215.12,874.506,632.503,1132.68,-6429.73,449.429,1151.34,-276.837
59,0.185563,-3342.9,4.43123,0.111674,-149.788,100,-4215.1,872.195,631.78,1132.21,-6429.09,449.995,1148.2,-276.001
60,0.198653,-3344.58,2.75737,0.124812,-106.38,100,-4215.12,870.546,631.272,1131.81,-6428.6,450.396,1145.93,-275.385
61,0.211752,-3345.74,1.59888,0.13795,-71.3922,100,-4215.17,869.436,630.929,1131.49,-6428.26,450.668,1144.39,-274.95
62,0.224859,-3346.92,0.414324,0.151088,-47.834,100,-4215.25,868.327,630.687,1131.25,-6428.03,450.842,1142.98,-274.656
63,0.237975,-3347.41,-0.0729578,0.164226,-28.426,100,-4215.3,867.897,630.55,1131.07,-6427.87,450.952,1142.36,-274.465
64,0.251097,-3347.56,-0.225913,0.177364,-14.7592,100,-4215.34,867.782,630.468,1130.93,-6427.76,451.022,1142.11,-274.331
65,0.264222,-3347.69,-0.354517,0.190502,-5.44311,100,-4215.37,867.681,630.411,1130.86,-6427.7,451.065,1141.94,-274.258
66,0.277355,-3347.82,-0.482891,0.20364,-7.03572,100,-4215.33,867.511,630.498,1130.84,-6427.71,451.044,1141.79,-274.277
67,0.290493,-3348.09,-0.759442,0.216778,1.60762,100,-4215.43,867.337,630.406,1130.75,-6427.66,451.075,1141.54,-274.201
