step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
420,82.3053,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000499063,0.0538773,-0.026839,0.63926,0.496602,1
430,88.0936,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.00032971,0.0538489,-0.0256674,0.63926,0.496602,1
440,92.5338,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-0.000162116,0.0538141,-0.0245291,0.63926,0.496602,1
450,95.8011,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,-4.65311e-005,0.053862,-0.0233472,0.63926,0.496602,1
460,98.3424,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,5.70534e-005,0.0539333,-0.0221268,0.63928,0.496592,1
470,100.163,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000212435,0.0540126,-0.0208942,0.639346,0.496557,1
480,101.107,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000422507,0.0541106,-0.0197659,0.639412,0.496523,1
490,100.674,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000649461,0.0542374,-0.0186572,0.639555,0.496452,1
500,99.475,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.000903038,0.0543185,-0.0175689,0.639717,0.496374,1
510,106.552,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00123655,0.0543903,-0.0164731,0.639923,0.496279,1
520,110.78,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00160784,0.0545007,-0.0154252,0.640172,0.496168,1
530,114.217,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00185741,0.0546582,-0.0143674,0.640457,0.496045,1
540,118.417,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00195417,0.0547702,-0.0133317,0.640745,0.495925,1
550,123.291,0,0,0,-2.07262e-008,1.13791e-008,0.981818,0,0,0,0.00207749,0.0548238,-0.0123644,0.641007,0.49582,1
