step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
0	0.0121906	-2624.93	-2624.92	-2624.94	0	0	0	1	1	
10	1.37825	-2625.93	-2625.01	-2625.91	0	0	0	0	0	
20	1.68024	-2626.46	-2625.33	-2626.43	0	0	0	0	0	
30	2.15358	-2627.29	-2625.84	-2627.26	0	0	0	0	0	
40	2.75939	-2628.46	-2626.6	-2628.43	0	0	0	0	0	
50	3.00272	-2629.34	-2627.32	-2629.32	0	0	0	0	0	
60	3.06974	-2630.21	-2628.15	-2630.2	0	0	0	0	0	
70	3.18783	-2631.18	-2629.04	-2631.17	0	0	0	0	0	
80	3.07999	-2631.92	-2629.84	-2631.91	0	0	0	0	0	
90	2.9385	-2632.6	-2630.62	-2632.6	0	0	0	0	0	
100	2.76239	-2633.22	-2631.36	-2633.21	0	0	0	0	0	
110	11.8792	-2633.96	-2625.96	-2633.95	0	0	0	0	0	
120	18.7405	-2634.86	-2622.24	-2634.86	0	0	0	0	0	
130	23.018	-2635.53	-2620.03	-2635.53	0	0	0	0	0	
140	25.5217	-2635.9	-2618.71	-2635.91	0	0	0	0	0	
150	26.7038	-2635.6	-2617.62	-2635.65	0	0	0	0	0	
160	26.9908	-2635.01	-2616.84	-2635.02	0	0	0	0	0	
170	26.9265	-2634.39	-2616.25	-2634.45	0	0	0	0	0	
180	26.4218	-2633.39	-2615.6	-2633.41	0	0	0	0	0	
190	25.8191	-2631.96	-2614.57	-2632.01	0	0	0	0	0	
200	25.3319	-2630.46	-2613.4	-2630.56	0	0	0	0	0	
210	33.7156	-2628.63	-2605.92	-2628.76	0	0	0	0	0	
220	38.9425	-2626.22	-2600	-2626.34	0	0	0	0	0	
230	42.1724	-2623.66	-2595.25	-2623.82	0	0	0	0	0	
240	43.3812	-2620.57	-2591.36	-2620.86	0	0	0	0	0	
250	43.6667	-2616.71	-2587.3	-2617.05	0	0	0	0	0	
260	43.4788	-2612.65	-2583.37	-2612.97	0	0	0	0	0	
270	42.5539	-2608.1	-2579.44	-2608.51	0	0	0	0	0	
280	41.5021	-2603.49	-2575.54	-2604.01	0	0	0	0	0	
290	40.7104	-2598.88	-2571.46	-2599.54	0	0	0	0	0	
300	40.3668	-2594.52	-2567.33	-2594.95	0	0	0	0	0	
310	49.0255	-2589.66	-2556.64	-2589.93	0	0	0	0	0	
320	55.446	-2584.86	-2547.52	-2585.2	0	0	0	0	0	
330	60.2139	-2580.29	-2539.73	-2580.62	0	0	0	0	0	
340	63.9203	-2575.92	-2532.87	-2576.08	0	0	0	0	0	
350	68.9237	-2573.47	-2527.05	-2573.49	0	0	0	0	0	
360	73.3729	-2571.57	-2522.16	-2571.57	0	0	0	0	0	
370	77.8557	-2570.63	-2518.2	-2570.61	0	0	0	0	0	
380	81.8939	-2571.18	-2516.02	-2571.15	0	0	0	0	0	
390	86.1257	-2572.3	-2514.3	-2572.28	0	0	0	0	0	
400	88.1542	-2572.94	-2513.58	-2572.93	0	0	0	0	0	
410	100.567	-2575.1	-2507.37	-2575.09	0	0	0	0	0	
420	107.764	-2575.9	-2503.33	-2575.9	0	0	0	0	0	
430	112.253	-2576.56	-2500.96	-2576.56	0	0	0	0	0	
440	114.122	-2576.07	-2499.21	-2576.11	0	0	0	0	0	
450	114.785	-2574.99	-2497.68	-2575.02	0	0	0	0	0	
460	114.319	-2573.41	-2496.42	-2573.54	0	0	0	0	0	
470	113.082	-2571.23	-2495.07	-2571.41	0	0	0	0	0	
480	111.895	-2569.19	-2493.83	-2569.23	0	0	0	0	0	
490	110.736	-2566.43	-2491.85	-2566.45	0	0	0	0	0	
500	110.014	-2563.42	-2489.33	-2563.46	0	0	0	0	0	
510	119.489	-2560.91	-2480.44	-2560.91	0	0	0	0	0	
520	126.336	-2558.69	-2473.6	-2558.69	0	0	0	0	0	
530	130.609	-2556.32	-2468.35	-2556.32	0	0	0	0	0	
540	134.52	-2554.39	-2463.8	-2554.39	0	0	0	0	0	
550	136.292	-2552.06	-2460.27	-2552.05	0	0	0	0	0	
560	137.296	-2549.19	-2456.73	-2549.17	0	0	0	0	0	
570	138.09	-2546.56	-2453.56	-2546.51	0	0	0	0	0	
580	137.388	-2543.23	-2450.71	-2543.18	0	0	0	0	0	
590	137.301	-2539.83	-2447.36	-2539.8	0	0	0	0	0	
600	137.556	-2536.81	-2444.16	-2536.76	0	0	0	0	0	
610	148.088	-2534.42	-2434.68	-2534.35	0	0	0	0	0	
620	155.874	-2532.54	-2427.56	-2532.49	0	0	0	0	0	
630	161.414	-2531.18	-2422.47	-2531.15	0	0	0	0	0	
640	167.628	-2531.51	-2418.61	-2531.5	0	0	0	0	0	
650	172.395	-2532.12	-2416.02	-2532.12	0	0	0	0	0	
660	175.511	-2532.68	-2414.48	-2532.65	0	0	0	0	0	
670	179.805	-2535.11	-2414.02	-2535.06	0	0	0	0	0	
680	181.264	-2536.29	-2414.21	-2536.25	0	0	0	0	0	
690	183.919	-2538.82	-2414.95	-2538.76	0	0	0	0	0	
700	188.124	-2542.74	-2416.05	-2542.67	0	0	0	0	0	
710	197.873	-2544.94	-2411.68	-2544.86	0	0	0	0	0	
720	207.002	-2549.3	-2409.89	-2549.22	0	0	0	0	0	
730	210.153	-2551.17	-2409.63	-2551.1	0	0	0	0	0	
740	210.346	-2551.03	-2409.37	-2550.98	0	0	0	0	0	
750	211.092	-2551.57	-2409.4	-2551.52	0	0	0	0	0	
760	210.413	-2551.16	-2409.45	-2551.11	0	0	0	0	0	
770	210.021	-2551.19	-2409.75	-2551.14	0	0	0	0	0	
780	211.999	-2552.59	-2409.81	-2552.54	0	0	0	0	0	
790	214.035	-2554.61	-2410.47	-2554.55	0	0	0	0	0	
800	215.939	-2557.05	-2411.62	-2556.96	0	0	0	0	0	
810	228.
