step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
870	40.7212	-2617.2	-2589.77	-2617.2	0	0	0	0	0	
880	41.0222	-2615.66	-2588.03	-2615.66	0	0	0	0	0	
890	40.8939	-2613.69	-2586.15	-2613.69	0	0	0	0	0	
900	40.8165	-2611.62	-2584.13	-2611.62	0	0	0	0	0	
910	43.2641	-2609.82	-2580.68	-2609.82	0	0	0	0	0	
920	43.9926	-2607.4	-2577.78	-2607.4	0	0	0	0	0	
930	45.4367	-2606.38	-2575.78	-2606.38	0	0	0	0	0	
940	47.0244	-2605.36	-2573.69	-2605.36	0	0	0	0	0	
950	46.9682	-2603.34	-2571.71	-2603.34	0	0	0	0	0	
960	48.6471	-2602.93	-2570.17	-2602.93	0	0	0	0	0	
970	49.7878	-2602.78	-2569.25	-2602.78	0	0	0	0	0	
980	50.7267	-2602.38	-2568.22	-2602.38	0	0	0	0	0	
990	53.2336	-2603.95	-2568.1	-2603.95	0	0	0	0	0	
1000	54.2373	-2604.55	-2568.02	-2604.55	0	0	0	0	0	
1010	56.9261	-2605.6	-2567.26	-2605.6	0	0	0	0	0	
1020	60.5886	-2607.74	-2566.93	-2607.74	0	0	0	0	0	
1030	61.873	-2608.92	-2567.25	-2608.92	0	0	0	0	0	
1040	63.4669	-2610.2	-2567.45	-2610.2	0	0	0	0	0	
1050	63.7412	-2611.48	-2568.55	-2611.48	0	0	0	0	0	
1060	62.3051	-2611.28	-2569.31	-2611.28	0	0	0	0	0	
1070	61.355	-2611.32	-2570	-2611.32	0	0	0	0	0	
1080	61.0599	-2611.71	-2570.59	-2611.71	0	0	0	0	0	
1090	60.4623	-2611.71	-2570.99	-2611.71	0	0	0	0	0	
1100	61.8474	-2612.71	-2571.06	-2612.71	0	0	0	0	0	
1110	64.0499	-2613.43	-2570.29	-2613.43	0	0	0	0	0	
1120	66.6071	-2615.25	-2570.39	-2615.25	0	0	0	0	0	
1130	68.1516	-2617.13	-2571.23	-2617.13	0	0	0	0	0	
1140	67.7037	-2617.66	-2572.06	-2617.66	0	0	0	0	0	
1150	66.7981	-2617.46	-2572.47	-2617.46	0	0	0	0	0	
1160	65.6578	-2616.9	-2572.68	-2616.9	0	0	0	0	0	
1170	64.4885	-2615.86	-2572.43	-2615.86	0	0	0	0	0	
1180	65.1267	-2615.85	-2571.99	-2615.85	0	0	0	0	0	
1190	65.4645	-2615.71	-2571.62	-2615.71	0	0	0	0	0	
1200	64.8876	-2615.31	-2571.61	-2615.31	0	0	0	0	0	
1210	66.8885	-2615.21	-2570.17	-2615.21	0	0	0	0	0	
1220	66.3548	-2613.6	-2568.92	-2613.6	0	0	0	0	0	
1230	66.329	-2612.25	-2567.57	-2612.25	0	0	0	0	0	
1240	66.9829	-2611.24	-2566.13	-2611.24	0	0	0	0	0	
1250	66.5377	-2609.7	-2564.88	-2609.7	0	0	0	0	0	
1260	67.5511	-2609.15	-2563.66	-2609.15	0	0	0	0	0	
1270	67.4494	-2608	-2562.58	-2608	0	0	0	0	0	
1280	65.5708	-2605.61	-2561.45	-2605.61	0	0	0	0	0	
1290	64.2079	-2603.09	-2559.85	-2603.09	0	0	0	0	0	
1300	62.7197	-2599.92	-2557.68	-2599.92	0	0	0	0	0	
1310	64.3709	-2597.59	-2554.24	-2597.59	0	0	0	0	0	
1320	66.2819	-2595.77	-2551.14	-2595.77	0	0	0	0	0	
1330	65.5158	-2592.38	-2548.26	-2592.38	0	0	0	0	0	
1340	64.082	-2588.01	-2544.86	-2588.01	0	0	0	0	0	
1350	62.5172	-2583.46	-2541.36	-2583.46	0	0	0	0	0	
1360	59.6827	-2577.26	-2537.06	-2577.26	0	0	0	0	0	
1370	59.6341	-2572.61	-2532.45	-2572.61	0	0	0	0	0	
1380	57.7834	-2566.51	-2527.59	-2566.51	0	0	0	0	0	
1390	56.564	-2560.24	-2522.15	-2560.24	0	0	0	0	0	
1400	56.7331	-2554.79	-2516.58	-2554.79	0	0	0	0	0	
1410	59.8108	-2550.44	-2510.16	-2550.44	0	0	0	0	0	
1420	61.9091	-2545.85	-2504.15	-2545.85	0	0	0	0	0	
1430	65.0365	-2542.81	-2499.01	-2542.81	0	0	0	0	0	
1440	65.9161	-2538.59	-2494.19	-2538.59	0	0	0	0	0	
1450	69.2243	-2536.57	-2489.95	-2536.57	0	0	0	0	0	
1460	71.6861	-2535.3	-2487.02	-2535.3	0	0	0	0	0	
1470	73.3069	-2533.32	-2483.94	-2533.32	0	0	0	0	0	
1480	76.3246	-2532.97	-2481.56	-2532.97	0	0	0	0	0	
1490	78.0479	-2532.63	-2480.07	-2532.63	0	0	0	0	0	
1500	82.2384	-2534.09	-2478.7	-2534.09	0	0	0	0	0	
1510	88.2371	-2537.17	-2477.74	-2537.17	0	0	0	0	0	
1520	90.9826	-2539.15	-2477.87	-2539.15	0	0	0	0	0	
1530	96.5369	-2543.99	-2478.97	-2543.99	0	0	0	0	0	
1540	101.572	-2549.47	-2481.07	-2549.47	0	0	0	0	0	
1550	104.801	-2554.56	-2483.98	-2554.56	0	0	0	0	0	
1560	110.82	-2562.85	-2488.21	-2562.85	0	0	0	0	0	
1570	112.089	-2569.36	-2493.88	-2569.36	0	0	0	0	0	
1580	110.81	-2573.76	-2499.13	-2573.76	0	0	0	0	0	
1590	111.402	-2579.85	-2504.82	-2579.85	0	0	0	0	0	
1600	105.589	-2580.49	-2509.38	-2580.49	0	0	0	0	0	
1610	101.385	-2579.62	-2511.34	-2579.62	0	0	0	0	0	
1620	97.6132	-2578.01	-2512.27	-2578.01	0	0	0	0	0	
1630	92.4856	-2574.51	-2512.22	-2574.51	0	0	0	0	0	
1640	94.3412	-2574.67	-2511.13	-2574.67	0	0	0	0	0	
1650	98.6202	-2577.55	-2511.13	-2577.55	0	0	0	0	0	
1660	104.373	-2582.63	-2512.34	-2582.63	0	0	0	0	0	
1670	111.127	-2589.81	-2514.96	-2589.81	0	0	0	0	0	
1680	114.909	-2596.71	-2519.32	-2596.71	0	0	0	0	0	
1690	116.378	-2602.46	-2524.08	-2602.46	0	0	0	0	0	
1700	116.867	-2608.32	-2529.62	-2608.32	0	0	0	0	0	
1710	113.188	-2609.11	-2532.88	-2609.11	0	0	0	0	0	
1720	112.611	-2611.52	-2535.67	-2611.52	0	0	0	0	0	
1730	108.989	-2611.48	-2538.08	-2611.48	0	0	0	0	0	
1740	105.842	-2610.17	-2538.89	-2610.17	0	0	0	0	0	
1750	104.794	-2610.1	-2539.52	-2610.1	0	0	0	0	0	
1760	100.631	-2608.18	-2540.41	-2608.18	0	0	0	0	0	
1770	98.0863	-2606	-2539.94	-2606	0	0	0	0	0	
1780	96.7799	-2604.28	-2539.1	-2604.28	0	0	0	0	0	
1790	92.689	-2599.73	-2537.3	-2599.73	0	0	0	0	0	
1800	89.2955	-2594.96	-2534.82	-2594.96	0	0	0	0	0	
1810	85.4113	-2587.01	-2529.48	-2587.01	0	0	0	0	0	
1820	77.9269	-2575.22	-2522.74	-2575.22	0	0	0	0	0	
1830	74.802	-2564.66	-2514.28	-2564.66	0	0	0	0	0	
1840	72.5673	-2554.45	-2505.58	-2554.45	0	0	0	0	0	
1850	74.5264	-2547.12	-2496.93	-2547.12	0	0	0	0	0	
