step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThrouZ	NThrouZmin	NThrouZmax	
880	173.901	-2395.12	-2278	-2394.92	0	0	0	0	0	
890	172.33	-2377.1	-2261.04	-2376.88	0	0	0	0	0	
900	172.21	-2359.56	-2243.58	-2359.31	0	0	0	0	0	
910	183.773	-2343.8	-2220.04	-2343.55	0	0	0	0	0	
920	195.198	-2331.34	-2199.88	-2331.08	0	0	0	0	0	
930	206.524	-2321.1	-2182.01	-2320.81	0	0	0	0	0	
940	220.381	-2316.36	-2167.94	-2316.06	0	0	0	0	0	
950	235.569	-2316.32	-2157.67	-2316.04	0	0	0	0	0	
960	255.603	-2323.29	-2151.15	-2322.99	0	0	0	0	0	
970	278.048	-2337.42	-2150.16	-2337.12	0	0	0	0	0	
980	298.521	-2355.2	-2154.15	-2354.93	0	0	0	0	0	
990	315.255	-2375.99	-2163.67	-2375.74	0	0	0	0	0	
1000	327.825	-2397.67	-2176.89	-2405.06	0	0	0	0	0	
1010	361.29	-2429.98	-2186.66	-2432.64	0	0	0	0	0	
1020	378.353	-2447.52	-2192.71	-2453.24	0	0	0	0	0	
1030	393.526	-2467.75	-2202.72	-2467.87	0	0	0	0	0	
1040	399.881	-2476.09	-2206.78	-2476.8	0	0	0	0	0	
1050	405.12	-2484.14	-2211.3	-2484.64	0	0	0	0	0	
1060	403.401	-2487.5	-2215.82	-2487.51	0	0	0	0	0	
1070	397.19	-2486.91	-2219.41	-2486.95	0	0	0	0	0	
1080	389.541	-2485.21	-2222.87	-2485.4	0	0	0	0	0	
1090	382.492	-2483.76	-2226.16	-2483.89	0	0	0	0	0	
1100	376.709	-2482.53	-2228.82	-2482.68	0	0	0	0	0	
1110	364.25	-2476.66	-2231.35	-2476.91	0	0	0	0	0	
1120	349.197	-2468.74	-2233.56	-2468.84	0	0	0	0	0	
1130	340.511	-2464.66	-2235.33	-2464.66	0	0	0	0	0	
1140	333.603	-2461.71	-2237.03	-2461.71	0	0	0	0	0	
1150	330.954	-2461.09	-2238.2	-2461.09	0	0	0	0	0	
1160	326.595	-2459.47	-2239.51	-2459.46	0	0	0	0	0	
1170	319.322	-2455.41	-2240.36	-2455.41	0	0	0	0	0	
1180	312.286	-2451.17	-2240.85	-2451.18	0	0	0	0	0	
1190	303.614	-2446.19	-2241.71	-2446.33	0	0	0	0	0	
1200	296.923	-2442.1	-2242.13	-2442.09	0	0	0	0	0	
1210	296.398	-2441.66	-2242.04	-2441.6	0	0	0	0	0	
1220	293.068	-2439.09	-2241.72	-2438.98	0	0	0	0	0	
1230	287.102	-2434.69	-2241.33	-2434.56	0	0	0	0	0	
1240	278.043	-2428.09	-2240.84	-2427.95	0	0	0	0	0	
1250	263.513	-2417.39	-2239.92	-2417.25	0	0	0	0	0	
1260	251.733	-2407.88	-2238.34	-2407.75	0	0	0	0	0	
1270	245.994	-2402.24	-2236.57	-2402.12	0	0	0	0	0	
1280	248.408	-2401.69	-2234.39	-2401.6	0	0	0	0	0	
1290	253.325	-2403.18	-2232.57	-2403.12	0	0	0	0	0	
1300	252.794	-2401.64	-2231.39	-2401.58	0	0	0	0	0	
1310	248.881	-2397.16	-2229.55	-2397.11	0	0	0	0	0	
1320	244.44	-2391.89	-2227.26	-2391.88	0	0	0	0	0	
1330	247.698	-2392	-2225.18	-2392.3	0	0	0	0	0	
1340	263.928	-2402.15	-2224.4	-2402.81	0	0	0	0	0	
1350	285.632	-2416.35	-2223.99	-2417.18	0	0	0	0	0	
1360	309.986	-2433.84	-2225.07	-2434.19	0	0	0	0	0	
1370	328.423	-2447.35	-2226.17	-2447.93	0	0	0	0	0	
1380	341.851	-2457.76	-2227.53	-2458.44	0	0	0	0	0	
1390	351.724	-2466.4	-2229.53	-2466.68	0	0	0	0	0	
1400	354.08	-2470.13	-2231.67	-2470.31	0	0	0	0	0	
1410	351.361	-2470.35	-2233.72	-2470.49	0	0	0	0	0	
1420	347.203	-2469.27	-2235.43	-2469.3	0	0	0	0	0	
1430	352.01	-2473.68	-2236.61	-2473.68	0	0	0	0	0	
1440	362.013	-2482.22	-2238.41	-2482.21	0	0	0	0	0	
1450	369.404	-2489.54	-2240.75	-2489.51	0	0	0	0	0	
1460	375.331	-2496.09	-2243.31	-2496.07	0	0	0	0	0	
1470	374.757	-2497.88	-2245.49	-2497.87	0	0	0	0	0	
1480	362.341	-2491.68	-2247.65	-2491.68	0	0	0	0	0	
1490	339.638	-2478.27	-2249.54	-2478.4	0	0	0	0	0	
1500	307.082	-2456.87	-2250.06	-2457.12	0	0	0	0	0	
1510	274.322	-2434.51	-2249.76	-2434.82	0	0	0	0	0	
1520	244.474	-2413.44	-2248.79	-2413.99	0	0	0	0	0	
1530	217.386	-2393.61	-2247.2	-2394.61	0	0	0	0	0	
1540	200.988	-2380.51	-2245.15	-2381.73	0	0	0	0	0	
1550	197.265	-2375.69	-2242.84	-2376.93	0	0	0	0	0	
1560	204.969	-2378.98	-2240.93	-2379.97	0	0	0	0	0	
1570	222.382	-2388.85	-2239.08	-2389.22	0	0	0	0	0	
1580	238.33	-2397.55	-2237.04	-2397.66	0	0	0	0	0	
1590	253.826	-2406.2	-2235.26	-2406.37	0	0	0	0	0	
1600	258.926	-2408.93	-2234.55	-2408.99	0	0	0	0	0	
1610	254.88	-2404.22	-2232.56	-2404.2	0	0	0	0	0	
1620	252.607	-2400.67	-2230.54	-2400.64	0	0	0	0	0	
1630	262.887	-2405.95	-2228.9	-2405.93	0	0	0	0	0	
1640	286.677	-2420.63	-2227.56	-2420.61	0	0	0	0	0	
1650	315.838	-2440.14	-2227.43	-2440.1	0	0	0	0	0	
1660	333.645	-2452.93	-2228.23	-2452.91	0	0	0	0	0	
1670	337.851	-2457.25	-2229.72	-2457.23	0	0	0	0	0	
1680	333.916	-2455.88	-2230.99	-2455.87	0	0	0	0	0	
1690	324.461	-2450.76	-2232.25	-2450.87	0	0	0	0	0	
1700	312.951	-2443.7	-2232.93	-2443.73	0	0	0	0	0	
1710	296.306	-2432.74	-2233.19	-2432.75	0	0	0	0	0	
1720	275.982	-2418.44	-2232.57	-2418.48	0	0	0	0	0	
1730	253.445	-2402.32	-2231.63	-2402.36	0	0	0	0	0	
1740	230.267	-2385.23	-2230.15	-2385.24	0	0	0	0	0	
1750	211.555	-2370.03	-2227.55	-2370.04	0	0	0	0	0	
1760	201.975	-2361.04	-2225.02	-2361.12	0	0	0	0	0	
1770	203.683	-2359.16	-2221.99	-2359.3	0	0	0	0	0	
1780	215.227	-2363.68	-2218.73	-2363.79	0	0	0	0	0	
1790	233.321	-2373.42	-2216.28	-2373.46	0	0	0	0	0	
1800	258.363	-2388.51	-2214.51	-2388.51	0	0	0	0	0	
1810	287.111	-2407.18	-2213.82	-2407.15	0	0	0	0	0	
1820	313.516	-2425.91	-2214.77	-2425.82	0	0	0	0	0	
1830	333.657	-2440.27	-2215.56	-2440.15	0	0	0	0	0	
1840	343.577	-2448.31	-2216.92	-2448.17	0	0	0	0	0	
1850	341.09	-2448.1	-2218.38	-2447.94	0	0	0	0	0	
1860	321.656	-2436.47	-2219.84	-2436.32	0	0	0	0	0	
1870	293.794	-2417.71	-2219.85	-2417.57	0	0	0	0	0	
1880	261.835	-2395.1	-2218.76	-2394.96	0	0	0	0	0	
1890	240.464	-2379.74	-2217.79	-2379.63	0	0	0	0	0	
1900	236.996	-2375.75	-2216.14	-2375.68	0	0	0	0	0	
1910	250.717	-2383.36	-2214.51	-2383.31	0	0	0	0	0	
1920	268.825	-2394.32	-2213.28	-2394.29	0	0	0	0	0	
1930	287.14	-2405.71	-2212.33	-2405.66	0	0	0	0	0	
1940	305.132	-2417.79	-2212.29	-2417.71	0	0	0	0	0	
1950	318.673	-2427.23	-2212.62	-2427.16	0	0	0	0	0	
1960	324.576	-2432.02	-2213.42	-2431.94	0	0	0	0	0	
1970	319.312	-2429.42	-2214.37	-2429.31	0	0	0	0	0	
1980	307.575	-2421.72	-2214.57	-2421.58	0	0	0	0	0	
1990	295.602	-2413.3	-2214.22	-2413.2	0	0	0	0	0	
2000	287.052	-2407.32	-2214	-2409.05	0	0	0	0	0	
2010	285.285	-2408.06	-2215.93	-2408.14	0	0	0	0	0	
2020	291.594	-2411.93	-2215.54	-2412.38	0	0	0	0	0	
2030	305.968	-2422.72	-2216.66	-2422.89	0	0	0	0	0	
2040	322.99	-2434.88	-2217.35	-2435	0	0	0	0	0	
2050	329.895	-2440.55	-2218.37	-2440.57	0	0	0	0	0	
2060	320.913	-2435.24	-2219.12	-2435.31	0	0	0	0	0	
2070	298.987	-2420.58	-2219.21	-2421.02	0	0	0	0	0	
2080	266.958	-2398.73	-2218.94	-2399.32	0	0	0	0	0	
2090	233.35	-2375.58	-2218.42	-2376.13	0	0	0	0	0	
2100	213.903	-2360.37	-2216.31	-2361.1	0	0	0	0	0	
2110	218.142	-2361.72	-2214.8	-2362.15	0	0	0	0	0	
2120	238.444	-2373.43	-2212.84	-2373.53	0	0	0	0	0	
2130	260.677	-2386.48	-2210.92	-2386.54	0	0	0	0	0	
2140	272.036	-2393.06	-2209.85	-2393.14	0	0	0	0	0	
2150	277.606	-2395.97	-2209	-2396.01	0	0	0	0	0	
2160	279.698	-2396.7	-2208.33	-2396.73	0	0	0	0	0	
2170	277.209	-2393.83	-2207.13	-2393.93	0	0	0	0	0	
2180	266.431	-2385.37	-2205.94	-2385.81	0	0	0	0	0	
2190	253.335	-2375.52	-2204.91	-2376.4	0	0	0	0	0	
2200	244.089	-2368.9	-2204.51	-2369.99	0	0	0	0	0	
2210	248.914	-2371.85	-2204.21	-2372.77	0	0	0	0	0	
2220	266.009	-2383.06	-2203.91	-2383.47	0	0	0	0	0	
2230	284.023	-2394.44	-2203.16	-2394.66	0	0	0	0	0	
2240	298.243	-2403.69	-2202.83	-2404.28	0	0	0	0	0	
2250	303.765	-2407.48	-2202.91	-2408.02	0	0	0	0	0	
2260	305.078	-2408.94	-2203.48	-2408.96	0	0	0	0	0	
2270	311.303	-2413.89	-2204.24	-2413.87	0	0	0	0	0	
2280	317.287	-2418.13	-2204.45	-2418.1	0	0	0	0	0	
2290	327.276	-2425.96	-2205.55	-2425.89	0	0	0	0	0	
2300	329.194	-2428.52	-2206.81	-2428.41	0	0	0	0	0	
2310	313.402	-2418.07	-2207	-2417.93	0	0	0	0	0	
2320	291.9	-2403.38	-2206.79	-2403.24	0	0	0	0	0	
2330	282.169	-2396.01	-2205.98	-2395.89	0	0	0	0	0	
2340	291.531	-2401.95	-2205.61	-2401.88	0	0	0	0	0	
2350	309.356	-2413.65	-2205.31	-2413.64	0	0	0	0	0	
2360	324.893	-2425.24	-2206.43	-2425.28	0	0	0	0	0	
2370	336.979	-2434.73	-2207.78	-2434.75	0	0	0	0	0	
2380	335.275	-2434.78	-2208.98	-2434.8	0	0	0	0	0	
2390	319.001	-2425.39	-2210.55	-2425.38	0	0	0	0	0	
2400	299.748	-2413.44	-2211.56	-2413.42	0	0	0	0	0	
2410	291.907	-2408.09	-2211.5	-2408.05	0	0	0	0	0	
2420	300.002	-2413.29	-2211.25	-2413.23	0	0	0	0	0	
2430	313.723	-2422.82	-22
