step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
880	222.829	-1493.37	-1259.93	-1493.37	0	0	0	0	0	
890	210.59	-1470.83	-1250.21	-1470.83	0	0	0	0	0	
900	210.805	-1460.15	-1239.31	-1460.15	0	0	0	0	0	
910	215.862	-1443.16	-1217.01	-1443.16	0	0	0	0	0	
920	200.843	-1404.53	-1194.12	-1404.53	0	0	0	0	0	
930	184.562	-1357.3	-1163.95	-1357.3	0	0	0	0	0	
940	189.249	-1328.33	-1130.07	-1328.33	0	0	0	0	0	
950	197.713	-1307.6	-1100.47	-1307.6	0	0	0	0	0	
960	223.46	-1310.5	-1076.4	-1310.5	0	0	0	0	0	
970	238.145	-1309.3	-1059.81	-1309.3	0	0	0	0	0	
980	257.816	-1321.75	-1051.65	-1321.75	0	0	0	0	0	
990	252.034	-1310.23	-1046.2	-1310.23	0	0	0	0	0	
1000	243.566	-1291.44	-1036.28	-1291.44	0	0	0	0	0	
1010	238.104	-1282.77	-1033.33	-1282.77	0	0	0	0	0	
1020	220.257	-1260.19	-1029.45	-1260.19	0	0	0	0	0	
1030	215.581	-1251.09	-1025.24	-1251.09	0	0	0	0	0	
1040	206.13	-1236.59	-1020.65	-1236.59	0	0	0	0	0	
1050	205.615	-1230.91	-1015.5	-1230.91	0	0	0	0	0	
1060	215.893	-1237.02	-1010.84	-1237.02	0	0	0	0	0	
1070	218.623	-1235.57	-1006.53	-1235.57	0	0	0	0	0	
1080	207.576	-1219.62	-1002.16	-1219.62	0	0	0	0	0	
1090	212.59	-1220.05	-997.33	-1220.05	0	0	0	0	0	
1100	233.464	-1238.11	-993.524	-1238.11	0	0	0	0	0	
1110	241.28	-1243.22	-990.446	-1243.22	0	0	0	0	0	
1120	257.238	-1257.07	-987.577	-1257.07	0	0	0	0	0	
1130	285.826	-1285.79	-986.352	-1285.79	0	0	0	0	0	
1140	307.092	-1307.72	-986	-1307.72	0	0	0	0	0	
1150	339.854	-1343.15	-987.112	-1343.15	0	0	0	0	0	
1160	363.437	-1370.31	-989.563	-1370.31	0	0	0	0	0	
1170	408.633	-1421.84	-993.743	-1421.84	0	0	0	0	0	
1180	435.227	-1456.13	-1000.18	-1456.13	0	0	0	0	0	
1190	451.571	-1480.63	-1007.55	-1480.63	0	0	0	0	0	
1200	431.955	-1467.74	-1015.21	-1467.74	0	0	0	0	0	
1210	399.047	-1439.45	-1021.4	-1439.45	0	0	0	0	0	
1220	379.175	-1423.45	-1026.22	-1423.45	0	0	0	0	0	
1230	336.704	-1382.02	-1029.28	-1382.02	0	0	0	0	0	
1240	313.129	-1358.73	-1030.69	-1358.73	0	0	0	0	0	
1250	282.358	-1326.08	-1030.27	-1326.08	0	0	0	0	0	
1260	264.339	-1305.8	-1028.87	-1305.8	0	0	0	0	0	
1270	248.207	-1286.41	-1026.38	-1286.41	0	0	0	0	0	
1280	268.754	-1305.53	-1023.97	-1305.53	0	0	0	0	0	
1290	299.834	-1337.3	-1023.18	-1337.3	0	0	0	0	0	
1300	316.907	-1355.64	-1023.64	-1355.64	0	0	0	0	0	
1310	331.551	-1372.27	-1024.92	-1372.27	0	0	0	0	0	
1320	345.354	-1388.74	-1026.94	-1388.74	0	0	0	0	0	
1330	333.807	-1378.84	-1029.13	-1378.84	0	0	0	0	0	
1340	308.56	-1353.7	-1030.44	-1353.7	0	0	0	0	0	
1350	271.557	-1314.49	-1029.99	-1314.49	0	0	0	0	0	
1360	240.009	-1279.14	-1027.7	-1279.14	0	0	0	0	0	
1370	228.785	-1263.92	-1024.24	-1263.92	0	0	0	0	0	
1380	201.833	-1230.96	-1019.51	-1230.96	0	0	0	0	0	
1390	210.391	-1234.95	-1014.54	-1234.95	0	0	0	0	0	
1400	229.39	-1250.45	-1010.13	-1250.45	0	0	0	0	0	
1410	256.213	-1275.59	-1007.18	-1275.59	0	0	0	0	0	
1420	296.302	-1316.38	-1005.96	-1316.38	0	0	0	0	0	
1430	331.949	-1354.19	-1006.43	-1354.19	0	0	0	0	0	
1440	360.32	-1386.11	-1008.63	-1386.11	0	0	0	0	0	
1450	391.695	-1423.14	-1012.79	-1423.14	0	0	0	0	0	
1460	394.954	-1431.51	-1017.75	-1431.51	0	0	0	0	0	
1470	392.517	-1434.32	-1023.11	-1434.32	0	0	0	0	0	
1480	379.239	-1425.01	-1027.71	-1425.01	0	0	0	0	0	
1490	366.475	-1415.36	-1031.43	-1415.36	0	0	0	0	0	
1500	349.885	-1401.12	-1034.57	-1401.12	0	0	0	0	0	
1510	339.144	-1392.3	-1037	-1392.3	0	0	0	0	0	
1520	333.437	-1388.37	-1039.05	-1388.37	0	0	0	0	0	
1530	296.375	-1350.49	-1040	-1350.49	0	0	0	0	0	
1540	279.269	-1332.09	-1039.52	-1332.09	0	0	0	0	0	
1550	271.247	-1322.16	-1037.99	-1322.16	0	0	0	0	0	
1560	289.414	-1340.47	-1037.27	-1340.47	0	0	0	0	0	
1570	297.704	-1348.79	-1036.91	-1348.79	0	0	0	0	0	
1580	296.451	-1347.15	-1036.58	-1347.15	0	0	0	0	0	
1590	304.905	-1356.36	-1036.93	-1356.36	0	0	0	0	0	
1600	299.431	-1350.87	-1037.17	-1350.87	0	0	0	0	0	
1610	275.604	-1325.21	-1036.48	-1325.21	0	0	0	0	0	
1620	259.004	-1306.27	-1034.93	-1306.27	0	0	0	0	0	
1630	265.506	-1310.99	-1032.84	-1310.99	0	0	0	0	0	
1640	273.921	-1318.01	-1031.04	-1318.01	0	0	0	0	0	
1650	288.606	-1332.65	-1030.3	-1332.65	0	0	0	0	0	
1660	273.759	-1315.77	-1028.98	-1315.77	0	0	0	0	0	
1670	269.344	-1309.51	-1027.34	-1309.51	0	0	0	0	0	
1680	277.002	-1316.02	-1025.83	-1316.02	0	0	0	0	0	
1690	280.246	-1318.17	-1024.58	-1318.17	0	0	0	0	0	
1700	283.651	-1320.71	-1023.55	-1320.71	0	0	0	0	0	
1710	280.851	-1316.87	-1022.64	-1316.87	0	0	0	0	0	
1720	248.316	-1280.75	-1020.61	-1280.75	0	0	0	0	0	
1730	229.51	-1257.85	-1017.4	-1257.85	0	0	0	0	0	
1740	223.699	-1247.92	-1013.56	-1247.92	0	0	0	0	0	
1750	228.39	-1248.88	-1009.61	-1248.88	0	0	0	0	0	
1760	240.888	-1258.58	-1006.22	-1258.58	0	0	0	0	0	
1770	267.638	-1283.93	-1003.54	-1283.93	0	0	0	0	0	
1780	298.063	-1314.79	-1002.54	-1314.79	0	0	0	0	0	
1790	301.132	-1318.16	-1002.69	-1318.16	0	0	0	0	0	
1800	312.289	-1330.1	-1002.94	-1330.1	0	0	0	0	0	
