step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
420,86.8649,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-1.00464e-005,0.054471,-0.0177482,0.642219,0.499357,1
430,89.2785,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000164023,0.0544355,-0.0166137,0.642571,0.499352,1
440,89.4133,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000320091,0.0544322,-0.0155405,0.642974,0.499348,1
450,88.0811,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000442408,0.0544052,-0.0144481,0.643347,0.499345,1
460,87.2962,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000587711,0.0542921,-0.0134564,0.6437,0.499344,1
470,87.7086,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00073558,0.054215,-0.0125716,0.64408,0.499345,1
480,89.5025,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000805704,0.0542244,-0.0117604,0.644455,0.499346,1
490,92.1402,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000759644,0.0541468,-0.0109567,0.644813,0.499348,1
500,94.9555,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00075441,0.0539893,-0.0102903,0.645162,0.499352,1
510,107.533,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.000996523,0.0539221,-0.00974171,0.645475,0.499356,1
520,115.275,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00141251,0.0538624,-0.00927925,0.64581,0.499362,1
530,119.72,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00166314,0.0536567,-0.00892272,0.646238,0.499369,1
540,121.921,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00166453,0.0534498,-0.00886893,0.646691,0.499377,1
550,124.114,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00168515,0.0533541,-0.0091399,0.64712,0.499385,1
560,126.273,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00184157,0.0532669,-0.00966197,0.647566,0.499393,1
570,129.535,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00195442,0.0531437,-0.0103234,0.647952,0.499401,1
580,134.508,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00199903,0.0530086,-0.0111826,0.64819,0.499407,1
590,139.492,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00221797,0.0527974,-0.0122822,0.648328,0.499412,1
600,142.829,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00253374,0.0525453,-0.013517,0.648394,0.499416,1
610,152.572,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00259839,0.0523791,-0.0146923,0.648429,0.499419,1
620,157.628,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00239533,0.0523252,-0.0157277,0.648429,0.499419,1
630,157.504,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.0022735,0.0522913,-0.016617,0.648429,0.499419,1
640,152.407,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00225014,0.0522346,-0.0173126,0.648429,0.499419,1
650,146.058,0,0,0,-2.11326e-008,6.50232e-009,0.981818,0,0,0,-0.00222265,0.0521967,-0.0178323,0.648429,0.499419,1
