step,T,Epot,Efull,SolventMolsThroughZ,
5.4e-013,58.1987,-2474.82,-2326.03,-1600085943,
5.45e-013,58.0953,-2471.84,-2323.3,1852730902,
5.5e-013,58.6417,-2471.34,-2321.41,1010580451,
5.55e-013,58.6133,-2463.67,-2313.81,168430000,
5.6e-013,60.0689,-2460.66,-2307.08,-673720451,
5.65e-013,62.406,-2462.05,-2302.5,-1515870902,
5.7e-013,60.2641,-2452.66,-2298.59,1936945943,
5.75e-013,62.0804,-2452.59,-2293.87,1094795492,
5.8e-013,62.5663,-2451.52,-2291.56,252645041,
5.85e-013,63.2763,-2450.64,-2288.86,-589505410,
5.9e-013,62.1219,-2445.66,-2286.83,-1431655861,
5.95e-013,64.7917,-2450.9,-2285.25,2021160984,
6e-013,65.8631,-2453.86,-2285.47,1179010533,
6.05e-013,68.3326,-2456.63,-2281.92,336860082,
6.1e-013,67.0228,-2449.85,-2278.49,-505290369,
6.15e-013,70.2361,-2455.31,-2275.74,-1347440820,
6.2e-013,69.6766,-2452.93,-2274.78,2105376025,
6.25e-013,70.8114,-2453.78,-2272.74,1263225574,
6.3e-013,69.234,-2448.03,-2271.02,421075123,
6.35e-013,71.4807,-2451.39,-2268.64,-421075328,
6.4e-013,71.2613,-2449.5,-2267.3,-1263225779,
6.45e-013,73.3066,-2453.84,-2266.42,-2105376230,
6.5e-013,70.5346,-2445.66,-2265.32,1347440615,
6.55e-013,73.5175,-2445.32,-2257.36,505290164,
6.6e-013,73.2652,-2439.4,-2252.08,-336860287,
6.65e-013,74.7707,-2437.01,-2245.84,-1179010738,
6.7e-013,73.3877,-2429.21,-2241.58,-2021161189,
6.75e-013,74.422,-2426.41,-2236.13,1431655656,
6.8e-013,72.974,-2418.18,-2231.61,589505205,
6.85e-013,73.766,-2415.24,-2226.65,-252645246,
6.9e-013,72.7155,-2408.67,-2222.76,-1094795697,
6.95e-013,73.3729,-2405.68,-2218.09,-1936946148,
7e-013,75.3625,-2408.06,-2215.38,1515870697,
7.05e-013,77.0195,-2405.15,-2208.24,673720246,
7.1e-013,79.0811,-2405.29,-2203.1,-168430205,
7.15e-013,80.1043,-2404.68,-2199.88,-1010580656,
7.2e-013,79.584,-2400.11,-2196.64,-1852731107,
7.25e-013,79.9838,-2397.86,-2193.36,1600085738,
7.3e-013,81.9612,-2400.07,-2190.52,757935287,
7.35e-013,80.5153,-2395.67,-2189.82,-84215164,
7.4e-013,77.2957,-2383.18,-2185.55,-926365615,
7.45e-013,77.6303,-2378.41,-2179.93,-1768516066,
7.5e-013,79.3117,-2378.45,-2175.68,1684300779,
7.55e-013,78.3346,-2365.99,-2165.71,842150328,
7.6e-013,80.276,-2359.96,-2154.72,-123,
7.65e-013,80.5516,-2351.07,-2145.12,-842150574,
7.7e-013,85.511,-2355.13,-2136.5,-1684301025,
7.75e-013,84.2365,-2345.8,-2130.43,1768515820,
7.8e-013,87.0671,-2346.54,-2123.93,926365369,
7.85e-013,86.655,-2340.63,-2119.08,84214918,
7.9e-013,92.5366,-2352.92,-2116.33,-757935533,
7.95e-013,88.6055,-2343.09,-2116.56,-1600085984,
8e-013,88.236,-2338.76,-2113.16,1852730861,
8.05e-013,88.0623,-2330.93,-2105.78,1010580410,
8.1e-013,91.935,-2334.93,-2099.87,168429959,
8.15e-013,87.5685,-2318.63,-2094.74,-673720492,
8.2e-013,92.6486,-2326.07,-2089.2,-1515870943,
8.25e-013,93.6573,-2325.96,-2086.5,1936945902,
8.3e-013,95.3656,-2329.42,-2085.6,1094795451,
8.35e-013,95.1285,-2327.14,-2083.92,252645000,
8.4e-013,96.9763,-2331.58,-2083.64,-589505451,
8.45e-013,96.3406,-2330.2,-2083.89,-1431655902,
8.5e-013,98.2678,-2336.02,-2084.78,2021160943,
8.55e-013,97.1379,-2329.36,-2081.01,1179010492,
8.6e-013,99.9483,-2334.13,-2078.59,336860041,
8.65e-013,100.104,-2332.83,-2076.9,-505290410,
8.7e-013,98.8692,-2330.13,-2077.35,-1347440861,
8.75e-013,95.6424,-2317.45,-2072.92,2105375984,
8.8e-013,95.5744,-2313.3,-2068.95,1263225533,
8.85e-013,100.307,-2321.96,-2065.5,421075082,
8.9e-013,96.6004,-2310.83,-2063.85,-421075369,
8.95e-013,97.0538,-2306.77,-2058.63,-1263225820,
9e-013,99.5695,-2309.19,-2054.62,-2105376271,
9.05e-013,104.405,-2314.56,-2047.63,1347440574,
9.1e-013,103.583,-2308.58,-2043.74,505290123,
9.15e-013,107.127,-2311.88,-2037.99,-336860328,
9.2e-013,106.812,-2311.16,-2038.08,-1179010779,
9.25e-013,109.003,-2314.83,-2036.14,-2021161230,
9.3e-013,103.732,-2301.58,-2036.37,1431655615,
9.35e-013,103.975,-2298.19,-2032.35,589505164,
9.4e-013,104.217,-2296.48,-2030.03,-252645287,
9.45e-013,106.844,-2302.18,-2029.01,-1094795738,
9.5e-013,103.43,-2293.78,-2029.34,-1936946189,
9.55e-013,107.297,-2294.98,-2020.66,1515870656,
9.6e-013,109.151,-2294.74,-2015.67,673720205,
9.65e-013,113.322,-2301.84,-2012.11,-168430246,
9.7e-013,114.677,-2304.35,-2011.16,-1010580697,
9.75e-013,118.265,-2314.23,-2011.86,-1852731148,
9.8e-013,114.076,-2304.68,-2013.02,1600085697,
9.85e-013,115.48,-2308.42,-2013.17,757935246,
9.9e-013,111.281,-2297.93,-2013.42,-84215205,
9.95e-013,111.245,-2295.72,-2011.3,-926365656,
1e-012,109.181,-2288.08,-2008.94,-1768516107,
1.005e-012,111.923,-2288.23,-2002.07,1684300738,
1.01e-012,117.159,-2297.78,-1998.24,842150287,
1.015e-012,116.754,-2294.95,-1996.44,-164,
1.02e-012,122.896,-2309.52,-1995.31,-842150615,
1.025e-012,119.954,-2302.72,-1996.03,-1684301066,
1.03e-012,127.33,-2322.24,-1996.69,1768515779,
