step,T,Epot,Efull,NThroughZNThroughKlap
1560,78.8175,-8680.91,-8516.75,
1570,79.1224,-8673.96,-8509.16,
1580,79.0911,-8665.71,-8500.98,
1590,78.3623,-8655.91,-8492.7,
1600,76.2629,-8642.36,-8483.52,
1610,74.0458,-8621.71,-8467.49,
1620,69.283,-8593.41,-8449.11,
1630,66.6572,-8566.82,-8427.99,
1640,69.8259,-8552.09,-8406.66,
1650,76.9606,-8549.92,-8389.63,
1660,83.079,-8550.35,-8377.31,
1670,87.404,-8551.19,-8369.15,
1680,90.6768,-8553.18,-8364.32,
1690,93.7088,-8556.85,-8361.67,
1700,95.5206,-8560.35,-8361.4,
1710,97.4367,-8560.49,-8357.55,
1720,97.0076,-8556.18,-8354.13,
1730,96.2262,-8550.29,-8349.87,
1740,95.9193,-8545.11,-8345.33,
1750,96.6207,-8541.66,-8340.42,
1760,97.2468,-8539.56,-8337.02,
1770,98.4197,-8539.52,-8334.54,
1780,100.564,-8541.8,-8332.34,
1790,103.753,-8549.01,-8332.92,
1800,107.323,-8559.66,-8336.13,
1810,112.613,-8572.18,-8337.63,
1820,116.624,-8586.03,-8343.12,
1830,118.798,-8598.54,-8351.11,
1840,119.034,-8607.88,-8359.96,
1850,118.039,-8614.19,-8368.34,
1860,117.504,-8620.63,-8375.9,
1870,118.137,-8629.77,-8383.71,
1880,119.524,-8641.05,-8392.11,
1890,121.086,-8654.23,-8402.04,
1900,122.669,-8668.7,-8413.21,
1910,125.629,-8683.02,-8421.36,
1920,126.932,-8695.2,-8430.82,
1930,126.111,-8702.93,-8440.27,
1940,123.571,-8706.56,-8449.19,
1950,120.865,-8707.63,-8455.89,
1960,119.23,-8709.54,-8461.21,
1970,118.702,-8712.23,-8465,
1980,118.985,-8716.78,-8468.96,
1990,119.666,-8722.52,-8473.28,
2000,120.481,-8728.93,-8477.99,
2010,124.382,-8742.9,-8483.84,
2020,125.646,-8771.59,-8509.9,
2030,126.49,-8779.77,-8516.32,
