step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
2.85e-013,54.0519,-7687.17,-7592.79,1,0,-0.0596322,-0.628563,754.875,0.220508,0.220892
2.9e-013,54.8658,-7692.34,-7596.54,1,0,-0.0526929,-0.627161,753.88,0.22428,0.224664
2.95e-013,55.3907,-7698.38,-7601.67,1,0,-0.0454702,-0.625753,752.868,0.228047,0.228431
3e-013,54.1273,-7698.98,-7604.47,1,0,-0.0378396,-0.62434,751.839,0.231808,0.232192
3.05e-013,60.0322,-7707.23,-7602.41,1,0,-0.0294958,-0.622898,750.794,0.235565,0.235948
3.1e-013,56.7653,-7701.31,-7602.2,1,0,-0.0203239,-0.621415,749.732,0.239316,0.239699
3.15e-013,53.8897,-7693.12,-7599.03,1,0,-0.0103619,-0.61988,748.652,0.243062,0.243445
3.2e-013,57.0429,-7696.57,-7596.97,1,0,0.000291137,-0.618272,747.557,0.246803,0.247185
3.25e-013,56.5367,-7697.07,-7598.36,1,0,0.0113624,-0.616598,746.444,0.250538,0.25092
3.3e-013,55.7606,-7698.03,-7600.67,1,0,0.0227212,-0.614859,745.315,0.254267,0.254649
3.35e-013,59.3087,-7706.12,-7602.56,1,0,0.0342992,-0.613048,744.169,0.257991,0.258373
3.4e-013,59.6133,-7707.83,-7603.75,1,0,0.0458161,-0.61118,743.006,0.261709,0.26209
3.45e-013,62.4072,-7713.34,-7604.38,1,0,0.0569207,-0.609263,741.827,0.265421,0.265802
3.5e-013,68.1411,-7728.01,-7609.03,1,0,0.0671809,-0.607312,740.631,0.269127,0.269508
3.55e-013,70.6907,-7733.5,-7610.07,1,0,0.0762837,-0.605335,739.419,0.272827,0.273208
3.6e-013,73.4224,-7742.74,-7614.55,1,0,0.0841607,-0.603321,738.19,0.276521,0.276902
3.65e-013,76.6924,-7755.01,-7621.1,1,0,0.0908365,-0.601283,736.944,0.280209,0.280589
3.7e-013,75.4015,-7759.31,-7627.66,1,0,0.0965545,-0.599242,735.682,0.283891,0.28427
3.75e-013,73.9353,-7764.88,-7635.79,1,0,0.101682,-0.597197,734.404,0.287566,0.287945
3.8e-013,73.7926,-7772.61,-7643.76,1,0,0.106479,-0.595146,733.109,0.291235,0.291614
3.85e-013,68.2778,-7765.4,-7646.18,1,0,0.111025,-0.593087,731.798,0.294897,0.295276
3.9e-013,63.7761,-7756.52,-7645.17,1,0,0.115349,-0.591,730.47,0.298553,0.298931
3.95e-013,63.7975,-7753.62,-7642.22,1,0,0.119485,-0.588856,729.126,0.302202,0.30258
4e-013,59.052,-7740.17,-7637.06,1,0,0.123479,-0.586651,727.766,0.305844,0.306222
4.05e-013,57.7491,-7723.57,-7622.74,1,0,0.127542,-0.584323,726.39,0.309479,0.309857
4.1e-013,59.9212,-7714.75,-7610.12,1,0,0.131922,-0.581807,724.997,0.313108,0.313485
4.15e-013,57.6414,-7697.76,-7597.11,1,0,0.136665,-0.579106,723.588,0.316729,0.317106
4.2e-013,63.4264,-7697.05,-7586.31,1,0,0.141673,-0.576199,722.163,0.320344,0.32072
4.25e-013,68.2591,-7697.63,-7578.44,1,0,0.146582,-0.573122,720.721,0.323951,0.324327
4.3e-013,70.1225,-7694.6,-7572.16,1,0,0.151019,-0.569923,719.264,0.327551,0.327926
4.35e-013,79.4757,-7706.82,-7568.06,1,0,0.154826,-0.566626,717.79,0.331143,0.331519
4.4e-013,87.2766,-7722.37,-7569.98,1,0,0.15801,-0.563299,716.301,0.334729,0.335103
4.45e-013,86.9239,-7725.6,-7573.83,1,0,0.160754,-0.560002,714.795,0.338306,0.338681
4.5e-013,84.8107,-7724.59,-7576.51,1,0,0.16336,-0.556739,713.273,0.341877,0.342251
4.55e-013,86.6573,-7724.71,-7573.4,1,0,0.166142,-0.553468,711.736,0.345439,0.345813
4.6e-013,81.8482,-7712.63,-7569.72,1,0,0.169303,-0.550152,710.182,0.348994,0.349367
4.65e-013,80.1098,-7703.24,-7563.37,1,0,0.172895,-0.546764,708.613,0.352541,0.352914
4.7e-013,74.5894,-7685.61,-7555.37,1,0,0.176837,-0.54328,707.028,0.35608,0.356453
4.75e-013,63.3393,-7651.84,-7541.24,1,0,0.180996,-0.539645,705.427,0.359611,0.359983
4.8e-013,62.003,-7631.46,-7523.2,1,0,0.185303,-0.535727,703.81,0.363134,0.363506
4.85e-013,59.9063,-7609.29,-7504.69,1,0,0.189656,-0.531452,702.177,0.366649,0.367021
4.9e-013,57.7089,-7585.37,-7484.61,1,0,0.194027,-0.526756,700.529,0.370156,0.370527
4.95e-013,62.3742,-7573.6,-7464.69,1,0,0.19845,-0.521554,698.865,0.373654,0.374025
5e-013,72.2328,-7575.25,-7449.13,1,0,0.202806,-0.515889,697.185,0.377145,0.377515
5.05e-013,88.6749,-7591.12,-7436.29,1,0,0.206894,-0.50987,695.49,0.380626,0.380996
5.1e-013,110.933,-7629.33,-7435.63,1,0,0.21055,-0.50367,693.779,0.384099,0.384469
5.15e-013,120.464,-7658.04,-7447.7,1,0,0.21369,-0.49754,692.053,0.387564,0.387933
5.2e-013,118.237,-7667.77,-7461.32,1,0,0.216337,-0.491582,690.311,0.39102,0.391388
5.25e-013,127.622,-7700.3,-7477.47,1,0,0.218467,-0.485793,688.554,0.394467,0.394835
5.3e-013,122.133,-7708.68,-7495.43,1,0,0.219893,-0.480211,686.782,0.397905,0.398273
5.35e-013,114.331,-7706.62,-7507,1,0,0.220321,-0.47481,684.994,0.401335,0.401702
5.4e-013,110.346,-7708.86,-7516.19,1,0,0.219457,-0.469528,683.19,0.404755,0.405122
5.45e-013,99.3671,-7693.87,-7520.37,1,0,0.217241,-0.464322,681.372,0.408167,0.408533
5.5e-013,95.1585,-7685.31,-7519.15,1,0,0.213969,-0.459107,679.538,0.411569,0.411935
5.55e-013,97.9167,-7681.15,-7510.19,1,0,0.210122,-0.453788,677.689,0.414962,0.415327
5.6e-013,95.8535,-7669.6,-7502.24,1,0,0.206123,-0.448319,675.825,0.418346,0.418711
5.65e-013,91.246,-7650.66,-7491.34,1,0,0.202232,-0.442679,673.945,0.42172,0.422085
5.7e-013,100.214,-7656.34,-7481.36,1,0,0.198628,-0.436816,672.051,0.425085,0.425449
5.75e-013,106.538,-7663.43,-7477.41,1,0,0.195533,-0.430805,670.142,0.428441,0.428804
5.8e-013,110.845,-7669.53,-7475.99,1,0,0.192968,-0.424728,668.217,0.431787,0.43215
