"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"
13.800000	400.483559	379.118704	21.364855	17.112943	362.005762	0.000000	0.000000	18.136383	3.228472	0.000000	0.000000
14.000000	401.169840	379.912910	21.256930	17.112941	362.799970	0.000000	0.000000	18.037939	3.218991	0.000000	0.000000
14.200000	401.867253	380.717611	21.149643	17.112942	363.604669	0.000000	0.000000	17.940143	3.209499	0.000000	0.000000
14.400000	402.575799	381.532785	21.043014	17.112942	364.419843	0.000000	0.000000	17.843017	3.199997	0.000000	0.000000
14.600000	403.295487	382.358430	20.937057	17.112942	365.245487	0.000000	0.000000	17.746571	3.190486	0.000000	0.000000
14.800000	404.026315	383.194529	20.831786	17.112942	366.081587	0.000000	0.000000	17.650820	3.180966	0.000000	0.000000
15.000000	404.768281	384.041068	20.727213	17.112942	366.928125	0.000000	0.000000	17.555776	3.171437	0.000000	0.000000
15.200000	405.522483	384.898012	20.624471	17.112944	367.785067	0.000000	0.000000	17.462570	3.161900	0.000000	0.000000
15.400000	406.286708	385.765369	20.521339	17.112943	368.652426	0.000000	0.000000	17.368983	3.152356	0.000000	0.000000
15.600000	407.062062	386.643116	20.418947	17.112940	369.530175	0.000000	0.000000	17.276141	3.142805	0.000000	0.000000
15.800000	407.848556	387.531251	20.317306	17.112939	370.418311	0.000000	0.000000	17.184058	3.133248	0.000000	0.000000
16.000000	408.646171	388.429743	20.216428	17.112941	371.316803	0.000000	0.000000	17.092744	3.123684	0.000000	0.000000
16.200000	409.454922	389.338601	20.116321	17.112944	372.225657	0.000000	0.000000	17.002206	3.114115	0.000000	0.000000
16.400000	410.274782	390.257775	20.017007	17.112940	373.144835	0.000000	0.000000	16.912467	3.104541	0.000000	0.000000
16.600000	411.105767	391.187280	19.918487	17.112939	374.074341	0.000000	0.000000	16.823525	3.094962	0.000000	0.000000
16.800000	411.947858	392.127086	19.820771	17.112942	375.014144	0.000000	0.000000	16.735393	3.085379	0.000000	0.000000
17.000000	412.801030	393.077153	19.723877	17.112940	375.964213	0.000000	0.000000	16.648085	3.075792	0.000000	0.000000
17.200000	413.665335	394.037533	19.627801	17.112944	376.924589	0.000000	0.000000	16.561599	3.066202	0.000000	0.000000
17.400000	414.540697	395.008129	19.532568	17.112940	377.895189	0.000000	0.000000	16.475958	3.056610	0.000000	0.000000
17.600000	415.427151	395.988979	19.438172	17.112941	378.876038	0.000000	0.000000	16.391157	3.047015	0.000000	0.000000
17.800000	416.324671	396.980043	19.344628	17.112941	379.867102	0.000000	0.000000	16.307210	3.037418	0.000000	0.000000
18.000000	417.233236	397.981293	19.251943	17.112941	380.868353	0.000000	0.000000	16.224122	3.027820	0.000000	0.000000
18.200000	418.154005	398.992771	19.161235	17.112942	381.879828	0.000000	0.000000	16.143013	3.018221	0.000000	0.000000
18.400000	419.084655	400.014372	19.070283	17.112942	382.901430	0.000000	0.000000	16.061661	3.008622	0.000000	0.000000
