step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
710	40.3811	-1585.79	-1513.78	-1584.93	-0.149602	-0.710446	0	0	0	
720	40.0305	-1583.84	-1512.45	-1582.98	-0.14963	-0.715107	0	0	0	
730	39.8826	-1582.32	-1511.19	-1581.45	-0.149659	-0.720734	0	0	0	
740	39.8775	-1581.09	-1509.97	-1580.18	-0.149689	-0.760614	0	0	0	
750	39.7554	-1579.46	-1508.55	-1578.54	-0.149718	-0.767015	0	0	0	
760	40.519	-1579.25	-1506.98	-1578.32	-0.149748	-0.776687	0	0	0	
770	41.6193	-1580.53	-1506.31	-1579.6	-0.149779	-0.786926	0	0	0	
780	42.3097	-1581.78	-1506.32	-1580.83	-0.149809	-0.797237	0	0	0	
790	43.2757	-1583.98	-1506.8	-1583.02	-0.149839	-0.807103	0	0	0	
800	44.8927	-1588.21	-1508.14	-1587.21	-0.149869	-0.849149	0	0	0	
810	48.4741	-1593.6	-1507.14	-1592.59	-0.1499	-0.859668	0	0	0	
820	50.9259	-1599.11	-1508.28	-1598.09	-0.14993	-0.866474	0	0	0	
830	51.7054	-1602.94	-1510.73	-1601.92	-0.14996	-0.872204	0	0	0	
840	49.658	-1601.58	-1513.02	-1600.56	-0.14999	-0.877507	0	0	0	
850	44.7276	-1592.48	-1512.71	-1591.45	-0.150019	-0.882766	0	0	0	
860	39.6676	-1579.32	-1508.57	-1578.28	-0.15005	-0.888068	0	0	0	
870	35.2098	-1564.4	-1501.6	-1563.35	-0.150081	-0.893351	0	0	0	
880	31.3039	-1547.55	-1491.72	-1546.5	-0.150115	-0.898524	0	0	0	
890	29.7865	-1533.1	-1479.98	-1532.05	-0.150152	-0.903424	0	0	0	
900	31.3729	-1524.14	-1468.18	-1523.08	-0.150193	-0.90774	0	0	0	
910	35.1272	-1516.97	-1454.32	-1515.88	-0.15024	-0.944197	0	0	0	
920	39.5853	-1513.48	-1442.89	-1512.39	-0.150292	-0.946476	0	0	0	
930	47.5297	-1520.18	-1435.41	-1519.08	-0.150347	-0.946699	0	0	0	
940	54.8243	-1531.18	-1433.4	-1530.05	-0.150404	-0.978264	0	0	0	
950	58.5191	-1539.44	-1435.07	-1538.31	-0.150461	-0.976705	0	0	0	
960	60.6449	-1546.82	-1438.67	-1545.7	-0.150517	-0.974583	0	0	0	
970	59.6836	-1549.37	-1442.92	-1548.24	-0.150572	-0.974058	0	0	0	
980	55.6108	-1544.55	-1445.37	-1543.44	-0.150627	-0.9544	0	0	0	
990	52.5502	-1538.91	-1445.19	-1537.83	-0.150681	-0.935076	0	0	0	
1000	51.1729	-1535.11	-1443.84	-1533.99	-0.150736	-0.964638	0	0	0	
1010	50.6087	-1528.21	-1437.95	-1527.1	-0.150791	-0.960998	0	0	0	
1020	50.1301	-1520.88	-1431.48	-1519.77	-0.150849	-0.956947	0	0	0	
1030	50.4342	-1514.89	-1424.94	-1513.75	-0.15091	-0.98554	0	0	0	
1040	50.7224	-1508.95	-1418.49	-1507.84	-0.150972	-0.963126	0	0	0	
1050	54.3757	-1510.06	-1413.09	-1508.94	-0.151037	-0.976076	0	0	0	
1060	60.8	-1519.69	-1411.25	-1518.56	-0.151103	-0.973294	0	0	0	
1070	66.6902	-1532.69	-1413.75	-1531.57	-0.151168	-0.96981	0	0	0	
1080	73.023	-1550.37	-1420.13	-1549.25	-0.151233	-0.96542	0	0	0	
1090	79.0758	-1571.88	-1430.85	-1570.77	-0.151296	-0.960082	0	0	0	
1100	80.4101	-1588.07	-1444.67	-1586.97	-0.151356	-0.954079	0	0	0	
1110	79.5957	-1596.33	-1454.37	-1595.23	-0.151413	-0.94738	0	0	0	
1120	77.8275	-1601.87	-1463.07	-1600.81	-0.151469	-0.907434	0	0	0	
1130	74.496	-1603.29	-1470.43	-1602.27	-0.151524	-0.870548	0	0	0	
1140	69.2389	-1598.12	-1474.63	-1597.1	-0.151577	-0.864263	0	0	0	
1150	64.5095	-1590.75	-1475.7	-1589.74	-0.15163	-0.858145	0	0	0	
1160	62.8281	-1586.37	-1474.31	-1585.31	-0.151683	-0.901768	0	0	0	
1170	61.3855	-1581.45	-1471.97	-1580.4	-0.151737	-0.897262	0	0	0	
1180	59.3834	-1574.5	-1468.59	-1573.45	-0.151792	-0.891841	0	0	0	
1190	58.6925	-1568.69	-1464.01	-1567.65	-0.151848	-0.883585	0	0	0	
1200	59.4226	-1565.28	-1459.3	-1564.25	-0.151905	-0.877428	0	0	0	
1210	62.002	-1562.33	-1451.75	-1561.29	-0.151964	-0.887857	0	0	0	
1220	63.3803	-1558.89	-1445.86	-1557.88	-0.152025	-0.866671	0	0	0	
1230	61.6884	-1549.92	-1439.9	-1548.91	-0.152087	-0.861756	0	0	0	
1240	57.3235	-1534.06	-1431.83	-1533.05	-0.152152	-0.860646	0	0	0	
1250	53.6742	-1516.41	-1420.68	-1515.4	-0.15222	-0.861214	0	0	0	
1260	51.341	-1499.36	-1407.8	-1498.35	-0.152293	-0.864113	0	0	0	
1270	47.6286	-1477.93	-1392.99	-1476.91	-0.152371	-0.867077	0	0	0	
1280	47.1662	-1460.41	-1376.29	-1459.38	-0.152457	-0.874279	0	0	0	
1290	52.3417	-1454.51	-1361.16	-1453.48	-0.152552	-0.881533	0	0	0	
1300	59.6087	-1456.42	-1350.11	-1455.38	-0.152654	-0.886492	0	0	0	
1310	69.3282	-1464.18	-1340.53	-1463.13	-0.152761	-0.889678	0	0	0	
1320	78.0672	-1476.38	-1337.15	-1475.35	-0.152871	-0.875542	0	0	0	
1330	80.2207	-1481.14	-1338.07	-1480.1	-0.152981	-0.893444	0	0	0	
1340	76.6522	-1475.13	-1338.42	-1474.08	-0.153091	-0.894862	0	0	0	
1350	74.0248	-1468.41	-1336.39	-1467.36	-0.153202	-0.898708	0	0	0	
1360	73.1286	-1463.83	-1333.41	-1462.79	-0.153314	-0.889837	0	0	0	
1370	69.2347	-1452.77	-1329.29	-1451.73	-0.153427	-0.885022	0	0	0	
1380	61.4798	-1430.83	-1321.18	-1429.79	-0.153544	-0.883116	0	0	0	
1390	54.9859	-1405.97	-1307.91	-1404.89	-0.153667	-0.931307	0	0	0	
1400	53.6411	-1387.53	-1291.86	-1386.4	-0.1538	-0.97889	0	0	0	
1410	59.7004	-1379.5	-1273.02	-1378.35	-0.153945	-0.992026	0	0	0	
1420	71.1448	-1386.9	-1260.01	-1385.74	-0.154102	-1.00288	0	0	0	
1430	85.8823	-1409.05	-1255.88	-1407.82	-0.154265	-1.07855	0	0	0	
1440	100.509	-1441.16	-1261.91	-1439.92	-0.154428	-1.08794	0	0	0	
1450	109.48	-1471.65	-1276.4	-1470.37	-0.154586	-1.12944	0	0	0	
1460	108.686	-1487.63	-1293.8	-1486.34	-0.154737	-1.13924	0	0	0	
1470	104.545	-1495.75	-1309.29	-1494.44	-0.154883	-1.15012	0	0	0	
1480	104.737	-1509.58	-1322.78	-1508.29	-0.155023	-1.13149	0	0	0	
1490	108.398	-1531.14	-1337.81	-1529.83	-0.155158	-1.14858	0	0	0	
1500	109.829	-1550.81	-1354.94	-1549.49	-0.155288	-1.16851	0	0	0	
1510	109.063	-1562.87	-1368.36	-1561.49	-0.155413	-1.22471	0	0	0	
1520	105.246	-1568.12	-1380.42	-1566.71	-0.155534	-1.24886	0	0	0	
1530	98.826	-1565.15	-1388.9	-1563.69	-0.155652	-1.30429	0	0	0	
1540	93.7963	-1560.15	-1392.87	-1558.64	-0.155768	-1.35629	0	0	0	
1550	97.5753	-1570.02	-1396	-1568.49	-0.155883	-1.37431	0	0	0	
1560	104.384	-1589.68	-1403.51	-1588.14	-0.155996	-1.38397	0	0	0	
1570	102.656	-1596.51	-1413.42	-1594.96	-0.156107	-1.39312	0	0	0	
1580	92.2224	-1583.78	-1419.31	-1582.19	-0.156216	-1.43465	0	0	0	
1590	79.7533	-1559.16	-1416.93	-1557.58	-0.156324	-1.42724	0	0	0	
1600	68.7356	-1529.21	-1406.62	-1527.61	-0.156436	-1.43692	0	0	0	
1610	63.5662	-1500.04	-1386.67	-1498.44	-0.156554	-1.44877	0	0	0	
1620	64.7087	-1480.58	-1365.17	-1478.97	-0.156685	-1.44845	0	0	0	
1630	71.016	-1472.57	-1345.91	-1470.96	-0.156828	-1.45281	0	0	0	
1640	78.0751	-1470.55	-1331.31	-1468.92	-0.15698	-1.47834	0	0	0	
1650	80.2266	-1463.31	-1320.23	-1461.63	-0.15714	-1.52358	0	0	0	
1660	78.6443	-1449.27	-1309.01	-1447.54	-0.157307	-1.57238	0	0	0	
1670	83.3186	-1446.51	-1297.91	-1444.68	-0.15748	-1.66739	0	0	0	
1680	95.0053	-1461.96	-1292.52	-1460.09	-0.157659	-1.71115	0	0	0	
1690	104.532	-1481.5	-1295.07	-1479.61	-0.157839	-1.73311	0	0	0	
1700	102.32	-1482.92	-1300.43	-1480.98	-0.158016	-1.78305	0	0	0	
1710	96.6756	-1471.35	-1298.93	-1469.39	-0.158193	-1.79767	0	0	0	
1720	91.0028	-1455.64	-1293.34	-1453.68	-0.158373	-1.81033	0	0	0	
1730	89.3413	-1444.44	-1285.1	-1442.46	-0.158557	-1.82222	0	0	0	
1740	87.9557	-1432.74	-1275.87	-1430.75	-0.158746	-1.83474	0	0	0	
1750	84.8344	-1416.82	-1265.53	-1414.85	-0.158942	-1.81658	0	0	0	
1760	79.1658	-1393.54	-1252.35	-1391.55	-0.159145	-1.83261	0	0	0	
1770	73.4234	-1366.59	-1235.64	-1364.58	-0.159361	-1.84754	0	0	0	
1780	70.293	-1340.86	-1215.49	-1338.84	-0.159593	-1.8583	0	0	0	
1790	79.5659	-1338.19	-1196.29	-1336.17	-0.159844	-1.86269	0	0	0	
1800	105.728	-1377.26	-1188.7	-1375.24	-0.160109	-1.85988	0	0	0	
1810	136.683	-1440.73	-1196.96	-1438.67	-0.160375	-1.90094	0	0	0	
1820	156.115	-1501.34	-1222.91	-1499.27	-0.160631	-1.90973	0	0	0	
1830	163.384	-1549.96	-1258.57	-1547.93	-0.160874	-1.87248	0	0	0	
1840	159.448	-1579.93	-1295.56	-1577.93	-0.161102	-1.84135	0	0	0	
1850	148.11	-1591.46	-1327.31	-1589.45	-0.161317	-1.84824	0	0	0	
1860	133.449	-1588.35	-1350.35	-1586.33	-0.161521	-1.85837	0	0	0	
1870	117.6	-1572.93	-1363.19	-1570.86	-0.161719	-1.90536	0	0	0	
