step,T,Epot,Efull,
1.3e-012,74.2026,-6127.4,-4826.24,
1.31e-012,76.0138,-6130.31,-4797.39,
1.32e-012,77.0895,-6122.9,-4771.11,
1.33e-012,76.3412,-6080.07,-4741.41,
1.34e-012,76.9829,-6058.78,-4708.86,
1.35e-012,78.4065,-6053,-4678.12,
1.36e-012,77.4739,-6006.04,-4647.51,
1.37e-012,77.9642,-5977.56,-4610.43,
1.38e-012,79.7414,-5974.05,-4575.76,
1.39e-012,81.45,-5979.37,-4551.12,
1.4e-012,82.2166,-5970.77,-4529.08,
1.41e-012,82.6744,-5960.92,-4511.2,
1.42e-012,83.0283,-5942.15,-4486.22,
1.43e-012,84.3405,-5946.8,-4467.86,
1.44e-012,84.1276,-5923.55,-4448.35,
1.45e-012,85.9303,-5933.36,-4426.54,
1.46e-012,86.4428,-5925.28,-4409.48,
1.47e-012,86.7784,-5913.61,-4391.93,
1.48e-012,89.4425,-5945,-4376.6,
1.49e-012,89.6267,-5939.3,-4367.66,
1.5e-012,90.9875,-5964.34,-4368.84,
1.51e-012,92.0718,-5979.93,-4365.43,
1.52e-012,90.8948,-5955.17,-4361.3,
1.53e-012,92.0604,-5962.27,-4347.97,
1.54e-012,92.1103,-5948.54,-4333.36,
1.55e-012,91.6577,-5926.85,-4319.6,
1.56e-012,93.5031,-5944.39,-4304.79,
1.57e-012,94.3517,-5943.74,-4289.25,
1.58e-012,94.0628,-5927.42,-4278.01,
1.59e-012,94.6909,-5921.39,-4260.95,
1.6e-012,93.0241,-5867.75,-4236.54,
1.61e-012,94.2729,-5863.51,-4210.41,
1.62e-012,97.6555,-5907.72,-4195.3,
1.63e-012,96.6545,-5874.36,-4179.5,
1.64e-012,97.6601,-5873.19,-4160.69,
1.65e-012,99.4545,-5886.99,-4143.03,
1.66e-012,98.0731,-5848.73,-4128.99,
1.67e-012,100.212,-5878.11,-4120.87,
1.68e-012,99.9475,-5853.74,-4101.13,
1.69e-012,98.3455,-5798.98,-4074.46,
1.7e-012,100.845,-5819.74,-4051.4,
1.71e-012,100.651,-5792.86,-4027.92,
1.72e-012,100.347,-5762.11,-4002.5,
1.73e-012,103.021,-5788.21,-3981.71,
1.74e-012,101.352,-5721.82,-3944.58,
1.75e-012,101.986,-5706.89,-3918.54,
