step,T,Epot,Efull,
2.7e-012,290.596,-6853.87,-2033.63,
2.72e-012,304.13,-7127.14,-2082.4,
2.74e-012,293.328,-6888.3,-2022.74,
2.76e-012,309.937,-7244.29,-2103.22,
2.78e-012,298.497,-7001.35,-2050.05,
2.8e-012,306.58,-7197.55,-2112.16,
2.82e-012,301.293,-7051.75,-2054.08,
2.84e-012,293.046,-6942.89,-2081.99,
2.86e-012,298.258,-7036.62,-2089.27,
2.88e-012,301.567,-7084.07,-2081.84,
2.9e-012,294.078,-6873.04,-1995.04,
2.92e-012,305.444,-7176.84,-2110.3,
2.94e-012,295.061,-6877.25,-1982.94,
2.96e-012,298.637,-7023.65,-2070.02,
2.98e-012,291.981,-6861.22,-2018,
3e-012,303.671,-7070.07,-2032.94,
3.02e-012,302.598,-7030.71,-2011.38,
3.04e-012,302.441,-7076.86,-2060.15,
3.06e-012,308.667,-7182.46,-2062.46,
3.08e-012,297.915,-6993.61,-2051.97,
3.1e-012,299.358,-6986.67,-2021.09,
3.12e-012,304.382,-7142.02,-2093.1,
3.14e-012,300.715,-7060.92,-2072.82,
3.16e-012,298.356,-7007.8,-2058.83,
3.18e-012,300.889,-7107.48,-2116.5,
3.2e-012,297.373,-7022,-2089.35,
3.22e-012,296.553,-7015.73,-2096.67,
3.24e-012,295.524,-6987.51,-2085.53,
3.26e-012,287.75,-6857.16,-2084.12,
3.28e-012,294.476,-6938.04,-2053.43,
3.3e-012,297.612,-6967.01,-2030.39,
3.32e-012,300.678,-7034.59,-2047.11,
3.34e-012,296.375,-6958.01,-2041.9,
3.36e-012,292.406,-6867.05,-2016.78,
3.38e-012,295.443,-6925,-2024.34,
3.4e-012,305.524,-7129.75,-2061.89,
3.42e-012,292.204,-6844.15,-1997.23,
3.44e-012,306.649,-7148.67,-2062.16,
3.46e-012,296.844,-6955.31,-2031.43,
3.48e-012,298.355,-7006.38,-2057.43,
3.5e-012,301.428,-7030.55,-2030.63,
3.52e-012,301.005,-7032.69,-2039.79,
3.54e-012,299.936,-7059.71,-2084.54,
3.56e-012,298.094,-7018.85,-2074.22,
3.58e-012,301.702,-7063.09,-2058.63,
3.6e-012,294.813,-6964.47,-2074.28,
3.62e-012,300.4,-7060.53,-2077.66,
3.64e-012,299.884,-7058.73,-2084.42,
3.66e-012,295.391,-6989.21,-2089.43,
3.68e-012,300.102,-7105.82,-2127.89,
3.7e-012,296.784,-7012.39,-2089.51,
3.72e-012,297.798,-7042.23,-2102.52,
3.74e-012,298.246,-7041.98,-2094.85,
3.76e-012,292.555,-6938.55,-2085.81,
3.78e-012,306.249,-7171.22,-2091.34,
3.8e-012,291.202,-6854.11,-2023.81,
3.82e-012,299.672,-7047.14,-2076.35,
3.84e-012,295.413,-6954.68,-2054.54,
3.86e-012,299.763,-6984.66,-2012.35,
3.88e-012,303.605,-7067.09,-2031.06,
3.9e-012,308.154,-7159.53,-2048.04,
3.92e-012,301.169,-7055.8,-2060.17,
3.94e-012,295.36,-6926.99,-2027.72,
3.96e-012,308.507,-7209.34,-2092,
