step,T,Epot,Efull,
2e-014,300.769,-8292.86,-3303.86,
4e-014,305.627,-8459.28,-3389.72,
6e-014,306.823,-8527.69,-3438.28,
8e-014,302.852,-8517.19,-3493.64,
1e-013,308.804,-8680.33,-3558.05,
1.2e-013,304.268,-8606.43,-3559.4,
1.4e-013,309.423,-8760.85,-3628.31,
1.6e-013,299.954,-8607.12,-3631.65,
1.8e-013,308.352,-8788.37,-3673.6,
2e-013,298.433,-8680.71,-3730.47,
2.2e-013,302.458,-8781.02,-3764.01,
2.4e-013,295.74,-8666.39,-3760.83,
2.6e-013,299.349,-8687.97,-3722.54,
2.8e-013,304.963,-8801.83,-3743.26,
3e-013,299.644,-8731.46,-3761.13,
3.2e-013,299.733,-8754.67,-3782.88,
3.4e-013,298.972,-8727.15,-3767.96,
3.6e-013,303.193,-8796.13,-3766.94,
3.8e-013,301.481,-8784.46,-3783.66,
4e-013,305.756,-8900.16,-3828.45,
4.2e-013,299.416,-8782.14,-3815.59,
4.4e-013,300.635,-8810.67,-3823.9,
4.6e-013,310.933,-9041.46,-3883.88,
4.8e-013,306.898,-8994.5,-3903.85,
5e-013,298.266,-8866.25,-3918.78,
5.2e-013,301.064,-8943.01,-3949.13,
5.4e-013,299.279,-8925.95,-3961.67,
5.6e-013,299.468,-8923.39,-3955.99,
5.8e-013,302.789,-8964.21,-3941.71,
6e-013,301.905,-8976.54,-3968.7,
6.2e-013,298.116,-8899.38,-3954.4,
6.4e-013,295.838,-8819.05,-3911.85,
6.6e-013,295.645,-8817.77,-3913.77,
6.8e-013,298.881,-8831.36,-3873.68,
7e-013,300.711,-8857.16,-3869.13,
7.2e-013,288.079,-8642.19,-3863.69,
7.4e-013,297.176,-8800.04,-3870.66,
7.6e-013,290.164,-8650.41,-3837.33,
7.8e-013,296.992,-8756.12,-3829.79,
8e-013,299.067,-8785.88,-3825.13,
8.2e-013,296.389,-8724.98,-3808.64,
8.4e-013,305.579,-8886.97,-3818.19,
8.6e-013,293.283,-8701.49,-3836.68,
8.8e-013,296.154,-8715.2,-3802.76,
9e-013,302.878,-8824.39,-3800.42,
9.2e-013,299.011,-8741.99,-3782.16,
9.4e-013,310.225,-8975.83,-3829.98,
9.6e-013,299.287,-8778.04,-3813.63,
9.8e-013,300.857,-8798.14,-3807.69,
1e-012,299.035,-8811.33,-3851.11,
1.02e-012,289.752,-8595.61,-3789.35,
1.04e-012,302.209,-8813.07,-3800.19,
1.06e-012,294.249,-8692.9,-3812.07,
1.08e-012,298.994,-8792.22,-3832.67,
1.1e-012,303.167,-8855.02,-3826.24,
1.12e-012,311.924,-9043.91,-3869.88,
1.14e-012,299.858,-8812.57,-3838.7,
1.16e-012,297.696,-8790.01,-3851.99,
1.18e-012,307.795,-8912.27,-3806.75,
1.2e-012,303.028,-8882.48,-3856.02,
1.22e-012,306.074,-8966.65,-3889.66,
1.24e-012,303.748,-8929.01,-3890.61,
1.26e-012,304.223,-8940.23,-3893.95,
1.28e-012,301.153,-8915.8,-3920.44,
1.3e-012,296.069,-8812.83,-3901.8,
1.32e-012,305.212,-8972.55,-3909.87,
1.34e-012,298.656,-8848.42,-3894.48,
1.36e-012,310.008,-9092.92,-3950.69,
1.38e-012,298.02,-8848.2,-3904.8,
1.4e-012,301.221,-8890.89,-3894.41,
1.42e-012,301.514,-8866.94,-3865.6,
1.44e-012,300.622,-8875.6,-3889.05,
1.46e-012,295.562,-8779.73,-3877.11,
1.48e-012,299.585,-8838.69,-3869.33,
1.5e-012,308.075,-9000.88,-3890.71,
1.52e-012,296.762,-8807.21,-3884.69,
1.54e-012,304.067,-8932.53,-3888.83,
1.56e-012,299.316,-8843.92,-3879.03,
1.58e-012,301.972,-8857.64,-3848.69,
1.6e-012,303.603,-8924.45,-3888.45,
1.62e-012,295.179,-8764.57,-3868.31,
1.64e-012,301.049,-8861.09,-3867.46,
1.66e-012,309.195,-8989.53,-3860.76,
1.68e-012,298.594,-8827.47,-3874.56,
1.7e-012,297.813,-8783.41,-3843.45,
1.72e-012,299.437,-8835.44,-3868.56,
1.74e-012,292.513,-8717.8,-3865.76,
1.76e-012,303.432,-8922.58,-3889.42,
1.78e-012,293.931,-8731.5,-3855.94,
1.8e-012,301.899,-8889.81,-3882.07,
1.82e-012,301.993,-8884.71,-3875.42,
1.84e-012,297.673,-8797.07,-3859.44,
1.86e-012,306.939,-8959.9,-3868.57,
1.88e-012,303.647,-8881.92,-3845.19,
1.9e-012,303.333,-8896.42,-3864.9,
1.92e-012,299.758,-8863.07,-3890.85,
1.94e-012,288.278,-8616.75,-3834.96,
1.96e-012,297.105,-8754.66,-3826.44,
1.98e-012,317.003,-9111.74,-3853.46,
2e-012,306.235,-8957.98,-3878.32,
2.02e-012,302.57,-8946.81,-3927.95,
2.04e-012,296.168,-8854.93,-3942.26,
2.06e-012,296.134,-8821.13,-3909.03,
2.08e-012,307.932,-9083.13,-3975.32,
2.1e-012,297.665,-8879.94,-3942.44,
2.12e-012,301.692,-8960.63,-3956.32,
2.14e-012,298.051,-8893.71,-3949.81,
2.16e-012,303.8,-8997.09,-3957.82,
2.18e-012,294.437,-8850.07,-3966.1,
2.2e-012,288.666,-8697.64,-3909.41,
2.22e-012,294.221,-8783.57,-3903.19,
2.24e-012,296.762,-8827.93,-3905.4,
2.26e-012,297.573,-8811.63,-3875.66,
2.28e-012,297.638,-8815.35,-3878.3,
2.3e-012,304.069,-8921.94,-3878.21,
2.32e-012,299.941,-8863.97,-3888.72,
2.34e-012,305.254,-8951.79,-3888.4,
2.36e-012,300.266,-8910.6,-3929.96,
2.38e-012,307.083,-9060.58,-3966.86,
2.4e-012,300.557,-8957.12,-3971.65,
2.42e-012,295.465,-8866.97,-3965.96,
2.44e-012,311.327,-9141.13,-3977.02,
2.46e-012,310.245,-9140.42,-3994.25,
2.48e-012,306.098,-9109.73,-4032.34,
2.5e-012,299.107,-9014.41,-4052.98,
2.52e-012,298.146,-8959.28,-4013.8,
2.54e-012,298.822,-9008.42,-4051.73,
2.56e-012,289.479,-8809.02,-4007.31,
2.58e-012,302.359,-9005.98,-3990.61,
2.6e-012,294.631,-8892.74,-4005.57,
2.62e-012,298.208,-8928.39,-3981.88,
2.64e-012,294.817,-8854.29,-3964.03,
2.66e-012,288.296,-8727.58,-3945.49,
2.68e-012,295.996,-8817.8,-3907.99,
2.7e-012,297.505,-8845.86,-3911.02,
2.72e-012,296.21,-8805.93,-3892.57,
2.74e-012,298.407,-8814.83,-3865.02,
2.76e-012,301.747,-8873.49,-3868.27,
2.78e-012,304.696,-8957.73,-3903.6,
2.8e-012,296.223,-8813.3,-3899.72,
2.82e-012,296.974,-8816.77,-3890.73,
2.84e-012,298.639,-8854.94,-3901.28,
2.86e-012,301.887,-8929.51,-3921.98,
2.88e-012,297.224,-8839.37,-3909.18,
2.9e-012,306.763,-9004.78,-3916.36,
2.92e-012,304.184,-8986.55,-3940.92,
2.94e-012,297.676,-8892.48,-3954.79,
2.96e-012,297.51,-8905.47,-3970.54,
2.98e-012,294.963,-8883.93,-3991.25,
3e-012,297.78,-8886.82,-3947.41,
3.02e-012,300.78,-8912.96,-3923.79,
3.04e-012,300.399,-8904.83,-3921.99,
3.06e-012,302.092,-8941.79,-3930.86,
3.08e-012,295.05,-8807.67,-3913.55,
3.1e-012,291.035,-8714.04,-3886.51,
3.12e-012,296.805,-8772.85,-3849.61,
3.14e-012,298.859,-8804.41,-3847.11,
3.16e-012,303.238,-8890.35,-3860.41,
3.18e-012,299.131,-8802.01,-3840.2,
3.2e-012,302.2,-8852.55,-3839.82,
3.22e-012,296.896,-8772.67,-3847.92,
3.24e-012,293.789,-8693.74,-3820.53,
3.26e-012,297.547,-8764.98,-3829.43,
3.28e-012,291.652,-8610.72,-3772.97,
3.3e-012,299.596,-8727.63,-3758.1,
3.32e-012,298.48,-8694.35,-3743.32,
