step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],target_crd[0],target_crd[1],target_crd[2]
780,39.3677,0,0,0,0,0,0.5,-0.000446226,0.0683317,0.00348429
790,41.6251,0,0,0,0,0,0.5,-0.000130004,0.0684482,0.00350718
800,41.1,0,0,0,0,0,0.5,-7.72421e-005,0.0686941,0.00350393
810,41.0206,0,0,0,0,0,0.5,-0.000217207,0.0689355,0.00330956
820,38.6417,0,0,0,0,0,0.5,-0.000243879,0.0690788,0.00302412
830,37.5818,0,0,0,0,0,0.5,-0.000358297,0.0691249,0.00277813
840,46.8285,0,0,0,0,0,0.5,-0.000521426,0.0688984,0.00271023
850,42.7048,0,0,0,0,0,0.5,-0.000518298,0.0685075,0.00257289
860,44.8291,0,0,0,0,0,0.5,-0.000680405,0.0683028,0.00232456
870,49.6265,0,0,0,0,0,0.5,-0.00111146,0.0685607,0.00215385
880,44.3817,0,0,0,0,0,0.5,-0.00114659,0.0689872,0.00233007
890,45.2421,0,0,0,0,0,0.5,-0.000790669,0.0690247,0.00276372
900,46.7583,0,0,0,0,0,0.5,-0.000626763,0.0685778,0.00329061
910,45.1781,0,0,0,0,0,0.5,-0.000588959,0.0681617,0.00384012
920,50.0993,0,0,0,0,0,0.5,-0.000438146,0.0680183,0.00420872
930,46.6324,0,0,0,0,0,0.5,-0.000284789,0.0680098,0.00414548
940,44.5646,0,0,0,0,0,0.5,-5.39638e-005,0.0681678,0.00385022
950,58.4543,0,0,0,0,0,0.5,0.000173862,0.0684292,0.00383358
960,52.2422,0,0,0,0,0,0.5,5.1487e-005,0.0684215,0.00416355
970,45.4354,0,0,0,0,0,0.5,-0.000161087,0.0680626,0.00445039
980,54.541,0,0,0,0,0,0.5,-0.000158497,0.0678519,0.00422043
990,53.3691,0,0,0,0,0,0.5,-0.000207981,0.067848,0.00358946
1000,45.6226,0,0,0,0,0,0.5,-0.00034438,0.0677468,0.00309305
1010,53.1585,0,0,0,0,0,0.5,-0.000262495,0.0675289,0.00322381
1020,60.0214,0,0,0,0,0,0.5,-0.000109009,0.0677022,0.00372792
1030,54.148,0,0,0,0,0,0.5,-1.69517e-005,0.0682214,0.00428546
1040,57.7649,0,0,0,0,0,0.5,5.36633e-005,0.0685006,0.00450484
1050,62.2712,0,0,0,0,0,0.5,2.27677e-006,0.0680254,0.00433636
1060,53.891,0,0,0,0,0,0.5,-0.000158785,0.0672727,0.00396674
1070,62.8362,0,0,0,0,0,0.5,-0.000117178,0.0667932,0.00399433
1080,54.6469,0,0,0,0,0,0.5,2.34739e-005,0.066825,0.0042909
1090,53.303,0,0,0,0,0,0.5,7.61196e-005,0.0671423,0.00452599
1100,68.8035,0,0,0,0,0,0.5,6.47168e-005,0.0673883,0.00437877
1110,55.2892,0,0,0,0,0,0.5,4.13827e-005,0.0670206,0.00412767
1120,63.2402,0,0,0,0,0,0.5,-2.69693e-006,0.0663464,0.00388092
1130,76.0386,0,0,0,0,0,0.5,0.00027412,0.0659841,0.00380986
1140,53.6816,0,0,0,0,0,0.5,0.000714196,0.0660176,0.00353671
