step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],target_crd[0],target_crd[1],target_crd[2]
430,29.8935,-5.95955e-005,-0.000465049,-0.00599304,-7.44619e-006,-4.79828e-005,0.499399,-0.000612924,0.0672515,0.00413194
440,24.7,-6.30481e-005,-0.000493349,-0.00636302,-7.75219e-006,-5.03739e-005,0.499368,-0.000720613,0.0674643,0.00417478
450,28.6058,-6.62514e-005,-0.000521207,-0.00673013,-8.07674e-006,-5.29195e-005,0.499335,-0.000738765,0.0676957,0.00430881
460,23.3429,-6.92999e-005,-0.000550376,-0.00711792,-8.41498e-006,-5.55922e-005,0.499301,-0.000641964,0.0676782,0.00437294
470,20.3749,-7.52639e-005,-0.000605918,-0.00785071,-8.77515e-006,-5.84717e-005,0.499264,-0.000611545,0.067532,0.00435167
480,25.6873,-7.88505e-005,-0.000644787,-0.00837161,-9.16195e-006,-6.16099e-005,0.499223,-0.000676248,0.0674518,0.00416618
490,26.4163,-8.0984e-005,-0.000672566,-0.00874929,-9.56195e-006,-6.4907e-005,0.49918,-0.000656504,0.0673882,0.00382007
500,27.6596,-8.2681e-005,-0.000696013,-0.00907121,-9.97105e-006,-6.83278e-005,0.499136,-0.000564242,0.0673949,0.00344027
510,27.7437,-8.7119e-005,-0.000743861,-0.00971208,-1.03953e-005,-7.19243e-005,0.499089,-0.000571788,0.0676373,0.00318424
520,30.0966,-9.06114e-005,-0.00078565,-0.0102748,-1.08402e-005,-7.57523e-005,0.499039,-0.000521352,0.067949,0.00301292
530,29.9417,-9.30289e-005,-0.000820175,-0.0107406,-1.12994e-005,-7.97671e-005,0.498986,-0.000455024,0.0679557,0.0028133
540,25.749,-9.73765e-005,-0.000873917,-0.0114556,-1.17737e-005,-8.39861e-005,0.498931,-0.000555874,0.0677067,0.00260356
550,28.5542,-0.000101114,-0.000925363,-0.0121382,-1.22707e-005,-8.84898e-005,0.498872,-0.000699103,0.0676126,0.0024438
560,25.9113,-0.000105568,-0.000986039,-0.0129438,-1.2786e-005,-9.32537e-005,0.498809,-0.000592364,0.0677725,0.00237984
570,27.8858,-0.000109189,-0.00104185,-0.0136917,-1.33231e-005,-9.83248e-005,0.498743,-0.000533778,0.0679505,0.0023242
580,30.5348,-0.000110944,-0.00108222,-0.0142455,-1.38744e-005,-0.000103643,0.498673,-0.000707498,0.068058,0.00235766
590,30.9085,-0.000111847,-0.00111589,-0.014718,-1.44316e-005,-0.00010914,0.4986,-0.000847285,0.0682746,0.00251579
600,31.62,-0.000111734,-0.00113894,-0.0150543,-1.499e-005,-0.000114772,0.498526,-0.000713284,0.0684642,0.00273331
610,32.2766,-0.000116267,-0.00120719,-0.0159917,-1.55594e-005,-0.000120633,0.498448,-0.000597489,0.0683865,0.00279277
620,30.8179,-0.000120656,-0.00127098,-0.0168771,-1.61501e-005,-0.000126813,0.498366,-0.00058372,0.0681408,0.0028172
630,32.055,-0.000125146,-0.00133373,-0.0177542,-1.67644e-005,-0.000133323,0.49828,-0.000507638,0.0680254,0.00288955
640,31.194,-0.000131913,-0.00141868,-0.0189296,-1.74055e-005,-0.000140188,0.498188,-0.00027808,0.0679625,0.00301542
650,30.9824,-0.00013637,-0.00147573,-0.019735,-1.80749e-005,-0.000147412,0.498092,-0.00014761,0.0679715,0.0029794
660,34.3136,-0.00014255,-0.00155041,-0.0207799,-1.87733e-005,-0.000154988,0.49799,-0.000153518,0.0681968,0.0028504
670,33.6325,-0.000146266,-0.00160029,-0.0214981,-1.94943e-005,-0.000162853,0.497885,-0.000276711,0.0685997,0.00272565
680,31.3363,-0.000149589,-0.00164864,-0.0222028,-2.02326e-005,-0.000170959,0.497776,-0.000415279,0.068723,0.00272949
690,37.291,-0.00015502,-0.00172377,-0.0232729,-2.09965e-005,-0.000179415,0.497662,-0.00055175,0.0684618,0.00260457
700,34.2255,-0.000155752,-0.00174935,-0.0236746,-2.17706e-005,-0.000188065,0.497545,-0.00065438,0.0681216,0.00236539
710,37.8159,-0.000161187,-0.00182804,-0.0247941,-2.25636e-005,-0.000197016,0.497424,-0.000762837,0.0680883,0.00209466
720,37.1031,-0.000167975,-0.00192392,-0.0261487,-2.33851e-005,-0.000206379,0.497296,-0.000695328,0.0682947,0.00198673
730,31.5353,-0.000174574,-0.00202258,-0.0275464,-2.42364e-005,-0.000216184,0.497163,-0.000541472,0.0686308,0.00190817
740,40.9244,-0.000180353,-0.00211783,-0.0289033,-2.51279e-005,-0.000226581,0.497021,-0.000530463,0.0688825,0.00200276
750,33.4685,-0.000186801,-0.00222515,-0.0304346,-2.604e-005,-0.000237369,0.496874,-0.000680117,0.0689598,0.00231557
760,38.3941,-0.000191072,-0.00230668,-0.0316215,-2.69854e-005,-0.000248708,0.496719,-0.000745936,0.0687711,0.00286993
770,44.55,-0.000192452,-0.00234783,-0.0322614,-2.79466e-005,-0.000260376,0.496558,-0.00070397,0.0684987,0.00327335
780,39.3116,-0.000194028,-0.00238508,-0.0328501,-2.89099e-005,-0.000272176,0.496396,-0.000441017,0.0683334,0.00347622
790,41.6331,-0.000195883,-0.0024215,-0.033427,-2.98853e-005,-0.000284202,0.49623,-0.000119917,0.0684518,0.0035005
800,41.1014,-0.000199579,-0.00247756,-0.0342732,-3.08721e-005,-0.000296428,0.496061,-6.97741e-005,0.0686973,0.00349737
810,41.0477,-0.000207353,-0.00257975,-0.0357552,-3.18874e-005,-0.000309047,0.495887,-0.000218287,0.0689418,0.00329806
820,38.6235,-0.000217836,-0.00271436,-0.0376844,-3.29468e-005,-0.000322238,0.495704,-0.000246559,0.0690875,0.00300896
830,37.5945,-0.000231764,-0.00289392,-0.040236,-3.40671e-005,-0.00033621,0.49551,-0.000357506,0.069134,0.00275929
840,46.8659,-0.000239032,-0.00299788,-0.0417305,-3.52479e-005,-0.000350983,0.495304,-0.000520524,0.0689005,0.00268959
850,42.6897,-0.000244001,-0.00308132,-0.0429338,-3.6452e-005,-0.000366135,0.495093,-0.000517673,0.0685086,0.0025497
860,44.8465,-0.000247069,-0.00314744,-0.0438954,-3.76802e-005,-0.000381711,0.494876,-0.000678604,0.0683024,0.00230436
870,49.6924,-0.000250336,-0.00322159,-0.0449772,-3.89263e-005,-0.000397663,0.494653,-0.00111441,0.0685608,0.00213781
880,44.4042,-0.000249873,-0.00325446,-0.0454938,-4.01737e-005,-0.00041381,0.494428,-0.00115531,0.0689903,0.00231805
890,45.2516,-0.000250559,-0.00330935,-0.0463313,-4.14255e-005,-0.000430226,0.494198,-0.00079804,0.0690331,0.00275207
900,46.8093,-0.000256131,-0.00343661,-0.048191,-4.2691e-005,-0.000447073,0.493962,-0.000629115,0.0685813,0.00328173
910,45.2416,-0.000259519,-0.00353838,-0.0496985,-4.39764e-005,-0.000464458,0.493718,-0.000590577,0.0681567,0.00383526
920,50.1358,-0.000263341,-0.00364539,-0.051284,-4.52856e-005,-0.000482448,0.493465,-0.000440016,0.068008,0.00420614
930,46.6215,-0.000272867,-0.00382733,-0.0539311,-4.66218e-005,-0.00050107,0.493203,-0.000282788,0.0680036,0.00413915
940,44.5336,-0.000277316,-0.00393593,-0.0555504,-4.79931e-005,-0.00052042,0.49293,-4.62379e-005,0.0681666,0.00384199
950,58.4744,-0.000280435,-0.00402448,-0.0568914,-4.93949e-005,-0.000540427,0.492647,0.000181498,0.068433,0.00382838
960,52.3169,-0.000279079,-0.00404614,-0.0572844,-5.07907e-005,-0.000560563,0.492363,5.38318e-005,0.0684248,0.0041646
970,45.4444,-0.000283012,-0.00414174,-0.0587189,-5.21907e-005,-0.000580957,0.492074,-0.000162792,0.0680613,0.00445665
980,54.6463,-0.00028707,-0.0042406,-0.0601984,-5.36208e-005,-0.000601984,0.491775,-0.000162461,0.0678441,0.0042294
990,53.5338,-0.000287931,-0.00429466,-0.0610372,-5.50575e-005,-0.000623309,0.491472,-0.000214512,0.067837,0.00359683
1000,45.672,-0.000290289,-0.00437607,-0.0622505,-5.64958e-005,-0.000644874,0.491166,-0.00034963,0.0677332,0.0030944
1010,53.2174,-0.000300867,-0.00459314,-0.0653797,-5.7977e-005,-0.00066734,0.490846,-0.000264223,0.0675119,0.00322116
1020,60.0498,-0.000304684,-0.00472636,-0.0673057,-5.94933e-005,-0.000690669,0.490514,-0.000112653,0.0676853,0.00372788
1030,54.1728,-0.000300596,-0.00474956,-0.0676503,-6.10028e-005,-0.000714296,0.490177,-2.33644e-005,0.0682104,0.00429447
1040,57.8274,-0.000301028,-0.00484827,-0.0690577,-6.25092e-005,-0.000738328,0.489835,4.96821e-005,0.0684938,0.00451856
1050,62.3,-0.000302891,-0.00497273,-0.0708173,-6.40203e-005,-0.000762899,0.489485,-8.59965e-007,0.0680145,0.00434818
1060,53.9206,-0.000295265,-0.00494843,-0.0704306,-6.55113e-005,-0.000787626,0.489133,-0.000165537,0.0672584,0.0039743
1070,62.8558,-0.000294877,-0.00505746,-0.0719135,-6.69929e-005,-0.000812739,0.488776,-0.000122453,0.0667769,0.00400418
1080,54.7308,-0.000295635,-0.00520234,-0.0738868,-6.84634e-005,-0.000838284,0.488413,2.36051e-005,0.0668068,0.00430288
1090,53.3397,-0.000289707,-0.00523652,-0.0742758,-6.99246e-005,-0.00086434,0.488043,7.75727e-005,0.0671255,0.00453823
1100,68.8045,-0.000287537,-0.00534161,-0.0756653,-7.13751e-005,-0.000890919,0.487666,6.42069e-005,0.0673826,0.00438865
1110,55.2246,-0.000287556,-0.00549868,-0.0777814,-7.2804e-005,-0.000917847,0.487285,4.15849e-005,0.0670181,0.00413807
1120,63.2259,-0.000282149,-0.00555797,-0.0784971,-7.42305e-005,-0.000945531,0.486894,-4.02748e-006,0.0663363,0.00388931
1130,76.0374,-0.000276576,-0.00561995,-0.0792327,-7.56335e-005,-0.000973596,0.486498,0.000270125,0.0659671,0.00381841
1140,53.7174,-0.000271814,-0.00570917,-0.0803413,-7.69941e-005,-0.0010017,0.486102,0.00071229,0.066007,0.00354683
1150,64.8832,-0.000267471,-0.0058103,-0.081606,-7.83465e-005,-0.00103059,0.485696,0.000839968,0.0659435,0.00315635
1160,68.6024,-0.000263757,-0.00593401,-0.0831637,-7.96763e-005,-0.00105998,0.485283,0.000690785,0.0658052,0.00289941
1170,64.8871,-0.000254064,-0.00595074,-0.0831969,-8.09694e-005,-0.00108964,0.484868,0.000863416,0.0657742,0.00315114
1180,70.6866,-0.000241215,-0.0059282,-0.0826634,-8.22108e-005,-0.0011194,0.484453,0.00107623,0.0659979,0.00362067
1190,63.1733,-0.000232317,-0.00603823,-0.0839625,-8.33928e-005,-0.00114926,0.484037,0.000826778,0.0662361,0.00421106
1200,67.1801,-0.000221207,-0.00611543,-0.0847955,-8.45265e-005,-0.00117963,0.483615,0.000251961,0.0661356,0.00457851
