frame(num)	angle (degree)
455	5,496936
456	4,236742
457	7,402792
458	10,032935
459	2,765554
460	12,067758
461	5,789533
462	5,424047
463	4,707318
464	8,246121
465	6,541009
466	7,658706
467	7,423464
468	7,843376
469	3,649373
470	8,522331
471	7,77703
472	2,515517
473	12,992484
474	2,51178
475	7,325149
476	1,748204
477	13,706637
478	3,209918
479	3,660462
480	9,362923
481	3,291047
482	10,131334
483	0,34605
484	7,869908
485	3,109861
486	3,210284
487	11,160168
488	8,47892
489	8,150157
490	5,610701
491	11,323921
492	3,72126
493	5,46368
494	13,49974
495	3,944765
496	6,724996
497	0,27052
498	9,434298
499	8,095994
500	7,120342
501	4,148457
502	1,670232
503	5,243889
504	3,29509
505	7,152203
506	5,458118
507	8,620721
508	5,962989
509	2,218056
510	5,801134
511	7,905296
512	8,295999
513	15,182956
514	8,104549
515	5,126405
516	1,186302
517	3,440199
518	10,630565
519	2,406803
520	8,632515
521	7,175179
522	4,157605
523	6,44065
524	7,540514
525	15,086595
526	2,86676
527	3,952303
528	6,001426
529	4,364889
530	7,464979
531	7,226183
532	8,498031
533	5,294797
534	1,302361
535	5,972121
536	5,793932
537	8,584259
538	3,113887
539	11,400557
540	10,090522
541	5,256989
542	8,661045
543	4,880099
544	5,771188
545	6,806568
546	2,922082
547	7,748789
548	11,699522
549	8,444526
550	3,018372
551	4,133228
552	6,507677
553	2,760453
554	9,441982
555	6,511322
556	6,014803
557	6,662737
558	6,651897
559	3,535572
560	7,18477
561	7,074543
562	8,884183
563	7,309704
564	3,977886
565	10,676009
566	2,159123
567	8,592628
568	6,748286
569	6,65782
570	10,208797
571	1,953444
572	7,353353
573	2,536979
574	8,630785
575	4,123788
576	2,129276
577	10,296271
578	7,372912
579	4,285966
580	5,030067
581	10,921695
582	4,329929
583	3,109232
584	4,797548
585	4,712891
586	8,122601
587	4,768017
588	4,439503
589	3,698776
590	5,750707
591	8,669568
592	8,288018
593	5,606543
594	7,025739
595	2,33967
596	11,040275
597	2,330198
598	11,605528
599	7,733907
600	2,321783
601	5,878633
602	7,752486
603	13,145474
604	3,525701
605	9,016351
606	3,365285
607	7,228191
608	1,791549
609	6,407717
610	10,012999
611	4,709148
612	5,31935
613	3,993559
614	7,657245
615	7,482098
616	5,087388
617	6,809909
618	2,886969
619	7,024314
620	5,540967
621	6,48392
622	3,375741
623	10,120728
624	6,016986
625	7,821925
626	6,815379
627	5,862205
628	11,730117
629	4,89941
630	4,814383
631	3,108413
632	12,784566
