"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"
-52.200000	4663.809337	1607.524394	3056.284944	1481.135328	683.060379	-556.671313	0.000000	3143.064659	-86.779716	0.000000	0.000000
-52.000000	4660.836467	1605.709911	3055.126556	1481.135319	681.266395	-556.691803	0.000000	3141.890874	-86.764318	0.000000	0.000000
-51.800000	4657.886255	1603.899058	3053.987197	1481.135322	679.476957	-556.713221	0.000000	3140.736220	-86.749022	0.000000	0.000000
-51.600000	4654.958350	1602.091772	3052.866578	1481.135325	677.692012	-556.735564	0.000000	3139.600407	-86.733829	0.000000	0.000000
-51.400000	4652.052515	1600.288061	3051.764454	1481.135323	675.911566	-556.758827	0.000000	3138.483192	-86.718738	0.000000	0.000000
-51.200000	4649.168818	1598.488104	3050.680714	1481.135327	674.135779	-556.783002	0.000000	3137.384464	-86.703750	0.000000	0.000000
-51.000000	4646.306708	1596.691724	3049.614985	1481.135322	672.364488	-556.808086	0.000000	3136.303851	-86.688866	0.000000	0.000000
-50.800000	4643.466081	1594.898989	3048.567092	1481.135319	670.597743	-556.834074	0.000000	3135.241176	-86.674084	0.000000	0.000000
-50.600000	4640.646861	1593.110007	3047.536854	1481.135319	668.835645	-556.860957	0.000000	3134.196260	-86.659406	0.000000	0.000000
-50.400000	4637.848721	1591.324713	3046.524008	1481.135330	667.078115	-556.888732	0.000000	3133.168838	-86.644830	0.000000	0.000000
-50.200000	4635.071506	1589.543186	3045.528320	1481.135321	665.325256	-556.917391	0.000000	3132.158680	-86.630360	0.000000	0.000000
-50.000000	4632.314887	1587.765341	3044.549546	1481.135323	663.576947	-556.946929	0.000000	3131.165538	-86.615992	0.000000	0.000000
-49.800000	4629.578789	1585.991291	3043.587498	1481.135326	661.833304	-556.977340	0.000000	3130.189225	-86.601727	0.000000	0.000000
-49.600000	4626.863026	1584.221071	3042.641955	1481.135321	660.094365	-557.008615	0.000000	3129.229522	-86.587567	0.000000	0.000000
-49.400000	4624.167241	1582.454592	3041.712649	1481.135332	658.360011	-557.040751	0.000000	3128.286159	-86.573510	0.000000	0.000000
-49.200000	4621.491399	1580.691994	3040.799405	1481.135333	656.630399	-557.073737	0.000000	3127.358962	-86.559557	0.000000	0.000000
-49.000000	4618.835124	1578.933189	3039.901935	1481.135318	654.905442	-557.107570	0.000000	3126.447644	-86.545709	0.000000	0.000000
