step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
10,0.321585,0.499505,-0.499505,-1647.03,-6.0274e-008,3.69449e-008,0.0901788,0.0444611,-1.663e-007,-0.506932,-0.000963542,0.000591609,2.85909,0.0444613,-1.49695e-007,-0.00742718,0.622428,0.639138,1
20,0.322869,0.499054,-0.499054,-1647.03,-1.17746e-007,7.23717e-008,0.0903497,0.0444611,-1.66026e-007,-0.506481,-0.000961696,0.000596027,2.86994,0.0444622,-1.17058e-007,-0.00742718,0.622428,0.639138,1
30,0.324205,0.4986,-0.4986,-1647.03,-1.74896e-007,1.08077e-007,0.0905212,0.0444611,-1.65575e-007,-0.506029,-0.000953274,0.000600751,2.88086,0.044463,-6.18715e-008,-0.00742853,0.622428,0.639138,1
40,0.325536,0.498147,-0.498147,-1647.03,-2.31454e-007,1.4404e-007,0.0906935,0.0444611,-1.64945e-007,-0.505576,-0.000941968,0.000604461,2.89181,0.0444633,6.62872e-008,-0.00742853,0.622428,0.639138,1
50,0.326889,0.497697,-0.497697,-1647.04,-2.87182e-007,1.80164e-007,0.0908663,0.0444611,-1.64135e-007,-0.505122,-0.000924805,0.000605969,2.90279,0.0444626,2.7403e-007,-0.00742518,0.622428,0.639138,1
60,0.328153,0.497246,-0.497246,-1647.04,-3.41664e-007,2.16295e-007,0.0910399,0.0444611,-1.63144e-007,-0.504667,-0.00090036,0.000604682,2.91381,0.0444622,4.78005e-007,-0.00742122,0.622428,0.639138,1
70,0.329444,0.496791,-0.496791,-1647.04,-3.94548e-007,2.52267e-007,0.091214,0.0444611,-1.61972e-007,-0.504211,-0.000872242,0.000600701,2.9249,0.0444619,5.92834e-007,-0.00742044,0.622428,0.639138,1
80,0.330725,0.496333,-0.496333,-1647.04,-4.45766e-007,2.87935e-007,0.0913889,0.0444611,-1.60621e-007,-0.503755,-0.000844676,0.000594553,2.93608,0.0444615,6.08366e-007,-0.00742193,0.622428,0.639138,1
90,0.332001,0.495875,-0.495875,-1647.04,-4.9538e-007,3.23176e-007,0.0915644,0.0444611,-1.59093e-007,-0.503297,-0.000819035,0.000586376,2.94732,0.0444607,5.55129e-007,-0.00742211,0.622428,0.639138,1
100,0.333234,0.495419,-0.495419,-1647.04,-5.43564e-007,3.57858e-007,0.0917406,0.0444611,-1.57391e-007,-0.502839,-0.000796017,0.000575724,2.9586,0.0444603,4.73654e-007,-0.00742053,0.622428,0.639138,1
110,0.334526,0.49496,-0.49496,-1647.04,-5.90265e-007,3.91828e-007,0.0919175,0.0444611,-1.55516e-007,-0.50238,-0.000767897,0.000562562,2.96993,0.0444597,4.29599e-007,-0.0074198,0.622428,0.639138,1
120,0.335794,0.494499,-0.494499,-1647.04,-6.3498e-007,4.24952e-007,0.092095,0.0444611,-1.53474e-007,-0.50192,-0.000729202,0.000547524,2.98134,0.044459,4.7569e-007,-0.00742096,0.622428,0.639138,1
130,0.337036,0.494036,-0.494036,-1647.05,-6.77154e-007,4.5714e-007,0.0922732,0.0444611,-1.51268e-007,-0.501459,-0.00068407,0.000531238,2.99283,0.0444583,5.74006e-007,-0.00742271,0.622428,0.639138,1
140,0.338352,0.493573,-0.493573,-1647.05,-7.16537e-007,4.88327e-007,0.0924522,0.0444611,-1.48904e-007,-0.500997,-0.000634792,0.000514023,3.00444,0.0444585,6.30809e-007,-0.00742462,0.622428,0.639138,1
150,0.339659,0.493107,-0.493107,-1647.05,-7.52712e-007,5.18457e-007,0.0926318,0.0444611,-1.46387e-007,-0.500535,-0.000576236,0.00049565,3.01614,0.0444595,6.04946e-007,-0.00742784,0.622428,0.639138,1
