step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
270,1.84862,0.470832,-0.470832,-1646.99,-1.87867e-006,1.20028e-006,0.215177,0.0444913,1.19715e-007,-0.478769,0.000734286,-2.89617e-005,3.6169,0.04447,1.14102e-006,-0.0079374,0.622681,0.639883,1
280,1.85402,0.469745,-0.469745,-1646.99,-1.82715e-006,1.1964e-006,0.215394,0.0444913,1.25708e-007,-0.477693,0.000995298,-0.000101156,3.6494,0.0444705,8.66391e-007,-0.00794792,0.622681,0.639883,1
290,1.85273,0.468664,-0.468664,-1646.99,-1.76013e-006,1.18818e-006,0.215613,0.0444913,1.31672e-007,-0.476615,0.00124621,-0.000174691,3.68202,0.0444699,5.83784e-007,-0.00795125,0.622681,0.639883,1
300,1.85499,0.467583,-0.467583,-1646.99,-1.67902e-006,1.17551e-006,0.215833,0.0444912,1.37583e-007,-0.475537,0.00146845,-0.000250353,3.71497,0.0444676,4.67189e-007,-0.00795406,0.622681,0.639883,1
310,1.85936,0.466499,-0.466499,-1647,-1.5853e-006,1.15825e-006,0.216056,0.0444912,1.43419e-007,-0.474457,0.00167142,-0.000328934,3.74841,0.0444683,5.34412e-007,-0.00795799,0.622681,0.639883,1
320,1.86347,0.46542,-0.46542,-1647,-1.47957e-006,1.13619e-006,0.216281,0.0444912,1.49158e-007,-0.473376,0.00187258,-0.000410685,3.78216,0.0444695,5.44817e-007,-0.00795624,0.622681,0.639883,1
330,1.8674,0.464349,-0.464349,-1647.01,-1.36195e-006,1.10922e-006,0.216507,0.0444912,1.54773e-007,-0.472294,0.00206971,-0.000493357,3.81603,0.0444721,4.52261e-007,-0.00794572,0.622681,0.639883,1
340,1.8766,0.463276,-0.463276,-1647.02,-1.2326e-006,1.07733e-006,0.216736,0.0444912,1.60242e-007,-0.471211,0.00226322,-0.000575858,3.85013,0.0444743,4.6465e-007,-0.00793481,0.622681,0.639883,1
350,1.88144,0.462203,-0.462203,-1647.02,-1.09274e-006,1.04048e-006,0.216967,0.0444912,1.65538e-007,-0.470127,0.00241616,-0.000659285,3.88444,0.044477,6.72403e-007,-0.00792374,0.622681,0.639883,1
360,1.88567,0.461136,-0.461136,-1647.03,-9.45114e-007,9.98663e-007,0.217199,0.0444912,1.70638e-007,-0.469042,0.00252803,-0.000742223,3.91913,0.0444745,8.76597e-007,-0.00790589,0.622681,0.639883,1
