step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
10,1.92186,0.498789,0.498789,-1647.17,1.11204e-007,-7.80482e-008,-0.220172,0.0444248,2.49326e-006,0.491632,0.0017859,-0.00124738,-2.75522,0.0444266,2.49091e-006,-0.00715685,0.622017,0.638904,1
20,1.92672,0.497688,0.497688,-1647.18,2.18514e-007,-1.52329e-007,-0.220337,0.0444248,2.49268e-006,0.490531,0.00181173,-0.00124103,-2.78072,0.0444293,2.41911e-006,-0.00715673,0.622013,0.638921,1
30,1.93014,0.496589,0.496589,-1647.19,3.27422e-007,-2.25962e-007,-0.220504,0.0444248,2.49173e-006,0.489429,0.00183909,-0.00122528,-2.80659,0.0444335,2.1718e-006,-0.0071606,0.622009,0.638946,1
40,1.93507,0.495496,0.495496,-1647.21,4.3791e-007,-2.9823e-007,-0.220672,0.0444248,2.49042e-006,0.488326,0.0018621,-0.00119383,-2.833,0.0444345,2.00556e-006,-0.00717056,0.622008,0.638955,1
50,1.93898,0.494408,0.494408,-1647.22,5.49102e-007,-3.67981e-007,-0.220842,0.0444249,2.48876e-006,0.487222,0.00185919,-0.00114078,-2.85985,0.044434,1.94517e-006,-0.00718578,0.622007,0.638969,1
60,1.943,0.493322,0.493322,-1647.23,6.58927e-007,-4.34048e-007,-0.221013,0.0444249,2.48675e-006,0.486117,0.00181468,-0.00107238,-2.88669,0.044432,1.87297e-006,-0.00720461,0.622006,0.638983,1
70,1.94894,0.492238,0.492238,-1647.25,7.65014e-007,-4.95933e-007,-0.221186,0.0444249,2.48442e-006,0.485012,0.00174004,-0.00100291,-2.91335,0.0444317,1.76652e-006,-0.00722611,0.622006,0.638991,1
80,1.95296,0.491152,0.491152,-1647.26,8.66879e-007,-5.53903e-007,-0.221361,0.0444249,2.4818e-006,0.483906,0.00167954,-0.000941863,-2.94012,0.0444308,1.87223e-006,-0.00724616,0.622005,0.639003,1
90,1.95587,0.490059,0.490059,-1647.27,9.66102e-007,-6.085e-007,-0.221537,0.0444249,2.47889e-006,0.482798,0.00165081,-0.000889263,-2.96727,0.0444301,2.00513e-006,-0.00726068,0.622004,0.639019,1
100,1.95741,0.488963,0.488963,-1647.28,1.06394e-006,-6.6008e-007,-0.221715,0.0444249,2.47572e-006,0.48169,0.00162486,-0.000839644,-2.99472,0.0444278,1.91225e-006,-0.00727321,0.622003,0.639036,1
110,1.9606,0.487873,0.487873,-1647.29,1.15922e-006,-7.08643e-007,-0.221894,0.0444249,2.47229e-006,0.480581,0.00156176,-0.000787575,-3.02243,0.0444249,1.74824e-006,-0.0072917,0.622001,0.639056,1
120,1.96556,0.486785,0.486785,-1647.31,1.24956e-006,-7.54018e-007,-0.222076,0.0444249,2.46864e-006,0.479471,0.00146173,-0.000733648,-3.0505,0.0444212,1.86628e-006,-0.00731392,0.621999,0.639073,1
130,1.96956,0.485687,0.485687,-1647.32,1.3334e-006,-7.96339e-007,-0.222258,0.0444249,2.46476e-006,0.47836,0.00134901,-0.000687156,-3.07888,0.0444209,1.99454e-006,-0.00732684,0.621997,0.639087,1
140,1.97476,0.484573,0.484573,-1647.33,1.41069e-006,-8.36361e-007,-0.222443,0.0444249,2.46068e-006,0.477249,0.00124311,-0.000657328,-3.10735,0.0444248,1.75791e-006,-0.00732461,0.621995,0.639105,1
150,1.97805,0.483455,0.483455,-1647.35,1.48189e-006,-8.75048e-007,-0.222629,0.0444249,2.4564e-006,0.476136,0.00114442,-0.000640565,-3.13591,0.0444302,1.34923e-006,-0.00731894,0.621992,0.639122,1
160,1.982,0.482345,0.482345,-1647.36,1.54728e-006,-9.12777e-007,-0.222817,0.0444249,2.45193e-006,0.475022,0.0010468,-0.000622834,-3.16463,0.0444323,1.27188e-006,-0.00732264,0.62199,0.639133,1
170,1.98681,0.48124,0.48124,-1647.37,1.60665e-006,-9.4917e-007,-0.223007,0.0444249,2.44727e-006,0.473908,0.000941835,-0.000595429,-3.19351,0.0444312,1.56139e-006,-0.00733231,0.621988,0.639143,1
180,1.99232,0.48013,0.48013,-1647.38,1.65942e-006,-9.83692e-007,-0.223198,0.0444249,2.44244e-006,0.472792,0.000824465,-0.000561198,-3.22264,0.044429,1.91415e-006,-0.00733785,0.621986,0.639157,1
190,1.99381,0.479016,0.479016,-1647.39,1.70483e-006,-1.01612e-006,-0.223391,0.0444249,2.43744e-006,0.471676,0.000697079,-0.000525819,-3.25219,0.0444269,2.12247e-006,-0.00733977,0.621982,0.639174,1
200,1.99682,0.477902,0.477902,-1647.4,1.74251e-006,-1.04644e-006,-0.223586,0.0444249,2.43228e-006,0.470558,0.000564262,-0.000490253,-3.28221,0.044426,2.06827e-006,-0.00734333,0.621979,0.639191,1
210,1.99936,0.476785,0.476785,-1647.42,1.77188e-006,-1.07456e-006,-0.223783,0.044425,2.42698e-006,0.46944,0.000416823,-0.000451699,-3.31246,0.0444259,1.70128e-006,-0.00734544,0.621975,0.639209,1
220,2.00126,0.475663,0.475663,-1647.43,1.79163e-006,-1.1002e-006,-0.223982,0.044425,2.42154e-006,0.468321,0.000239582,-0.000406101,-3.34286,0.0444255,1.26826e-006,-0.00734238,0.621971,0.639227,1
230,2.00367,0.47454,0.47454,-1647.44,1.80015e-006,-1.12282e-006,-0.224182,0.044425,2.41598e-006,0.4672,4.6916e-005,-0.000350457,-3.37373,0.0444221,1.22882e-006,-0.00734002,0.621967,0.639246,1
240,2.0087,0.473423,0.473423,-1647.45,1.7977e-006,-1.14183e-006,-0.224384,0.044425,2.41032e-006,0.466079,-0.000122718,-0.000285451,-3.40535,0.0444189,1.5008e-006,-0.00734449,0.621963,0.639265,1
250,2.01241,0.472307,0.472307,-1647.47,1.78633e-006,-1.15674e-006,-0.224588,0.044425,2.40457e-006,0.464956,-0.000252878,-0.000213307,-3.43744,0.0444181,1.54967e-006,-0.00735116,0.621959,0.63928,1
260,2.01608,0.471187,0.471187,-1647.48,1.76774e-006,-1.16711e-006,-0.224794,0.044425,2.39876e-006,0.463833,-0.000372188,-0.000132121,-3.46956,0.0444202,1.11333e-006,-0.00735369,0.621956,0.639294,1
270,2.02061,0.470063,0.470063,-1647.49,1.74148e-006,-1.17225e-006,-0.225002,0.044425,2.39291e-006,0.462708,-0.000512524,-3.84697e-005,-3.5017,0.0444202,5.826e-007,-0.00735489,0.621954,0.639304,1
280,2.02377,0.468944,0.468944,-1647.5,1.70599e-006,-1.17155e-006,-0.225212,0.044425,2.38704e-006,0.461583,-0.000681144,6.21526e-005,-3.53408,0.0444187,2.7682e-007,-0.00736124,0.621953,0.639307,1
290,2.02704,0.467827,0.467827,-1647.51,1.65988e-006,-1.16499e-006,-0.225424,0.044425,2.3812e-006,0.460456,-0.000866407,0.000155608,-3.56686,0.0444166,3.75791e-007,-0.00737089,0.621952,0.639309,1
300,2.02985,0.466707,0.466707,-1647.51,1.60236e-006,-1.15329e-006,-0.225638,0.044425,2.3754e-006,0.459329,-0.00106336,0.000233924,-3.60018,0.0444176,9.20327e-007,-0.00737814,0.621949,0.639319,1
310,2.0326,0.465584,0.465584,-1647.52,1.53289e-006,-1.13728e-006,-0.225854,0.044425,2.36967e-006,0.4582,-0.001265,0.000301859,-3.63408,0.0444192,1.79097e-006,-0.0073842,0.621945,0.639329,1
320,2.03528,0.464464,0.464464,-1647.52,1.45166e-006,-1.11737e-006,-0.226072,0.044425,2.36404e-006,0.45707,-0.00145317,0.000364476,-3.66835,0.0444218,2.43228e-006,-0.00739376,0.621943,0.639336,1
330,2.03657,0.463341,0.463341,-1647.53,1.36046e-006,-1.09396e-006,-0.226292,0.0444251,2.35851e-006,0.455939,-0.00159296,0.000418077,-3.70277,0.0444221,2.63213e-006,-0.00740187,0.621941,0.639343,1
340,2.04045,0.462207,0.462207,-1647.54,1.26294e-006,-1.06776e-006,-0.226514,0.0444251,2.3531e-006,0.454807,-0.00166516,0.000457869,-3.73754,0.0444209,2.65393e-006,-0.00739991,0.621939,0.639348,1
350,2.0435,0.461065,0.461065,-1647.54,1.16269e-006,-1.03956e-006,-0.226738,0.0444251,2.34783e-006,0.453674,-0.001693,0.000486141,-3.77286,0.0444164,2.96932e-006,-0.00739054,0.621939,0.639349,1
360,2.04626,0.459926,0.459926,-1647.54,1.06038e-006,-1.00986e-006,-0.226964,0.0444251,2.34271e-006,0.45254,-0.00174684,0.000509012,-3.80858,0.0444133,3.59422e-006,-0.00738575,0.621936,0.639355,1
370,2.05132,0.458794,0.458794,-1647.55,9.52582e-007,-9.78807e-007,-0.227192,0.0444251,2.33774e-006,0.451404,-0.00188104,0.000532357,-3.84449,0.0444113,4.44647e-006,-0.00738951,0.621934,0.639358,1
380,2.05546,0.457662,0.457662,-1647.56,8.3455e-007,-9.46243e-007,-0.227423,0.0444251,2.33292e-006,0.450268,-0.00208072,0.00055996,-3.88065,0.0444123,5.22232e-006,-0.00739443,0.621933,0.639359,1
390,2.05967,0.456523,0.456523,-1647.56,7.04497e-007,-9.11927e-007,-0.227655,0.0444251,2.32828e-006,0.44913,-0.00227108,0.000590334,-3.91718,0.0444136,5.5399e-006,-0.00739261,0.62193,0.639363,1
400,2.06572,0.455377,0.455377,-1647.57,5.648e-007,-8.75835e-007,-0.22789,0.0444251,2.32381e-006,0.447991,-0.00240039,0.000619254,-3.95395,0.044417,5.04554e-006,-0.00738559,0.621929,0.639364,1
410,2.06964,0.454231,0.454231,-1647.57,4.19117e-007,-8.37946e-007,-0.228127,0.0444251,2.31952e-006,0.446851,-0.00247794,0.000652957,-3.99067,0.044418,4.15239e-006,-0.00738014,0.621911,0.639381,1
420,2.07456,0.45309,0.45309,-1647.58,2.69234e-007,-7.97437e-007,-0.228366,0.0444251,2.31543e-006,0.44571,-0.0025479,0.000710382,-4.02746,0.044417,3.48049e-006,-0.00737962,0.621908,0.639384,1
430,2.07866,0.451949,0.451949,-1647.59,1.14711e-007,-7.52465e-007,-0.228608,0.0444251,2.31155e-006,0.444568,-0.00263515,0.000802275,-4.06476,0.044414,3.23338e-006,-0.00738173,0.621885,0.639404,1
440,2.08425,0.450808,0.450808,-1647.59,-4.55451e-008,-7.01286e-007,-0.228851,0.0444251,2.30792e-006,0.443424,-0.00273784,0.000914661,-4.10278,0.0444138,2.9685e-006,-0.00738416,0.621882,0.639407,1
450,2.08576,0.449664,0.449664,-1647.6,-2.11955e-007,-6.43322e-007,-0.229097,0.0444251,2.30455e-006,0.442279,-0.00283844,0.0010277,-4.14132,0.0444142,2.42159e-006,-0.00738476,0.621865,0.639421,1
460,2.08889,0.448514,0.448514,-1647.64,-3.82424e-007,-1.39001e-006,-0.229349,0.0444251,2.30028e-006,0.441133,-0.00283824,0.00105645,-4.35249,0.0444142,1.45594e-006,-0.00738108,0.621855,0.639429,1
470,2.09201,0.44736,0.44736,-1647.64,-5.53454e-007,-1.32258e-006,-0.229609,0.0444251,2.29349e-006,0.439986,-0.00288933,0.00120791,-4.39205,0.0444104,1.38264e-007,-0.00737459,0.621844,0.639438,1
480,2.09646,0.446209,0.446209,-1647.65,-7.26706e-007,-1.24537e-006,-0.229873,0.0444251,2.28707e-006,0.438837,-0.00291497,0.00138379,-4.4317,0.0444051,-1.2241e-006,-0.00737216,0.621821,0.639459,1
490,2.10164,0.445063,0.445063,-1647.66,-9.00995e-007,-1.15713e-006,-0.230138,0.0444251,2.28106e-006,0.437687,-0.00292488,0.00157515,-4.47186,0.0443997,-2.06769e-006,-0.00737578,0.621814,0.639465,1
500,2.1063,0.443913,0.443913,-1647.66,-1.07543e-006,-1.05749e-006,-0.230406,0.0444251,2.27552e-006,0.436535,-0.00291905,0.0017626,-4.51302,0.0443984,-2.38511e-006,-0.00737787,0.621801,0.639477,1
510,2.11156,0.442754,0.442754,-1647.67,-1.249e-006,-9.47162e-007,-0.230677,0.0444251,2.2705e-006,0.435383,-0.00289777,0.00193216,-4.55514,0.0444007,-2.62641e-006,-0.00737127,0.621782,0.639493,1
520,2.11611,0.441589,0.441589,-1647.68,-1.42135e-006,-8.27271e-007,-0.23095,0.0444251,2.26606e-006,0.434229,-0.00288233,0.00208427,-4.59773,0.0444049,-3.06339e-006,-0.00736054,0.621778,0.639496,1
530,2.12147,0.440428,0.440428,-1647.68,-1.59325e-006,-6.98705e-007,-0.231225,0.0444251,2.26224e-006,0.433073,-0.00287988,0.00222269,-4.64032,0.0444058,-3.48688e-006,-0.00735505,0.621772,0.639503,1
540,2.12729,0.439269,0.439269,-1647.69,-1.7645e-006,-5.62489e-007,-0.231504,0.044425,2.25909e-006,0.431916,-0.00285069,0.00233806,-4.683,0.0444031,-3.82016e-006,-0.00735267,0.621772,0.639503,1
550,2.13289,0.438099,0.438099,-1647.7,-1.9317e-006,-4.20499e-007,-0.231784,0.044425,2.25663e-006,0.430758,-0.00273748,0.00241396,-4.72625,0.0444001,-4.11156e-006,-0.00734111,0.62177,0.639504,1
560,2.13908,0.436918,0.436918,-1647.7,-2.08947e-006,-2.75322e-007,-0.232068,0.044425,2.25489e-006,0.429599,-0.00254155,0.00244563,-4.77024,0.0444003,-4.095e-006,-0.00731932,0.621769,0.639505,1
