step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
10,0.893077,0.499176,0.499176,-1647.32,9.63219e-008,-5.4652e-008,-0.150171,0.0444589,6.48058e-007,0.491606,0.0015315,-0.000874349,-2.73694,0.0444601,6.84314e-007,-0.00756939,0.622414,0.639948,1
20,0.895263,0.498426,0.498426,-1647.32,1.86754e-007,-1.06882e-007,-0.150335,0.0444589,6.47654e-007,0.490855,0.00149575,-0.000876143,-2.7541,0.044463,7.67373e-007,-0.00757104,0.622414,0.639948,1
30,0.897477,0.497674,0.497674,-1647.33,2.74506e-007,-1.59202e-007,-0.1505,0.0444589,6.46989e-007,0.490103,0.00144498,-0.000877852,-2.77139,0.0444648,8.25633e-007,-0.00757141,0.622414,0.639948,1
40,0.899715,0.496923,0.496923,-1647.33,3.59391e-007,-2.11678e-007,-0.150665,0.0444589,6.46061e-007,0.48935,0.00140469,-0.000881401,-2.78891,0.0444643,9.79982e-007,-0.00757256,0.622414,0.639948,1
50,0.902537,0.496173,0.496173,-1647.33,4.42853e-007,-2.64365e-007,-0.150832,0.0444589,6.44871e-007,0.488596,0.00139941,-0.000884042,-2.80663,0.0444606,1.24876e-006,-0.0075769,0.622414,0.639948,1
60,0.904503,0.495426,0.495426,-1647.33,5.27025e-007,-3.17048e-007,-0.151,0.0444589,6.43418e-007,0.487842,0.00142525,-0.000880639,-2.82438,0.0444567,1.61467e-006,-0.00758466,0.622414,0.639948,1
70,0.907436,0.494679,0.494679,-1647.34,6.12943e-007,-3.69313e-007,-0.151169,0.0444589,6.41702e-007,0.487086,0.00145158,-0.000870469,-2.84207,0.0444551,1.98116e-006,-0.0075928,0.622414,0.639948,1
80,0.910029,0.493929,0.493929,-1647.34,6.99587e-007,-4.20874e-007,-0.15134,0.044459,6.39726e-007,0.48633,0.001446,-0.000857718,-2.85987,0.0444576,2.32083e-006,-0.00759871,0.622414,0.639948,1
90,0.912724,0.493175,0.493175,-1647.34,7.84679e-007,-4.71642e-007,-0.151511,0.044459,6.37494e-007,0.485573,0.00140018,-0.000843534,-2.87793,0.0444614,2.50976e-006,-0.00760253,0.622414,0.639948,1
100,0.915319,0.492422,0.492422,-1647.34,8.6614e-007,-5.21418e-007,-0.151683,0.044459,6.35011e-007,0.484815,0.00132809,-0.000823565,-2.89626,0.0444635,2.57226e-006,-0.00760724,0.622414,0.639948,1
110,0.918847,0.49167,0.49167,-1647.35,9.43081e-007,-5.69735e-007,-0.151856,0.044459,6.32282e-007,0.484056,0.00125133,-0.000794616,-2.91482,0.0444616,2.64801e-006,-0.00761422,0.622414,0.639948,1
120,0.921509,0.490919,0.490919,-1647.35,1.01554e-006,-6.16106e-007,-0.152031,0.044459,6.29317e-007,0.483296,0.00117809,-0.000758945,-2.93356,0.0444578,2.82943e-006,-0.00762266,0.622414,0.639948,1
130,0.924114,0.490166,0.490166,-1647.35,1.0836e-006,-6.6023e-007,-0.152206,0.044459,6.26125e-007,0.482536,0.00110166,-0.000719543,-2.95242,0.0444549,2.87359e-006,-0.00763067,0.622414,0.639948,1
140,0.926769,0.489411,0.489411,-1647.36,1.14676e-006,-7.01895e-007,-0.152383,0.044459,6.22719e-007,0.481774,0.0010132,-0.000676347,-2.97134,0.044455,2.59016e-006,-0.00763723,0.622414,0.639948,1
150,0.929514,0.488655,0.488655,-1647.36,1.20428e-006,-7.40844e-007,-0.152561,0.044459,6.19111e-007,0.481012,0.000913219,-0.000628441,-2.99034,0.0444568,2.129e-006,-0.00764289,0.622414,0.639948,1
160,0.931437,0.487899,0.487899,-1647.36,1.25562e-006,-7.76799e-007,-0.15274,0.044459,6.15315e-007,0.480249,0.000807498,-0.000576061,-3.00949,0.0444586,1.79963e-006,-0.00765017,0.622414,0.639948,1
170,0.934567,0.487146,0.487146,-1647.36,1.30061e-006,-8.09507e-007,-0.15292,0.044459,6.11348e-007,0.479484,0.000700403,-0.000519752,-3.02879,0.044459,1.61598e-006,-0.00766135,0.622414,0.639948,1
180,0.93717,0.486396,0.486396,-1647.37,1.33916e-006,-8.38786e-007,-0.153101,0.044459,6.07226e-007,0.478719,0.000591432,-0.000461769,-3.04821,0.0444582,1.4256e-006,-0.0076764,0.622414,0.639948,1
190,0.939579,0.485645,0.485645,-1647.37,1.37117e-006,-8.64675e-007,-0.153284,0.044459,6.02966e-007,0.477953,0.000481737,-0.000406951,-3.06774,0.0444575,1.226e-006,-0.00769185,0.622414,0.639948,1
