step,rz,Epot,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[0],prob_atom_f[1],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
0,-0.5,-1650.01,0.0442949,1.33614e-006,-0.510047,-0.00386124,0.00129606,2.83604,0.0442949,1.33614e-006,-0.0100467
1,-0.49,-1650.04,0.0439481,2.61019e-006,-0.481197,-0.0038286,0.00145248,3.08281,0.0439481,2.61019e-006,0.00880333
2,-0.48,-1650.07,0.043951,2.44627e-006,-0.471409,-0.00422963,0.00161331,3.3509,0.043951,2.44627e-006,0.00859069
3,-0.47,-1650.11,0.0439509,2.46614e-006,-0.461527,-0.00470803,0.00179962,3.64161,0.0439509,2.46614e-006,0.00847299
4,-0.46,-1650.15,0.0439509,2.45621e-006,-0.451645,-0.00523878,0.00200669,3.95649,0.0439509,2.45621e-006,0.00835529
5,-0.45,-1650.19,0.0439509,2.45621e-006,-0.441762,-0.00582688,0.00223659,4.29709,0.0439509,2.45621e-006,0.00823762
6,-0.44,-1650.23,0.0439509,2.45124e-006,-0.43188,-0.00647707,0.00249143,4.66497,0.0439509,2.45124e-006,0.00811992
7,-0.43,-1650.28,0.0439509,2.44876e-006,-0.421998,-0.00719445,0.00277318,5.06164,0.0439509,2.44876e-006,0.00800225
8,-0.42,-1650.33,0.0439509,2.45621e-006,-0.412115,-0.00798454,0.00308429,5.48854,0.0439509,2.45621e-006,0.00788456
9,-0.41,-1650.39,0.0439509,2.44131e-006,-0.402233,-0.00885328,0.00342667,5.94696,0.0439509,2.44131e-006,0.00776688
10,-0.4,-1650.45,0.043951,2.44627e-006,-0.392351,-0.0098046,0.00380201,6.43802,0.043951,2.44627e-006,0.00764924
11,-0.39,-1650.52,0.043951,2.45372e-006,-0.382468,-0.010844,0.00421287,6.96259,0.043951,2.45372e-006,0.00753157
12,-0.38,-1650.59,0.043951,2.47359e-006,-0.372586,-0.0119739,0.0046601,7.52118,0.043951,2.47359e-006,0.00741397
13,-0.37,-1650.67,0.043951,2.45372e-006,-0.362704,-0.0131971,0.00514303,8.11386,0.043951,2.45372e-006,0.00729635
14,-0.36,-1650.76,0.0439509,2.45372e-006,-0.352821,-0.0145147,0.00566209,8.74012,0.0439509,2.45372e-006,0.00717874
15,-0.35,-1650.85,0.0439509,2.45621e-006,-0.342939,-0.0159254,0.00621769,9.39878,0.0439509,2.45621e-006,0.00706115
16,-0.34,-1650.94,0.0439509,2.45124e-006,-0.333056,-0.0174226,0.00680502,10.0877,0.0439509,2.45124e-006,0.00694356
17,-0.33,-1651.05,0.043951,2.44379e-006,-0.323174,-0.0189992,0.00741828,10.8038,0.043951,2.44379e-006,0.00682599
