step,rz,Epot,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[0],prob_atom_f[1],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
36,0.14,-1650.33,0.0439268,2.01414e-006,0.141301,-0.12539,0.0690377,6.23138,0.0439268,2.01414e-006,0.00130067
37,0.13,-1650.23,0.0439268,2.01662e-006,0.131418,-0.163358,0.0953724,13.6397,0.0439268,2.01662e-006,0.00141832
38,0.12,-1650.05,0.0439268,2.02159e-006,0.121536,-0.204776,0.127925,22.4209,0.0439268,2.02159e-006,0.00153596
39,0.11,-1649.78,0.0439268,2.03401e-006,0.111654,-0.245974,0.166368,32.4014,0.0439268,2.03401e-006,0.00165361
40,0.1,-1649.4,0.0439268,2.03401e-006,0.101771,-0.281004,0.208988,43.1775,0.0439268,2.03401e-006,0.00177125
41,0.09,-1648.91,0.0439268,2.03401e-006,0.0918889,-0.301891,0.252323,54.0628,0.0439268,2.03401e-006,0.00188889
42,0.08,-1648.34,0.0439268,2.03401e-006,0.0820065,-0.0243538,0.031799,62.8787,0.0439268,2.03401e-006,0.00200653
43,0.07,-1647.68,0.0439274,1.66396e-006,0.0722258,-0.251437,0.283919,70.641,0.0439274,1.66396e-006,0.00222576
44,0.06,-1646.94,0.0439267,2.04146e-006,0.0623432,-0.168586,0.26191,74.9728,0.0439267,2.04146e-006,0.00234324
45,0.05,-1646.19,0.0439267,2.03401e-006,0.0524606,-0.0402366,0.197333,74.6111,0.0439267,2.03401e-006,0.00246063
46,0.04,-1645.47,0.0439266,1.99427e-006,0.0425779,0.127752,0.08901,68.6544,0.0439266,1.99427e-006,0.00257794
47,0.03,-1644.84,0.0439266,1.96447e-006,0.0326952,0.322392,-0.0605026,56.8435,0.0439266,1.96447e-006,0.00269518
48,0.02,-1644.35,0.0439265,1.94957e-006,0.0228124,0.523585,-0.236583,39.7622,0.0439265,1.94957e-006,0.0028124
49,0.01,-1644.06,0.0439264,1.9446e-006,0.0129296,0.708208,-0.418038,18.872,0.0439264,1.9446e-006,0.00292961
50,-3.68629e-017,-1643.98,0.0439264,1.92722e-006,0.00304688,0.855642,-0.583597,-3.66842,0.0439264,1.92722e-006,0.00304688
51,-0.01,-1644.13,0.0439263,1.94957e-006,-0.00683575,0.95111,-0.714411,-25.377,0.0439263,1.94957e-006,0.00316425
52,-0.02,-1644.48,0.0439262,1.9595e-006,-0.0167183,0.988976,-0.800677,-43.923,0.0439262,1.9595e-006,0.00328174
53,-0.03,-1644.99,0.0439262,1.98931e-006,-0.0266006,0.979324,-0.891525,-57.5626,0.0439262,1.98931e-006,0.00339937
54,-0.04,-1645.9,0.0439262,1.98931e-006,-0.036483,-0.70801,0.216475,-62.0386,0.0439262,1.98931e-006,0.00351703
55,-0.05,-1646.61,0.0438868,2.73685e-006,-0.0462431,0.0170629,0.00923651,-64.0562,0.0438868,2.73685e-006,0.00375685
56,-0.06,-1647.24,0.0438898,2.82129e-006,-0.0562293,0.717365,-0.767921,-61.0043,0.0438898,2.82129e-006,0.00377075
57,-0.07,-1647.82,0.0438916,2.11348e-006,-0.0661116,0.59815,-0.681267,-54.5085,0.0438916,2.11348e-006,0.00388837
58,-0.08,-1648.32,0.0438916,2.13832e-006,-0.0759943,0.483361,-0.570176,-45.8883,0.0438916,2.13832e-006,0.00400573
59,-0.09,-1648.73,0.0438915,2.18054e-006,-0.0858769,0.379089,-0.459988,-36.3548,0.0438915,2.18054e-006,0.00412311
60,-0.1,-1649.05,0.0438915,2.21034e-006,-0.0957595,0.288985,-0.359651,-26.871,0.0438915,2.21034e-006,0.00424054
61,-0.11,-1649.27,0.0438915,2.26001e-006,-0.105642,0.214169,-0.273237,-18.1014,0.0438915,2.26001e-006,0.00435799
62,-0.12,-1649.47,0.0438915,2.27988e-006,-0.115525,0.0482322,0.00351151,-11.2184,0.0438915,2.27988e-006,0.00447543
63,-0.13,-1649.55,0.0438898,3.27329e-006,-0.125632,0.1074,-0.150223,-4.59784,0.0438898,3.27329e-006,0.00436766
64,-0.14,-1649.57,0.0438915,2.11596e-006,-0.135515,0.0403334,-0.0265236,0.674148,0.0438915,2.11596e-006,0.00448539
65,-0.15,-1649.54,0.0438905,3.02245e-006,-0.14542,0.0356067,-0.0507094,4.7988,0.0438905,3.02245e-006,0.00458014
66,-0.16,-1649.48,0.0438912,2.43386e-006,-0.155303,0.0185219,-0.0257502,7.86786,0.0438912,2.43386e-006,0.00469662
67,-0.17,-1649.39,0.0438911,2.64247e-006,-0.165194,0.00811617,-0.0204345,10.0552,0.0438911,2.64247e-006,0.00480621
68,-0.18,-1649.28,0.0438913,2.44627e-006,-0.175079,-0.000775081,-0.0138085,11.5164,0.0438913,2.44627e-006,0.00492072
69,-0.19,-1649.16,0.0438914,2.34445e-006,-0.184963,-0.0072918,-0.0073515,12.3981,0.0438914,2.34445e-006,0.00503693
70,-0.2,-1649.03,0.0438915,2.21779e-006,-0.194846,-0.0118926,-0.00145248,12.827,0.0438915,2.21779e-006,0.00515427
71,-0.21,-1648.9,0.0438915,2.21034e-006,-0.204728,-0.0147265,0.00247525,12.9097,0.0438915,2.21034e-006,0.00527166
72,-0.22,-1648.77,0.0438916,2.1855e-006,-0.214611,-0.0162709,0.00498232,12.7333,0.0438916,2.1855e-006,0.00538909
73,-0.23,-1648.65,0.0438916,2.1706e-006,-0.224493,-0.0168884,0.00648703,12.368,0.0438916,2.1706e-006,0.0055066
74,-0.24,-1648.53,0.0438916,2.15073e-006,-0.234376,-0.01685,0.00728143,11.8698,0.0438916,2.15073e-006,0.00562415
75,-0.25,-1648.41,0.0438916,2.14328e-006,-0.244258,-0.0163608,0.00757855,11.2829,0.0438916,2.14328e-006,0.00574174
76,-0.26,-1648.3,0.0438916,2.14577e-006,-0.254141,-0.0155756,0.00753903,10.6416,0.0438916,2.14577e-006,0.00585932
77,-0.27,-1648.2,0.0438916,2.14328e-006,-0.264023,-0.0146086,0.00727895,9.97242,0.0438916,2.14328e-006,0.0059769
78,-0.28,-1648.1,0.0438916,2.14328e-006,-0.273906,-0.0135442,0.00688199,9.29546,0.0438916,2.14328e-006,0.00609448
79,-0.29,-1648.01,0.0438916,2.13335e-006,-0.283788,-0.0124423,0.00640729,8.62577,0.0438916,2.13335e-006,0.00621205
80,-0.3,-1647.93,0.0438916,2.11845e-006,-0.29367,-0.0113462,0.0058969,7.9743,0.0438916,2.11845e-006,0.00632961
81,-0.31,-1647.85,0.0438916,2.0961e-006,-0.303553,-0.0102838,0.0053778,7.34876,0.0438916,2.0961e-006,0.00644715
82,-0.32,-1647.78,0.0438916,2.09858e-006,-0.313435,-0.0092752,0.0048699,6.75433,0.0438916,2.09858e-006,0.00656468
83,-0.33,-1647.72,0.0438916,2.07374e-006,-0.323318,-0.00810218,0.00377917,6.19292,0.0438916,2.07374e-006,0.00668222
84,-0.34,-1647.6,0.0438912,2.86599e-006,-0.333179,-0.00668121,0.00380546,5.20379,0.0438912,2.86599e-006,0.00682065
85,-0.35,-1647.55,0.0438916,2.10355e-006,-0.343062,-0.00596453,0.00339805,4.75141,0.0438916,2.10355e-006,0.00693832
86,-0.36,-1647.47,0.0438916,2.08865e-006,-0.352944,-0.00526099,0.00277778,4.08705,0.0438916,2.08865e-006,0.00705602
87,-0.37,-1647.43,0.0438916,2.08865e-006,-0.362826,-0.004673,0.00246595,3.72044,0.0438916,2.08865e-006,0.00717369
88,-0.38,-1647.4,0.0438916,2.111e-006,-0.372709,-0.00414439,0.00218436,3.38351,0.0438916,2.111e-006,0.00729134
89,-0.39,-1647.37,0.0438916,2.111e-006,-0.382591,-0.00367079,0.00193184,3.07483,0.0438916,2.111e-006,0.00740901
90,-0.4,-1647.34,0.0438916,2.11596e-006,-0.392473,-0.00324768,0.0017063,2.79277,0.0438916,2.11596e-006,0.00752668
91,-0.41,-1647.31,0.0438916,2.11348e-006,-0.402356,-0.00287099,0.0015057,2.53559,0.0438916,2.11348e-006,0.00764436
92,-0.42,-1647.29,0.0438916,2.11348e-006,-0.412238,-0.00253672,0.00132775,2.30152,0.0438916,2.11348e-006,0.00776204
93,-0.43,-1647.26,0.0438916,2.11845e-006,-0.42212,-0.00224081,0.00117025,2.08882,0.0438916,2.11845e-006,0.00787974
94,-0.44,-1647.24,0.0438916,2.12838e-006,-0.432003,-0.00197912,0.00103119,1.89576,0.0438916,2.12838e-006,0.00799745
95,-0.45,-1647.23,0.0438916,2.1259e-006,-0.441885,-0.00174784,0.000908683,1.7207,0.0438916,2.1259e-006,0.00811514
96,-0.46,-1647.21,0.0438915,2.11348e-006,-0.451767,-0.00154366,0.000800796,1.56209,0.0438915,2.11348e-006,0.00823289
97,-0.47,-1647.19,0.0438916,2.11596e-006,-0.461649,-0.00136369,0.000705835,1.41846,0.0438916,2.11596e-006,0.00835065
98,-0.48,-1647.18,0.0438916,2.111e-006,-0.471532,-0.00120515,0.000622337,1.28846,0.0438916,2.111e-006,0.0084684
99,-0.49,-1647.17,0.0438916,2.10851e-006,-0.481414,-0.00106552,0.000548979,1.17082,0.0438916,2.10851e-006,0.00858621
